START-OF-LOG: 3.0
CALLSIGN: PA3DCU
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Jaap Zijp
LOCATION: DX
OPERATORS: PA3DCU
CLUB:
CERTIFICATE: YES
CREATED-BY: jLog V 6.0.2 http
SOAPBOX: Great contest! Every year a splendid opportunity to work DX stations.
QSO: 21000 CW 2016-11-27 1416 PA3DCU        599 14     LU1UG         599 13     0
QSO: 14000 CW 2016-11-27 1436 PA3DCU        599 14     9H6A          599 15     0
QSO: 14000 CW 2016-11-27 1452 PA3DCU        599 14     FY5KE         599 09     0
QSO:  3500 CW 2016-11-27 1616 PA3DCU        599 14     TC3A          599 20     0
QSO:  7000 CW 2016-11-27 1629 PA3DCU        599 14     OG6N          599 15     0
QSO:  7000 CW 2016-11-27 1631 PA3DCU        599 14     4X0W          599 20     0
QSO:  7000 CW 2016-11-27 2026 PA3DCU        599 14     9H6A          599 15     0
QSO:  7000 CW 2016-11-27 2040 PA3DCU        599 14     4X4NJ         599 20     0
QSO:  3500 CW 2016-11-27 2231 PA3DCU        599 14     SV1ME         599 20     0
QSO:  7000 CW 2016-11-27 2250 PA3DCU        599 14     OM8A          599 15     0
QSO:  7000 CW 2016-11-27 2256 PA3DCU        599 14     P40C          599 09     0
QSO:  7000 CW 2016-11-27 2312 PA3DCU        599 14     EF8R          599 33     0
QSO:  7000 CW 2016-11-27 2321 PA3DCU        599 14     PJ4A          599 09     0
QSO:  7000 CW 2016-11-27 2325 PA3DCU        599 14     PZ5V          599 09     0
QSO:  7000 CW 2016-11-27 2336 PA3DCU        599 14     HI3CC         599 08     0
QSO:  7000 CW 2016-11-27 2349 PA3DCU        599 14     KP2M          599 08     0
QSO:  7000 CW 2016-11-27 2354 PA3DCU        599 14     EU7A          599 16     0
QSO:  7000 CW 2016-11-27 2357 PA3DCU        599 14     PS2T          599 11     0
END-OF-LOG:
