START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.244 [CZE]
CALLSIGN: OK2BJK
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 15096
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TIME: 12-HOURS
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
NAME: Jarda KVAPIL
SOAPBOX: FT-897D 100W Ant.W3DZZ & FD4 my AGE 83Years SRI GB
QSO:  3500 CW 2016-11-27 1955 OK2BJK        599 15     DL8SCG        599 14
QSO:  3500 CW 2016-11-27 1955 OK2BJK        599 15     DF1LX         599 14
QSO:  3500 CW 2016-11-27 1957 OK2BJK        599 15     OK1CZ         599 15
QSO:  3500 CW 2016-11-27 1958 OK2BJK        599 15     DF5BM         599 14
QSO:  3500 CW 2016-11-27 1959 OK2BJK        599 15     SP3JUN        599 15
QSO:  3500 CW 2016-11-27 1959 OK2BJK        599 15     OL4W          599 15
QSO:  3500 CW 2016-11-27 2000 OK2BJK        599 15     UA1ANA        599 16
QSO:  3500 CW 2016-11-27 2000 OK2BJK        599 15     OK2HBR        599 15
QSO:  3500 CW 2016-11-27 2001 OK2BJK        599 15     PI4COM        599 14
QSO:  3500 CW 2016-11-27 2002 OK2BJK        599 15     SP8K          599 15
QSO:  3500 CW 2016-11-27 2006 OK2BJK        599 15     HB0/DK4YJ     599 14
QSO:  3500 CW 2016-11-27 2007 OK2BJK        599 15     UA4M          599 16
QSO:  3500 CW 2016-11-27 2007 OK2BJK        599 15     OK1UBA        599 15
QSO:  3500 CW 2016-11-27 2010 OK2BJK        599 15     4X6FR         599 20
QSO:  3500 CW 2016-11-27 2011 OK2BJK        599 15     LY9A          599 15
QSO:  3500 CW 2016-11-27 2012 OK2BJK        599 15     S54O          599 15
QSO:  3500 CW 2016-11-27 2018 OK2BJK        599 15     UX3UV         599 16
QSO:  3500 CW 2016-11-27 2020 OK2BJK        599 15     ON5JT         599 14
QSO:  3500 CW 2016-11-27 2022 OK2BJK        599 15     DL5GAC        599 14
QSO:  3500 CW 2016-11-27 2023 OK2BJK        599 15     DL0XM         599 14
QSO:  3500 CW 2016-11-27 2026 OK2BJK        599 15     F6KDL         599 14
QSO:  3500 CW 2016-11-27 2026 OK2BJK        599 15     M8A           599 14
QSO:  3500 CW 2016-11-27 2027 OK2BJK        599 15     PA4O          599 14
QSO:  3500 CW 2016-11-27 2029 OK2BJK        599 15     LZ1AQ         599 20
QSO:  3500 CW 2016-11-27 2029 OK2BJK        599 15     DL0GL         599 14
QSO:  3500 CW 2016-11-27 2031 OK2BJK        599 15     YU1FJK        599 15
QSO:  3500 CW 2016-11-27 2031 OK2BJK        599 15     DL1A          599 14
QSO:  3500 CW 2016-11-27 2032 OK2BJK        599 15     9A4QV         599 15
QSO:  3500 CW 2016-11-27 2033 OK2BJK        599 15     RU6K          599 16
QSO:  3500 CW 2016-11-27 2034 OK2BJK        599 15     IK3UNA        599 21
QSO:  3500 CW 2016-11-27 2036 OK2BJK        599 15     OL3Z          599 15
QSO:  3500 CW 2016-11-27 2037 OK2BJK        599 15     PA5WT         599 14
QSO:  3500 CW 2016-11-27 2040 OK2BJK        599 15     DL5JQ         599 14
QSO:  3500 CW 2016-11-27 2042 OK2BJK        599 15     LB8DC         599 14
QSO:  3500 CW 2016-11-27 2043 OK2BJK        599 15     E73ESP        599 15
QSO:  3500 CW 2016-11-27 2044 OK2BJK        599 15     YT5A          599 15
QSO:  3500 CW 2016-11-27 2045 OK2BJK        599 15     SP5XO         599 15
QSO:  3500 CW 2016-11-27 2046 OK2BJK        599 15     M0W           599 14
QSO:  3500 CW 2016-11-27 2046 OK2BJK        599 15     R7AB          599 16
QSO:  3500 CW 2016-11-27 2047 OK2BJK        599 15     S58N          599 15
QSO:  3500 CW 2016-11-27 2050 OK2BJK        599 15     OH3JF         599 14
QSO:  3500 CW 2016-11-27 2051 OK2BJK        599 15     TK0C          599 15
QSO:  3500 CW 2016-11-27 2053 OK2BJK        599 15     DL3KVR        599 14
QSO:  3500 CW 2016-11-27 2054 OK2BJK        599 15     DL2GBO        599 14
QSO:  3500 CW 2016-11-27 2057 OK2BJK        599 15     M6T           599 14
QSO:  3500 CW 2016-11-27 2058 OK2BJK        599 15     EI9C          599 14
QSO:  3500 CW 2016-11-27 2059 OK2BJK        599 15     SN5W          599 15
QSO:  3500 CW 2016-11-27 2059 OK2BJK        599 15     UB0A          599 18
QSO:  3500 CW 2016-11-27 2102 OK2BJK        599 15     DF4XX         599 14
QSO:  3500 CW 2016-11-27 2103 OK2BJK        599 15     DF0HQ         599 14
QSO:  3500 CW 2016-11-27 2104 OK2BJK        599 15     OQ5M          599 14
QSO:  3500 CW 2016-11-27 2105 OK2BJK        599 15     9A1A          599 15
QSO:  3500 CW 2016-11-27 2106 OK2BJK        599 15     UN4L          599 17
QSO:  3500 CW 2016-11-27 2110 OK2BJK        599 15     IZ4BOY        599 15
QSO:  3500 CW 2016-11-27 2113 OK2BJK        599 15     RO5F          599 16
QSO:  3500 CW 2016-11-27 2114 OK2BJK        599 15     G3ZGC         599 14
QSO:  3500 CW 2016-11-27 2117 OK2BJK        599 15     RA0AM         599 18
QSO:  3500 CW 2016-11-27 2120 OK2BJK        599 15     SN7Q          599 15
QSO:  3500 CW 2016-11-27 2123 OK2BJK        599 15     OM0M          599 15
QSO:  3500 CW 2016-11-27 2123 OK2BJK        599 15     UX1UF         599 16
QSO:  3500 CW 2016-11-27 2124 OK2BJK        599 15     RM9A          599 17
QSO:  3500 CW 2016-11-27 2125 OK2BJK        599 15     S53X          599 15
QSO:  3500 CW 2016-11-27 2126 OK2BJK        599 15     R7NW          599 16
QSO:  3500 CW 2016-11-27 2127 OK2BJK        599 15     YT4T          599 15
QSO:  3500 CW 2016-11-27 2128 OK2BJK        599 15     RM2U          599 16
QSO:  3500 CW 2016-11-27 2130 OK2BJK        599 15     LY7Z          599 15
QSO:  3500 CW 2016-11-27 2131 OK2BJK        599 15     LY2W          599 15
QSO:  3500 CW 2016-11-27 2132 OK2BJK        599 15     SP4Z          599 15
QSO:  3500 CW 2016-11-27 2134 OK2BJK        599 15     R9TT          599 16
QSO:  3500 CW 2016-11-27 2135 OK2BJK        599 15     TM6M          599 14
QSO:  3500 CW 2016-11-27 2136 OK2BJK        599 15     SQ5M          599 15
QSO:  3500 CW 2016-11-27 2138 OK2BJK        599 15     DJ5EU         599 14
QSO:  3500 CW 2016-11-27 2139 OK2BJK        599 15     SP4W          599 15
QSO:  3500 CW 2016-11-27 2140 OK2BJK        599 15     DK1NO         599 14
QSO:  3500 CW 2016-11-27 2140 OK2BJK        599 15     YU0U          599 15
QSO:  3500 CW 2016-11-27 2141 OK2BJK        599 15     OG7A          599 15
QSO:  3500 CW 2016-11-27 2143 OK2BJK        599 15     G3V           599 14
QSO:  3500 CW 2016-11-27 2143 OK2BJK        599 15     S56M          599 15
QSO:  3500 CW 2016-11-27 2144 OK2BJK        599 15     9A7A          599 15
QSO:  3500 CW 2016-11-27 2151 OK2BJK        599 15     DL7ON         599 14
QSO:  3500 CW 2016-11-27 2151 OK2BJK        599 15     OK6W          599 15
QSO:  7000 CW 2016-11-27 2210 OK2BJK        599 15     YT7A          599 15
QSO:  7000 CW 2016-11-27 2213 OK2BJK        599 15     CN2R          599 33
QSO:  7000 CW 2016-11-27 2214 OK2BJK        599 15     OM8A          599 15
QSO:  7000 CW 2016-11-27 2215 OK2BJK        599 15     N3AD          599 5
QSO:  7000 CW 2016-11-27 2217 OK2BJK        599 15     K2QMF         599 5
QSO:  7000 CW 2016-11-27 2222 OK2BJK        599 15     RM9A          599 16
QSO:  7000 CW 2016-11-27 2224 OK2BJK        599 15     WE3C          599 5
QSO:  7000 CW 2016-11-27 2225 OK2BJK        599 15     CR3W          599 33
QSO:  7000 CW 2016-11-27 2225 OK2BJK        599 15     HA8KW         599 15
QSO:  7000 CW 2016-11-27 2232 OK2BJK        599 15     UB7K          599 16
QSO:  7000 CW 2016-11-27 2233 OK2BJK        599 15     KC1XX         599 5
QSO:  7000 CW 2016-11-27 2234 OK2BJK        599 15     US1I          599 16
QSO:  7000 CW 2016-11-27 2235 OK2BJK        599 15     UW2M          599 16
QSO:  7000 CW 2016-11-27 2242 OK2BJK        599 15     N9NB          599 5
QSO:  7000 CW 2016-11-27 2243 OK2BJK        599 15     YT6W          599 15
QSO:  7000 CW 2016-11-27 2247 OK2BJK        599 15     S52AW         599 15
QSO:  7000 CW 2016-11-27 2249 OK2BJK        599 15     NR4M          599 5
QSO:  7000 CW 2016-11-27 2251 OK2BJK        599 15     IR4M          599 15
QSO:  7000 CW 2016-11-27 2254 OK2BJK        599 15     KU2C          599 5
QSO:  7000 CW 2016-11-27 2255 OK2BJK        599 15     W3LPL         599 5
QSO:  7000 CW 2016-11-27 2302 OK2BJK        599 15     AA2A          599 5
QSO:  7000 CW 2016-11-27 2303 OK2BJK        599 15     SK1NA         599 14
QSO:  7000 CW 2016-11-27 2307 OK2BJK        599 15     4X4NJ         599 20
QSO:  7000 CW 2016-11-27 2313 OK2BJK        599 15     ED8X          599 33
QSO:  7000 CW 2016-11-27 2315 OK2BJK        599 15     EA2EA         599 14
QSO:  7000 CW 2016-11-27 2325 OK2BJK        599 15     K9CT          599 4
QSO:  7000 CW 2016-11-27 2329 OK2BJK        599 15     EA7RM         599 14
QSO:  7000 CW 2016-11-27 2330 OK2BJK        599 15     CU4NK         599 14
QSO:  7000 CW 2016-11-27 2335 OK2BJK        599 15     YN2SX         599 7
QSO:  7000 CW 2016-11-27 2337 OK2BJK        599 15     N4PN          599 4
QSO:  7000 CW 2016-11-27 2339 OK2BJK        599 15     F5MUX         599 14
QSO:  7000 CW 2016-11-27 2342 OK2BJK        599 15     K4TCG         599 4
QSO:  7000 CW 2016-11-27 2345 OK2BJK        599 15     EA7OT         599 14
QSO:  7000 CW 2016-11-27 2347 OK2BJK        599 15     EF7A          599 14
QSO:  7000 CW 2016-11-27 2350 OK2BJK        599 15     RW4LC         599 16
QSO:  7000 CW 2016-11-27 2354 OK2BJK        599 15     N3BB          599 4
QSO:  7000 CW 2016-11-27 2356 OK2BJK        599 15     EF8U          599 33
QSO:  7000 CW 2016-11-27 2358 OK2BJK        599 15     RK7F          599 16
END-OF-LOG:
