START-OF-LOG: 3.0
CALLSIGN: KC4G
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 39116
NAME: Joe Hardy
LOCATION: SC
OPERATORS: KC4G
CLUB: CAROLINA DX ASSOCIATION
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5982.0
SOAPBOX: There was plenty of good DX to work this weekend.
QSO: 21000 CW 2016-11-26 1552 KC4G          599 5      V47T          599 08
QSO: 21000 CW 2016-11-26 1554 KC4G          599 5      ED8X          599 33
QSO: 21000 CW 2016-11-26 1555 KC4G          599 5      CN2AA         599 33
QSO: 21000 CW 2016-11-26 1558 KC4G          599 5      ZF2MJ         599 08
QSO: 21000 CW 2016-11-26 1559 KC4G          599 5      PZ5V          599 09
QSO: 21000 CW 2016-11-26 1609 KC4G          599 5      FM5FJ         599 08
QSO: 21000 CW 2016-11-26 1650 KC4G          599 5      CR3W          599 33
QSO: 21000 CW 2016-11-26 1701 KC4G          599 5      TI2OY         599 07
QSO: 21000 CW 2016-11-26 1702 KC4G          599 5      V26K          599 08
QSO: 21000 CW 2016-11-26 1711 KC4G          599 5      6Y9X          599 08
QSO: 21000 CW 2016-11-26 1714 KC4G          599 5      TI5W          599 07
QSO: 21000 CW 2016-11-26 1716 KC4G          599 5      ZD8W          599 36
QSO: 21000 CW 2016-11-26 1717 KC4G          599 5      P40C          599 09
QSO: 21000 CW 2016-11-26 1722 KC4G          599 5      ZF9CW         599 08
QSO: 21000 CW 2016-11-26 1727 KC4G          599 5      PY4YY         599 11
QSO: 21000 CW 2016-11-26 1729 KC4G          599 5      J70BH         599 08
QSO: 21000 CW 2016-11-26 1731 KC4G          599 5      D4C           599 35
QSO: 28000 CW 2016-11-26 1734 KC4G          599 5      ZD8W          599 36
QSO: 28000 CW 2016-11-26 1742 KC4G          599 5      D4C           599 35
QSO: 28000 CW 2016-11-26 1755 KC4G          599 5      CX4AT         599 13
QSO: 28000 CW 2016-11-26 1800 KC4G          599 5      HP1XT         599 07
QSO: 28000 CW 2016-11-26 1802 KC4G          599 5      8P5A          599 08
QSO: 28000 CW 2016-11-26 1804 KC4G          599 5      TI5W          599 07
QSO: 28000 CW 2016-11-26 1807 KC4G          599 5      OA4SS         599 10
QSO: 28000 CW 2016-11-26 1808 KC4G          599 5      HK1NA         599 09
QSO: 28000 CW 2016-11-26 1813 KC4G          599 5      LU3CW         599 13
QSO: 28000 CW 2016-11-26 1818 KC4G          599 5      PJ2T          599 09
QSO: 21000 CW 2016-11-26 1825 KC4G          599 5      HI3Y          599 08
QSO: 21000 CW 2016-11-26 1826 KC4G          599 5      PP1CZ         599 11
QSO: 21000 CW 2016-11-26 1827 KC4G          599 5      VP5CW         599 08
QSO: 21000 CW 2016-11-26 1844 KC4G          599 5      KH6LC         599 31
QSO: 21000 CW 2016-11-26 1859 KC4G          599 5      TO1A          599 09
QSO: 21000 CW 2016-11-26 1914 KC4G          599 5      KH6J          599 31
QSO: 21000 CW 2016-11-26 1945 KC4G          599 5      KH6TU         599 31
QSO: 21000 CW 2016-11-26 1952 KC4G          599 5      XE1EE         599 06
QSO: 14000 CW 2016-11-26 1957 KC4G          599 5      IO4T          599 15
QSO: 14000 CW 2016-11-26 2004 KC4G          599 5      II9P          599 15
QSO: 14000 CW 2016-11-26 2010 KC4G          599 5      CU4DX         599 14
QSO: 14000 CW 2016-11-26 2019 KC4G          599 5      ZS1EL         599 38
QSO: 14000 CW 2016-11-26 2020 KC4G          599 5      OH8X          599 15
QSO: 14000 CW 2016-11-26 2021 KC4G          599 5      OH8L          599 15
QSO: 14000 CW 2016-11-26 2022 KC4G          599 5      VK2IA         599 30
QSO: 14000 CW 2016-11-26 2028 KC4G          599 5      VP9I          599 05
QSO: 14000 CW 2016-11-26 2036 KC4G          599 5      FY5KE         599 09
QSO: 14000 CW 2016-11-26 2037 KC4G          599 5      VP5M          599 08
QSO: 14000 CW 2016-11-26 2041 KC4G          599 5      T42CT         599 08
QSO: 14000 CW 2016-11-26 2043 KC4G          599 5      KP4BD         599 08
QSO: 14000 CW 2016-11-26 2052 KC4G          599 5      YV5IUA        599 09
QSO: 21000 CW 2016-11-26 2128 KC4G          599 5      P49Y          599 09
QSO: 21000 CW 2016-11-26 2132 KC4G          599 5      LU1DZ         599 13
QSO: 21000 CW 2016-11-26 2136 KC4G          599 5      PY1MX         599 11
QSO: 14000 CW 2016-11-26 2259 KC4G          599 5      PJ4A          599 09
QSO: 14000 CW 2016-11-27 1327 KC4G          599 5      UA2F          599 15
QSO: 14000 CW 2016-11-27 1329 KC4G          599 5      ER4A          599 16
QSO: 14000 CW 2016-11-27 1330 KC4G          599 5      SM5FUG        599 14
QSO: 14000 CW 2016-11-27 1331 KC4G          599 5      OL1C          599 15
QSO: 14000 CW 2016-11-27 1332 KC4G          599 5      OG7A          599 15
QSO: 14000 CW 2016-11-27 1333 KC4G          599 5      YT5A          599 15
QSO: 14000 CW 2016-11-27 1335 KC4G          599 5      YR8D          599 20
QSO: 14000 CW 2016-11-27 1337 KC4G          599 5      UX7IW         599 16
QSO: 14000 CW 2016-11-27 1338 KC4G          599 5      OE2S          599 15
QSO: 14000 CW 2016-11-27 1346 KC4G          599 5      PA0GJV        599 14
QSO: 14000 CW 2016-11-27 1348 KC4G          599 5      RA7A          599 16
QSO: 14000 CW 2016-11-27 1355 KC4G          599 5      9H6A          599 15
QSO: 14000 CW 2016-11-27 1356 KC4G          599 5      M6T           599 14
QSO: 14000 CW 2016-11-27 1359 KC4G          599 5      MM0T          599 14
QSO: 14000 CW 2016-11-27 1400 KC4G          599 5      S52ZW         599 15
QSO: 14000 CW 2016-11-27 1401 KC4G          599 5      EW6W          599 16
END-OF-LOG:
