START-OF-LOG: 3.0
CALLSIGN: KD9MS
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 59492
NAME: Craig Bradley
LOCATION: IL
OPERATORS: KD9MS
CLUB: Society of Midwest Contesters
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6858.0
SOAPBOX: Bands were not good for a low power station entry.
QSO: 21233 PH 2017-10-29 1939 KD9MS         59  4      PY2TKB        59  11
QSO: 21220 PH 2017-10-29 1940 KD9MS         59  4      V26B          59  08
QSO: 21218 PH 2017-10-29 1941 KD9MS         59  4      HI3K          59  08
QSO: 21216 PH 2017-10-29 1941 KD9MS         59  4      CO6LC         59  08
QSO: 28434 PH 2017-10-29 1943 KD9MS         59  4      PY2EX         59  11
QSO: 21210 PH 2017-10-29 1944 KD9MS         59  4      PP5JN         59  11
QSO: 28437 PH 2017-10-29 1945 KD9MS         59  4      PY3PA         59  11
QSO: 21205 PH 2017-10-29 1946 KD9MS         59  4      HK3C          59  09
QSO: 21221 PH 2017-10-29 1948 KD9MS         59  4      HC0E          59  10
QSO: 28428 PH 2017-10-29 1949 KD9MS         59  4      LU5FF         59  13
QSO: 28420 PH 2017-10-29 1950 KD9MS         59  4      LT1F          59  13
QSO: 28415 PH 2017-10-29 1952 KD9MS         59  4      PY1GQ         59  11
QSO: 21237 PH 2017-10-29 1952 KD9MS         59  4      LU8YE         59  13
QSO: 28412 PH 2017-10-29 1953 KD9MS         59  4      FM5BH         59  08
QSO: 28407 PH 2017-10-29 1954 KD9MS         59  4      PZ5K          59  09
QSO: 21253 PH 2017-10-29 1956 KD9MS         59  4      T42A          59  08
QSO: 28404 PH 2017-10-29 1956 KD9MS         59  4      LU7HN         59  13
QSO: 28400 PH 2017-10-29 1957 KD9MS         59  4      PY3ZK         59  11
QSO: 21267 PH 2017-10-29 1959 KD9MS         59  4      YV5TNT        59  09
QSO: 21268 PH 2017-10-29 1959 KD9MS         59  4      PJ2T          59  09
QSO: 28393 PH 2017-10-29 2000 KD9MS         59  4      HI3T          59  08
QSO: 28390 PH 2017-10-29 2000 KD9MS         59  4      PY2XJ         59  11
QSO: 28382 PH 2017-10-29 2002 KD9MS         59  4      LO7H          59  13
QSO: 28378 PH 2017-10-29 2002 KD9MS         59  4      PP1WW         59  11
QSO: 28372 PH 2017-10-29 2005 KD9MS         59  4      CX2LT         59  13
QSO: 28360 PH 2017-10-29 2007 KD9MS         59  4      CA2CEV        59  12
QSO: 28362 PH 2017-10-29 2026 KD9MS         59  4      XQ5CIE        59  12
QSO: 28366 PH 2017-10-29 2027 KD9MS         59  4      LU6FHO        59  13
QSO: 21315 PH 2017-10-29 2038 KD9MS         59  4      VP5W          59  08
QSO: 28396 PH 2017-10-29 2039 KD9MS         59  4      CE3EPN        59  12
QSO: 28432 PH 2017-10-29 2040 KD9MS         59  4      LU7DH         59  13
QSO: 28447 PH 2017-10-29 2041 KD9MS         59  4      LU6ETB        59  13
QSO: 28451 PH 2017-10-29 2043 KD9MS         59  4      VP2MDG        59  08
QSO: 28455 PH 2017-10-29 2045 KD9MS         59  4      HC2G          59  10
QSO: 21316 PH 2017-10-29 2046 KD9MS         59  4      ZV5O          59  11
QSO: 21320 PH 2017-10-29 2047 KD9MS         59  4      YV2CAR        59  09
QSO: 28493 PH 2017-10-29 2053 KD9MS         59  4      NP2N          59  08
QSO: 28495 PH 2017-10-29 2054 KD9MS         59  4      LT7F          59  13
QSO: 21347 PH 2017-10-29 2056 KD9MS         59  4      VE7SCC        59  03
QSO: 21351 PH 2017-10-29 2057 KD9MS         59  4      YV4YC         59  09
QSO: 14288 PH 2017-10-29 2058 KD9MS         59  4      IK2YCW        59  15
QSO: 21369 PH 2017-10-29 2102 KD9MS         59  4      9Y4W          59  09
QSO: 21372 PH 2017-10-29 2103 KD9MS         59  4      FY5KE         59  09
QSO: 14291 PH 2017-10-29 2106 KD9MS         59  4      IU4HMP        59  15
QSO: 21390 PH 2017-10-29 2108 KD9MS         59  4      D4Z           59  35
QSO: 14293 PH 2017-10-29 2108 KD9MS         59  4      IO5O          59  15
QSO: 14301 PH 2017-10-29 2110 KD9MS         59  4      IB2A          59  15
QSO: 14307 PH 2017-10-29 2111 KD9MS         59  4      VE2BWL        59  05
QSO: 14311 PH 2017-10-29 2111 KD9MS         59  4      EA1DR         59  14
QSO: 14313 PH 2017-10-29 2112 KD9MS         59  4      IR6T          59  15
QSO: 14318 PH 2017-10-29 2113 KD9MS         59  4      IR4X          59  15
QSO: 14192 PH 2017-10-29 2117 KD9MS         59  4      EI1A          59  14
QSO: 14211 PH 2017-10-29 2118 KD9MS         59  4      HB9H          59  14
QSO: 21401 PH 2017-10-29 2121 KD9MS         59  4      PZ5K          59  09
QSO: 14215 PH 2017-10-29 2121 KD9MS         59  4      PJ4K          59  09
QSO: 14221 PH 2017-10-29 2122 KD9MS         59  4      ZY2A          59  11
QSO: 14224 PH 2017-10-29 2122 KD9MS         59  4      CU4DX         59  14
QSO: 14225 PH 2017-10-29 2123 KD9MS         59  4      P40W          59  09
QSO: 14237 PH 2017-10-29 2124 KD9MS         59  4      VP5W          59  08
QSO: 14240 PH 2017-10-29 2125 KD9MS         59  4      ZF2AH         59  08
QSO: 14245 PH 2017-10-29 2126 KD9MS         59  4      CF7RR         59  03
QSO: 14250 PH 2017-10-29 2127 KD9MS         59  4      EI7M          59  14
QSO: 21261 PH 2017-10-29 2132 KD9MS         59  4      KH7M          59  31
QSO: 21265 PH 2017-10-29 2132 KD9MS         59  4      VE6SV         59  04
QSO: 21444 PH 2017-10-29 2134 KD9MS         59  4      8P5A          59  08
QSO: 14212 PH 2017-10-29 2135 KD9MS         59  4      KL7IEH        59  01
QSO: 14207 PH 2017-10-29 2135 KD9MS         59  4      VE4JBB        59  04
QSO: 14201 PH 2017-10-29 2136 KD9MS         59  4      VE3JM         59  04
QSO: 21419 PH 2017-10-29 2139 KD9MS         59  4      CE2WNW        59  12
QSO: 21415 PH 2017-10-29 2140 KD9MS         59  4      ZZ2T          59  11
QSO: 21392 PH 2017-10-29 2143 KD9MS         59  4      CV7S          59  13
QSO:  7137 PH 2017-10-29 2342 KD9MS         59  4      IR4M          59  15
QSO:  7155 PH 2017-10-29 2348 KD9MS         59  4      CN2R          59  33
QSO:  7183 PH 2017-10-29 2352 KD9MS         59  4      6Y1LZ         59  08
QSO:  7229 PH 2017-10-29 2354 KD9MS         59  4      ZF9CW         59  08
QSO:  7236 PH 2017-10-29 2355 KD9MS         59  4      PJ2T          59  09
END-OF-LOG:
