START-OF-LOG: 3.0
CALLSIGN: P49Y
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 5673206
NAME: Andrew L. Faber
LOCATION: DX
OPERATORS: AE6Y
CLUB: Northern California Contest Club
CERTIFICATE: NO
CREATED-BY: CQPWIN VER. 12.9
SOAPBOX: Score is well down from 2015, mainly due to 10m.  But great
SOAPBOX: stateside runs on 40-10 compensated.  Love the Classic category!
QSO: 7218  PH 2017-10-28 0118 P49Y          59  9      W5DAG         59     4
QSO: 7218  PH 2017-10-28 0118 P49Y          59  9      N8CWU         59     4
QSO: 7218  PH 2017-10-28 0118 P49Y          59  9      KE0ITC        59     4
QSO: 7218  PH 2017-10-28 0118 P49Y          59  9      WB4YDY        59     4
QSO: 7218  PH 2017-10-28 0118 P49Y          59  9      K6DTT         59     5
QSO: 7218  PH 2017-10-28 0119 P49Y          59  9      VE3XKZ        59     4
QSO: 7218  PH 2017-10-28 0119 P49Y          59  9      W3VYK         59     5
QSO: 7218  PH 2017-10-28 0119 P49Y          59  9      K0AD          59     4
QSO: 7218  PH 2017-10-28 0119 P49Y          59  9      VA2MP         59     5
QSO: 7218  PH 2017-10-28 0120 P49Y          59  9      N2PEQ         59     5
QSO: 7218  PH 2017-10-28 0120 P49Y          59  9      W3FIZ         59     5
QSO: 7218  PH 2017-10-28 0120 P49Y          59  9      K0KX          59     4
QSO: 7218  PH 2017-10-28 0120 P49Y          59  9      NG3R          59     5
QSO: 7218  PH 2017-10-28 0120 P49Y          59  9      AG9S          59     4
QSO: 7218  PH 2017-10-28 0120 P49Y          59  9      N4KG          59     4
QSO: 7218  PH 2017-10-28 0120 P49Y          59  9      K9PG          59     4
QSO: 7218  PH 2017-10-28 0121 P49Y          59  9      NY3C          59     5
QSO: 7218  PH 2017-10-28 0121 P49Y          59  9      N3ZA          59     5
QSO: 7218  PH 2017-10-28 0121 P49Y          59  9      KN4FRG        59     5
QSO: 7218  PH 2017-10-28 0121 P49Y          59  9      N9MW          59     4
QSO: 7218  PH 2017-10-28 0121 P49Y          59  9      K4RIP         59     4
QSO: 7218  PH 2017-10-28 0122 P49Y          59  9      VC3X          59     4
QSO: 7218  PH 2017-10-28 0122 P49Y          59  9      W2LE          59     5
QSO: 7218  PH 2017-10-28 0122 P49Y          59  9      KB1EFS        59     5
QSO: 7218  PH 2017-10-28 0122 P49Y          59  9      KM2O          59     5
QSO: 7218  PH 2017-10-28 0122 P49Y          59  9      KD2JOE        59     5
QSO: 7218  PH 2017-10-28 0122 P49Y          59  9      K3WW          59     5
QSO: 7218  PH 2017-10-28 0122 P49Y          59  9      W3OU          59     5
QSO: 7218  PH 2017-10-28 0123 P49Y          59  9      W0BR          59     5
QSO: 7218  PH 2017-10-28 0123 P49Y          59  9      K9EXY         59     4
QSO: 7218  PH 2017-10-28 0123 P49Y          59  9      K3PP          59     5
QSO: 7218  PH 2017-10-28 0123 P49Y          59  9      VE3IDT        59     4
QSO: 7218  PH 2017-10-28 0124 P49Y          59  9      KI4LXH        59     5
QSO: 7218  PH 2017-10-28 0124 P49Y          59  9      N4CF          59     5
QSO: 7218  PH 2017-10-28 0124 P49Y          59  9      N7NG          59     4
QSO: 7218  PH 2017-10-28 0124 P49Y          59  9      K8MFO         59     4
QSO: 7218  PH 2017-10-28 0124 P49Y          59  9      WG0U          59     4
QSO: 7218  PH 2017-10-28 0125 P49Y          59  9      N7GCO         59     3
QSO: 7218  PH 2017-10-28 0125 P49Y          59  9      HK3Q          59     9
QSO: 7218  PH 2017-10-28 0125 P49Y          59  9      KA9O          59     4
QSO: 7218  PH 2017-10-28 0125 P49Y          59  9      KB8DEX        59     4
QSO: 7218  PH 2017-10-28 0126 P49Y          59  9      N1JP          59     5
QSO: 7218  PH 2017-10-28 0126 P49Y          59  9      4U1WB         59     5
