START-OF-LOG: 3.0
CALLSIGN: G3PHO
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 17892
NAME: Peter Day
LOCATION: DX
OPERATORS: G3PHO
CLUB: Sheffield & District Wireless Society
CERTIFICATE: NO
CREATED-BY: Win-Test 4.22.0
SOAPBOX: Just giving a few points away and chasing band slots!
QSO:  1869 PH 2017-10-29 1654 G3PHO         59  14     EU4A          59  16     0
QSO: 21156 PH 2017-10-29 1742 G3PHO         59  14     VP2MDG        59  08     0
QSO: 14112 PH 2017-10-29 1747 G3PHO         59  14     VY2ZM         59  05     0
QSO: 14132 PH 2017-10-29 1747 G3PHO         59  14     V26B          59  08     0
QSO: 14115 PH 2017-10-29 1749 G3PHO         59  14     VE3KZ         59  04     0
QSO: 14125 PH 2017-10-29 1750 G3PHO         59  14     TF3AO         59  40     0
QSO: 14125 PH 2017-10-29 1750 G3PHO         59  14     ZF9CW         59  08     0
QSO: 14117 PH 2017-10-29 1812 G3PHO         59  14     FM1HN         59  08     0
QSO: 14157 PH 2017-10-29 1813 G3PHO         59  14     N4PN          59  05     0
QSO: 14173 PH 2017-10-29 1814 G3PHO         59  14     W3UA          59  05     0
QSO: 14122 PH 2017-10-29 1815 G3PHO         59  14     VA2WA         59  05     0
END-OF-LOG:
