START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: HB9MXY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 39105
NAME: Rudolf Alther
LOCATION: DX
CREATED-BY: UcxLog 7.99
SOAPBOX: RIG ICOM-718, 40 watts on 2 element SteppIR resp. traped
SOAPBOX: 40/80 m dipole both antennas 12 m over ground. Tnx for fine
SOAPBOX: contest, hpe cu next year es vy 73 de Rudolf
QSO:  3593 RY 2020-02-08 1932 HB9MXY        599 0035   SN5N          599 0230   0
QSO:  3594 RY 2020-02-08 1934 HB9MXY        599 0036   I4AVG         599 0549   0
QSO:  3601 RY 2020-02-08 1939 HB9MXY        599 0037   IZ0KBR        599 0497   0
QSO:  3604 RY 2020-02-08 1942 HB9MXY        599 0038   S51A          599 0387   0
QSO:  3606 RY 2020-02-08 1945 HB9MXY        599 0039   9A1A          599 0642   0
QSO:  3610 RY 2020-02-08 1947 HB9MXY        599 0040   S57ZT         599 0279   0
QSO:  3614 RY 2020-02-08 1949 HB9MXY        599 0041   EA5HYJ        599 0165   0
QSO:  3600 RY 2020-02-08 1955 HB9MXY        599 0042   HG8R          599 0936   0
QSO:  3597 RY 2020-02-08 2001 HB9MXY        599 0043   DQ6Q          599 0117   0
QSO:  3595 RY 2020-02-08 2005 HB9MXY        599 0044   HG1S          599 0345   0
QSO:  3595 RY 2020-02-08 2006 HB9MXY        599 0045   ED3D          599 0336   0
QSO:  7048 RY 2020-02-08 2015 HB9MXY        599 0046   UT4LW         599 0793   0
QSO:  7056 RY 2020-02-08 2022 HB9MXY        599 0047   EB5A          599 0189   0
QSO:  7056 RY 2020-02-08 2024 HB9MXY        599 0048   EC5V          599 1255   0
QSO:  7061 RY 2020-02-08 2025 HB9MXY        599 0049   UA4M          599 1435   0
QSO:  7061 RY 2020-02-08 2027 HB9MXY        599 0050   EO3Q          599 0023   0
QSO:  3591 RY 2020-02-09 0718 HB9MXY        599 0051   OM0M          599 0749   0
QSO:  3592 RY 2020-02-09 0719 HB9MXY        599 0052   LX20I         599 0683   0
QSO:  3593 RY 2020-02-09 0720 HB9MXY        599 0053   F5OAM         599 0656   0
QSO:  3595 RY 2020-02-09 0721 HB9MXY        599 0054   I2WIJ         599 0913   0
QSO:  3594 RY 2020-02-09 0725 HB9MXY        599 0055   DK0KC         599 0482   0
QSO:  3590 RY 2020-02-09 0728 HB9MXY        599 0056   S56A          599 0410   0
QSO:  3590 RY 2020-02-09 0731 HB9MXY        599 0057   F4FCE         599 0502   0
QSO:  3590 RY 2020-02-09 0733 HB9MXY        599 0058   ON4KEB        599 0010   0
QSO:  3590 RY 2020-02-09 0734 HB9MXY        599 0059   DJ7TW         599 0030   0
QSO:  3590 RY 2020-02-09 0735 HB9MXY        599 0060   LY2W          599 0738   0
QSO:  3590 RY 2020-02-09 0737 HB9MXY        599 0061   TM3Z          599 1237   0
QSO:  3590 RY 2020-02-09 0738 HB9MXY        599 0062   IV3XNF        599 0295   0
QSO:  3590 RY 2020-02-09 0739 HB9MXY        599 0063   DK4VW         599 0103   0
QSO:  3590 RY 2020-02-09 0741 HB9MXY        599 0064   DJ3IW         599 0281   0
QSO:  3590 RY 2020-02-09 0743 HB9MXY        599 0065   F5NKX         599 0006   0
QSO:  3590 RY 2020-02-09 0744 HB9MXY        599 0066   IK2OVT        599 0150   0
QSO:  3590 RY 2020-02-09 0745 HB9MXY        599 0067   OK2CLW        599 0171   0
QSO:  3590 RY 2020-02-09 0746 HB9MXY        599 0068   DL1NEO        599 0337   0
QSO:  3590 RY 2020-02-09 0746 HB9MXY        599 0069   IW3IOD        599 0304   0
QSO:  3590 RY 2020-02-09 0750 HB9MXY        599 0070   DJ9MH         599 0244   0
QSO:  3590 RY 2020-02-09 0753 HB9MXY        599 0071   EB3A          599 0169   0
QSO: 14085 RY 2020-02-09 1355 HB9MXY        599 0072   4L8A          599 0879   0
QSO: 14087 RY 2020-02-09 1358 HB9MXY        599 0073   UX1UX         599 1043   0
QSO: 14095 RY 2020-02-09 1401 HB9MXY        599 0074   UW1M          599 2205   0
QSO: 14096 RY 2020-02-09 1403 HB9MXY        599 0075   CR3DX         599 1317   0
QSO: 14098 RY 2020-02-09 1404 HB9MXY        599 0076   SN7Q          599 1928   0
QSO: 14100 RY 2020-02-09 1406 HB9MXY        599 0077   OH2T          599 1043   0
QSO: 14102 RY 2020-02-09 1408 HB9MXY        599 0078   HG1S          599 0798   0
QSO: 14103 RY 2020-02-09 1411 HB9MXY        599 0079   YU7ZZ         599 0091   0
QSO: 14104 RY 2020-02-09 1413 HB9MXY        599 0080   EM2G          599 0832   0
QSO: 14110 RY 2020-02-09 1417 HB9MXY        599 0081   UY5VA         599 1052   0
QSO: 14111 RY 2020-02-09 1419 HB9MXY        599 0082   9A5D          599 0966   0
QSO: 14114 RY 2020-02-09 1547 HB9MXY        599 0083   EC5V          599 1904   0
QSO: 14116 RY 2020-02-09 1549 HB9MXY        599 0084   IV3JCC        599 0023   0
QSO: 14123 RY 2020-02-09 1603 HB9MXY        599 0085   EA4BAS        599 0491   0
QSO: 14124 RY 2020-02-09 1604 HB9MXY        599 0086   SV1JG         599 0506   0
QSO: 14124 RY 2020-02-09 1605 HB9MXY        599 0087   IV3SKB        599 0742   0
QSO: 14126 RY 2020-02-09 1606 HB9MXY        599 0088   YT2U          599 0543   0
QSO: 14130 RY 2020-02-09 1611 HB9MXY        599 0089   S58J          599 0253   0
QSO: 14134 RY 2020-02-09 1612 HB9MXY        599 0090   NV9L          599 1540   0
QSO: 14137 RY 2020-02-09 1614 HB9MXY        599 0091   S51A          599 0872   0
QSO: 14139 RY 2020-02-09 1615 HB9MXY        599 0092   K4XL          599 0685   0
QSO: 14141 RY 2020-02-09 1617 HB9MXY        599 0093   M0HMJ         599 0449   0
QSO: 14145 RY 2020-02-09 1619 HB9MXY        599 0094   K2LNS         599 0258   0
QSO: 14145 RY 2020-02-09 1620 HB9MXY        599 0095   N3QE          599 1424   0
QSO: 14150 RY 2020-02-09 1626 HB9MXY        599 0096   YT1X          599 0981   0
QSO: 14147 RY 2020-02-09 1629 HB9MXY        599 0097   MI4I          599 0153   0
QSO: 14121 RY 2020-02-09 1647 HB9MXY        599 0098   EA7Z          599 0381   0
QSO: 14117 RY 2020-02-09 1652 HB9MXY        599 0099   OM0M          599 0713   0
QSO: 14112 RY 2020-02-09 1654 HB9MXY        599 0100   CR5O          599 0827   0
QSO: 14105 RY 2020-02-09 1703 HB9MXY        599 0101   W3FV          599 1055   0
QSO: 14099 RY 2020-02-09 1705 HB9MXY        599 0102   EA3HKA        599 0226   0
QSO: 14086 RY 2020-02-09 1711 HB9MXY        599 0103   ED3D          599 0676   0
QSO:  7051 RY 2020-02-09 1719 HB9MXY        599 0104   EN5V          599 0877   0
QSO:  7053 RY 2020-02-09 1725 HB9MXY        599 0105   UZ2I          599 2058   0
QSO:  7053 RY 2020-02-09 1728 HB9MXY        599 0106   UV5U          599 1118   0
QSO:  7053 RY 2020-02-09 1732 HB9MXY        599 0107   OG73X         599 1946   0
QSO:  7054 RY 2020-02-09 1736 HB9MXY        599 0108   EA4GOY        599 0978   0
QSO:  7054 RY 2020-02-09 1737 HB9MXY        599 0109   F5NBX         599 0160   0
QSO:  7055 RY 2020-02-09 1754 HB9MXY        599 0110   EV1R          599 0528   0
QSO:  7057 RY 2020-02-09 1755 HB9MXY        599 0111   OH3FM         599 0878   0
QSO:  7056 RY 2020-02-09 1757 HB9MXY        599 0112   G4ZVB         599 0207   0
QSO:  7059 RY 2020-02-09 1800 HB9MXY        599 0113   EC3A          599 0193   0
QSO:  7058 RY 2020-02-09 1801 HB9MXY        599 0114   G3SNU         599 0199   0
QSO:  7062 RY 2020-02-09 1804 HB9MXY        599 0115   EA3FZT        599 0268   0
QSO:  7065 RY 2020-02-09 1805 HB9MXY        599 0116   LZ6Y          599 1588   0
QSO:  7068 RY 2020-02-09 1810 HB9MXY        599 0117   CR3DX         599 1278   0
QSO:  7073 RY 2020-02-09 1812 HB9MXY        599 0118   LY2W          599 1139   0
QSO:  7064 RY 2020-02-09 1816 HB9MXY        599 0119   F5SDD         599 0165   0
END-OF-LOG:
