START-OF-LOG: 3.0
CONTEST: CQ-WPX-RTTY
CALLSIGN: DL2DWP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 26010
NAME: Klaus Proft
LOCATION: DX
CLUB: BAVARIAN CONTEST CLUB

CREATED-BY: UcxLog 8.01
SOAPBOX: Yaesu FT-817 ND, 5 Watt, indoor magnetic loop, 4m over ground
QSO: 14106 RY 2020-02-09 1400 DL2DWP        599 092    IK2AHB        599 216    0
QSO: 14126 RY 2020-02-09 1407 DL2DWP        599 093    YT5A          599 758    0
QSO: 14132 RY 2020-02-09 1409 DL2DWP        599 094    AN1PM         599 641    0
QSO: 14111 RY 2020-02-09 1413 DL2DWP        599 095    I2WIJ         599 1213   0
QSO: 14111 RY 2020-02-09 1416 DL2DWP        599 096    9A5D          599 961    0
QSO: 14080 RY 2020-02-09 1423 DL2DWP        599 097    F4FDR         599 224    0
QSO: 14088 RY 2020-02-09 1427 DL2DWP        599 098    TA7I          599 487    0
QSO: 14109 RY 2020-02-09 1440 DL2DWP        599 099    LZ4A          599 559    0
QSO: 14118 RY 2020-02-09 1445 DL2DWP        599 100    RG7M          599 082    0
END-OF-LOG:
