START-OF-LOG: 3.0
CALLSIGN: F6IRA
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 32916
NAME: desansac Gilles
LOCATION: DX
OPERATORS: F6IRA
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7523.0
SOAPBOX: Just few hours for fun. Propagation sad as expected.
QSO: 14101 RY 2019-02-09 1740 F6IRA         599 0020   WA7AN         599 0459
QSO: 14101 RY 2019-02-09 1741 F6IRA         599 0021   K0KX          599 0187
QSO: 14102 RY 2019-02-09 1744 F6IRA         599 0022   AA3B          599 1259
QSO: 14102 RY 2019-02-09 1745 F6IRA         599 0023   AA9BD         599 0018
QSO: 14102 RY 2019-02-09 1746 F6IRA         599 0024   AD7XG         599 0126
QSO: 14102 RY 2019-02-09 1747 F6IRA         599 0025   W3ACO         599 0006
QSO: 14102 RY 2019-02-09 1749 F6IRA         599 0026   KE1S          599 0230
QSO: 14102 RY 2019-02-09 1751 F6IRA         599 0027   N4LU          599 0132
QSO: 14102 RY 2019-02-09 1752 F6IRA         599 0028   WQ6K          599 0590
QSO: 14102 RY 2019-02-09 1752 F6IRA         599 0029   N8FYL         599 0015
QSO: 14102 RY 2019-02-09 1753 F6IRA         599 0030   W9ILY         599 0198
QSO: 14102 RY 2019-02-09 1754 F6IRA         599 0031   N6QQ          599 0186
QSO: 14102 RY 2019-02-09 1755 F6IRA         599 0032   NB6U          599 0334
QSO: 14102 RY 2019-02-09 1755 F6IRA         599 0033   W7QDM         599 0265
QSO: 14102 RY 2019-02-09 1756 F6IRA         599 0034   AB4SF         599 0251
QSO: 14102 RY 2019-02-09 1757 F6IRA         599 0035   N8BJQ         599 0501
QSO: 14102 RY 2019-02-09 1758 F6IRA         599 0036   W2DXE         599 0044
QSO: 14102 RY 2019-02-09 1758 F6IRA         599 0037   W4LC          599 0326
QSO: 14102 RY 2019-02-09 1800 F6IRA         599 0038   WK7S          599 0919
QSO: 14102 RY 2019-02-09 1801 F6IRA         599 0039   KO7SS         599 0520
QSO: 14102 RY 2019-02-09 1801 F6IRA         599 0040   K6YK          599 0040
QSO: 14102 RY 2019-02-09 1807 F6IRA         599 0041   KZ5AM         599 0161
QSO: 14102 RY 2019-02-09 1807 F6IRA         599 0042   WS9M          599 0222
QSO: 14102 RY 2019-02-09 1811 F6IRA         599 0043   KF5MU         599 0070
QSO:  7037 RY 2019-02-09 2332 F6IRA         599 0044   N6AR          599 0992
QSO:  7038 RY 2019-02-09 2334 F6IRA         599 0045   KC4WQ         599 0179
QSO:  7038 RY 2019-02-09 2336 F6IRA         599 0046   UX5UO         599 0341
QSO:  7038 RY 2019-02-09 2336 F6IRA         599 0047   LY2W          599 0725
QSO:  7038 RY 2019-02-09 2337 F6IRA         599 0048   OE1T          599 0038
QSO:  7038 RY 2019-02-09 2337 F6IRA         599 0049   TA7I          599 0341
QSO:  7038 RY 2019-02-09 2338 F6IRA         599 0050   K0KX          599 0287
QSO:  7038 RY 2019-02-09 2338 F6IRA         599 0051   KS4AA         599 0246
QSO:  7038 RY 2019-02-09 2340 F6IRA         599 0052   WS6X          599 0491
QSO:  7038 RY 2019-02-09 2341 F6IRA         599 0053   KH6KG/W5      599 0144
QSO:  7038 RY 2019-02-09 2341 F6IRA         599 0054   WJ2D          599 0309
QSO:  7038 RY 2019-02-09 2342 F6IRA         599 0055   W2VTV         599 0192
QSO:  7038 RY 2019-02-09 2342 F6IRA         599 0056   AA3B          599 1526
QSO:  7038 RY 2019-02-09 2343 F6IRA         599 0057   WV4P          599 0529
QSO:  7038 RY 2019-02-09 2346 F6IRA         599 0058   N2AMG         599 0030
QSO:  7038 RY 2019-02-09 2346 F6IRA         599 0059   OH2HAN        599 0870
QSO:  7038 RY 2019-02-09 2347 F6IRA         599 0060   7Z1SJ         599 0312
QSO:  7038 RY 2019-02-09 2348 F6IRA         599 0061   W3GVX         599 0021
QSO:  7038 RY 2019-02-09 2349 F6IRA         599 0062   WN4AF         599 0186
QSO:  7038 RY 2019-02-09 2349 F6IRA         599 0063   W4UK          599 0293
QSO:  7038 RY 2019-02-09 2352 F6IRA         599 0064   UV7V          599 0521
QSO:  7038 RY 2019-02-09 2357 F6IRA         599 0065   IT9RGY/4      599 0803
QSO:  7038 RY 2019-02-09 2358 F6IRA         599 0066   CO2RQ         599 0240
QSO:  7038 RY 2019-02-10 0001 F6IRA         599 0067   SQ6ELV        599 0185
QSO:  7038 RY 2019-02-10 0002 F6IRA         599 0068   UR6QS         599 0306
QSO:  7038 RY 2019-02-10 0004 F6IRA         599 0069   UR4LG         599 0300
QSO:  7038 RY 2019-02-10 0004 F6IRA         599 0070   SP9MZH        599 0094
QSO:  7038 RY 2019-02-10 0005 F6IRA         599 0071   N4UP          599 0244
QSO:  7038 RY 2019-02-10 0006 F6IRA         599 0072   N8CWU         599 0485
QSO:  7038 RY 2019-02-10 0006 F6IRA         599 0073   W3KB          599 0110
QSO:  7038 RY 2019-02-10 0007 F6IRA         599 0074   K4WW          599 0372
QSO:  7038 RY 2019-02-10 0010 F6IRA         599 0075   LY5W          599 0596
QSO:  7038 RY 2019-02-10 0010 F6IRA         599 0076   OK2EA         599 0275
QSO:  7038 RY 2019-02-10 0012 F6IRA         599 0077   KP3LH         599 0224
QSO:  7038 RY 2019-02-10 0013 F6IRA         599 0078   VE2FXL        599 0398
QSO:  7038 RY 2019-02-10 0013 F6IRA         599 0079   K2UF          599 0147
QSO:  7038 RY 2019-02-10 0015 F6IRA         599 0080   WQ5L          599 0164
QSO:  7038 RY 2019-02-10 0016 F6IRA         599 0081   K4MI          599 0090
QSO:  7038 RY 2019-02-10 0017 F6IRA         599 0082   OK2FD         599 0321
QSO:  7038 RY 2019-02-10 0018 F6IRA         599 0083   K4XL          599 0134
QSO:  7038 RY 2019-02-10 0019 F6IRA         599 0084   K1BZ          599 0102
QSO:  7038 RY 2019-02-10 0020 F6IRA         599 0085   SQ7CL         599 0378
QSO:  7038 RY 2019-02-10 0021 F6IRA         599 0086   V31YN         599 0541
QSO:  7038 RY 2019-02-10 0022 F6IRA         599 0087   K4GM          599 0344
QSO:  7038 RY 2019-02-10 0022 F6IRA         599 0088   SP3DIK        599 0124
QSO:  7038 RY 2019-02-10 0023 F6IRA         599 0089   WM5DX         599 0533
QSO:  7038 RY 2019-02-10 0023 F6IRA         599 0090   RW3LB         599 0297
QSO:  7038 RY 2019-02-10 0024 F6IRA         599 0091   NA1S          599 0123
QSO:  7038 RY 2019-02-10 0025 F6IRA         599 0092   K8RGI/4       599 0303
QSO:  7038 RY 2019-02-10 0027 F6IRA         599 0093   OM3IAG        599 0257
QSO:  7038 RY 2019-02-10 0028 F6IRA         599 0094   US6CQ         599 0314
QSO:  7038 RY 2019-02-10 0029 F6IRA         599 0095   SP6EIY        599 0282
QSO:  7038 RY 2019-02-10 0029 F6IRA         599 0096   IZ5EME        599 0079
QSO:  7038 RY 2019-02-10 0030 F6IRA         599 0097   YO6HSU        599 0470
QSO:  7038 RY 2019-02-10 0031 F6IRA         599 0098   Z33A          599 0170
QSO:  7038 RY 2019-02-10 0033 F6IRA         599 0099   OE1CIW        599 0174
QSO:  7038 RY 2019-02-10 0033 F6IRA         599 0100   DG0RO         599 0391
END-OF-LOG:
