START-OF-LOG: 3.0
CALLSIGN: K6ST
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 13416
NAME: Barry Bettman
LOCATION: NV
OPERATORS: K6ST
CLUB: Northern California Contest Club
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7523.0
SOAPBOX: Fun part-time small pistol station, 20m was quite good
QSO: 14107 RY 2019-02-10 1933 K6ST          599 0080   NR3X          599 0260
QSO: 14094 RY 2019-02-10 1942 K6ST          599 0081   W3GH          599 1741
QSO: 14096 RY 2019-02-10 1945 K6ST          599 0082   VE2RYY        599 0776
QSO: 14101 RY 2019-02-10 1950 K6ST          599 0083   K2RB          599 0531
QSO: 14117 RY 2019-02-10 2032 K6ST          599 0084   VE6BBP        599 0738
QSO: 14084 RY 2019-02-10 2034 K6ST          599 0085   WS6X          599 0961
QSO: 14088 RY 2019-02-10 2035 K6ST          599 0086   AA5AU         599 1090
QSO: 14111 RY 2019-02-10 2037 K6ST          599 0087   VA5AA         599 0460
QSO: 21081 RY 2019-02-10 2049 K6ST          599 0088   NR4M          599 0219
QSO: 14102 RY 2019-02-10 2138 K6ST          599 0089   NR4M          599 1040
QSO: 14113 RY 2019-02-10 2145 K6ST          599 0090   K9CT          599 1282
QSO: 14120 RY 2019-02-10 2149 K6ST          599 0091   KK9A          599 1937
QSO: 14124 RY 2019-02-10 2151 K6ST          599 0092   WC2L          599 0331
QSO: 14080 RY 2019-02-10 2152 K6ST          599 0093   N5HC          599 1113
QSO: 14091 RY 2019-02-10 2157 K6ST          599 0094   K0AD          599 0476
QSO: 14095 RY 2019-02-10 2158 K6ST          599 0095   AA3B          599 2236
QSO: 14096 RY 2019-02-10 2159 K6ST          599 0096   AK9D          599 0922
QSO: 14096 RY 2019-02-10 2159 K6ST          599 0097   W5PF          599 0670
QSO: 14102 RY 2019-02-10 2201 K6ST          599 0098   N0XR          599 0973
QSO: 14127 RY 2019-02-10 2204 K6ST          599 0099   AB0RX         599 1480
QSO: 14083 RY 2019-02-10 2207 K6ST          599 0100   N8CWU         599 0760
QSO: 14087 RY 2019-02-10 2208 K6ST          599 0101   VE5MX         599 2175
QSO: 14112 RY 2019-02-10 2210 K6ST          599 0102   WK1Q          599 1549
END-OF-LOG:
