START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: IW5EDI
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 14094
NAME: Simone
CLUB:
CERTIFICATE: YES
CREATED-BY: RUMlogNG (4.0.5) by DL2RUM
SOAPBOX: Few time to dedicate, but just wanted to take part.
QSO:  7023 CW 2018-11-25 0840 IW5EDI        599 15     K1KI          599 5      0
QSO:  7042 CW 2018-11-25 0857 IW5EDI        599 15     K1LZ          599 5      0
QSO:  7019 CW 2018-11-25 0900 IW5EDI        599 15     N2IC          599 5      0
QSO:  7002 CW 2018-11-25 0909 IW5EDI        599 15     OH0Z          599 15     0
QSO:  7025 CW 2018-11-25 1122 IW5EDI        599 15     E71CQ         599 15     0
QSO:  7005 CW 2018-11-25 1124 IW5EDI        599 15     OK2RZ         599 15     0
QSO:  7006 CW 2018-11-25 1125 IW5EDI        599 15     OK6DJ         599 15     0
QSO:  7007 CW 2018-11-25 1127 IW5EDI        599 15     F5MUX         599 14     0
QSO:  7010 CW 2018-11-25 1128 IW5EDI        599 15     GM5A          599 14     0
QSO:  7011 CW 2018-11-25 1135 IW5EDI        599 15     9A9R          599 15     0
QSO:  7012 CW 2018-11-25 1136 IW5EDI        599 15     S50A          599 15     0
QSO:  7014 CW 2018-11-25 1136 IW5EDI        599 15     DL7UXG        599 14     0
QSO:  7015 CW 2018-11-25 1138 IW5EDI        599 15     TM1T          599 14     0
QSO:  7015 CW 2018-11-25 1146 IW5EDI        599 15     G3V           599 14     0
QSO:  7017 CW 2018-11-25 1149 IW5EDI        599 15     RZ3DJ         599 16     0
QSO:  7018 CW 2018-11-25 1152 IW5EDI        599 15     YL2SM         599 15     0
QSO:  7019 CW 2018-11-25 1156 IW5EDI        599 15     HB1UQB        599 14     0
QSO:  7023 CW 2018-11-25 1159 IW5EDI        599 15     YR100R        599 20     0
QSO:  7024 CW 2018-11-25 1200 IW5EDI        599 15     M6T           599 14     0
QSO:  7029 CW 2018-11-25 1202 IW5EDI        599 15     SN8B          599 15     0
QSO:  7030 CW 2018-11-25 1203 IW5EDI        599 15     YT7A          599 15     0
QSO:  7012 CW 2018-11-25 1207 IW5EDI        599 15     YT5W          599 15     0
QSO: 14000 CW 2018-11-25 1454 IW5EDI        599 15     K8AZ          599 4      0
QSO: 14002 CW 2018-11-25 1456 IW5EDI        599 15     W4CB          599 5      0
QSO: 14005 CW 2018-11-25 1457 IW5EDI        599 15     M2G           599 14     0
QSO: 14006 CW 2018-11-25 1458 IW5EDI        599 15     MD4K          599 14     0
QSO: 14010 CW 2018-11-25 1501 IW5EDI        599 15     G3V           599 14     0
QSO: 14012 CW 2018-11-25 1504 IW5EDI        599 15     K0RF          599 4      0
QSO: 14014 CW 2018-11-25 1508 IW5EDI        599 15     N2SR          599 5      0
QSO: 14024 CW 2018-11-25 1628 IW5EDI        599 15     WY3A          599 5      0
QSO: 14060 CW 2018-11-25 1634 IW5EDI        599 15     VE2EKA        599 2      0
QSO: 14061 CW 2018-11-25 1653 IW5EDI        599 15     PY0F          599 11     0
QSO: 14025 CW 2018-11-25 1655 IW5EDI        599 15     W3LPL         599 5      0
QSO: 14033 CW 2018-11-25 1656 IW5EDI        599 15     VE3EJ         599 4      0
QSO: 14046 CW 2018-11-25 1659 IW5EDI        599 15     W1KM          599 5      0
QSO: 14113 CW 2018-11-25 1701 IW5EDI        599 15     K9CT          599 4      0
QSO: 14051 CW 2018-11-25 1704 IW5EDI        599 15     P33W          599 20     0
QSO:  3544 CW 2018-11-25 1717 IW5EDI        599 15     RA9Y          599 18     0
QSO:  3561 CW 2018-11-25 1718 IW5EDI        599 15     OL3E          599 15     0
QSO:  3547 CW 2018-11-25 1721 IW5EDI        599 15     S57AL         599 15     0
QSO:  3545 CW 2018-11-25 1722 IW5EDI        599 15     OH5Z          599 15     0
QSO:  3543 CW 2018-11-25 1723 IW5EDI        599 15     EA6FO         599 14     0
QSO:  7062 CW 2018-11-25 1735 IW5EDI        599 15     VK2IA         599 30     0
QSO:  7046 CW 2018-11-25 1737 IW5EDI        599 15     VK6LW         599 29     0
QSO:  7042 CW 2018-11-25 1746 IW5EDI        599 15     RT0C          599 19     0
QSO:  7064 CW 2018-11-25 1749 IW5EDI        599 15     BD7DT         599 24     0
QSO:  7043 CW 2018-11-25 1755 IW5EDI        599 15     UA2FZ         599 15     0
QSO:  7019 CW 2018-11-25 1801 IW5EDI        599 15     BA7NQ         599 24     0
QSO:  7042 CW 2018-11-25 1811 IW5EDI        599 15     E2A           599 26     0
QSO:  7024 CW 2018-11-25 1813 IW5EDI        599 15     JA6SHL        599 25     0
QSO:  7014 CW 2018-11-25 1814 IW5EDI        599 15     JE6RPM        599 25     0
QSO:  7006 CW 2018-11-25 1815 IW5EDI        599 15     IH9/OK6RA     599 33     0
QSO:  7032 CW 2018-11-25 1831 IW5EDI        599 15     AH2R          599 27     0
QSO:  7001 CW 2018-11-25 1839 IW5EDI        599 15     P33W          599 20     0
QSO:  7046 CW 2018-11-25 1843 IW5EDI        599 15     A61K          599 21     0
QSO:  7066 CW 2018-11-25 1847 IW5EDI        599 15     JA7ZFN        599 25     0
QSO:  7064 CW 2018-11-25 1850 IW5EDI        599 15     JH4UTP        599 25     0
QSO:  7048 CW 2018-11-25 1909 IW5EDI        599 15     A44A          599 21     0
QSO:  7005 CW 2018-11-25 2019 IW5EDI        599 15     JR4OZR        599 25     0
QSO:  7000 CW 2018-11-25 2048 IW5EDI        599 15     BY8AC         599 24     0
QSO:  7063 CW 2018-11-25 2051 IW5EDI        599 15     FY5KE         599 9      0
QSO:  7084 CW 2018-11-25 2055 IW5EDI        599 15     D41CV         599 35     0
QSO:  7082 CW 2018-11-25 2059 IW5EDI        599 15     4X6FR         599 20     0
QSO:  7042 CW 2018-11-25 2110 IW5EDI        599 15     OZ2TF         599 14     0
END-OF-LOG:
