START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: W9YK
LOCATION: IL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 106066
NAME: E F Todd Benson
OPERATORS: W9YK
CLUB: Society of Midwest Contesters
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7342.0
SOAPBOX: great to hear continuous tones from around the world!
QSO: 14020 CW 2018-11-24 1348 W9YK          599 4      9A1A          599 15
QSO: 14020 CW 2018-11-24 1349 W9YK          599 4      OZ5E          599 14
QSO: 14018 CW 2018-11-24 1349 W9YK          599 4      S50K          599 15
QSO: 14018 CW 2018-11-24 1350 W9YK          599 4      IR6T          599 15
QSO: 14017 CW 2018-11-24 1350 W9YK          599 4      S51YI         599 15
QSO: 14017 CW 2018-11-24 1351 W9YK          599 4      PA8AD         599 14
QSO: 14016 CW 2018-11-24 1352 W9YK          599 4      GU3HFN        599 14
QSO: 14015 CW 2018-11-24 1352 W9YK          599 4      NC1CC         599 05
QSO: 14013 CW 2018-11-24 1353 W9YK          599 4      PJ2T          599 09
QSO: 14013 CW 2018-11-24 1354 W9YK          599 4      EA3MR         599 14
QSO: 14012 CW 2018-11-24 1355 W9YK          599 4      S57DX         599 15
QSO: 14008 CW 2018-11-24 1356 W9YK          599 4      S57AW         599 15
QSO: 14007 CW 2018-11-24 1357 W9YK          599 4      SN5N          599 15
QSO: 14007 CW 2018-11-24 1358 W9YK          599 4      GM3X          599 14
QSO: 14007 CW 2018-11-24 1358 W9YK          599 4      DD1A          599 14
QSO: 14005 CW 2018-11-24 1359 W9YK          599 4      YT5A          599 15
QSO: 14003 CW 2018-11-24 1401 W9YK          599 4      EW8W          599 16
QSO: 14004 CW 2018-11-24 1401 W9YK          599 4      II9P          599 15
QSO: 14010 CW 2018-11-24 1404 W9YK          599 4      TM3R          599 14
QSO: 14019 CW 2018-11-24 1405 W9YK          599 4      9A2AJ         599 15
QSO: 14022 CW 2018-11-24 1406 W9YK          599 4      HB9BQL        599 14
QSO: 14025 CW 2018-11-24 1407 W9YK          599 4      HA8A          599 15
QSO: 14025 CW 2018-11-24 1408 W9YK          599 4      DR4A          599 14
QSO: 14056 CW 2018-11-24 1434 W9YK          599 4      G9W           599 14
QSO: 14057 CW 2018-11-24 1436 W9YK          599 4      IQ5NN         599 15
QSO: 14057 CW 2018-11-24 1437 W9YK          599 4      F4FFZ         599 14
QSO: 14057 CW 2018-11-24 1438 W9YK          599 4      IZ8EFD        599 15
QSO: 14058 CW 2018-11-24 1439 W9YK          599 4      HG8R          599 15
QSO: 14059 CW 2018-11-24 1440 W9YK          599 4      XE2X          599 06
QSO: 14061 CW 2018-11-24 1441 W9YK          599 4      IZ8FWN        599 15
QSO: 14061 CW 2018-11-24 1442 W9YK          599 4      UT4U          599 16
QSO: 14061 CW 2018-11-24 1551 W9YK          599 4      OR2M          599 14
QSO: 14064 CW 2018-11-24 1551 W9YK          599 4      VE2FK         599 05
QSO: 14065 CW 2018-11-24 1553 W9YK          599 4      DL4UNY        599 14
QSO: 14067 CW 2018-11-24 1553 W9YK          599 4      IO5O          599 15
QSO: 14073 CW 2018-11-24 1554 W9YK          599 4      LX7I          599 14
QSO: 14074 CW 2018-11-24 1556 W9YK          599 4      S53EO         599 15
QSO: 14002 CW 2018-11-24 1556 W9YK          599 4      CN3A          599 33
QSO: 14003 CW 2018-11-24 1557 W9YK          599 4      N7AT          599 03
QSO: 14009 CW 2018-11-24 1600 W9YK          599 4      EC2DX         599 14
QSO: 14011 CW 2018-11-24 1603 W9YK          599 4      CR5O          599 14
QSO: 14013 CW 2018-11-24 1604 W9YK          599 4      DL1T          599 14
QSO: 14014 CW 2018-11-24 1605 W9YK          599 4      6V7A          599 35
QSO: 14016 CW 2018-11-24 1606 W9YK          599 4      VY1AAA        599 01
QSO: 14022 CW 2018-11-24 1618 W9YK          599 4      EA1DAV        599 14
QSO: 14024 CW 2018-11-24 1623 W9YK          599 4      VE6SV         599 04
QSO: 14025 CW 2018-11-24 1624 W9YK          599 4      DJ5I          599 14
QSO: 14028 CW 2018-11-24 1624 W9YK          599 4      IR4M          599 15
QSO: 14030 CW 2018-11-24 1627 W9YK          599 4      EA5KV         599 14
QSO: 14031 CW 2018-11-24 1631 W9YK          599 4      9H6A          599 15
QSO: 14035 CW 2018-11-24 1632 W9YK          599 4      M6T           599 14
QSO: 14039 CW 2018-11-24 1633 W9YK          599 4      DP7D          599 14
QSO: 14059 CW 2018-11-24 1646 W9YK          599 4      J8NY          599 08
QSO: 14060 CW 2018-11-24 1647 W9YK          599 4      EA1AOQ        599 14
QSO: 14061 CW 2018-11-24 1648 W9YK          599 4      YU5R          599 15
QSO: 14062 CW 2018-11-24 1650 W9YK          599 4      GW4J          599 14
QSO: 14063 CW 2018-11-24 1651 W9YK          599 4      EA3DU         599 14
QSO: 14065 CW 2018-11-24 1652 W9YK          599 4      EF5T          599 14
QSO: 14066 CW 2018-11-24 1652 W9YK          599 4      EA3ICJ        599 14
QSO: 14068 CW 2018-11-24 1655 W9YK          599 4      EA8/GU4YOX    599 33
QSO: 14069 CW 2018-11-24 1655 W9YK          599 4      CR3X          599 33
QSO: 14079 CW 2018-11-24 1656 W9YK          599 4      EA5RS         599 14
QSO: 14080 CW 2018-11-24 1657 W9YK          599 4      9Y4/VE3EY     599 09
QSO: 14081 CW 2018-11-24 1659 W9YK          599 4      VE2EKA        599 02
QSO: 14061 CW 2018-11-24 1816 W9YK          599 4      UA4M          599 16
QSO: 14057 CW 2018-11-24 1823 W9YK          599 4      KP3Z          599 08
QSO: 14056 CW 2018-11-24 1824 W9YK          599 4      DM4X          599 14
QSO: 14054 CW 2018-11-24 1825 W9YK          599 4      VP2EAB        599 08
QSO: 14049 CW 2018-11-24 1931 W9YK          599 4      6Y3T          599 08
QSO: 14047 CW 2018-11-24 1932 W9YK          599 4      EF8R          599 33
QSO: 14039 CW 2018-11-24 1934 W9YK          599 4      PJ4Q          599 09
QSO: 14033 CW 2018-11-24 1936 W9YK          599 4      IB9A          599 15
QSO: 14004 CW 2018-11-24 2044 W9YK          599 4      CR3DX         599 33
QSO: 14018 CW 2018-11-24 2048 W9YK          599 4      VP2EAQ        599 08
QSO: 14024 CW 2018-11-24 2051 W9YK          599 4      PJ4A          599 09
QSO: 14029 CW 2018-11-24 2053 W9YK          599 4      OH8X          599 15
QSO: 14030 CW 2018-11-24 2053 W9YK          599 4      OG7A          599 15
QSO: 14032 CW 2018-11-24 2055 W9YK          599 4      PJ4K          599 09
QSO: 14034 CW 2018-11-24 2056 W9YK          599 4      VP9I          599 05
QSO: 14042 CW 2018-11-24 2106 W9YK          599 4      TI7W          599 07
QSO: 14050 CW 2018-11-24 2108 W9YK          599 4      TO5A          599 08
QSO: 14052 CW 2018-11-24 2113 W9YK          599 4      VE7SCC        599 03
QSO: 14059 CW 2018-11-24 2116 W9YK          599 4      RL3A          599 16
QSO: 14060 CW 2018-11-24 2117 W9YK          599 4      OH5Z          599 15
QSO: 14062 CW 2018-11-24 2121 W9YK          599 4      VP2V/WJ2O     599 08
QSO: 14059 CW 2018-11-24 2125 W9YK          599 4      C6AQQ         599 08
QSO:  7026 CW 2018-11-24 2151 W9YK          599 4      OR2M          599 14
QSO:  7016 CW 2018-11-24 2156 W9YK          599 4      CF3A          599 04
QSO:  7007 CW 2018-11-24 2248 W9YK          599 4      TK0C          599 15
QSO:  7023 CW 2018-11-24 2305 W9YK          599 4      SN2B          599 15
QSO:  7025 CW 2018-11-24 2306 W9YK          599 4      YT1HA         599 15
QSO:  7030 CW 2018-11-24 2310 W9YK          599 4      9A1A          599 15
QSO:  7032 CW 2018-11-24 2312 W9YK          599 4      EC2DX         599 14
QSO:  7043 CW 2018-11-24 2315 W9YK          599 4      CR3W          599 33
QSO:  7049 CW 2018-11-24 2353 W9YK          599 4      EA3DU         599 14
QSO:  7057 CW 2018-11-25 0116 W9YK          599 4      V47T          599 08
QSO:  7054 CW 2018-11-25 0125 W9YK          599 4      FY5KE         599 09
QSO:  7039 CW 2018-11-25 0134 W9YK          599 4      J8NY          599 08
QSO:  7018 CW 2018-11-25 0141 W9YK          599 4      CN3A          599 33
QSO:  7012 CW 2018-11-25 0143 W9YK          599 4      ZW8T          599 11
QSO:  3527 CW 2018-11-25 0149 W9YK          599 4      K4PV          599 05
QSO:  3535 CW 2018-11-25 0153 W9YK          599 4      N1MM          599 05
QSO:  3532 CW 2018-11-25 0311 W9YK          599 4      LZ9W          599 20
QSO:  3531 CW 2018-11-25 0312 W9YK          599 4      TM6M          599 14
QSO:  3534 CW 2018-11-25 0320 W9YK          599 4      9A1A          599 15
QSO:  3538 CW 2018-11-25 0323 W9YK          599 4      VE7VR         599 03
QSO:  3541 CW 2018-11-25 0324 W9YK          599 4      TK0C          599 15
QSO:  3530 CW 2018-11-25 0341 W9YK          599 4      OM2VL         599 15
QSO:  3524 CW 2018-11-25 0344 W9YK          599 4      II9P          599 15
QSO:  3526 CW 2018-11-25 0844 W9YK          599 4      GM2V          599 14
QSO:  3530 CW 2018-11-25 0846 W9YK          599 4      TI7W          599 07
QSO:  3522 CW 2018-11-25 0848 W9YK          599 4      VP9I          599 05
QSO:  3519 CW 2018-11-25 0849 W9YK          599 4      6Y3T          599 08
QSO:  3517 CW 2018-11-25 0850 W9YK          599 4      VA7ST         599 03
QSO:  3521 CW 2018-11-25 0851 W9YK          599 4      PJ4K          599 09
QSO:  3533 CW 2018-11-25 0854 W9YK          599 4      GM5X          599 14
QSO:  3536 CW 2018-11-25 0855 W9YK          599 4      PJ2T          599 09
QSO:  7035 CW 2018-11-25 0859 W9YK          599 4      PJ2T          599 09
QSO:  7022 CW 2018-11-25 0902 W9YK          599 4      VP2EAB        599 08
QSO:  7028 CW 2018-11-25 1308 W9YK          599 4      KH7B          599 31
QSO:  7027 CW 2018-11-25 1308 W9YK          599 4      VE3MGY        599 04
QSO:  7025 CW 2018-11-25 1309 W9YK          599 4      LN8W          599 14
QSO:  7021 CW 2018-11-25 1310 W9YK          599 4      VE3CX         599 04
QSO:  7003 CW 2018-11-25 1313 W9YK          599 4      V31MA         599 07
QSO:  7044 CW 2018-11-25 1316 W9YK          599 4      JH8YOH        599 25
QSO: 14041 CW 2018-11-25 1320 W9YK          599 4      G3VMW         599 14
QSO: 14041 CW 2018-11-25 1320 W9YK          599 4      TK0C          599 15
QSO: 14041 CW 2018-11-25 1321 W9YK          599 4      CN8KD         599 33
QSO: 14047 CW 2018-11-25 1322 W9YK          599 4      OM7JG         599 15
QSO: 14051 CW 2018-11-25 1323 W9YK          599 4      P33W          599 20
QSO: 14055 CW 2018-11-25 1327 W9YK          599 4      DF0HQ         599 14
QSO: 14056 CW 2018-11-25 1328 W9YK          599 4      LN8W          599 14
QSO: 14064 CW 2018-11-25 1420 W9YK          599 4      VE9CB         599 05
QSO: 14067 CW 2018-11-25 1422 W9YK          599 4      OK7Y          599 15
QSO: 14071 CW 2018-11-25 1531 W9YK          599 4      IK0YUT        599 15
QSO: 14070 CW 2018-11-25 1532 W9YK          599 4      Z3B           599 15
QSO: 14065 CW 2018-11-25 1533 W9YK          599 4      EI0R          599 14
QSO: 14065 CW 2018-11-25 1534 W9YK          599 4      FG/F6ARC      599 08
QSO: 14053 CW 2018-11-25 1535 W9YK          599 4      MD4K          599 14
QSO: 14050 CW 2018-11-25 1536 W9YK          599 4      DK0TU         599 14
QSO: 14048 CW 2018-11-25 1537 W9YK          599 4      G3DR          599 14
QSO: 14047 CW 2018-11-25 1537 W9YK          599 4      G4R           599 14
QSO: 14046 CW 2018-11-25 1538 W9YK          599 4      GM2V          599 14
QSO: 14045 CW 2018-11-25 1539 W9YK          599 4      HA9RT         599 15
QSO: 14043 CW 2018-11-25 1539 W9YK          599 4      LZ9W          599 20
QSO: 21029 CW 2018-11-25 1542 W9YK          599 4      IR4M          599 15
QSO: 21030 CW 2018-11-25 1542 W9YK          599 4      PJ2T          599 09
QSO: 21037 CW 2018-11-25 1543 W9YK          599 4      DJ5I          599 14
QSO: 21040 CW 2018-11-25 1544 W9YK          599 4      J8NY          599 08
QSO: 21046 CW 2018-11-25 1550 W9YK          599 4      VP2EAB        599 08
QSO: 21047 CW 2018-11-25 1551 W9YK          599 4      TO1A          599 09
QSO: 21054 CW 2018-11-25 1552 W9YK          599 4      PJ4A          599 09
QSO: 21055 CW 2018-11-25 1553 W9YK          599 4      OX3XR         599 40
QSO: 21059 CW 2018-11-25 1600 W9YK          599 4      NP2P          599 08
QSO: 21052 CW 2018-11-25 1602 W9YK          599 4      CR3W          599 33
QSO: 21051 CW 2018-11-25 1602 W9YK          599 4      M3I           599 14
QSO: 21031 CW 2018-11-25 1619 W9YK          599 4      V26K          599 08
QSO: 21026 CW 2018-11-25 1620 W9YK          599 4      CR3X          599 33
QSO: 21020 CW 2018-11-25 1621 W9YK          599 4      6Y3T          599 08
QSO: 21014 CW 2018-11-25 1622 W9YK          599 4      CR3DX         599 33
QSO: 21012 CW 2018-11-25 1623 W9YK          599 4      CN3A          599 33
QSO: 21036 CW 2018-11-25 1742 W9YK          599 4      D41CV         599 35
QSO: 21040 CW 2018-11-25 1757 W9YK          599 4      HH2AA         599 08
QSO: 21038 CW 2018-11-25 1807 W9YK          599 4      KP4EJ         599 08
QSO: 21028 CW 2018-11-25 1809 W9YK          599 4      K2YY          599 03
QSO: 21030 CW 2018-11-25 1821 W9YK          599 4      VP2V/WJ2O     599 08
END-OF-LOG:
