START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: DJ7PRM
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 13916
NAME: Harald
OPERATORS: DJ7PRM
CLUB: DARC F74
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7342.0
SOAPBOX: QRP was fun again. Hope my CW was good enough.
QSO: 14049 CW 2018-11-25 2059 DJ7PRM        599 14     HG8R          599 15
QSO:  3534 CW 2018-11-25 2117 DJ7PRM        599 14     YT1R          599 15
QSO:  3504 CW 2018-11-25 2138 DJ7PRM        599 14     OK1HMP        599 15
QSO:  1811 CW 2018-11-25 2158 DJ7PRM        599 14     LY4A          599 16
QSO:  1818 CW 2018-11-25 2207 DJ7PRM        599 14     G3TXF         599 14
QSO:  1826 CW 2018-11-25 2213 DJ7PRM        599 14     G4IIY         599 14
QSO:  1829 CW 2018-11-25 2217 DJ7PRM        599 14     OZ5E          599 14
QSO:  1836 CW 2018-11-25 2227 DJ7PRM        599 14     LN8W          599 14
QSO:  1834 CW 2018-11-25 2233 DJ7PRM        599 14     MW5B          599 14
QSO:  3503 CW 2018-11-25 2237 DJ7PRM        599 14     OK1AXB        599 15
QSO:  3503 CW 2018-11-25 2238 DJ7PRM        599 14     M6T           599 14
QSO:  3504 CW 2018-11-25 2240 DJ7PRM        599 14     OG60F         599 15
QSO:  3507 CW 2018-11-25 2245 DJ7PRM        599 14     OL1C          599 15
QSO:  3509 CW 2018-11-25 2247 DJ7PRM        599 14     OH0Z          599 15
QSO:  3510 CW 2018-11-25 2250 DJ7PRM        599 14     PI4COM        599 14
QSO:  3511 CW 2018-11-25 2252 DJ7PRM        599 14     OK1DJS        599 15
QSO:  7022 CW 2018-11-25 2254 DJ7PRM        599 14     LY2XW         599 15
QSO:  7001 CW 2018-11-25 2301 DJ7PRM        599 14     OH5Z          599 15
QSO:  7003 CW 2018-11-25 2303 DJ7PRM        599 14     LZ7A          599 20
QSO:  7007 CW 2018-11-25 2308 DJ7PRM        599 14     OL9Z          599 15
QSO:  7009 CW 2018-11-25 2312 DJ7PRM        599 14     RL3A          599 16
QSO:  7012 CW 2018-11-25 2316 DJ7PRM        599 14     TM6M          599 14
QSO:  7012 CW 2018-11-25 2319 DJ7PRM        599 14     YT1HA         599 15
QSO:  7015 CW 2018-11-25 2321 DJ7PRM        599 14     HA8A          599 15
QSO:  7017 CW 2018-11-25 2323 DJ7PRM        599 14     UI2F          599 15
QSO:  7070 CW 2018-11-25 2336 DJ7PRM        599 14     EA5EL         599 14
QSO:  7072 CW 2018-11-25 2337 DJ7PRM        599 14     EA5RS         599 14
QSO:  7079 CW 2018-11-25 2343 DJ7PRM        599 14     OH0V          599 15
QSO:  7097 CW 2018-11-25 2348 DJ7PRM        599 14     EA5KM         599 14
QSO:  7113 CW 2018-11-25 2349 DJ7PRM        599 14     YO2LEA        599 20
QSO:  7111 CW 2018-11-25 2351 DJ7PRM        599 14     LY5W          599 15
QSO:  7029 CW 2018-11-25 2359 DJ7PRM        599 14     II9P          599 15
END-OF-LOG:
