START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: K7HV
LOCATION: WWA
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 36575
NAME: John Parnell
OPERATORS: K7HV
CLUB: Western Washington DX Club
CERTIFICATE: NO
CREATED-BY:
SOAPBOX: More fun than I thought for the solar minimum
QSO:  7081 CW 2018-11-24 0643 K7HV     599 03     PY2EL         599 11
QSO:  7057 CW 2018-11-24 0639 K7HV     599 03     HQ9X          599 07
QSO:  7052 CW 2018-11-24 0637 K7HV     599 03     KP2M          599 08
QSO:  7064 CW 2018-11-24 0557 K7HV     599 03     TI7W          599 07
QSO:  7063 CW 2018-11-24 0547 K7HV     599 03     FM5EJ         599 08
QSO:  7008 CW 2018-11-24 0517 K7HV     599 03     ZW8T          599 11
QSO:  7048 CW 2018-11-24 0416 K7HV     599 03     PJ4Q          599 09
QSO:  3513 CW 2018-11-24 0129 K7HV     599 03     XE2B          599 06
QSO: 14041 CW 2018-11-24 0043 K7HV     599 03     RU0LL         599 19
QSO: 14040 CW 2018-11-24 0024 K7HV     599 03     CE2LR         599 12
QSO: 14007 CW 2018-11-24 0013 K7HV     599 03     JE6RPM        599 25
QSO: 14026 CW 2018-11-24 0002 K7HV     599 03     KH7B          599 31
END-OF-LOG:
