START-OF-LOG: 3.0
CATEGORY: Single-OP low
CONTEST: WAE SSB
ARRL-SECTION: NH
LOCATION: NH
CALLSIGN: W1AKI
CLUB:
CLAIMED-SCORE: 4416
OPERATORS: W1AKI
ADDRESS-CITY: Nashua
ADDRESS-STATE-PROVINCE: NH
ADDRESS-POSTALCODE: 03063
ADDRESS-COUNTRY: UNITED STATES
CREATED-BY: N1MM Logger+ 1.0.8647.0 (AND NOTEPAD), modified by DXHF upload.
QSO: 14164 PH 2020-09-12 2207 W1AKI         59  0021   F5RAG         59  0097
QSO:  7172 PH 2020-09-12 2250 W1AKI         59  0022   IW1FRU        59  0411
QSO:  7179 PH 2020-09-12 2251 W1AKI         59  0023   G6MC          59  0497
QSO:  7152 PH 2020-09-12 2255 W1AKI         59  0024   9A5Y          59  0749
QSO:  7199 PH 2020-09-12 2257 W1AKI         59  0025   DF0HQ         59  0750
QSO:  7147 PH 2020-09-12 2312 W1AKI         59  0026   DJ5AN         59  0238
QSO: 14254 PH 2020-09-13 1129 W1AKI         59  0027   ES5TV         59  0992
QSO: 14233 PH 2020-09-13 1413 W1AKI         59  0028   DL2SAX        59  1161
QSO: 14224 PH 2020-09-13 1415 W1AKI         59  0029   SP8R          59  1094
QSO: 14200 PH 2020-09-13 1426 W1AKI         59  0030   EB5A          59  1083
QSO: 14228 PH 2020-09-13 1700 W1AKI         59  0031   DJ7EO         59  0903
QTC: 14228 PH 2020-09-13 1700 DJ7EO         1/10       W1AKI         0013 DL2SAX        0056
QTC: 14228 PH 2020-09-13 1700 DJ7EO         1/10       W1AKI         0019 DR1D          0059
QTC: 14228 PH 2020-09-13 1701 DJ7EO         1/10       W1AKI         0029 LX7I          0094
QTC: 14228 PH 2020-09-13 1701 DJ7EO         1/10       W1AKI         0038 OM3BH         0111
QTC: 14228 PH 2020-09-13 1701 DJ7EO         1/10       W1AKI         0047 EA2W          0054
QTC: 14228 PH 2020-09-13 1702 DJ7EO         1/10       W1AKI         0105 E7DX          0176
QTC: 14228 PH 2020-09-13 1702 DJ7EO         1/10       W1AKI         1809 EA2W          0474
QTC: 14228 PH 2020-09-13 1702 DJ7EO         1/10       W1AKI         1811 CT7ANO        0025
QTC: 14228 PH 2020-09-13 1702 DJ7EO         1/10       W1AKI         2045 S50R          0175
QTC: 14228 PH 2020-09-13 1702 DJ7EO         1/10       W1AKI         2048 EF1A          0117
QSO: 14210 PH 2020-09-13 1710 W1AKI         59  0032   EA1L          59  0222
QTC: 14210 PH 2020-09-13 1710 EA1L          2/10       W1AKI         0231 LZ9W          0000
QTC: 14210 PH 2020-09-13 1711 EA1L          2/10       W1AKI         2045 S50R          0175
QTC: 14210 PH 2020-09-13 1711 EA1L          2/10       W1AKI         2048 EF1A          0117
QTC: 14210 PH 2020-09-13 1711 EA1L          2/10       W1AKI         2050 IW1FRU        0304
QTC: 14210 PH 2020-09-13 1712 EA1L          2/10       W1AKI         2051 II2S          0855
QTC: 14210 PH 2020-09-13 1712 EA1L          2/10       W1AKI         2055 F8KGM         0630
QTC: 14210 PH 2020-09-13 1712 EA1L          2/10       W1AKI         2106 E7DX          0960
QTC: 14210 PH 2020-09-13 1712 EA1L          2/10       W1AKI         2124 RA3CO         0745
QTC: 14210 PH 2020-09-13 1712 EA1L          2/10       W1AKI         2129 RW2F          0172
QTC: 14210 PH 2020-09-13 1713 EA1L          2/10       W1AKI         2132 SP8R          0812
QSO: 14236 PH 2020-09-13 1715 W1AKI         59  0033   DR1D          59  1417
QSO: 14225 PH 2020-09-13 1720 W1AKI         59  0034   LX7I          59  1616
QTC: 14225 PH 2020-09-13 1721 LX7I          3/10       W1AKI         2149 GW9J          0064
QTC: 14225 PH 2020-09-13 1721 LX7I          3/10       W1AKI         2156 YL7X          0565
QTC: 14225 PH 2020-09-13 1721 LX7I          3/10       W1AKI         2207 F5RAG         0097
QTC: 14225 PH 2020-09-13 1721 LX7I          3/10       W1AKI         2250 IW1FRU        0411
QTC: 14225 PH 2020-09-13 1722 LX7I          3/10       W1AKI         2251 G6MC          0497
QTC: 14225 PH 2020-09-13 1722 LX7I          3/10       W1AKI         2255 9A5Y          0749
QTC: 14225 PH 2020-09-13 1722 LX7I          3/10       W1AKI         2257 DF0HQ         0750
QTC: 14225 PH 2020-09-13 1723 LX7I          3/10       W1AKI         2312 DJ5AN         0238
QTC: 14225 PH 2020-09-13 1723 LX7I          3/10       W1AKI         1129 ES5TV         0992
QTC: 14225 PH 2020-09-13 1724 LX7I          3/10       W1AKI         1413 DL2SAX        1161
QSO: 14249 PH 2020-09-13 1731 W1AKI         59  0035   9A5Y          59  1086
QTC: 14249 PH 2020-09-13 1732 9A5Y          4/6        W1AKI         1415 SP8R          1094
QTC: 14249 PH 2020-09-13 1733 9A5Y          4/6        W1AKI         1426 EB5A          1083
QTC: 14249 PH 2020-09-13 1734 9A5Y          4/6        W1AKI         1700 DJ7EO         0903
QTC: 14249 PH 2020-09-13 1734 9A5Y          4/6        W1AKI         1710 EA1L          0222
QTC: 14249 PH 2020-09-13 1734 9A5Y          4/6        W1AKI         1715 DR1D          1417
QTC: 14249 PH 2020-09-13 1734 9A5Y          4/6        W1AKI         1720 LX7I          1616
END-OF-LOG:
