START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: VK3FM
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
CREATED-BY: MixW 3.1.1
NAME: Ernie Walls
SOAPBOX: As always, lots of signals on 20 and 40, even far downunder.
QSO: 14113 RY 2015-09-27 0621 VK3FM         599 30  DX  DL3BQA         599 14 DX
QSO: 14095 RY 2015-09-27 0630 VK3FM         599 30  DX  ON4CT          599 14 DX
QSO: 14094 RY 2015-09-27 0631 VK3FM         599 30  DX  OJ0DX          599 15 DX
QSO: 14091 RY 2015-09-27 0633 VK3FM         599 30  DX  DJ90IARU       599 14 DX
QSO: 14085 RY 2015-09-27 0635 VK3FM         599 30  DX  OK2SFP         599 15 DX
QSO: 14084 RY 2015-09-27 0636 VK3FM         599 30  DX  SP2YWL         599 15 DX
QSO: 14084 RY 2015-09-27 0638 VK3FM         599 30  DX  DP7D           599 14 DX
QSO: 14079 RY 2015-09-27 0641 VK3FM         599 30  DX  IW3RUA         599 15 DX
QSO: 14124 RY 2015-09-27 0643 VK3FM         599 30  DX  F6FDR          599 14 DX
QSO: 14120 RY 2015-09-27 0645 VK3FM         599 30  DX  IZ8EFD         599 15 DX
QSO: 14119 RY 2015-09-27 0647 VK3FM         599 30  DX  RO9A           599 17 DX
QSO: 14118 RY 2015-09-27 0650 VK3FM         599 30  DX  DL0WRTC        599 14 DX
QSO: 14116 RY 2015-09-27 0652 VK3FM         599 30  DX  UR7CT          599 16 DX
QSO: 14113 RY 2015-09-27 0654 VK3FM         599 30  DX  RG5R           599 16 DX
QSO: 14111 RY 2015-09-27 0656 VK3FM         599 30  DX  IQ2CJ          599 15 DX
QSO: 14111 RY 2015-09-27 0657 VK3FM         599 30  DX  OQ4T           599 14 DX
QSO: 14104 RY 2015-09-27 0702 VK3FM         599 30  DX  HA8BE          599 15 DX
QSO: 14100 RY 2015-09-27 0704 VK3FM         599 30  DX  YQ6A           599 20 DX
QSO: 14094 RY 2015-09-27 0711 VK3FM         599 30  DX  UW0K           599 16 DX
QSO: 14090 RY 2015-09-27 0720 VK3FM         599 30  DX  S51AF          599 15 DX
QSO: 14085 RY 2015-09-27 0723 VK3FM         599 30  DX  4O3A           599 15 DX
QSO: 14083 RY 2015-09-27 0725 VK3FM         599 30  DX  CS5CRE         599 14 DX
QSO: 14082 RY 2015-09-27 0726 VK3FM         599 30  DX  IK4DCX         599 15 DX
QSO: 14079 RY 2015-09-27 0729 VK3FM         599 30  DX  UR0HQ          599 16 DX
QSO: 14127 RY 2015-09-27 0735 VK3FM         599 30  DX  OH5C           599 15 DX
QSO: 14115 RY 2015-09-27 0744 VK3FM         599 30  DX  G2F            599 14 DX
QSO: 14103 RY 2015-09-27 0750 VK3FM         599 30  DX  DK3GI          599 14 DX
QSO: 14103 RY 2015-09-27 0752 VK3FM         599 30  DX  SG5G           599 14 DX
QSO: 14101 RY 2015-09-27 0754 VK3FM         599 30  DX  EI7M           599 14 DX
QSO: 14097 RY 2015-09-27 0755 VK3FM         599 30  DX  DL7CX          599 14 DX
QSO: 14095 RY 2015-09-27 0758 VK3FM         599 30  DX  RA3Y           599 16 DX
QSO: 14082 RY 2015-09-27 0809 VK3FM         599 30  DX  ES1O           599 15 DX
QSO: 14112 RY 2015-09-27 0814 VK3FM         599 30  DX  SQ5IRO         599 15 DX
QSO: 14108 RY 2015-09-27 0826 VK3FM         599 30  DX  OZ1JTE         599 14 DX
QSO:  7030 RY 2015-09-27 0959 VK3FM         599 30  DX  N0NI           599 04 IA
QSO:  7033 RY 2015-09-27 1003 VK3FM         599 30  DX  P49X           599 09 DX
QSO:  7033 RY 2015-09-27 1004 VK3FM         599 30  DX  W3LL           599 05 MD
QSO:  7044 RY 2015-09-27 1007 VK3FM         599 30  DX  W9SN           599 04 TN
QSO:  7047 RY 2015-09-27 1010 VK3FM         599 30  DX  W4PK           599 05 VA
QSO:  7049 RY 2015-09-27 1013 VK3FM         599 30  DX  KU4V           599 05 NC
QSO:  7048 RY 2015-09-27 1032 VK3FM         599 30  DX  VY2LI          599 05 PE
QSO:  7045 RY 2015-09-27 1037 VK3FM         599 30  DX  K9CT           599 04 IL
QSO:  7034 RY 2015-09-27 1041 VK3FM         599 30  DX  N7AT           599 03 AZ
QSO:  7039 RY 2015-09-27 1050 VK3FM         599 30  DX  N1MGO          599 05 MA
QSO:  7042 RY 2015-09-27 1054 VK3FM         599 30  DX  AH6KO          599 31 DX
QSO:  7047 RY 2015-09-27 1057 VK3FM         599 30  DX  K0BJ           599 04 KS
QSO:  7054 RY 2015-09-27 1059 VK3FM         599 30  DX  W4TTY          599 05 VA
QSO:  7036 RY 2015-09-27 1254 VK3FM         599 30  DX  W0GJ           599 04 IA
QSO:  7038 RY 2015-09-27 1300 VK3FM         599 30  DX  W7RN           599 03 NV
QSO:  7049 RY 2015-09-27 1305 VK3FM         599 30  DX  WN6K           599 03 NV
QSO:  7052 RY 2015-09-27 1306 VK3FM         599 30  DX  N7DXT          599 04 MT
QSO:  7038 RY 2015-09-27 1352 VK3FM         599 30  DX  XE2CQ          599 06 DX
END-OF-LOG:
