START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-DX
CALLSIGN: DF6PK
OPERATORS: DF6PK
CATEGORY: B02
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: LOW
CLAIMED-SCORE: 4379
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2023.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2023-12-16&ID=DF6PK
SOAPBOX: Source category label: B02 - Single Operator, All Bands, Mixed, Low Power.
SOAPBOX: Published QSO count: 85.
QSO: 21007 CW 2023-12-17 1343 DF6PK         599 0075 28    OH1NA         599 0000 18   
QSO: 21010 CW 2023-12-17 1344 DF6PK         599 0076 28    LZ1JZ         599 0000 28   
QSO: 21019 CW 2023-12-17 1344 DF6PK         599 0077 28    RN3BL         599 0000 29   
QSO: 21039 CW 2023-12-17 1347 DF6PK         599 0078 28    UC7A          599 0000 29   
QSO: 21042 CW 2023-12-17 1348 DF6PK         599 0079 28    W1KM          599 0000 08   
QSO: 21045 CW 2023-12-17 1349 DF6PK         599 0080 28    AA3B          599 0000 08   
QSO: 21049 CW 2023-12-17 1350 DF6PK         599 0081 28    UW5IM         599 0000 29   
QSO: 21024 CW 2023-12-17 1354 DF6PK         599 0082 28    NA8V          599 0000 08   
QSO: 21025 CW 2023-12-17 1355 DF6PK         599 0083 28    UR5ECW        599 0000 29   
QSO: 14011 CW 2023-12-17 1357 DF6PK         599 0084 28    SP8SWM        599 0000 28   
QSO: 14022 CW 2023-12-17 1359 DF6PK         599 0085 28    LA8HGA        599 0000 18   
END-OF-LOG:
