START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WPX-CW
CALLSIGN:      GW0VSW
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-ASSISTED:  NON-ASSISTED
CERTIFICATE:   YES
CATEGORY-BAND: ALL
CATEGORY-POWER:  QRP
CATEGORY-MODE: CW
CATEGORY-STATION:  FIXED
CATEGORY-TRANSMITTER:  ONE
CLUB:          RSGB CONTEST CLUB
LOCATION:      DX
CLAIMED-SCORE: 143429
NAME:          Carl Mason
OPERATORS:     GW0VSW
SOAPBOX:       Thanks to everyone who managed to copy my 5w
QSO: 14000 CW 2019-05-25 1449 GW0VSW        599  077   SP8PAI        599  730
QSO: 14000 CW 2019-05-25 1451 GW0VSW        599  078   LY2XW         599 1126
QSO: 14000 CW 2019-05-25 1457 GW0VSW        599  079   MU1K          599  357
QSO: 14000 CW 2019-05-25 1459 GW0VSW        599  080   OK5Z          599 1381
QSO: 14000 CW 2019-05-25 1500 GW0VSW        599  081   DD7CW         599  256
QSO: 28000 CW 2019-05-25 1506 GW0VSW        599  082   DM6V          599 1120
QSO: 28000 CW 2019-05-25 1508 GW0VSW        599  083   OK7Y          599  565
QSO: 28000 CW 2019-05-25 1510 GW0VSW        599  084   DL0UM         599  606
QSO: 28000 CW 2019-05-25 1511 GW0VSW        599  085   OT2X          599  178
QSO: 28000 CW 2019-05-25 1523 GW0VSW        599  086   EF5Y          599 1192
QSO: 21000 CW 2019-05-25 1525 GW0VSW        599  087   DP4X          599  160
QSO: 21000 CW 2019-05-25 1526 GW0VSW        599  088   OZ5E          599  414
QSO: 21000 CW 2019-05-25 1527 GW0VSW        599  089   HG7T          599  453
QSO: 21000 CW 2019-05-25 1529 GW0VSW        599  090   9A5Y          599 1197
QSO: 21000 CW 2019-05-25 1533 GW0VSW        599  091   9A3IH         599  202
QSO: 21000 CW 2019-05-25 1536 GW0VSW        599  092   OL3E          599  318
QSO: 21000 CW 2019-05-25 1539 GW0VSW        599  093   F8DGY         599  738
QSO: 21000 CW 2019-05-25 1543 GW0VSW        599  094   OK7Y          599  611
QSO: 21000 CW 2019-05-25 1544 GW0VSW        599  095   OL250VEK      599  135
QSO: 28000 CW 2019-05-25 1547 GW0VSW        599  096   LY5W          599  511
QSO: 28000 CW 2019-05-25 1549 GW0VSW        599  097   DL5YL         599  250
QSO: 28000 CW 2019-05-25 1555 GW0VSW        599  098   SQ6ELV        599  063
QSO: 14000 CW 2019-05-25 1607 GW0VSW        599  099   SN2B          599 1756
QSO: 14000 CW 2019-05-25 1609 GW0VSW        599  100   9A5Y          599 1259
QSO: 14000 CW 2019-05-25 1612 GW0VSW        599  101   CN2CO         599 1470
QSO: 14000 CW 2019-05-25 1615 GW0VSW        599  102   DR0W          599 1699
QSO: 14000 CW 2019-05-25 1618 GW0VSW        599  103   DQ2C          599  933
QSO: 14000 CW 2019-05-25 1620 GW0VSW        599  104   RT5G          599  624
QSO: 14000 CW 2019-05-25 1623 GW0VSW        599  105   IR2Q          599 1146
QSO: 14000 CW 2019-05-25 1631 GW0VSW        599  106   OM0M          599  983
QSO: 14000 CW 2019-05-25 1638 GW0VSW        599  107   HB90TOC       599  528
QSO: 14000 CW 2019-05-25 1640 GW0VSW        599  108   HB7X          599 1251
QSO: 14000 CW 2019-05-25 1642 GW0VSW        599  109   S53M          599  837
QSO: 14000 CW 2019-05-25 1643 GW0VSW        599  110   LY2W          599  647
QSO: 28000 CW 2019-05-25 1647 GW0VSW        599  111   CN3A          599  591
QSO: 28000 CW 2019-05-25 1649 GW0VSW        599  112   SO3O          599  085
QSO: 21000 CW 2019-05-25 1656 GW0VSW        599  113   DL5YL         599  338
QSO: 21000 CW 2019-05-25 1658 GW0VSW        599  114   F6AGM         599  158
QSO: 21000 CW 2019-05-25 1659 GW0VSW        599  115   OL1C          599 1165
QSO: 21000 CW 2019-05-25 1702 GW0VSW        599  116   EA3IN         599  056
QSO: 14000 CW 2019-05-25 1718 GW0VSW        599  117   DK3WW         599  816
QSO: 14000 CW 2019-05-25 1721 GW0VSW        599  118   HG1R          599  583
QSO: 14000 CW 2019-05-25 1725 GW0VSW        599  119   EU1WW         599 1562
QSO: 14000 CW 2019-05-25 1733 GW0VSW        599  120   EU1DX         599  446
QSO: 14000 CW 2019-05-25 1736 GW0VSW        599  121   HA8A          599 1366
QSO: 14000 CW 2019-05-25 1737 GW0VSW        599  122   PA0CMU        599  090
QSO: 14000 CW 2019-05-25 1742 GW0VSW        599  123   S573G         599 1194
QSO: 14000 CW 2019-05-25 1747 GW0VSW        599  124   HG3N          599 1003
QSO: 14000 CW 2019-05-25 1755 GW0VSW        599  125   OK2D          599 1659
QSO: 14000 CW 2019-05-25 1801 GW0VSW        599  126   DL0UM         599  793
QSO: 14000 CW 2019-05-25 1803 GW0VSW        599  127   RW7K          599 1293
QSO: 14000 CW 2019-05-25 1808 GW0VSW        599  128   IO3Y          599  990
QSO: 14000 CW 2019-05-25 1810 GW0VSW        599  129   DP6A          599 1242
QSO: 14000 CW 2019-05-25 1818 GW0VSW        599  130   P33W          599 1792
QSO: 14000 CW 2019-05-25 1823 GW0VSW        599  131   OL3E          599  441
QSO: 14000 CW 2019-05-25 1826 GW0VSW        599  132   DD1A          599 1443
QSO:  7000 CW 2019-05-25 1839 GW0VSW        599  133   DR50DIG       599  240
QSO:  7000 CW 2019-05-25 1844 GW0VSW        599  134   SN3A          599 1062
QSO:  7000 CW 2019-05-25 1851 GW0VSW        599  135   DA2X          599 1167
QSO:  3500 CW 2019-05-25 1855 GW0VSW        599  136   ON5WL         599  075
QSO: 14000 CW 2019-05-25 1902 GW0VSW        599  137   OL8M          599 1309
QSO: 14000 CW 2019-05-25 1903 GW0VSW        599  138   YT5A          599 1229
QSO: 14000 CW 2019-05-25 1905 GW0VSW        599  139   DL5YM         599  617
QSO: 14000 CW 2019-05-25 1907 GW0VSW        599  140   UD4F          599 1339
QSO: 14000 CW 2019-05-25 1908 GW0VSW        599  141   R2AA          599 2159
QSO: 14000 CW 2019-05-25 1911 GW0VSW        599  142   LZ9W          599 1362
QSO: 14000 CW 2019-05-25 1912 GW0VSW        599  143   IR4X          599 2065
QSO: 14000 CW 2019-05-25 1915 GW0VSW        599  144   YO3APJ        599 1030
QSO: 14000 CW 2019-05-25 1916 GW0VSW        599  145   IB9T          599 1283
QSO: 14000 CW 2019-05-25 1917 GW0VSW        599  146   S57DX         599 1036
QSO: 14000 CW 2019-05-25 1919 GW0VSW        599  147   HA3DX         599  716
QSO: 14000 CW 2019-05-25 1920 GW0VSW        599  148   UR3HC         599  462
QSO: 14000 CW 2019-05-25 1924 GW0VSW        599  149   SW9WW         559  549
QSO:  3500 CW 2019-05-25 2236 GW0VSW        599  150   MM3AWD        599  745
QSO:  3500 CW 2019-05-25 2238 GW0VSW        599  151   DL0UM         599 1066
QSO:  3500 CW 2019-05-25 2240 GW0VSW        599  152   M0HMJ         599  171
QSO:  3500 CW 2019-05-25 2242 GW0VSW        599  153   OH8A          599  252
QSO:  3500 CW 2019-05-25 2243 GW0VSW        599  154   OK4C          599  434
QSO:  3500 CW 2019-05-25 2245 GW0VSW        599  155   LY3B          599  430
QSO:  3500 CW 2019-05-25 2251 GW0VSW        599  156   J42L          599 1596
QSO:  3500 CW 2019-05-25 2256 GW0VSW        599  157   SE4E          599  911
QSO:  3500 CW 2019-05-25 2259 GW0VSW        599  158   EF5Y          599 1812
QSO:  3500 CW 2019-05-25 2306 GW0VSW        599  159   SM0HRP        599 1172
QSO:  3500 CW 2019-05-25 2307 GW0VSW        599  160   CN3A          599  566
QSO:  3500 CW 2019-05-25 2310 GW0VSW        599  161   GM4X          599  340
QSO:  3500 CW 2019-05-25 2318 GW0VSW        599  162   DL19RIC       599  489
QSO:  3500 CW 2019-05-25 2319 GW0VSW        599  163   DD0CC         599  358
QSO:  3500 CW 2019-05-25 2325 GW0VSW        599  164   HB9DHG        599  375
QSO:  3500 CW 2019-05-25 2326 GW0VSW        599  165   G4R           599 1284
QSO:  3500 CW 2019-05-25 2328 GW0VSW        599  166   OL9R          599  611
QSO:  3500 CW 2019-05-25 2331 GW0VSW        599  167   OG0C          599  354
QSO:  3500 CW 2019-05-25 2334 GW0VSW        599  168   SP1NY         599 1270
QSO:  3500 CW 2019-05-25 2337 GW0VSW        599  169   OE6MMD        599  361
QSO:  3500 CW 2019-05-25 2339 GW0VSW        599  170   3Z0X          599  568
QSO:  1800 CW 2019-05-25 2343 GW0VSW        599  171   LN8W          599  568
QSO:  1800 CW 2019-05-25 2354 GW0VSW        599  172   EF2A          599  203
QSO:  7000 CW 2019-05-26 0007 GW0VSW        599  173   K1LZ          599 1149
QSO:  7000 CW 2019-05-26 0009 GW0VSW        599  174   KQ2M          599 1661
QSO:  7000 CW 2019-05-26 0013 GW0VSW        599  175   KQ1F          599 1023
QSO:  7000 CW 2019-05-26 0022 GW0VSW        599  176   VC2W          599 1962
QSO:  7000 CW 2019-05-26 0026 GW0VSW        599  177   EF3W          599 1179
QSO:  7000 CW 2019-05-26 0027 GW0VSW        599  178   KC1XX         599 1193
QSO:  7000 CW 2019-05-26 0029 GW0VSW        599  179   VA2EW         599 1910
QSO:  7000 CW 2019-05-26 0031 GW0VSW        599  180   HA4FB         599  525
QSO:  7000 CW 2019-05-26 0034 GW0VSW        599  181   AC5O          599 1100
QSO:  7000 CW 2019-05-26 0035 GW0VSW        599  182   NW1P          599 2187
QSO:  7000 CW 2019-05-26 0038 GW0VSW        599  183   K3ZO          599 1083
QSO:  7000 CW 2019-05-26 0043 GW0VSW        599  184   9A5Y          599 2045
QSO:  7000 CW 2019-05-26 0051 GW0VSW        599  185   VE9AA         599  973
QSO:  7000 CW 2019-05-26 0055 GW0VSW        599  186   TM6M          599 2290
QSO:  7000 CW 2019-05-26 0103 GW0VSW        599  187   SP8R          599 1073
QSO:  7000 CW 2019-05-26 0107 GW0VSW        599  188   CN3A          599 1340
QSO:  7000 CW 2019-05-26 0114 GW0VSW        599  189   5B/RN3QO      599 1450
QSO:  7000 CW 2019-05-26 0119 GW0VSW        599  190   9A7A          599 2626
QSO:  7000 CW 2019-05-26 0127 GW0VSW        599  191   UY0ZG         599  673
QSO:  7000 CW 2019-05-26 0132 GW0VSW        599  192   EW5Z          599 1856
QSO:  7000 CW 2019-05-26 0134 GW0VSW        599  193   OH0V          599 1972
QSO:  7000 CW 2019-05-26 0136 GW0VSW        599  194   DG5E          599 1136
QSO:  7000 CW 2019-05-26 0148 GW0VSW        599  195   HB5E          599  706
QSO:  7000 CW 2019-05-26 0151 GW0VSW        599  196   DL3ANK        599  776
QSO:  7000 CW 2019-05-26 0153 GW0VSW        599  197   HA01FF        599 1057
QSO:  3500 CW 2019-05-26 0202 GW0VSW        599  198   CN2CO         599 2595
QSO:  3500 CW 2019-05-26 0204 GW0VSW        599  199   LN8W          599  513
QSO:  3500 CW 2019-05-26 0213 GW0VSW        599  200   M0P           599  150
QSO:  3500 CW 2019-05-26 0219 GW0VSW        599  201   HG8K          599  754
QSO:  3500 CW 2019-05-26 0224 GW0VSW        599  202   II9P          599 2788
QSO:  3500 CW 2019-05-26 0225 GW0VSW        599  203   S53M          599  367
QSO:  3500 CW 2019-05-26 0227 GW0VSW        599  204   OM3BH         599 2324
QSO:  3500 CW 2019-05-26 0229 GW0VSW        599  205   OL3Z          599  717
QSO:  3500 CW 2019-05-26 0232 GW0VSW        599  206   SN2B          599 2571
QSO:  3500 CW 2019-05-26 0234 GW0VSW        599  207   CR3DX         599 2484
QSO:  3500 CW 2019-05-26 0237 GW0VSW        599  208   M6T           599 1762
QSO:  3500 CW 2019-05-26 0238 GW0VSW        599  209   OM7M          599  386
QSO:  3500 CW 2019-05-26 0243 GW0VSW        599  210   SO9M          599  582
QSO:  3500 CW 2019-05-26 0246 GW0VSW        599  211   HB90TOC       599  779
QSO:  3500 CW 2019-05-26 0248 GW0VSW        599  212   EU4E          599  767
QSO:  3500 CW 2019-05-26 0251 GW0VSW        599  213   9A7A          599 2784
QSO:  3500 CW 2019-05-26 0253 GW0VSW        599  214   VY2TT         599 2447
QSO:  3500 CW 2019-05-26 0255 GW0VSW        599  215   CR6K          599 2145
QSO:  3500 CW 2019-05-26 0258 GW0VSW        599  216   HA1AG         599 2174
QSO:  3500 CW 2019-05-26 0307 GW0VSW        599  217   EF5Y          599 2127
QSO:  3500 CW 2019-05-26 0325 GW0VSW        599  218   LX7I          599  485
QSO:  3500 CW 2019-05-26 0330 GW0VSW        599  219   EA5KA         599 2724
QSO:  7000 CW 2019-05-26 0333 GW0VSW        599  220   TM0R          599 1571
QSO:  7000 CW 2019-05-26 0336 GW0VSW        599  221   OM4Y          599 1732
QSO:  7000 CW 2019-05-26 0340 GW0VSW        599  222   LX7I          599 1339
QSO:  7000 CW 2019-05-26 0342 GW0VSW        599  223   IR4X          599 2843
QSO:  7000 CW 2019-05-26 0344 GW0VSW        599  224   SN2M          599 1402
QSO:  7000 CW 2019-05-26 0348 GW0VSW        599  225   HB90TOC       599  814
QSO:  7000 CW 2019-05-26 0352 GW0VSW        599  226   LZ5R          599 4101
QSO:  7000 CW 2019-05-26 0354 GW0VSW        599  227   S59ABC        599 1891
QSO:  7000 CW 2019-05-26 0359 GW0VSW        599  228   IR7T          599 2465
QSO:  7000 CW 2019-05-26 0423 GW0VSW        599  229   PA3AAV        599 1328
QSO:  7000 CW 2019-05-26 0424 GW0VSW        599  230   EF8R          599 2561
QSO:  7000 CW 2019-05-26 0426 GW0VSW        599  231   OL1C          599 1834
QSO:  7000 CW 2019-05-26 0432 GW0VSW        599  232   WP4X          599 4186
QSO:  7000 CW 2019-05-26 0441 GW0VSW        599  233   EF5Y          599 2244
QSO:  7000 CW 2019-05-26 0446 GW0VSW        599  234   HG7T          599 1075
QSO:  3500 CW 2019-05-26 0454 GW0VSW        599  235   K1LZ          599  671
QSO:  3500 CW 2019-05-26 0457 GW0VSW        599  236   G4BUE         599  402
QSO:  7000 CW 2019-05-26 0503 GW0VSW        599  237   NW7R          599 1963
QSO:  7000 CW 2019-05-26 0506 GW0VSW        599  238   OH9W          599 2025
QSO:  7000 CW 2019-05-26 0535 GW0VSW        599  239   OV3X          599  817
QSO:  7000 CW 2019-05-26 0541 GW0VSW        599  240   ES7A          599 2215
QSO:  7000 CW 2019-05-26 0544 GW0VSW        599  241   HB7X          599 1673
QSO:  7000 CW 2019-05-26 0549 GW0VSW        599  242   F5IN          599 1427
QSO:  7000 CW 2019-05-26 0552 GW0VSW        599  243   SN2B          599 2749
QSO:  7000 CW 2019-05-26 0555 GW0VSW        599  244   CR3DX         599 2707
QSO:  7000 CW 2019-05-26 0558 GW0VSW        599  245   EA5KA         599 2921
QSO: 28000 CW 2019-05-26 1201 GW0VSW        599  246   OM7M          599  210
QSO: 28000 CW 2019-05-26 1206 GW0VSW        599  247   DD5DD         599  055
QSO: 21000 CW 2019-05-26 1210 GW0VSW        599  248   SP5AUY        599  584
QSO: 14000 CW 2019-05-26 1212 GW0VSW        599  249   S52C          599 2149
QSO: 14000 CW 2019-05-26 1218 GW0VSW        599  250   R7AB          599 1574
QSO: 14000 CW 2019-05-26 1221 GW0VSW        599  251   SP8R          599 1760
QSO: 14000 CW 2019-05-26 1228 GW0VSW        599  252   DM2X          599 1278
QSO: 14000 CW 2019-05-26 1237 GW0VSW        599  253   DD2ML         599  952
QSO: 14000 CW 2019-05-26 1239 GW0VSW        599  254   DA2X          599 2258
QSO: 14000 CW 2019-05-26 1241 GW0VSW        599  255   S52NR         599  690
QSO: 14000 CW 2019-05-26 1244 GW0VSW        599  256   OL1C          599 2211
QSO: 14000 CW 2019-05-26 1247 GW0VSW        599  257   UI2K          599 1553
QSO: 14000 CW 2019-05-26 1251 GW0VSW        599  258   HG6O          599 1731
QSO: 14000 CW 2019-05-26 1253 GW0VSW        599  259   HG1S          599 1359
QSO:  7000 CW 2019-05-26 1304 GW0VSW        599  260   S52AW         599 1614
QSO:  7000 CW 2019-05-26 1310 GW0VSW        599  261   G4PIQ         599  083
QSO: 28000 CW 2019-05-26 1325 GW0VSW        599  262   S51KD         599  490
QSO: 28000 CW 2019-05-26 1334 GW0VSW        599  263   S57U          599  435
QSO: 28000 CW 2019-05-26 1345 GW0VSW        599  264   S53EO         599  527
QSO: 28000 CW 2019-05-26 1348 GW0VSW        599  265   LZ5QZ         599  171
QSO: 28000 CW 2019-05-26 1350 GW0VSW        599  266   S54G          599  050
QSO: 28000 CW 2019-05-26 1352 GW0VSW        599  267   DO4DXA        599  466
QSO: 28000 CW 2019-05-26 1357 GW0VSW        599  268   LZ1RW         599  208
QSO: 28000 CW 2019-05-26 1402 GW0VSW        599  269   LZ9W          599 1092
QSO: 28000 CW 2019-05-26 1407 GW0VSW        599  270   9A7A          599 3590
QSO: 28000 CW 2019-05-26 1409 GW0VSW        599  271   IK0YUT        599  486
QSO: 28000 CW 2019-05-26 1411 GW0VSW        599  272   LX7I          599  210
QSO: 21000 CW 2019-05-26 1416 GW0VSW        599  273   LZ19ECC       599  760
QSO: 21000 CW 2019-05-26 1418 GW0VSW        599  274   S57J          599  252
QSO: 21000 CW 2019-05-26 1419 GW0VSW        599  275   IO3Y          599 1767
QSO: 21000 CW 2019-05-26 1424 GW0VSW        599  276   4U73B         599 1108
QSO: 21000 CW 2019-05-26 1431 GW0VSW        599  277   9A0BB         599 2240
QSO: 21000 CW 2019-05-26 1434 GW0VSW        599  278   YU1EW         599  152
QSO: 21000 CW 2019-05-26 1439 GW0VSW        599  279   DK1NO         599  278
QSO: 21000 CW 2019-05-26 1442 GW0VSW        599  280   OK2D          599 2721
QSO: 21000 CW 2019-05-26 1444 GW0VSW        599  281   DR0W          599 3587
QSO: 21000 CW 2019-05-26 1446 GW0VSW        599  282   IR4X          599 3815
QSO: 14000 CW 2019-05-26 1450 GW0VSW        599  283   F8DGY         599 1281
QSO: 14000 CW 2019-05-26 1453 GW0VSW        599  284   S50R          599 1741
QSO: 14000 CW 2019-05-26 1500 GW0VSW        599  285   EF5Y          599 2714
QSO: 14000 CW 2019-05-26 1506 GW0VSW        599  286   LZ60KAA       599 1284
QSO: 14000 CW 2019-05-26 1508 GW0VSW        599  287   IZ2FLX        599 1119
QSO:  7000 CW 2019-05-26 1510 GW0VSW        599  288   DL6HCC        599  679
QSO:  7000 CW 2019-05-26 1515 GW0VSW        599  289   DK5QN         599  052
QSO:  7000 CW 2019-05-26 1517 GW0VSW        599  290   DL5KUD        599  543
QSO:  7000 CW 2019-05-26 1526 GW0VSW        599  291   LY8O          599  973
QSO: 28000 CW 2019-05-26 1751 GW0VSW        599  292   DH9BQA        599 1148
QSO: 28000 CW 2019-05-26 1758 GW0VSW        599  293   HG3N          599 2371
QSO: 28000 CW 2019-05-26 1801 GW0VSW        599  294   SN4A          599 1034
QSO: 21000 CW 2019-05-26 1804 GW0VSW        599  295   P33W          599 1765
QSO: 21000 CW 2019-05-26 1814 GW0VSW        599  296   S53M          599  875
QSO:  7000 CW 2019-05-26 1819 GW0VSW        599  297   LY800SMG      599 1939
QSO:  7000 CW 2019-05-26 1826 GW0VSW        599  298   DM2X          599 1456
QSO:  7000 CW 2019-05-26 1830 GW0VSW        599  299   SM0HRP        599 1632
QSO:  7000 CW 2019-05-26 1833 GW0VSW        599  300   SP5ELA        599  520
QSO:  7000 CW 2019-05-26 1835 GW0VSW        599  301   IR4E          599  468
QSO:  7000 CW 2019-05-26 1836 GW0VSW        599  302   OM7M          599 1734
QSO:  7000 CW 2019-05-26 1842 GW0VSW        599  303   DL7GEM        599  213
QSO:  7000 CW 2019-05-26 1843 GW0VSW        599  304   OK7Y          599 1433
QSO:  7000 CW 2019-05-26 1847 GW0VSW        599  305   PA7LV         599 1081
QSO:  7000 CW 2019-05-26 1853 GW0VSW        599  306   EW6W          599 4561
QSO:  7000 CW 2019-05-26 1855 GW0VSW        599  307   IO3Y          599 2086
QSO:  7000 CW 2019-05-26 1901 GW0VSW        599  308   SE0X          599 1253
QSO:  7000 CW 2019-05-26 1903 GW0VSW        599  309   LY1DZ         599  593
QSO:  7000 CW 2019-05-26 1905 GW0VSW        599  310   EF1A          599  455
QSO:  7000 CW 2019-05-26 1908 GW0VSW        599  311   OK2HBR        599  587
QSO:  7000 CW 2019-05-26 1912 GW0VSW        599  312   PA8AD         599  809
QSO:  7000 CW 2019-05-26 1929 GW0VSW        599  313   OZ5E          599 1658
QSO: 28000 CW 2019-05-26 1939 GW0VSW        599  314   SZ1A          599  606
QSO: 21000 CW 2019-05-26 1943 GW0VSW        599  315   IK3UNA        599 1604
QSO: 14000 CW 2019-05-26 1946 GW0VSW        599  316   EA7TG         599  265
QSO: 14000 CW 2019-05-26 1947 GW0VSW        599  317   SZ1A          599 1377
