START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: ON6AT
CLUB: UBA - ZLZ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TIME: 12-HOURS
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 125060
OPERATORS: ON6AT
OFFTIME:
SOAPBOX: Yeasu FT-950 50w  ANT (10-40m = R8) (80m = W8010)
QSO:  3512 CW 2013-11-24 0714 ON6AT         599 14     SO4R          599 15
QSO:  3513 CW 2013-11-24 0715 ON6AT         599 14     VE3EJ         599 04
QSO:  3517 CW 2013-11-24 0717 ON6AT         599 14     GM0GAV        599 14
QSO:  3518 CW 2013-11-24 0719 ON6AT         599 14     KC1XX         599 05
QSO:  3519 CW 2013-11-24 0720 ON6AT         599 14     VE3           599 04
QSO:  3525 CW 2013-11-24 0808 ON6AT         599 14     MZ5B          599 14
QSO:  3535 CW 2013-11-24 0810 ON6AT         599 14     GM100RSGB     599 14
QSO:  7002 CW 2013-11-24 0850 ON6AT         599 14     K0DQ          599 05
QSO:  7003 CW 2013-11-24 0853 ON6AT         599 14     DR1A          599 14
QSO:  7003 CW 2013-11-24 0854 ON6AT         599 14     K5DQ          599 04
QSO:  7003 CW 2013-11-24 0855 ON6AT         599 14     K3LR          599 05
QSO:  7003 CW 2013-11-24 0858 ON6AT         599 14     DF1IAQ        599 14
QSO:  7003 CW 2013-11-24 0859 ON6AT         599 14     PA3ANN        599 14
QSO:  7003 CW 2013-11-24 0900 ON6AT         599 14     IZ3KMY        599 15
QSO:  7003 CW 2013-11-24 0903 ON6AT         599 14     SM0S          599 14
QSO:  7003 CW 2013-11-24 0905 ON6AT         599 14     G4OGB         599 14
QSO:  7003 CW 2013-11-24 0906 ON6AT         599 14     S52X          599 15
QSO:  7003 CW 2013-11-24 0907 ON6AT         599 14     NR4M          599 05
QSO:  7003 CW 2013-11-24 0909 ON6AT         599 14     W1WMU         599 05
QSO:  7004 CW 2013-11-24 0910 ON6AT         599 14     DF0HQ         599 14
QSO:  7006 CW 2013-11-24 0911 ON6AT         599 14     WK1Q          599 05
QSO:  7009 CW 2013-11-24 0929 ON6AT         599 14     TF3GB         599 40
QSO:  7009 CW 2013-11-24 0930 ON6AT         599 14     OR3A          599 14
QSO:  7010 CW 2013-11-24 0931 ON6AT         599 14     M3C           599 14
QSO:  7011 CW 2013-11-24 0932 ON6AT         599 14     OZ4CG         599 14
QSO:  7012 CW 2013-11-24 0937 ON6AT         599 14     OU5U          599 14
QSO:  7013 CW 2013-11-24 0940 ON6AT         599 14     IZ1POA        599 15
QSO: 14000 CW 2013-11-24 0943 ON6AT         599 14     TA3X          599 20
QSO: 14003 CW 2013-11-24 0945 ON6AT         599 14     C4Z           599 20
QSO: 14005 CW 2013-11-24 0947 ON6AT         599 14     UR7MZ         599 16
QSO: 14006 CW 2013-11-24 1001 ON6AT         599 14     SP1NQN        599 15
QSO: 14007 CW 2013-11-24 1002 ON6AT         599 14     YT9A          599 15
QSO: 14007 CW 2013-11-24 1003 ON6AT         599 14     RL3A          599 16
QSO: 14008 CW 2013-11-24 1004 ON6AT         599 14     UA4WI         599 16
QSO: 14009 CW 2013-11-24 1005 ON6AT         599 14     EU1WW         599 16
QSO: 14009 CW 2013-11-24 1007 ON6AT         599 14     RV9UP         599 18
QSO: 14010 CW 2013-11-24 1008 ON6AT         599 14     OZ4CG         599 14
QSO: 14011 CW 2013-11-24 1010 ON6AT         599 14     E73M          599 15
QSO: 14011 CW 2013-11-24 1011 ON6AT         599 14     UT7E          599 16
QSO: 14012 CW 2013-11-24 1011 ON6AT         599 14     9A5Y          599 15
QSO: 14013 CW 2013-11-24 1016 ON6AT         599 14     EW4AA         599 16
QSO: 14013 CW 2013-11-24 1018 ON6AT         599 14     OZ1AAR        599 14
QSO: 14015 CW 2013-11-24 1020 ON6AT         599 14     9A1P          599 15
QSO: 14016 CW 2013-11-24 1020 ON6AT         599 14     RT5G          599 16
QSO: 14017 CW 2013-11-24 1021 ON6AT         599 14     RU1A          599 16
QSO: 14017 CW 2013-11-24 1022 ON6AT         599 14     UA5C          599 16
QSO: 14020 CW 2013-11-24 1024 ON6AT         599 14     SJ2W          599 14
QSO: 14021 CW 2013-11-24 1025 ON6AT         599 14     YL3FT         599 15
QSO: 14022 CW 2013-11-24 1025 ON6AT         599 14     OH2XX         599 15
QSO: 14023 CW 2013-11-24 1026 ON6AT         599 14     9A1A          599 15
QSO: 14024 CW 2013-11-24 1027 ON6AT         599 14     RM1Q          599 16
QSO: 14024 CW 2013-11-24 1029 ON6AT         599 14     HA7GN         599 15
QSO: 14024 CW 2013-11-24 1029 ON6AT         599 14     LN3Z          599 14
QSO: 14025 CW 2013-11-24 1045 ON6AT         599 14     DD1A          599 14
QSO: 14026 CW 2013-11-24 1051 ON6AT         599 14     EW2MA         599 16
QSO: 14027 CW 2013-11-24 1052 ON6AT         599 14     HF9Q          599 15
QSO: 14029 CW 2013-11-24 1055 ON6AT         599 14     S53F          599 15
QSO: 14030 CW 2013-11-24 1056 ON6AT         599 14     IK0GDG        599 15
QSO: 14030 CW 2013-11-24 1057 ON6AT         599 14     UA1ZZ         599 16
QSO: 14035 CW 2013-11-24 1057 ON6AT         599 14     S53APR        599 15
QSO: 14036 CW 2013-11-24 1058 ON6AT         599 14     OM3RRC        599 15
QSO: 14038 CW 2013-11-24 1100 ON6AT         599 14     PJ7W          599 08
QSO: 14039 CW 2013-11-24 1101 ON6AT         599 14     EA8AH         599 33
QSO: 14042 CW 2013-11-24 1104 ON6AT         599 14     SP3HRN        599 15
QSO: 14046 CW 2013-11-24 1107 ON6AT         599 14     DR1A          599 14
QSO: 14047 CW 2013-11-24 1108 ON6AT         599 14     S50G          599 15
QSO: 14047 CW 2013-11-24 1110 ON6AT         599 14     IK4DCX        599 15
QSO: 14050 CW 2013-11-24 1112 ON6AT         599 14     YT1T          599 15
QSO: 14051 CW 2013-11-24 1114 ON6AT         599 14     RC4HAA        599 16
QSO: 14052 CW 2013-11-24 1115 ON6AT         599 14     OM4F          599 15
QSO: 14052 CW 2013-11-24 1116 ON6AT         599 14     K5ZD          599 05
QSO: 14053 CW 2013-11-24 1119 ON6AT         599 14     HG4I          599 15
QSO: 14055 CW 2013-11-24 1120 ON6AT         599 14     IK0YUT        599 15
QSO: 14055 CW 2013-11-24 1123 ON6AT         599 14     BY4IIG        599 24
QSO: 14056 CW 2013-11-24 1124 ON6AT         599 14     LY7A          599 15
QSO: 14057 CW 2013-11-24 1129 ON6AT         599 14     VP5CW         599 08
QSO: 14058 CW 2013-11-24 1129 ON6AT         599 14     UW7M          599 16
QSO: 14058 CW 2013-11-24 1131 ON6AT         599 14     SQ5JUP        599 15
QSO: 14059 CW 2013-11-24 1131 ON6AT         599 14     SM3C          599 14
QSO: 14059 CW 2013-11-24 1132 ON6AT         599 14     HG7T          599 15
QSO: 14060 CW 2013-11-24 1133 ON6AT         599 14     EU1A          599 16
QSO: 14061 CW 2013-11-24 1133 ON6AT         599 14     OH0V          599 15
QSO: 14062 CW 2013-11-24 1134 ON6AT         599 14     N1EU          599 05
QSO: 14063 CW 2013-11-24 1135 ON6AT         599 14     N3IQ          599 05
QSO: 14064 CW 2013-11-24 1136 ON6AT         599 14     S54O          599 15
QSO: 14064 CW 2013-11-24 1137 ON6AT         599 14     RT5Z          599 16
QSO: 14066 CW 2013-11-24 1139 ON6AT         599 14     HG6N          599 15
QSO: 14067 CW 2013-11-24 1140 ON6AT         599 14     SM5FUG        599 14
QSO: 14068 CW 2013-11-24 1144 ON6AT         599 14     II1A          599 15
QSO: 14070 CW 2013-11-24 1146 ON6AT         599 14     UT5UDX        599 16
QSO: 21000 CW 2013-11-24 1305 ON6AT         599 14     P3N           599 20
QSO: 21002 CW 2013-11-24 1308 ON6AT         599 14     WX3B          599 05
QSO: 21002 CW 2013-11-24 1308 ON6AT         599 14     W2BC          599 05
QSO: 21003 CW 2013-11-24 1309 ON6AT         599 14     K1LZ          599 05
QSO: 21004 CW 2013-11-24 1316 ON6AT         599 14     KQ2M          599 05
QSO: 21005 CW 2013-11-24 1317 ON6AT         599 14     W2FU          599 05
QSO: 21006 CW 2013-11-24 1317 ON6AT         599 14     W3LPL         599 05
QSO: 21006 CW 2013-11-24 1318 ON6AT         599 14     K0DQ          599 05
QSO: 21007 CW 2013-11-24 1319 ON6AT         599 14     NR4M          599 05
QSO: 21007 CW 2013-11-24 1322 ON6AT         599 14     AA9A          599 04
QSO: 21008 CW 2013-11-24 1322 ON6AT         599 14     W1KM          599 05
QSO: 21009 CW 2013-11-24 1324 ON6AT         599 14     KU2M          599 05
QSO: 21010 CW 2013-11-24 1325 ON6AT         599 14     W9RE          599 04
QSO: 21010 CW 2013-11-24 1326 ON6AT         599 14     K3WW          599 05
QSO: 21013 CW 2013-11-24 1329 ON6AT         599 14     A71BX         599 21
QSO: 21015 CW 2013-11-24 1339 ON6AT         599 14     ZF1A          599 08
QSO: 21016 CW 2013-11-24 1340 ON6AT         599 14     SJ2W          599 14
QSO: 21017 CW 2013-11-24 1341 ON6AT         599 14     NY4A          599 05
QSO: 21017 CW 2013-11-24 1342 ON6AT         599 14     WG3J          599 05
QSO: 21019 CW 2013-11-24 1343 ON6AT         599 14     EF2A          599 14
QSO: 21020 CW 2013-11-24 1344 ON6AT         599 14     LZ5R          599 20
QSO: 21023 CW 2013-11-24 1347 ON6AT         599 14     3DA0ET        599 38
QSO: 21023 CW 2013-11-24 1348 ON6AT         599 14     9J3A          599 36
QSO: 21024 CW 2013-11-24 1349 ON6AT         599 14     W9OA          599 04
QSO: 21026 CW 2013-11-24 1359 ON6AT         599 14     V49J          599 08
QSO: 21028 CW 2013-11-24 1401 ON6AT         599 14     4L8A          599 21
QSO: 21029 CW 2013-11-24 1436 ON6AT         599 14     R7LV          599 16
QSO: 21029 CW 2013-11-24 1437 ON6AT         599 14     YU5A          599 15
QSO: 21030 CW 2013-11-24 1438 ON6AT         599 14     RN3AC         599 16
QSO: 21031 CW 2013-11-24 1438 ON6AT         599 14     RA1AL         599 16
QSO: 21034 CW 2013-11-24 1447 ON6AT         599 14     RG6G          599 16
QSO: 21037 CW 2013-11-24 1449 ON6AT         599 14     WA3A          599 05
QSO: 21038 CW 2013-11-24 1449 ON6AT         599 14     D4C           599 35
QSO: 21039 CW 2013-11-24 1450 ON6AT         599 14     SN2M          599 15
QSO: 21040 CW 2013-11-24 1451 ON6AT         599 14     WW4LL         599 05
QSO: 21041 CW 2013-11-24 1452 ON6AT         599 14     W5RU          599 04
QSO: 21042 CW 2013-11-24 1454 ON6AT         599 14     RT7T          599 16
QSO: 21044 CW 2013-11-24 1456 ON6AT         599 14     R7AB          599 16
QSO: 21045 CW 2013-11-24 1457 ON6AT         599 14     UT2G          599 16
QSO: 21046 CW 2013-11-24 1458 ON6AT         599 14     AA4CF         599 05
QSO: 21048 CW 2013-11-24 1459 ON6AT         599 14     W1VE          599 05
QSO: 21049 CW 2013-11-24 1501 ON6AT         599 14     PS2T          599 11
QSO: 21054 CW 2013-11-24 1502 ON6AT         599 14     P33W          599 20
QSO: 21055 CW 2013-11-24 1503 ON6AT         599 14     ES9C          599 15
QSO: 28001 CW 2013-11-24 1512 ON6AT         599 14     K1RM          599 05
QSO: 28001 CW 2013-11-24 1513 ON6AT         599 14     CW5W          599 13
QSO: 28002 CW 2013-11-24 1514 ON6AT         599 14     W2BC          599 05
QSO: 28003 CW 2013-11-24 1515 ON6AT         599 14     VE3MIS        599 04
QSO: 28005 CW 2013-11-24 1517 ON6AT         599 14     N4ZR          599 05
QSO: 28006 CW 2013-11-24 1517 ON6AT         599 14     K1LZ          599 05
QSO: 28007 CW 2013-11-24 1520 ON6AT         599 14     K1KI          599 05
QSO: 28010 CW 2013-11-24 1522 ON6AT         599 14     NN1N          599 05
QSO: 28011 CW 2013-11-24 1525 ON6AT         599 14     K0RF          599 04
QSO: 28014 CW 2013-11-24 1526 ON6AT         599 14     W3EF          599 05
QSO: 28016 CW 2013-11-24 1527 ON6AT         599 14     PJ4Q          599 09
QSO: 28016 CW 2013-11-24 1528 ON6AT         599 14     W0AIH         599 04
QSO: 28019 CW 2013-11-24 1530 ON6AT         599 14     N1LN          599 05
QSO: 28019 CW 2013-11-24 1530 ON6AT         599 14     PX2B          599 11
QSO: 28020 CW 2013-11-24 1533 ON6AT         599 14     VY2SS         599 05
QSO: 28027 CW 2013-11-24 1537 ON6AT         599 14     AE5GT         599 04
QSO: 28029 CW 2013-11-24 1538 ON6AT         599 14     K5GN          599 04
QSO: 28030 CW 2013-11-24 1539 ON6AT         599 14     KB1H          599 05
QSO: 28034 CW 2013-11-24 1543 ON6AT         599 14     TM6M          599 14
QSO: 28037 CW 2013-11-24 1544 ON6AT         599 14     WW2Y          599 05
QSO: 28040 CW 2013-11-24 1545 ON6AT         599 14     W6IZT         599 03
QSO: 28040 CW 2013-11-24 1546 ON6AT         599 14     K0EU          599 04
QSO: 28040 CW 2013-11-24 1547 ON6AT         599 14     ZS6TQ         599 38
QSO: 28041 CW 2013-11-24 1548 ON6AT         599 14     W5RU          599 04
QSO: 28042 CW 2013-11-24 1549 ON6AT         599 14     K4TCG         599 05
QSO: 28042 CW 2013-11-24 1550 ON6AT         599 14     WK1Q          599 05
QSO: 28042 CW 2013-11-24 1550 ON6AT         599 14     K9CT          599 04
QSO: 28048 CW 2013-11-24 1552 ON6AT         599 14     K8AZ          599 04
QSO: 28050 CW 2013-11-24 1554 ON6AT         599 14     K0VBU         599 04
QSO: 28052 CW 2013-11-24 1555 ON6AT         599 14     OT1A          599 14
QSO: 28055 CW 2013-11-24 1557 ON6AT         599 14     VA2III        599 05
QSO: 28061 CW 2013-11-24 1601 ON6AT         599 14     N8II          599 05
QSO: 28062 CW 2013-11-24 1601 ON6AT         599 14     W3EP          599 05
QSO: 28063 CW 2013-11-24 1602 ON6AT         599 14     KM5PS         599 04
QSO: 28066 CW 2013-11-24 1605 ON6AT         599 14     TM2FU         599 14
QSO: 28066 CW 2013-11-24 1606 ON6AT         599 14     N8AGU         599 04
QSO: 28067 CW 2013-11-24 1609 ON6AT         599 14     W0MM          599 04
QSO: 28068 CW 2013-11-24 1612 ON6AT         599 14     KB1T          599 05
QSO: 21003 CW 2013-11-24 1613 ON6AT         599 14     VE5ZX         599 04
QSO: 21003 CW 2013-11-24 1613 ON6AT         599 14     AA1K          599 05
QSO: 21004 CW 2013-11-24 1614 ON6AT         599 14     W1WMU         599 05
QSO: 21005 CW 2013-11-24 1616 ON6AT         599 14     CN2R          599 33
QSO: 21012 CW 2013-11-24 1618 ON6AT         599 14     KC1XX         599 05
QSO:  3502 CW 2013-11-24 1853 ON6AT         599 14     OH2BH         599 15
QSO:  3505 CW 2013-11-24 1855 ON6AT         599 14     YO5OHO        599 20
QSO:  3506 CW 2013-11-24 1856 ON6AT         599 14     DL6KWN        599 14
QSO:  3506 CW 2013-11-24 1858 ON6AT         599 14     HA8VK         599 15
QSO:  3507 CW 2013-11-24 1900 ON6AT         599 14     UT2G          599 16
QSO:  3508 CW 2013-11-24 1901 ON6AT         599 14     DJ5EU         599 14
QSO:  3508 CW 2013-11-24 1903 ON6AT         599 14     HG1R          599 15
QSO:  3509 CW 2013-11-24 1905 ON6AT         599 14     UW1M          599 16
QSO:  3509 CW 2013-11-24 1907 ON6AT         599 14     SX8M          599 20
QSO:  3511 CW 2013-11-24 1910 ON6AT         599 14     OK2D          599 15
QSO:  3511 CW 2013-11-24 1911 ON6AT         599 14     HA30S         599 15
QSO:  3512 CW 2013-11-24 1912 ON6AT         599 14     DM7C          599 14
QSO:  3512 CW 2013-11-24 1913 ON6AT         599 14     S59ABC        599 15
QSO:  3513 CW 2013-11-24 1914 ON6AT         599 14     YU5R          599 15
QSO:  3514 CW 2013-11-24 1915 ON6AT         599 14     LY7A          599 15
QSO:  3515 CW 2013-11-24 1917 ON6AT         599 14     SJ2W          599 14
QSO:  3520 CW 2013-11-24 1923 ON6AT         599 14     DL0AO         599 14
