START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CREATED-BY: AATest v.1.105
CALLSIGN: M0TJU
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 180400
OPERATORS: M0TJU
CLUB:  
NAME: Evan Duffield
SOAPBOX: Great condix and - of course - plenty of activity.
QSO:  7000 CW 2013-11-23 0055 M0TJU         599 14     IR4M          599 15
QSO:  7000 CW 2013-11-23 0057 M0TJU         599 14     IR9Y          599 15
QSO:  7000 CW 2013-11-23 0100 M0TJU         599 14     CR3L          599 33
QSO:  3500 CW 2013-11-23 0105 M0TJU         599 14     EI5IX         599 14
QSO:  3500 CW 2013-11-23 0107 M0TJU         599 14     GM3WUX        599 14
QSO:  3500 CW 2013-11-23 0111 M0TJU         599 14     G3V           599 14
QSO:  3500 CW 2013-11-23 0117 M0TJU         599 14     TM4Q          599 14
QSO:  3500 CW 2013-11-23 0118 M0TJU         599 14     DL1A          599 14
QSO: 28000 CW 2013-11-23 1058 M0TJU         599 14     IR9Y          599 15
QSO: 28000 CW 2013-11-23 1101 M0TJU         599 14     UT7E          599 16
QSO: 28000 CW 2013-11-23 1103 M0TJU         599 14     OH1F          599 15
QSO: 28000 CW 2013-11-23 1106 M0TJU         599 14     RC9O          599 18
QSO: 28000 CW 2013-11-23 1110 M0TJU         599 14     LZ9W          599 20
QSO: 28000 CW 2013-11-23 1112 M0TJU         599 14     RT5G          599 16
QSO: 28000 CW 2013-11-23 1117 M0TJU         599 14     RA1OT         599 16
QSO: 28000 CW 2013-11-23 1119 M0TJU         599 14     UA1T          599 16
QSO: 28000 CW 2013-11-23 1120 M0TJU         599 14     YP7P          599 20
QSO: 28000 CW 2013-11-23 1131 M0TJU         599 14     ES9C          599 15
QSO: 28000 CW 2013-11-23 1135 M0TJU         599 14     EA7PP         599 14
QSO: 28000 CW 2013-11-23 1136 M0TJU         599 14     FY5KE         599 09
QSO: 28000 CW 2013-11-23 1138 M0TJU         599 14     SE2I          599 14
QSO: 28000 CW 2013-11-23 1144 M0TJU         599 14     4L0A          599 21
QSO: 28000 CW 2013-11-23 1155 M0TJU         599 14     PY2RH         599 11
QSO: 28000 CW 2013-11-23 1156 M0TJU         599 14     UP2L          599 17
QSO: 28000 CW 2013-11-23 1158 M0TJU         599 14     R8TX          599 16
QSO: 28000 CW 2013-11-23 1158 M0TJU         599 14     YO4RDW        599 20
QSO: 28000 CW 2013-11-23 1159 M0TJU         599 14     RT2Y          599 16
QSO: 28000 CW 2013-11-23 1202 M0TJU         599 14     R3EG          599 16
QSO: 28000 CW 2013-11-23 1205 M0TJU         599 14     3V8BB         599 33
QSO: 28000 CW 2013-11-23 1206 M0TJU         599 14     EW2A          599 16
QSO: 28000 CW 2013-11-23 1206 M0TJU         599 14     UA3R          599 16
QSO: 28000 CW 2013-11-23 1208 M0TJU         599 14     OH2BV         599 15
QSO: 28000 CW 2013-11-23 1209 M0TJU         599 14     OF40R         599 15
QSO: 28000 CW 2013-11-23 1211 M0TJU         599 14     EA9UG         599 33
QSO: 28000 CW 2013-11-23 1212 M0TJU         599 14     CR3E          599 33
QSO: 28000 CW 2013-11-23 1214 M0TJU         599 14     PP5BZ         599 11
QSO: 21000 CW 2013-11-23 1216 M0TJU         599 14     ED5U          599 14
QSO: 21000 CW 2013-11-23 1217 M0TJU         599 14     HG7T          599 15
QSO: 21000 CW 2013-11-23 1226 M0TJU         599 14     UI6M          599 16
QSO: 21000 CW 2013-11-23 1226 M0TJU         599 14     C4W           599 20
QSO: 21000 CW 2013-11-23 1228 M0TJU         599 14     OH8X          599 15
QSO: 21000 CW 2013-11-23 1229 M0TJU         599 14     VE3JM         599 04
QSO: 21000 CW 2013-11-23 1230 M0TJU         599 14     OK2D          599 15
QSO: 21000 CW 2013-11-23 1238 M0TJU         599 14     S59DGO        599 15
QSO: 21000 CW 2013-11-23 1241 M0TJU         599 14     YU5A          599 15
QSO: 21000 CW 2013-11-23 1242 M0TJU         599 14     S59ABC        599 15
QSO: 21000 CW 2013-11-23 1243 M0TJU         599 14     S50A          599 15
QSO: 21000 CW 2013-11-23 1245 M0TJU         599 14     UZ2M          599 16
QSO: 21000 CW 2013-11-23 1246 M0TJU         599 14     RT6A          599 16
QSO: 21000 CW 2013-11-23 1247 M0TJU         599 14     SP9W          599 15
QSO: 21000 CW 2013-11-23 1247 M0TJU         599 14     HG3R          599 15
QSO: 21000 CW 2013-11-23 1249 M0TJU         599 14     LZ4AE         599 20
QSO: 21000 CW 2013-11-23 1250 M0TJU         599 14     TK5EP         599 15
QSO: 21000 CW 2013-11-23 1251 M0TJU         599 14     IO5O          599 15
QSO: 21000 CW 2013-11-23 1252 M0TJU         599 14     E7DX          599 15
QSO: 21000 CW 2013-11-23 1253 M0TJU         599 14     YR9F          599 20
QSO: 21000 CW 2013-11-23 1254 M0TJU         599 14     YT0Z          599 15
QSO: 21000 CW 2013-11-23 1258 M0TJU         599 14     IR9Y          599 15
QSO: 21000 CW 2013-11-23 1300 M0TJU         599 14     UA6XDX        599 16
QSO: 21000 CW 2013-11-23 1301 M0TJU         599 14     RX4CD         599 16
QSO: 21000 CW 2013-11-23 1302 M0TJU         599 14     IR4X          599 15
QSO: 21000 CW 2013-11-23 1303 M0TJU         599 14     9A7A          599 15
QSO: 21000 CW 2013-11-23 1306 M0TJU         599 14     Z60WW         599 15
QSO: 21000 CW 2013-11-23 1308 M0TJU         599 14     EA5KM         599 14
QSO: 21000 CW 2013-11-23 1309 M0TJU         599 14     Z37M          599 15
QSO: 21000 CW 2013-11-23 1309 M0TJU         599 14     EA6FO         599 14
QSO: 21000 CW 2013-11-23 1315 M0TJU         599 14     UP2L          599 17
QSO: 21000 CW 2013-11-23 1316 M0TJU         599 14     YT5A          599 15
QSO: 21000 CW 2013-11-23 1318 M0TJU         599 14     R4IO          599 16
QSO: 21000 CW 2013-11-23 1320 M0TJU         599 14     OM7M          599 15
QSO: 21000 CW 2013-11-23 1321 M0TJU         599 14     VC2R          599 02
QSO: 21000 CW 2013-11-23 1326 M0TJU         599 14     A71BX         599 21
QSO: 21000 CW 2013-11-23 1334 M0TJU         599 14     SN2M          599 15
QSO: 21000 CW 2013-11-23 1335 M0TJU         599 14     CR3L          599 33
QSO: 21000 CW 2013-11-23 1339 M0TJU         599 14     DL1A          599 14
QSO: 21000 CW 2013-11-23 1340 M0TJU         599 14     LY2W          599 15
QSO: 21000 CW 2013-11-23 1341 M0TJU         599 14     OE3GSA        599 15
QSO: 21000 CW 2013-11-23 1342 M0TJU         599 14     OH0Z          599 15
QSO: 21000 CW 2013-11-23 1347 M0TJU         599 14     VE3EJ         599 04
QSO: 21000 CW 2013-11-23 1348 M0TJU         599 14     YU7EE         599 15
QSO: 21000 CW 2013-11-23 1349 M0TJU         599 14     YP9W          599 20
QSO: 21000 CW 2013-11-23 1351 M0TJU         599 14     SK3W          599 14
QSO: 21000 CW 2013-11-23 1352 M0TJU         599 14     RW8W          599 16
QSO: 21000 CW 2013-11-23 1356 M0TJU         599 14     DP9A          599 14
QSO: 21000 CW 2013-11-23 1357 M0TJU         599 14     HA8VV         599 15
QSO: 21000 CW 2013-11-23 1358 M0TJU         599 14     SP8CUR        599 15
QSO: 21000 CW 2013-11-23 1359 M0TJU         599 14     RV3QO         599 16
QSO: 21000 CW 2013-11-23 1401 M0TJU         599 14     SM5CEU        599 14
QSO: 21000 CW 2013-11-23 1402 M0TJU         599 14     FY5FY         599 09
QSO: 21000 CW 2013-11-23 1403 M0TJU         599 14     YL7A          599 15
QSO: 21000 CW 2013-11-23 1405 M0TJU         599 14     EA5DD         599 14
QSO: 21000 CW 2013-11-23 1407 M0TJU         599 14     CN2R          599 33
QSO: 21000 CW 2013-11-23 1407 M0TJU         599 14     HF1Q          599 15
QSO: 21000 CW 2013-11-23 1408 M0TJU         599 14     EA5RS         599 14
QSO: 28000 CW 2013-11-23 1414 M0TJU         599 14     K3ZM          599 05
QSO: 28000 CW 2013-11-23 1415 M0TJU         599 14     HG6N          599 15
QSO: 28000 CW 2013-11-23 1417 M0TJU         599 14     K1ZZ          599 05
QSO: 28000 CW 2013-11-23 1419 M0TJU         599 14     HC1WDT        599 10
QSO: 28000 CW 2013-11-23 1420 M0TJU         599 14     K4RO          599 04
QSO: 28000 CW 2013-11-23 1424 M0TJU         599 14     OM7M          599 15
QSO: 28000 CW 2013-11-23 1426 M0TJU         599 14     KP2M          599 08
QSO: 28000 CW 2013-11-23 1428 M0TJU         599 14     TM6M          599 14
QSO: 28000 CW 2013-11-23 1432 M0TJU         599 14     YT0Z          599 15
QSO: 28000 CW 2013-11-23 1438 M0TJU         599 14     UW3U          599 16
QSO: 28000 CW 2013-11-23 1438 M0TJU         599 14     YL2SM         599 15
QSO: 28000 CW 2013-11-23 1440 M0TJU         599 14     CN2AA         599 33
QSO: 28000 CW 2013-11-23 1443 M0TJU         599 14     UT2G          599 16
QSO: 28000 CW 2013-11-23 1448 M0TJU         599 14     4O3A          599 15
QSO: 14000 CW 2013-11-23 1500 M0TJU         599 14     DF0HQ         599 14
QSO: 14000 CW 2013-11-23 1501 M0TJU         599 14     HA8IH         599 15
QSO: 14000 CW 2013-11-23 1503 M0TJU         599 14     DL0AO         599 14
QSO: 14000 CW 2013-11-23 1504 M0TJU         599 14     DL0JBB        599 14
QSO: 14000 CW 2013-11-23 1505 M0TJU         599 14     CS2C          599 14
QSO: 14000 CW 2013-11-23 1507 M0TJU         599 14     EA6SX         599 14
QSO: 14000 CW 2013-11-23 1508 M0TJU         599 14     E73W          599 15
QSO: 14000 CW 2013-11-23 1509 M0TJU         599 14     ES9C          599 15
QSO: 14000 CW 2013-11-23 1510 M0TJU         599 14     EU1AZ         599 16
QSO: 14000 CW 2013-11-23 1511 M0TJU         599 14     IR9Y          599 15
QSO: 14000 CW 2013-11-23 1513 M0TJU         599 14     IQ0PG         599 15
QSO: 14000 CW 2013-11-23 1514 M0TJU         599 14     OK5T          599 15
QSO: 14000 CW 2013-11-23 1516 M0TJU         599 14     R4IO          599 16
QSO: 14000 CW 2013-11-23 1516 M0TJU         599 14     RM5A          599 16
QSO: 14000 CW 2013-11-23 1517 M0TJU         599 14     RM3F          599 16
QSO: 14000 CW 2013-11-23 1518 M0TJU         599 14     OH9W          599 15
QSO: 14000 CW 2013-11-23 1524 M0TJU         599 14     D4C           599 35
QSO: 14000 CW 2013-11-23 1527 M0TJU         599 14     EA8AH         599 33
QSO: 14000 CW 2013-11-23 1529 M0TJU         599 14     R1TEU         599 16
QSO: 14000 CW 2013-11-23 1529 M0TJU         599 14     RZ3TJ         599 16
QSO: 14000 CW 2013-11-23 1531 M0TJU         599 14     OE4VIE        599 16
QSO: 14000 CW 2013-11-23 1534 M0TJU         599 14     OM1II         599 15
QSO: 14000 CW 2013-11-23 1534 M0TJU         599 14     P3F           599 20
QSO: 14000 CW 2013-11-23 1536 M0TJU         599 14     HA3UU         599 15
QSO: 14000 CW 2013-11-23 1537 M0TJU         599 14     HA6OA         599 15
QSO: 14000 CW 2013-11-23 1539 M0TJU         599 14     OH4A          599 15
QSO: 14000 CW 2013-11-23 1541 M0TJU         599 14     SJ2W          599 14
QSO: 14000 CW 2013-11-23 1542 M0TJU         599 14     OL9Z          599 15
QSO: 14000 CW 2013-11-23 1543 M0TJU         599 14     9A1A          599 15
QSO: 14000 CW 2013-11-23 1544 M0TJU         599 14     OL5W          599 15
QSO: 14000 CW 2013-11-23 1546 M0TJU         599 14     OH8L          599 15
QSO: 14000 CW 2013-11-23 1547 M0TJU         599 14     SP3HRN        599 15
QSO: 14000 CW 2013-11-23 1548 M0TJU         599 14     HG4F          599 15
QSO: 14000 CW 2013-11-23 1549 M0TJU         599 14     OM0WR         599 15
QSO: 14000 CW 2013-11-23 1551 M0TJU         599 14     YT2ISM        599 15
QSO: 28000 CW 2013-11-23 1603 M0TJU         599 14     K1LZ          599 05
QSO: 28000 CW 2013-11-23 1605 M0TJU         599 14     K1RM          599 05
QSO: 28000 CW 2013-11-23 1606 M0TJU         599 14     K1KI          599 05
QSO: 28000 CW 2013-11-23 1607 M0TJU         599 14     K5ZD          599 05
QSO: 28000 CW 2013-11-23 1608 M0TJU         599 14     W4ML          599 05
QSO: 28000 CW 2013-11-23 1609 M0TJU         599 14     K3LR          599 05
QSO: 28000 CW 2013-11-23 1610 M0TJU         599 14     NR4M          599 05
QSO: 28000 CW 2013-11-23 1612 M0TJU         599 14     VE3EJ         599 04
QSO: 28000 CW 2013-11-23 1617 M0TJU         599 14     AB4B          599 05
QSO: 28000 CW 2013-11-23 1618 M0TJU         599 14     KQ2M          599 05
QSO: 28000 CW 2013-11-23 1619 M0TJU         599 14     KC1XX         599 05
QSO: 28000 CW 2013-11-23 1620 M0TJU         599 14     VY2TT         599 05
QSO: 28000 CW 2013-11-23 1622 M0TJU         599 14     W2FU          599 05
QSO: 28000 CW 2013-11-23 1625 M0TJU         599 14     KZ5D          599 04
QSO: 28000 CW 2013-11-23 1629 M0TJU         599 14     N3RS          599 05
QSO: 28000 CW 2013-11-23 1636 M0TJU         599 14     W8AV          599 04
QSO: 28000 CW 2013-11-23 1637 M0TJU         599 14     K0ZR          599 09
QSO: 28000 CW 2013-11-23 1638 M0TJU         599 14     W3LPL         599 05
QSO: 28000 CW 2013-11-23 1639 M0TJU         599 14     K1KP          599 05
QSO: 28000 CW 2013-11-23 1640 M0TJU         599 14     K4TCG         599 04
QSO: 28000 CW 2013-11-23 1643 M0TJU         599 14     K4SO          599 05
QSO: 28000 CW 2013-11-23 1645 M0TJU         599 14     VE3MMQ        599 04
QSO: 28000 CW 2013-11-23 1646 M0TJU         599 14     VE6RST        599 04
QSO: 28000 CW 2013-11-23 1652 M0TJU         599 14     WB4AAA        599 05
QSO: 21000 CW 2013-11-23 1708 M0TJU         599 14     K2QMF         599 05
QSO: 21000 CW 2013-11-23 1714 M0TJU         599 14     N1LN          599 05
QSO: 21000 CW 2013-11-23 1715 M0TJU         599 14     NQ4I          599 05
QSO: 21000 CW 2013-11-23 1717 M0TJU         599 14     K1LI          599 05
QSO: 21000 CW 2013-11-23 1721 M0TJU         599 14     K1LZ          599 05
QSO: 21000 CW 2013-11-23 1722 M0TJU         599 14     KU2M          599 05
QSO: 21000 CW 2013-11-23 1724 M0TJU         599 14     W3LPL         599 05
QSO: 21000 CW 2013-11-23 1726 M0TJU         599 14     K3CR          599 05
QSO: 21000 CW 2013-11-23 1727 M0TJU         599 14     K3RV          599 05
QSO: 21000 CW 2013-11-23 1733 M0TJU         599 14     W2FU          599 05
QSO: 21000 CW 2013-11-23 1737 M0TJU         599 14     WW4LL         599 05
QSO: 21000 CW 2013-11-23 1740 M0TJU         599 14     WA3A          599 05
QSO: 21000 CW 2013-11-23 1744 M0TJU         599 14     W7RN          599 03
QSO: 21000 CW 2013-11-23 1744 M0TJU         599 14     WE3C          599 05
QSO:  7000 CW 2013-11-23 1750 M0TJU         599 14     PI4CC         599 14
QSO:  7000 CW 2013-11-23 1751 M0TJU         599 14     F5NGA         599 14
QSO:  7000 CW 2013-11-23 1752 M0TJU         599 14     EI6DX         599 14
QSO:  7000 CW 2013-11-23 1753 M0TJU         599 14     SM5FUG        599 14
QSO:  7000 CW 2013-11-23 1757 M0TJU         599 14     DF0HQ         599 14
QSO:  7000 CW 2013-11-23 1758 M0TJU         599 14     DF3AX         599 14
QSO:  7000 CW 2013-11-23 1759 M0TJU         599 14     DF8AE         599 14
QSO:  7000 CW 2013-11-23 1802 M0TJU         599 14     DL4AUK        599 14
QSO:  7000 CW 2013-11-23 1806 M0TJU         599 14     LY5R          599 15
QSO:  7000 CW 2013-11-23 1807 M0TJU         599 14     HA5X          599 15
QSO:  7000 CW 2013-11-23 1809 M0TJU         599 14     E73ESP        599 15
QSO:  7000 CW 2013-11-23 1812 M0TJU         599 14     ED4T          599 14
QSO:  7000 CW 2013-11-23 1814 M0TJU         599 14     LZ1SDR        599 20
QSO:  7000 CW 2013-11-23 1815 M0TJU         599 14     S56CW         599 15
QSO:  7000 CW 2013-11-23 1816 M0TJU         599 14     YL6W          599 15
QSO:  7000 CW 2013-11-23 1818 M0TJU         599 14     4L0A          599 21
QSO:  7000 CW 2013-11-23 1830 M0TJU         599 14     OR3A          599 14
QSO:  7000 CW 2013-11-23 1833 M0TJU         599 14     4U1ITU        599 15
QSO:  7000 CW 2013-11-23 1835 M0TJU         599 14     S59DKR        599 15
QSO:  7000 CW 2013-11-23 1837 M0TJU         599 14     OH5Z          599 15
QSO:  7000 CW 2013-11-23 1838 M0TJU         599 14     HA2ERO        599 15
QSO:  7000 CW 2013-11-23 1840 M0TJU         599 14     IR1X          599 15
QSO:  7000 CW 2013-11-23 1843 M0TJU         599 14     IK0YVV        599 15
QSO:  7000 CW 2013-11-23 1844 M0TJU         599 14     DF4XX         599 14
QSO:  7000 CW 2013-11-23 1847 M0TJU         599 14     F8DFP         599 14
QSO:  7000 CW 2013-11-23 1852 M0TJU         599 14     9A9M          599 15
QSO:  7000 CW 2013-11-23 1853 M0TJU         599 14     OL4W          599 15
QSO:  7000 CW 2013-11-23 1854 M0TJU         599 14     S57Z          599 15
QSO:  7000 CW 2013-11-23 1855 M0TJU         599 14     OM0M          599 15
QSO:  7000 CW 2013-11-23 1858 M0TJU         599 14     3Z1K          599 15
QSO:  7000 CW 2013-11-23 1902 M0TJU         599 14     RW4W          599 16
QSO:  7000 CW 2013-11-23 1904 M0TJU         599 14     RL3A          599 16
QSO:  7000 CW 2013-11-23 1906 M0TJU         599 14     RM4F          599 16
QSO:  7000 CW 2013-11-23 1908 M0TJU         599 14     SP4JCQ        599 15
QSO:  7000 CW 2013-11-23 1914 M0TJU         599 14     YT7KM         599 15
QSO:  7000 CW 2013-11-23 1916 M0TJU         599 14     Z33F          599 15
QSO:  7000 CW 2013-11-23 1918 M0TJU         599 14     D4C           599 35
QSO:  7000 CW 2013-11-23 1919 M0TJU         599 14     YT7A          599 15
QSO: 14000 CW 2013-11-23 1927 M0TJU         599 14     8P5A          599 08
QSO: 14000 CW 2013-11-23 1929 M0TJU         599 14     K1FWE         599 05
QSO: 14000 CW 2013-11-23 1938 M0TJU         599 14     NE0U          599 04
QSO: 14000 CW 2013-11-23 1939 M0TJU         599 14     K0DQ          599 05
QSO: 14000 CW 2013-11-23 1941 M0TJU         599 14     W2FU          599 05
QSO: 14000 CW 2013-11-23 1944 M0TJU         599 14     VE3JM         599 04
QSO: 14000 CW 2013-11-23 1946 M0TJU         599 14     W1VE          599 05
QSO: 14000 CW 2013-11-23 1947 M0TJU         599 14     K3CR          599 05
QSO: 14000 CW 2013-11-23 1949 M0TJU         599 14     N0NI          599 04
QSO: 14000 CW 2013-11-23 1950 M0TJU         599 14     K1ZR          599 05
QSO: 14000 CW 2013-11-23 1950 M0TJU         599 14     KE9I          599 04
QSO: 14000 CW 2013-11-23 2005 M0TJU         599 14     VE3EJ         599 04
QSO: 14000 CW 2013-11-23 2007 M0TJU         599 14     WE3C          599 05
QSO: 14000 CW 2013-11-23 2009 M0TJU         599 14     K3WW          599 05
QSO: 14000 CW 2013-11-23 2018 M0TJU         599 14     KQ2M          599 05
QSO: 14000 CW 2013-11-23 2020 M0TJU         599 14     W1EQ          599 05
QSO: 14000 CW 2013-11-23 2023 M0TJU         599 14     K3MJW         599 05
QSO: 14000 CW 2013-11-23 2027 M0TJU         599 14     K2QMF         599 05
QSO: 14000 CW 2013-11-23 2028 M0TJU         599 14     PJ2T          599 09
QSO: 14000 CW 2013-11-23 2032 M0TJU         599 14     AB4B          599 05
QSO: 14000 CW 2013-11-23 2034 M0TJU         599 14     NE3H          599 05
QSO: 14000 CW 2013-11-23 2035 M0TJU         599 14     K8AZ          599 04
QSO: 14000 CW 2013-11-23 2036 M0TJU         599 14     CR3E          599 33
QSO: 14000 CW 2013-11-23 2038 M0TJU         599 14     KC4D          599 05
QSO: 14000 CW 2013-11-23 2042 M0TJU         599 14     CR3L          599 33
QSO:  7000 CW 2013-11-23 2047 M0TJU         599 14     UA5C          599 16
QSO:  7000 CW 2013-11-23 2051 M0TJU         599 14     OK2RRR        599 05
QSO:  7000 CW 2013-11-23 2255 M0TJU         599 14     UW1M          599 15
QSO:  7000 CW 2013-11-23 2256 M0TJU         599 14     IZ1POI        599 15
QSO:  7000 CW 2013-11-23 2259 M0TJU         599 14     SN2B          599 15
QSO:  7000 CW 2013-11-23 2311 M0TJU         599 14     EU1A          599 16
QSO:  7000 CW 2013-11-23 2316 M0TJU         599 14     DL0AO         599 14
QSO:  7000 CW 2013-11-23 2318 M0TJU         599 14     S58N          599 15
QSO:  7000 CW 2013-11-23 2319 M0TJU         599 14     F8CMF         599 14
QSO:  7000 CW 2013-11-23 2322 M0TJU         599 14     9A8M          599 15
QSO:  7000 CW 2013-11-23 2323 M0TJU         599 14     HF9Q          599 15
QSO:  7000 CW 2013-11-23 2330 M0TJU         599 14     9A9A          599 15
QSO:  7000 CW 2013-11-23 2331 M0TJU         599 14     OL1C          599 15
QSO:  7000 CW 2013-11-23 2332 M0TJU         599 14     S53APR        599 15
QSO:  7000 CW 2013-11-23 2335 M0TJU         599 14     HB9CXZ        599 14
QSO:  7000 CW 2013-11-23 2336 M0TJU         599 14     OM5M          599 15
QSO:  7000 CW 2013-11-23 2338 M0TJU         599 14     W2FU          599 05
QSO:  7000 CW 2013-11-23 2339 M0TJU         599 14     RK4FM         599 16
QSO:  7000 CW 2013-11-23 2340 M0TJU         599 14     K1KP          599 05
QSO:  3500 CW 2013-11-23 2349 M0TJU         599 14     DR5N          599 14
QSO:  3500 CW 2013-11-23 2357 M0TJU         599 14     OH0Z          599 15
QSO:  3500 CW 2013-11-23 2359 M0TJU         599 14     LX7I          599 14
QSO:  3500 CW 2013-11-24 0000 M0TJU         599 14     TM1A          599 14
QSO:  3500 CW 2013-11-24 0002 M0TJU         599 14     PI4CC         599 14
QSO:  3500 CW 2013-11-24 0004 M0TJU         599 14     OZ4UN         599 14
QSO:  3500 CW 2013-11-24 0005 M0TJU         599 14     PA6V          599 14
QSO:  3500 CW 2013-11-24 0007 M0TJU         599 14     ON4VMA        599 14
QSO:  3500 CW 2013-11-24 0007 M0TJU         599 14     SK3W          599 14
QSO:  3500 CW 2013-11-24 0009 M0TJU         599 14     G3U           599 14
QSO:  3500 CW 2013-11-24 0012 M0TJU         599 14     OH1F          599 15
QSO:  3500 CW 2013-11-24 0017 M0TJU         599 14     ED6A          599 14
QSO:  3500 CW 2013-11-24 0020 M0TJU         599 14     HG6N          599 15
QSO:  3500 CW 2013-11-24 0022 M0TJU         599 14     DJ5EU         599 14
QSO:  3500 CW 2013-11-24 0023 M0TJU         599 14     OM2KI         599 15
QSO:  3500 CW 2013-11-24 0024 M0TJU         599 14     G4BJM         599 14
QSO:  3500 CW 2013-11-24 0026 M0TJU         599 14     OM3RRC        599 15
QSO:  3500 CW 2013-11-24 0029 M0TJU         599 14     YT4A          599 15
QSO:  3500 CW 2013-11-24 0030 M0TJU         599 14     DL9GFB        599 14
QSO:  7000 CW 2013-11-24 0037 M0TJU         599 14     S53MM         599 15
QSO:  7000 CW 2013-11-24 0038 M0TJU         599 14     EA5RS         599 14
QSO:  7000 CW 2013-11-24 0040 M0TJU         599 14     LY2F          599 15
QSO:  7000 CW 2013-11-24 0041 M0TJU         599 14     EF2A          599 14
QSO:  7000 CW 2013-11-24 0042 M0TJU         599 14     K3LR          599 05
QSO:  7000 CW 2013-11-24 0044 M0TJU         599 14     K5ZD          599 05
QSO:  7000 CW 2013-11-24 0046 M0TJU         599 14     WE3C          599 05
QSO:  7000 CW 2013-11-24 0048 M0TJU         599 14     P3F           599 20
QSO:  7000 CW 2013-11-24 0049 M0TJU         599 14     K1LZ          599 05
QSO:  7000 CW 2013-11-24 0050 M0TJU         599 14     NR4M          599 05
QSO:  7000 CW 2013-11-24 0051 M0TJU         599 14     S52AW         599 15
QSO:  7000 CW 2013-11-24 0053 M0TJU         599 14     9A1R          599 15
QSO:  7000 CW 2013-11-24 0054 M0TJU         599 14     LZ5K          599 20
QSO:  7000 CW 2013-11-24 0056 M0TJU         599 14     SP2KPD        599 15
QSO:  7000 CW 2013-11-24 0057 M0TJU         599 14     YO5AJR        599 20
QSO:  7000 CW 2013-11-24 0057 M0TJU         599 14     W3BGN         599 05
QSO:  7000 CW 2013-11-24 0059 M0TJU         599 14     EA2IF         599 14
QSO:  7000 CW 2013-11-24 0101 M0TJU         599 14     AB3CX         599 05
QSO:  7000 CW 2013-11-24 0102 M0TJU         599 14     WW2Y          599 05
QSO:  7000 CW 2013-11-24 0102 M0TJU         599 14     W3LPL         599 05
QSO:  7000 CW 2013-11-24 0104 M0TJU         599 14     W9RE          599 04
QSO:  7000 CW 2013-11-24 0105 M0TJU         599 14     DL1A          599 14
QSO:  7000 CW 2013-11-24 0106 M0TJU         599 14     OK1FPS        599 15
QSO:  7000 CW 2013-11-24 0107 M0TJU         599 14     SO4M          599 15
