START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.243 [RUS]
CALLSIGN: UA0SBQ
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 39936
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
OPERATORS: UA0SBQ
CLUB: RU-QRP CLUB
LOCATION: DX
NAME: VICTOR ANDRUSSHENKO
SOAPBOX: RIG: FT-817 POWER 5W; ANTENNAS: 10/15/20/40/80/160M SPIDER, INVERTED VEE.
QSO: 28058 CW 2013-11-24 0754 UA0SBQ        599 18     EV1R          599 16
QSO: 28054 CW 2013-11-24 0755 UA0SBQ        599 18     UA4M          599 16
QSO: 28038 CW 2013-11-24 0757 UA0SBQ        599 18     SN2B          599 15
QSO: 28033 CW 2013-11-24 0758 UA0SBQ        599 18     9A7A          599 15
QSO: 28028 CW 2013-11-24 0805 UA0SBQ        599 18     E7DX          599 15
QSO: 28034 CW 2013-11-24 0807 UA0SBQ        599 18     RT6A          599 16
QSO: 28043 CW 2013-11-24 0810 UA0SBQ        599 18     OL1C          599 15
QSO: 28061 CW 2013-11-24 0816 UA0SBQ        599 18     YO9HP         599 20
QSO: 28066 CW 2013-11-24 0818 UA0SBQ        599 18     9H3TX         599 15
QSO: 28084 CW 2013-11-24 0821 UA0SBQ        599 18     OK1FDR        599 15
QSO: 28109 CW 2013-11-24 0826 UA0SBQ        599 18     OK2ABU        599 15
QSO: 28109 CW 2013-11-24 0826 UA0SBQ        599 18     SP6GCU        599 15
QSO: 28109 CW 2013-11-24 0828 UA0SBQ        599 18     LY7A          599 15
QSO: 28109 CW 2013-11-24 0829 UA0SBQ        599 18     HA1A          599 15
QSO: 28109 CW 2013-11-24 0829 UA0SBQ        599 18     OK2BOB        599 15
QSO: 28096 CW 2013-11-24 0840 UA0SBQ        599 18     DL2IAN        599 14
QSO: 28072 CW 2013-11-24 0847 UA0SBQ        599 18     A45XR         599 21
QSO: 28064 CW 2013-11-24 0851 UA0SBQ        599 18     ON7TK         599 14
QSO: 28058 CW 2013-11-24 0853 UA0SBQ        599 18     EA6URA        599 14
QSO: 28055 CW 2013-11-24 0856 UA0SBQ        599 18     EA4TX         599 14
QSO: 28052 CW 2013-11-24 0858 UA0SBQ        599 18     LY3BN         599 15
QSO: 28051 CW 2013-11-24 0859 UA0SBQ        599 18     II9P          599 15
QSO: 28046 CW 2013-11-24 0902 UA0SBQ        599 18     4U0WFP        599 15
QSO: 28043 CW 2013-11-24 0903 UA0SBQ        599 18     OT1A          599 14
QSO: 28038 CW 2013-11-24 0904 UA0SBQ        599 18     S50A          599 15
QSO: 28035 CW 2013-11-24 0906 UA0SBQ        599 18     OM3RRC        599 15
QSO: 28035 CW 2013-11-24 0909 UA0SBQ        599 18     II4I          599 15
QSO: 28034 CW 2013-11-24 0911 UA0SBQ        599 18     II1A          599 15
QSO: 28028 CW 2013-11-24 0912 UA0SBQ        599 18     DL0AO         599 14
QSO: 28027 CW 2013-11-24 0914 UA0SBQ        599 18     DR4A          599 14
QSO: 28014 CW 2013-11-24 0919 UA0SBQ        599 18     M2G           599 14
QSO: 28012 CW 2013-11-24 0921 UA0SBQ        599 18     SP1GZF        599 15
QSO: 28011 CW 2013-11-24 0924 UA0SBQ        599 18     EA7PP         599 14
QSO: 28016 CW 2013-11-24 0927 UA0SBQ        599 18     LY2W          599 15
QSO: 28020 CW 2013-11-24 0929 UA0SBQ        599 18     IR9Y          599 15
QSO: 28022 CW 2013-11-24 0931 UA0SBQ        599 18     DF0HQ         599 14
QSO: 28023 CW 2013-11-24 0933 UA0SBQ        599 18     SP9ATE        599 15
QSO: 28012 CW 2013-11-24 0934 UA0SBQ        599 18     LY5R          599 15
QSO: 28012 CW 2013-11-24 0937 UA0SBQ        599 18     LZ4TX         599 20
QSO: 28028 CW 2013-11-24 0940 UA0SBQ        599 18     YU5R          599 15
QSO: 28044 CW 2013-11-24 0951 UA0SBQ        599 18     HB9CA         599 14
QSO: 28047 CW 2013-11-24 0953 UA0SBQ        599 18     I3VJW         599 15
QSO: 28048 CW 2013-11-24 0956 UA0SBQ        599 18     I0UZF         599 15
QSO: 28052 CW 2013-11-24 0957 UA0SBQ        599 18     G3TXF         599 14
QSO: 28060 CW 2013-11-24 0959 UA0SBQ        599 18     PA1AW         599 14
QSO: 28059 CW 2013-11-24 1000 UA0SBQ        599 18     IR4M          599 15
QSO: 28087 CW 2013-11-24 1004 UA0SBQ        599 18     G2F           599 14
QSO: 28012 CW 2013-11-24 1016 UA0SBQ        599 18     UA4PN         599 16
QSO: 28013 CW 2013-11-24 1017 UA0SBQ        599 18     DP9A          599 14
QSO: 28005 CW 2013-11-24 1020 UA0SBQ        599 18     P3N           599 20
QSO: 28018 CW 2013-11-24 1025 UA0SBQ        599 18     4Z5ML         599 20
QSO: 21046 CW 2013-11-24 1037 UA0SBQ        599 18     SP9ATE        599 15
QSO: 21036 CW 2013-11-24 1041 UA0SBQ        599 18     RW3WX         599 16
QSO: 21035 CW 2013-11-24 1042 UA0SBQ        599 18     LX7I          599 14
QSO: 21034 CW 2013-11-24 1042 UA0SBQ        599 18     SN2M          599 15
QSO: 21034 CW 2013-11-24 1044 UA0SBQ        599 18     9A1A          599 15
QSO: 21032 CW 2013-11-24 1046 UA0SBQ        599 18     EI7M          599 14
QSO: 21031 CW 2013-11-24 1049 UA0SBQ        599 18     OP4K          599 14
QSO: 21025 CW 2013-11-24 1052 UA0SBQ        599 18     G3SJJ         599 14
QSO: 21023 CW 2013-11-24 1055 UA0SBQ        599 18     PI4CC         599 14
QSO: 21006 CW 2013-11-24 1104 UA0SBQ        599 18     G5O           599 14
QSO: 21000 CW 2013-11-24 1106 UA0SBQ        599 18     S50G          599 15
QSO: 21008 CW 2013-11-24 1112 UA0SBQ        599 18     DL5RMH        599 14
QSO: 21008 CW 2013-11-24 1114 UA0SBQ        599 18     IR9Y          599 15
QSO: 21038 CW 2013-11-24 1119 UA0SBQ        599 18     D4C           599 35
QSO: 21041 CW 2013-11-24 1121 UA0SBQ        599 18     R4RT          599 16
QSO: 21043 CW 2013-11-24 1123 UA0SBQ        599 18     S50R          599 15
QSO: 21050 CW 2013-11-24 1127 UA0SBQ        599 18     DF0HQ         599 14
QSO: 21053 CW 2013-11-24 1135 UA0SBQ        599 18     IO5O          599 15
QSO: 21051 CW 2013-11-24 1141 UA0SBQ        599 18     HG7T          599 15
QSO: 21032 CW 2013-11-24 1145 UA0SBQ        599 18     DC4A          599 14
QSO: 21026 CW 2013-11-24 1148 UA0SBQ        599 18     S57C          599 15
QSO: 21025 CW 2013-11-24 1149 UA0SBQ        599 18     9A7A          599 15
QSO: 21021 CW 2013-11-24 1204 UA0SBQ        599 18     4O3A          599 15
QSO: 21031 CW 2013-11-24 1207 UA0SBQ        599 18     YU1UN         599 15
QSO: 21040 CW 2013-11-24 1210 UA0SBQ        599 18     YU5A          599 15
QSO: 14025 CW 2013-11-24 1226 UA0SBQ        599 18     SN7Q          599 15
QSO: 14017 CW 2013-11-24 1228 UA0SBQ        599 18     RT5G          599 16
QSO: 14014 CW 2013-11-24 1230 UA0SBQ        599 18     9A1P          599 15
QSO: 14011 CW 2013-11-24 1234 UA0SBQ        599 18     LY5R          599 15
QSO: 14006 CW 2013-11-24 1239 UA0SBQ        599 18     OH1F          599 15
QSO: 14024 CW 2013-11-24 1245 UA0SBQ        599 18     SM6E          599 14
QSO:  7031 CW 2013-11-24 1413 UA0SBQ        599 18     UN0L          599 17
QSO:  7019 CW 2013-11-24 1426 UA0SBQ        599 18     UA3MIF        599 16
QSO:  7014 CW 2013-11-24 1429 UA0SBQ        599 18     OM0M          599 15
QSO:  7049 CW 2013-11-24 1531 UA0SBQ        599 18     ES9C          599 15
QSO:  7019 CW 2013-11-24 1959 UA0SBQ        599 18     HA5X          599 15
QSO:  7022 CW 2013-11-24 2001 UA0SBQ        599 18     YT7A          599 15
QSO:  7025 CW 2013-11-24 2002 UA0SBQ        599 18     YT3A          599 15
QSO:  7027 CW 2013-11-24 2005 UA0SBQ        599 18     9A1A          599 15
QSO:  7030 CW 2013-11-24 2009 UA0SBQ        599 18     OK1DTC        599 15
QSO:  7045 CW 2013-11-24 2021 UA0SBQ        599 18     HG7T          599 15
QSO:  7062 CW 2013-11-24 2026 UA0SBQ        599 18     JA5FDJ        599 25
QSO:  7075 CW 2013-11-24 2029 UA0SBQ        599 18     UA1OMS        599 16
QSO:  7056 CW 2013-11-24 2037 UA0SBQ        599 18     JH4UYB        599 25
QSO:  7049 CW 2013-11-24 2041 UA0SBQ        599 18     UV5U          599 16
QSO:  7046 CW 2013-11-24 2043 UA0SBQ        599 18     DJ5MW         599 14
QSO:  7039 CW 2013-11-24 2050 UA0SBQ        599 18     RT0C          599 19
QSO:  7015 CW 2013-11-24 2054 UA0SBQ        599 18     RW4W          599 16
QSO:  7014 CW 2013-11-24 2057 UA0SBQ        599 18     OM7M          599 15
QSO:  7019 CW 2013-11-24 2106 UA0SBQ        599 18     SN2B          599 15
QSO:  7023 CW 2013-11-24 2107 UA0SBQ        599 18     R3KM          599 16
QSO:  7033 CW 2013-11-24 2114 UA0SBQ        599 18     HA30S         599 15
QSO:  7038 CW 2013-11-24 2121 UA0SBQ        599 18     YP9W          599 20
QSO:  1816 CW 2013-11-24 2127 UA0SBQ        599 18     JT5DX         599 23
QSO:  3524 CW 2013-11-24 2155 UA0SBQ        599 18     DF0HQ         599 14
QSO:  3523 CW 2013-11-24 2205 UA0SBQ        599 18     RW9DX         599 17
QSO:  3511 CW 2013-11-24 2209 UA0SBQ        599 18     DM7C          599 14
QSO:  7023 CW 2013-11-24 2252 UA0SBQ        599 18     UZ2M          599 16
QSO:  7029 CW 2013-11-24 2253 UA0SBQ        599 18     RT5G          599 16
QSO:  7034 CW 2013-11-24 2323 UA0SBQ        599 18     LX7I          599 14
QSO:  7036 CW 2013-11-24 2325 UA0SBQ        599 18     SP8R          599 15
QSO:  7024 CW 2013-11-24 2331 UA0SBQ        599 18     RT9X          599 17
QSO:  7028 CW 2013-11-24 2355 UA0SBQ        599 18     UN1Z          599 17
END-OF-LOG:
