START-OF-LOG: 3.0
LOCATION: DX
CONTEST: CQ-WW-CW
CALLSIGN: JL1QDO
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CLAIMED-SCORE: 121905
OPERATORS:
CLUB:
CREATED-BY: CTESTWIN by JI1AQY
NAME: Seiichi Kita
SOAPBOX: Rig: FT-2000 Output 100W   Ant: GP(40-20m), Dipole(15-10m) & Super Rad(160m)
QSO: 28021 CW 2013-11-23 0313 JL1QDO        599 25     RZ8U          599 18     0
QSO: 28041 CW 2013-11-23 0330 JL1QDO        599 25     CX2BR         599 13     0
QSO: 28035 CW 2013-11-23 0336 JL1QDO        599 25     LO4D          599 13     0
QSO: 28003 CW 2013-11-23 0349 JL1QDO        599 25     UB0A          599 18     0
QSO: 21004 CW 2013-11-23 0419 JL1QDO        599 25     AH0K          599 27     0
QSO: 21027 CW 2013-11-23 0422 JL1QDO        599 25     9M2SM         599 28     0
QSO: 21041 CW 2013-11-23 0427 JL1QDO        599 25     YE2C          599 28     0
QSO: 21045 CW 2013-11-23 0428 JL1QDO        599 25     ZM4T          599 32     0
QSO: 21037 CW 2013-11-23 0429 JL1QDO        599 25     AH2R          599 27     0
QSO: 21028 CW 2013-11-23 0431 JL1QDO        599 25     RT4RO         599 16     0
QSO: 21015 CW 2013-11-23 0436 JL1QDO        599 25     V73NS         599 31     0
QSO: 21013 CW 2013-11-23 0449 JL1QDO        599 25     A71BX         599 21     0
QSO: 21011 CW 2013-11-23 0450 JL1QDO        599 25     TX8B          599 32     0
QSO: 21036 CW 2013-11-23 0456 JL1QDO        599 25     R4IO          599 16     0
QSO: 21041 CW 2013-11-23 0506 JL1QDO        599 25     LU1DZ         599 13     0
QSO: 21013 CW 2013-11-23 0508 JL1QDO        599 25     RC9O          599 18     0
QSO: 21001 CW 2013-11-23 0512 JL1QDO        599 25     LP3U          599 13     0
QSO: 21003 CW 2013-11-23 0512 JL1QDO        599 25     UN6P          599 17     0
QSO: 21038 CW 2013-11-23 0515 JL1QDO        599 25     UI6M          599 16     0
QSO: 21054 CW 2013-11-23 0522 JL1QDO        599 25     NH2T          599 27     0
QSO: 28006 CW 2013-11-23 0532 JL1QDO        599 25     P3Z           599 20     0
QSO: 28027 CW 2013-11-23 0536 JL1QDO        599 25     UA4CC         599 16     0
QSO: 28041 CW 2013-11-23 0537 JL1QDO        599 25     RU7A          599 16     0
QSO: 28020 CW 2013-11-23 0540 JL1QDO        599 25     RT9A          599 17     0
QSO: 28046 CW 2013-11-23 0622 JL1QDO        599 25     UA4M          599 16     0
QSO: 28004 CW 2013-11-23 0628 JL1QDO        599 25     HK1NA         599 09     0
QSO: 28010 CW 2013-11-23 0637 JL1QDO        599 25     LZ9W          599 20     0
QSO:  7007 CW 2013-11-23 0815 JL1QDO        599 25     KL7RA         599 01     0
QSO:  7004 CW 2013-11-23 0816 JL1QDO        599 25     K7RL          599 03     0
QSO:  7003 CW 2013-11-23 0817 JL1QDO        599 25     K0RF          599 04     0
QSO:  7008 CW 2013-11-23 0820 JL1QDO        599 25     K6XX          599 03     0
QSO:  7009 CW 2013-11-23 0825 JL1QDO        599 25     K3EST         599 03     0
QSO:  7013 CW 2013-11-23 0849 JL1QDO        599 25     DS5DNO        599 25     0
QSO:  7023 CW 2013-11-23 0853 JL1QDO        599 25     K7NJ          599 03     0
QSO:  7033 CW 2013-11-23 0906 JL1QDO        599 25     PP5BZ         599 11     0
QSO:  7007 CW 2013-11-23 0918 JL1QDO        599 25     W7RN          599 03     0
QSO:  7007 CW 2013-11-23 0921 JL1QDO        599 25     W6XB          599 03     0
QSO:  7016 CW 2013-11-23 0924 JL1QDO        599 25     WX0B          599 04     0
QSO:  7017 CW 2013-11-23 0925 JL1QDO        599 25     K6NA          599 03     0
QSO:  7024 CW 2013-11-23 1045 JL1QDO        599 25     K0EU          599 04     0
QSO:  7022 CW 2013-11-23 1050 JL1QDO        599 25     YE2W          599 28     0
QSO:  7018 CW 2013-11-23 1051 JL1QDO        599 25     K5TR          599 28     0
QSO:  7015 CW 2013-11-23 1053 JL1QDO        599 25     NX6T          599 03     0
QSO:  7005 CW 2013-11-23 1057 JL1QDO        599 25     K5GN          599 04     0
QSO:  1823 CW 2013-11-23 1100 JL1QDO        599 25     RA0FF         599 19     0
QSO:  1821 CW 2013-11-23 1104 JL1QDO        599 25     NH2T          599 27     0
QSO:  7005 CW 2013-11-23 1154 JL1QDO        599 25     KO7AA         599 03     0
QSO:  7019 CW 2013-11-23 1158 JL1QDO        599 25     BY4IIG        599 24     0
QSO:  7020 CW 2013-11-23 1200 JL1QDO        599 25     N9NA          599 03     0
QSO:  7005 CW 2013-11-23 1226 JL1QDO        599 25     N7AT          599 03     0
QSO:  1822 CW 2013-11-23 1258 JL1QDO        599 25     RT9F          599 19     0
QSO:  1815 CW 2013-11-23 1333 JL1QDO        599 25     RU0LL         599 19     0
QSO:  1824 CW 2013-11-23 1403 JL1QDO        599 25     RM0F          599 19     0
QSO:  7005 CW 2013-11-23 1454 JL1QDO        599 25     W7WA          599 03     0
QSO:  7007 CW 2013-11-23 1455 JL1QDO        599 25     RA/KE5JA      599 19     0
QSO:  7020 CW 2013-11-23 1502 JL1QDO        599 25     UP2L          599 17     0
QSO:  7048 CW 2013-11-23 2135 JL1QDO        599 25     DR1A          599 14     0
QSO:  7006 CW 2013-11-23 2138 JL1QDO        599 25     OM0M          599 15     0
QSO:  7007 CW 2013-11-23 2139 JL1QDO        599 25     R4SA          599 16     0
QSO:  7011 CW 2013-11-23 2148 JL1QDO        599 25     S57Z          599 15     0
QSO:  7013 CW 2013-11-23 2149 JL1QDO        599 25     SN7Q          599 15     0
QSO:  7006 CW 2013-11-23 2152 JL1QDO        599 25     SN2B          599 15     0
QSO:  7004 CW 2013-11-23 2153 JL1QDO        599 25     DF0HQ         599 14     0
QSO:  7018 CW 2013-11-23 2155 JL1QDO        599 25     UT7E          599 16     0
QSO: 28035 CW 2013-11-23 2204 JL1QDO        599 25     3D2NW         599 32     0
QSO: 28033 CW 2013-11-23 2205 JL1QDO        599 25     WR9D          599 04     0
QSO: 28027 CW 2013-11-23 2207 JL1QDO        599 25     K0EU          599 04     0
QSO: 28026 CW 2013-11-23 2216 JL1QDO        599 25     NP3A          599 08     0
QSO: 28015 CW 2013-11-23 2219 JL1QDO        599 25     N4ZR          599 05     0
QSO: 28008 CW 2013-11-23 2226 JL1QDO        599 25     K3LR          599 05     0
QSO: 28013 CW 2013-11-23 2227 JL1QDO        599 25     K6NR          599 03     0
QSO: 28034 CW 2013-11-23 2305 JL1QDO        599 25     P40F          599 09     0
QSO: 28058 CW 2013-11-23 2316 JL1QDO        599 25     N7DR          599 04     0
QSO: 28003 CW 2013-11-23 2329 JL1QDO        599 25     N2IC          599 04     0
QSO: 28003 CW 2013-11-23 2332 JL1QDO        599 25     AI6V          599 03     0
QSO: 28040 CW 2013-11-23 2340 JL1QDO        599 25     N2NS          599 03     0
QSO: 28070 CW 2013-11-23 2344 JL1QDO        599 25     K6XX          599 03     0
QSO: 28056 CW 2013-11-23 2345 JL1QDO        599 25     KX7M          599 03     0
QSO: 28055 CW 2013-11-23 2346 JL1QDO        599 25     5W1SA         599 32     0
QSO: 28054 CW 2013-11-23 2347 JL1QDO        599 25     W0ZA          599 04     0
QSO: 28043 CW 2013-11-23 2350 JL1QDO        599 25     K6LL          599 03     0
QSO: 28042 CW 2013-11-23 2354 JL1QDO        599 25     N9NA          599 03     0
QSO: 28049 CW 2013-11-24 0012 JL1QDO        599 25     K7GS          599 03     0
QSO: 28051 CW 2013-11-24 0013 JL1QDO        599 25     K6TA          599 03     0
QSO: 28067 CW 2013-11-24 0015 JL1QDO        599 25     PY3OZ         599 11     0
QSO: 28048 CW 2013-11-24 0021 JL1QDO        599 25     W6RFF         599 03     0
QSO: 28040 CW 2013-11-24 0023 JL1QDO        599 25     KL7SB         599 01     0
QSO: 28032 CW 2013-11-24 0025 JL1QDO        599 25     VE7GL         599 03     0
QSO: 28015 CW 2013-11-24 0028 JL1QDO        599 25     N8A           599 32     0
QSO: 28012 CW 2013-11-24 0038 JL1QDO        599 25     N7ZG          599 03     0
QSO: 28006 CW 2013-11-24 0039 JL1QDO        599 25     PX2W          599 11     0
QSO: 28008 CW 2013-11-24 0042 JL1QDO        599 25     W6XB          599 03     0
QSO: 28058 CW 2013-11-24 0055 JL1QDO        599 25     N6MI          599 03     0
QSO: 28039 CW 2013-11-24 0107 JL1QDO        599 25     KE2VB         599 03     0
QSO: 28032 CW 2013-11-24 0109 JL1QDO        599 25     W7RN          599 03     0
QSO: 28031 CW 2013-11-24 0110 JL1QDO        599 25     HS3LSE        599 26     0
QSO: 28049 CW 2013-11-24 0113 JL1QDO        599 25     N7AT          599 03     0
QSO: 28067 CW 2013-11-24 0114 JL1QDO        599 25     W7DR          599 03     0
QSO: 28073 CW 2013-11-24 0116 JL1QDO        599 25     9M8YY         599 28     0
QSO: 28027 CW 2013-11-24 0120 JL1QDO        599 25     LU7HF         599 13     0
QSO: 28004 CW 2013-11-24 0124 JL1QDO        599 25     YB2LSR        599 28     0
QSO: 21005 CW 2013-11-24 0140 JL1QDO        599 25     WA7LT         599 03     0
QSO: 21006 CW 2013-11-24 0143 JL1QDO        599 25     3W1T          599 26     0
QSO: 21010 CW 2013-11-24 0144 JL1QDO        599 25     KN7T          599 03     0
QSO: 21013 CW 2013-11-24 0147 JL1QDO        599 25     S21ZBB        599 22     0
QSO: 21025 CW 2013-11-24 0149 JL1QDO        599 25     VE7UF         599 03     0
QSO: 21027 CW 2013-11-24 0150 JL1QDO        599 25     XV9NPS        599 26     0
QSO: 21028 CW 2013-11-24 0152 JL1QDO        599 25     KH6LC         599 31     0
QSO: 21035 CW 2013-11-24 0155 JL1QDO        599 25     WA6O          599 03     0
QSO: 21037 CW 2013-11-24 0156 JL1QDO        599 25     DX1J          599 27     0
QSO: 21039 CW 2013-11-24 0157 JL1QDO        599 25     BY1CW         599 24     0
QSO: 21041 CW 2013-11-24 0158 JL1QDO        599 25     BU2AW         599 24     0
QSO: 21046 CW 2013-11-24 0205 JL1QDO        599 25     NL7G          599 01     0
QSO: 21065 CW 2013-11-24 0211 JL1QDO        599 25     9M2/JE1SCJ    599 28     0
QSO: 21035 CW 2013-11-24 0217 JL1QDO        599 25     VX7SZ         599 03     0
QSO: 21029 CW 2013-11-24 0222 JL1QDO        599 25     AH0BT         599 27     0
QSO: 21036 CW 2013-11-24 0229 JL1QDO        599 25     9M6YBG        599 28     0
QSO: 21056 CW 2013-11-24 0231 JL1QDO        599 25     KH7M          599 31     0
QSO: 21043 CW 2013-11-24 0233 JL1QDO        599 25     R0DX          599 19     0
QSO: 21015 CW 2013-11-24 0243 JL1QDO        599 25     RA/KE5JA      599 19     0
QSO: 28011 CW 2013-11-24 0330 JL1QDO        599 25     LW5HR         599 13     0
QSO: 28024 CW 2013-11-24 0343 JL1QDO        599 25     A45XR         599 21     0
QSO: 28019 CW 2013-11-24 0345 JL1QDO        599 25     VR2KF         599 24     0
QSO: 28003 CW 2013-11-24 0353 JL1QDO        599 25     9M2TO         599 28     0
QSO: 21020 CW 2013-11-24 0506 JL1QDO        599 25     UT7E          599 16     0
QSO: 21016 CW 2013-11-24 0518 JL1QDO        599 25     RA3A          599 16     0
QSO: 21010 CW 2013-11-24 0521 JL1QDO        599 25     RU1A          599 16     0
QSO: 21032 CW 2013-11-24 0524 JL1QDO        599 25     RT3RO         599 16     0
QSO: 21040 CW 2013-11-24 0526 JL1QDO        599 25     JT1DX         599 23     0
QSO: 21052 CW 2013-11-24 0528 JL1QDO        599 25     LY8O          599 15     0
QSO: 21049 CW 2013-11-24 0533 JL1QDO        599 25     ES9C          599 15     0
QSO: 21047 CW 2013-11-24 0538 JL1QDO        599 25     YU1UN         599 15     0
QSO: 21063 CW 2013-11-24 0543 JL1QDO        599 25     3D2R          599 32     0
QSO: 21065 CW 2013-11-24 0545 JL1QDO        599 25     UA4M          599 16     0
QSO: 21066 CW 2013-11-24 0548 JL1QDO        599 25     YL7A          599 15     0
QSO: 14021 CW 2013-11-24 0551 JL1QDO        599 25     HG7T          599 15     0
QSO: 14010 CW 2013-11-24 0552 JL1QDO        599 25     UA5C          599 16     0
QSO: 14008 CW 2013-11-24 0553 JL1QDO        599 25     4L8A          599 21     0
QSO: 14026 CW 2013-11-24 0557 JL1QDO        599 25     HL4CEL        599 25     0
QSO: 14052 CW 2013-11-24 0559 JL1QDO        599 25     RT4F          599 16     0
QSO: 14061 CW 2013-11-24 0600 JL1QDO        599 25     BY1CW         599 24     0
QSO: 14044 CW 2013-11-24 0603 JL1QDO        599 25     D4C           599 35     0
QSO: 14042 CW 2013-11-24 0623 JL1QDO        599 25     ES9C          599 15     0
QSO: 14060 CW 2013-11-24 0627 JL1QDO        599 25     OH1F          599 15     0
QSO: 14032 CW 2013-11-24 0746 JL1QDO        599 25     DR4A          599 14     0
QSO: 14009 CW 2013-11-24 0750 JL1QDO        599 25     YE2W          599 28     0
QSO: 14015 CW 2013-11-24 0753 JL1QDO        599 25     RK9QWM        599 17     0
QSO: 14017 CW 2013-11-24 0754 JL1QDO        599 25     TM6M          599 14     0
QSO: 14022 CW 2013-11-24 0756 JL1QDO        599 25     PY1NX         599 11     0
QSO: 14026 CW 2013-11-24 0758 JL1QDO        599 25     UN6P          599 17     0
QSO: 14027 CW 2013-11-24 0758 JL1QDO        599 25     LA2AB         599 14     0
QSO: 14031 CW 2013-11-24 0801 JL1QDO        599 25     RU1A          599 16     0
QSO: 14035 CW 2013-11-24 0804 JL1QDO        599 25     SN2B          599 15     0
QSO: 14043 CW 2013-11-24 0806 JL1QDO        599 25     SK5LW         599 14     0
QSO: 14045 CW 2013-11-24 0808 JL1QDO        599 25     DR1A          599 14     0
QSO: 14063 CW 2013-11-24 0811 JL1QDO        599 25     LN3Z          599 14     0
QSO: 14069 CW 2013-11-24 0814 JL1QDO        599 25     S53MM         599 15     0
QSO: 14048 CW 2013-11-24 0817 JL1QDO        599 25     OM5M          599 15     0
QSO: 14043 CW 2013-11-24 0823 JL1QDO        599 25     SP5OXJ        599 15     0
QSO: 14038 CW 2013-11-24 0827 JL1QDO        599 25     EA8AH         599 33     0
QSO: 14045 CW 2013-11-24 0844 JL1QDO        599 25     OL1C          599 15     0
QSO: 14038 CW 2013-11-24 0846 JL1QDO        599 25     LY5R          599 15     0
QSO: 14017 CW 2013-11-24 0854 JL1QDO        599 25     SP8R          599 15     0
QSO: 14007 CW 2013-11-24 0956 JL1QDO        599 25     RL3A          599 16     0
QSO:  7015 CW 2013-11-24 1010 JL1QDO        599 25     VE3EJ         599 04     0
QSO:  7016 CW 2013-11-24 1013 JL1QDO        599 25     CE1/K7CA      599 12     0
QSO:  7037 CW 2013-11-24 1023 JL1QDO        599 25     NR5M          599 04     0
QSO:  7016 CW 2013-11-24 1034 JL1QDO        599 25     VR2KW         599 24     0
QSO:  7022 CW 2013-11-24 1036 JL1QDO        599 25     OH6R          599 15     0
QSO:  7032 CW 2013-11-24 1041 JL1QDO        599 25     N6MA          599 03     0
QSO:  7035 CW 2013-11-24 1044 JL1QDO        599 25     W5RU          599 04     0
QSO:  7038 CW 2013-11-24 1105 JL1QDO        599 25     HK1NA         599 09     0
QSO:  7009 CW 2013-11-24 1154 JL1QDO        599 25     OH8X          599 15     0
QSO:  7016 CW 2013-11-24 1158 JL1QDO        599 25     AH0K          599 27     0
QSO:  7024 CW 2013-11-24 1201 JL1QDO        599 25     K6XT          599 04     0
QSO:  7020 CW 2013-11-24 1214 JL1QDO        599 25     VE6WQ         599 04     0
QSO:  7005 CW 2013-11-24 1219 JL1QDO        599 25     RU1A          599 16     0
QSO:  7010 CW 2013-11-24 1243 JL1QDO        599 25     YN2CC         599 07     0
QSO:  7042 CW 2013-11-24 1256 JL1QDO        599 25     K3LR          599 05     0
QSO:  7053 CW 2013-11-24 1300 JL1QDO        599 25     XE2S          599 06     0
QSO:  7013 CW 2013-11-24 1356 JL1QDO        599 25     W7VJ          599 03     0
QSO:  7028 CW 2013-11-24 1401 JL1QDO        599 25     KH7XX         599 31     0
QSO:  7036 CW 2013-11-24 1403 JL1QDO        599 25     NX1P          599 03     0
QSO:  7021 CW 2013-11-24 1409 JL1QDO        599 25     VX7SV         599 03     0
QSO:  7020 CW 2013-11-24 1410 JL1QDO        599 25     NK7U          599 03     0
QSO:  7031 CW 2013-11-24 1444 JL1QDO        599 25     W7PU          599 03     0
QSO:  7032 CW 2013-11-24 1448 JL1QDO        599 25     LZ9W          599 20     0
QSO: 21019 CW 2013-11-24 2158 JL1QDO        599 25     NK7U          599 03     0
QSO: 21017 CW 2013-11-24 2159 JL1QDO        599 25     N1LN          599 05     0
QSO: 21015 CW 2013-11-24 2200 JL1QDO        599 25     K0EU          599 04     0
QSO: 21029 CW 2013-11-24 2209 JL1QDO        599 25     ZF1A          599 08     0
QSO: 21028 CW 2013-11-24 2210 JL1QDO        599 25     K5NZ          599 04     0
QSO: 21027 CW 2013-11-24 2212 JL1QDO        599 25     N2TM          599 05     0
QSO: 21026 CW 2013-11-24 2213 JL1QDO        599 25     VE7GL         599 03     0
QSO: 21020 CW 2013-11-24 2215 JL1QDO        599 25     W0DLE         599 04     0
QSO: 21063 CW 2013-11-24 2216 JL1QDO        599 25     W0ZA          599 04     0
QSO: 21069 CW 2013-11-24 2218 JL1QDO        599 25     KX7M          599 03     0
QSO: 21061 CW 2013-11-24 2220 JL1QDO        599 25     AL1G          599 01     0
QSO: 21059 CW 2013-11-24 2222 JL1QDO        599 25     W1DX          599 05     0
QSO: 21053 CW 2013-11-24 2223 JL1QDO        599 25     N1XS          599 04     0
QSO: 21051 CW 2013-11-24 2224 JL1QDO        599 25     N5ZC          599 04     0
QSO: 21046 CW 2013-11-24 2225 JL1QDO        599 25     N0NI          599 04     0
QSO: 21036 CW 2013-11-24 2227 JL1QDO        599 25     OC4CW         599 10     0
QSO: 21034 CW 2013-11-24 2229 JL1QDO        599 25     W2FU          599 05     0
QSO: 21033 CW 2013-11-24 2231 JL1QDO        599 25     PX2C          599 11     0
QSO: 21027 CW 2013-11-24 2232 JL1QDO        599 25     WX0B          599 04     0
QSO: 21022 CW 2013-11-24 2233 JL1QDO        599 25     WE3C          599 05     0
QSO: 21024 CW 2013-11-24 2257 JL1QDO        599 25     N5FO          599 04     0
QSO: 21026 CW 2013-11-24 2258 JL1QDO        599 25     XV2RZ         599 26     0
QSO: 21040 CW 2013-11-24 2323 JL1QDO        599 25     W8TK          599 03     0
QSO: 21059 CW 2013-11-24 2328 JL1QDO        599 25     W9OA          599 04     0
QSO: 21002 CW 2013-11-24 2338 JL1QDO        599 25     FY5FY         599 09     0
QSO: 21003 CW 2013-11-24 2340 JL1QDO        599 25     K3LR          599 05     0
QSO: 21005 CW 2013-11-24 2341 JL1QDO        599 25     K5TR          599 04     0
QSO: 21007 CW 2013-11-24 2343 JL1QDO        599 25     K2YY          599 03     0
QSO: 21012 CW 2013-11-24 2347 JL1QDO        599 25     W7RN          599 03     0
QSO: 21016 CW 2013-11-24 2348 JL1QDO        599 25     W1SRD         599 03     0
QSO: 21018 CW 2013-11-24 2352 JL1QDO        599 25     CJ3T          599 04     0
QSO: 21021 CW 2013-11-24 2353 JL1QDO        599 25     AE6Y          599 03     0
QSO: 21022 CW 2013-11-24 2354 JL1QDO        599 25     K0RF          599 04     0
QSO: 21023 CW 2013-11-24 2355 JL1QDO        599 25     K4RO          599 04     0
QSO: 21033 CW 2013-11-24 2358 JL1QDO        599 25     WX6V          599 03     0
END-OF-LOG:
