START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.7.0
CONTEST: CQ-WW-CW
LOCATION: DX
CALLSIGN: DL7JAN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 50700
OPERATORS:
CLUB: SOUTH GERMAN DX GROUP
NAME: Jan Foerderer
SOAPBOX: just giving a few points and collecting new calls...73 Jan,DL7JAN
QSO:  7053 CW 2013-11-23 0506 DL7JAN        599 14     CN2AA         599 33     0
QSO:  7062 CW 2013-11-23 0513 DL7JAN        599 14     PJ4Q          599 09     0
QSO:  7076 CW 2013-11-23 0527 DL7JAN        599 14     N0NI          599 04     0
QSO:  7080 CW 2013-11-23 0529 DL7JAN        599 14     EF9O          599 33     0
QSO:  3506 CW 2013-11-23 0530 DL7JAN        599 14     MZ5B          599 14     0
QSO:  7084 CW 2013-11-23 0531 DL7JAN        599 14     HK1NA         599 09     0
QSO:  7031 CW 2013-11-23 0540 DL7JAN        599 14     HC1WDT        599 10     0
QSO:  7015 CW 2013-11-23 0545 DL7JAN        599 14     OC4CW         599 10     0
QSO:  7002 CW 2013-11-23 0546 DL7JAN        599 14     CE3CT         599 12     0
QSO:  7069 CW 2013-11-23 0546 DL7JAN        599 14     TC0A          599 20     0
QSO:  7031 CW 2013-11-23 0547 DL7JAN        599 14     ZD8M          599 36     0
QSO:  7013 CW 2013-11-23 0551 DL7JAN        599 14     PJ4A          599 09     0
QSO:  3544 CW 2013-11-23 0556 DL7JAN        599 14     GZ3F          599 14     0
QSO:  3539 CW 2013-11-23 0556 DL7JAN        599 14     M7A           599 14     0
QSO:  3531 CW 2013-11-23 0603 DL7JAN        599 14     HB0/DF4SA     599 14     0
QSO:  3532 CW 2013-11-23 0638 DL7JAN        599 14     CR3L          599 33     0
QSO:  3501 CW 2013-11-23 0639 DL7JAN        599 14     W1MK          599 05     0
QSO:  3553 CW 2013-11-23 0640 DL7JAN        599 14     HB9CXZ        599 14     0
QSO:  7029 CW 2013-11-23 0643 DL7JAN        599 14     Z6/S56A       599 15     0
QSO:  7009 CW 2013-11-23 0645 DL7JAN        599 14     W1VE          599 05     0
QSO:  7048 CW 2013-11-23 0647 DL7JAN        599 14     K4VV          599 05     0
QSO:  7048 CW 2013-11-23 0647 DL7JAN        599 14     VE3FU         599 04     0
QSO:  7060 CW 2013-11-23 0650 DL7JAN        599 14     3V8BB         599 33     0
QSO:  7063 CW 2013-11-23 0650 DL7JAN        599 14     K5GDX         599 04     0
QSO:  7081 CW 2013-11-23 0652 DL7JAN        599 14     K1ZR          599 05     0
QSO: 14028 CW 2013-11-23 0654 DL7JAN        599 14     XT2FCJ        599 35     0
QSO: 14003 CW 2013-11-23 0657 DL7JAN        599 14     TC0A          599 20     0
QSO: 14036 CW 2013-11-23 0658 DL7JAN        599 14     P3F           599 20     0
QSO: 14041 CW 2013-11-23 0659 DL7JAN        599 14     ED6A          599 14     0
QSO: 14016 CW 2013-11-23 0700 DL7JAN        599 14     IH9B          599 33     0
QSO: 28016 CW 2013-11-23 0706 DL7JAN        599 14     4X/UU8J       599 20     0
QSO: 28062 CW 2013-11-23 0728 DL7JAN        599 14     AH0BT         599 27     0
QSO: 28001 CW 2013-11-23 0732 DL7JAN        599 14     Z81R          599 34     0
QSO: 28005 CW 2013-11-23 0733 DL7JAN        599 14     5R8IC         599 39     0
QSO: 28031 CW 2013-11-23 0736 DL7JAN        599 14     7J1AAI        599 25     0
QSO: 21060 CW 2013-11-23 0741 DL7JAN        599 14     JA2FJP        599 25     0
QSO: 21005 CW 2013-11-23 0948 DL7JAN        599 14     Z81X          599 34     0
QSO: 21003 CW 2013-11-23 0949 DL7JAN        599 14     UK9AA         599 17     0
QSO: 21018 CW 2013-11-23 0950 DL7JAN        599 14     CR3L          599 33     0
QSO: 21054 CW 2013-11-23 0952 DL7JAN        599 14     SW3JH         599 20     0
QSO: 21088 CW 2013-11-23 1001 DL7JAN        599 14     9H3TX         599 15     0
QSO: 21082 CW 2013-11-23 1002 DL7JAN        599 14     EF9O          599 33     0
QSO: 28031 CW 2013-11-23 1005 DL7JAN        599 14     XT2FCJ        599 35     0
QSO: 28060 CW 2013-11-23 1006 DL7JAN        599 14     EA8/RC5A      599 33     0
QSO: 28068 CW 2013-11-23 1007 DL7JAN        599 14     EF8O          599 33     0
QSO: 28098 CW 2013-11-23 1010 DL7JAN        599 14     ZD8X          599 36     0
QSO: 14047 CW 2013-11-23 1023 DL7JAN        599 14     9Y4/VE3EY     599 09     0
QSO: 14024 CW 2013-11-23 1024 DL7JAN        599 14     PJ7W          599 08     0
QSO: 14045 CW 2013-11-23 1026 DL7JAN        599 14     P40F          599 09     0
QSO: 14024 CW 2013-11-23 1026 DL7JAN        599 14     CJ3T          599 04     0
QSO: 14044 CW 2013-11-23 1027 DL7JAN        599 14     D4C           599 35     0
QSO: 14053 CW 2013-11-23 1028 DL7JAN        599 14     TO7A          599 08     0
QSO: 14059 CW 2013-11-23 1030 DL7JAN        599 14     PJ2T          599 09     0
QSO: 14067 CW 2013-11-23 1032 DL7JAN        599 14     KL7RA         599 01     0
QSO: 21036 CW 2013-11-23 1033 DL7JAN        599 14     9X0NH         599 36     0
QSO: 21114 CW 2013-11-23 1035 DL7JAN        599 14     5C5T          599 33     0
QSO: 21022 CW 2013-11-23 1039 DL7JAN        599 14     ED6A          599 14     0
QSO: 21000 CW 2013-11-23 1048 DL7JAN        599 14     TC0A          599 20     0
QSO: 21066 CW 2013-11-23 1055 DL7JAN        599 14     XT2FCJ        599 35     0
QSO: 28011 CW 2013-11-23 1058 DL7JAN        599 14     9X0XA         599 36     0
QSO: 28025 CW 2013-11-23 1059 DL7JAN        599 14     PJ7W          599 08     0
QSO: 28018 CW 2013-11-23 1107 DL7JAN        599 14     CN2YM         599 33     0
QSO: 28023 CW 2013-11-23 1110 DL7JAN        599 14     4Z5LA         599 20     0
QSO: 28023 CW 2013-11-23 1115 DL7JAN        599 14     ED6A          599 14     0
QSO: 14000 CW 2013-11-23 1122 DL7JAN        599 14     J87GU         599 08     0
QSO: 21054 CW 2013-11-23 1125 DL7JAN        599 14     V26K          599 08     0
QSO: 21038 CW 2013-11-23 1126 DL7JAN        599 14     HK1MK         599 09     0
QSO: 28067 CW 2013-11-23 1129 DL7JAN        599 14     G3TXF         599 14     0
QSO: 21059 CW 2013-11-23 1132 DL7JAN        599 14     9Y4/VE3ETM    599 09     0
QSO: 21099 CW 2013-11-23 1136 DL7JAN        599 14     NL7G          599 01     0
QSO: 21000 CW 2013-11-23 1138 DL7JAN        599 14     P40F          599 09     0
QSO: 21029 CW 2013-11-23 1141 DL7JAN        599 14     OC4CW         599 10     0
QSO: 21049 CW 2013-11-23 1143 DL7JAN        599 14     CE3CT         599 12     0
QSO: 14085 CW 2013-11-23 1144 DL7JAN        599 14     EF9O          599 33     0
QSO: 14052 CW 2013-11-23 1146 DL7JAN        599 14     AA9A          599 04     0
QSO: 21059 CW 2013-11-23 1151 DL7JAN        599 14     9Y4/VE3EY     599 09     0
QSO: 21053 CW 2013-11-23 1152 DL7JAN        599 14     GZ3F          599 14     0
QSO: 28006 CW 2013-11-23 1153 DL7JAN        599 14     CN2AA         599 33     0
QSO: 28035 CW 2013-11-23 1155 DL7JAN        599 14     CR3L          599 33     0
QSO: 28011 CW 2013-11-23 1648 DL7JAN        599 14     J88HL         599 08     0
QSO: 28072 CW 2013-11-23 1650 DL7JAN        599 14     TO7A          599 08     0
QSO: 28092 CW 2013-11-23 1651 DL7JAN        599 14     P40F          599 09     0
QSO: 21041 CW 2013-11-23 1654 DL7JAN        599 14     PJ4Q          599 09     0
QSO: 21088 CW 2013-11-23 1700 DL7JAN        599 14     J87GU         599 08     0
QSO: 14083 CW 2013-11-23 1700 DL7JAN        599 14     9Y4W          599 09     0
QSO:  1828 CW 2013-11-23 1705 DL7JAN        599 14     ED6A          599 14     0
QSO: 21081 CW 2013-11-23 1754 DL7JAN        599 14     6Y7W          599 08     0
QSO: 21085 CW 2013-11-23 1755 DL7JAN        599 14     HD2T          599 10     0
QSO: 21035 CW 2013-11-23 1758 DL7JAN        599 14     K7AR          599 03     0
QSO: 21020 CW 2013-11-23 1758 DL7JAN        599 14     NK7U          599 03     0
QSO: 21037 CW 2013-11-23 1804 DL7JAN        599 14     HC1WDT        599 10     0
QSO: 21023 CW 2013-11-23 1805 DL7JAN        599 14     K7BV          599 05     0
QSO: 21107 CW 2013-11-23 1807 DL7JAN        599 14     HI/K8MR       599 08     0
QSO: 21080 CW 2013-11-23 1808 DL7JAN        599 14     VE3JM         599 04     0
QSO: 21086 CW 2013-11-23 1808 DL7JAN        599 14     CJ3T          599 04     0
QSO: 21080 CW 2013-11-23 1809 DL7JAN        599 14     VX7SZ         599 03     0
QSO: 21060 CW 2013-11-23 1810 DL7JAN        599 14     K9QVB         599 04     0
QSO: 21090 CW 2013-11-23 1810 DL7JAN        599 14     VC2R          599 02     0
QSO: 21059 CW 2013-11-23 1811 DL7JAN        599 14     WA7LT         599 03     0
QSO: 14038 CW 2013-11-23 1814 DL7JAN        599 14     VE7WO         599 03     0
QSO: 14086 CW 2013-11-23 1815 DL7JAN        599 14     NA0N          599 04     0
QSO: 14084 CW 2013-11-23 1816 DL7JAN        599 14     TF3GB         599 40     0
QSO: 14082 CW 2013-11-23 1816 DL7JAN        599 14     NA8V          599 04     0
QSO:  3502 CW 2013-11-23 1822 DL7JAN        599 14     TC0A          599 20     0
END-OF-LOG:
