START-OF-LOG: 3.0
CONTEST: CQ-WW-CW
CALLSIGN: SN5O
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
SOAPBOX: OPERATED BY SP5BYC RIG: TS480SAT + vertical 8,5 mh
QSO:  1800 CW 2013-11-24 2305 SN5O          599          15 DF0HQ           599          14
QSO:  1800 CW 2013-11-24 2306 SN5O          599          15 HG3R            599          15
QSO:  1800 CW 2013-11-24 2306 SN5O          599          15 RA3EA           599          16
QSO:  1800 CW 2013-11-24 2310 SN5O          599          15 PI4CC           599          14
QSO:  1800 CW 2013-11-24 2311 SN5O          599          15 G3V             599          14
QSO:  1800 CW 2013-11-24 2311 SN5O          599          15 UA5C            599          16
QSO:  1800 CW 2013-11-24 2312 SN5O          599          15 OK1IW           599          15
QSO:  1800 CW 2013-11-24 2313 SN5O          599          15 OM3RRC          599          15
QSO:  1800 CW 2013-11-24 2316 SN5O          599          15 UR8RF           599          16
QSO:  1800 CW 2013-11-24 2318 SN5O          599          15 OM5M            599          15
QSO:  1800 CW 2013-11-24 2319 SN5O          599          15 UT6UD           599          16
QSO:  1800 CW 2013-11-24 2325 SN5O          599          15 YL6W            599          15
QSO:  1800 CW 2013-11-24 2326 SN5O          599          15 9A1A            599          15
QSO:  1800 CW 2013-11-24 2329 SN5O          599          15 8S0DX           599          14
QSO:  1800 CW 2013-11-24 2330 SN5O          599          15 UY0ZG           599          16
QSO:  1800 CW 2013-11-24 2331 SN5O          599          15 OH5Z            599          15
QSO:  1800 CW 2013-11-24 2333 SN5O          599          15 HA30S           599          15
QSO:  1800 CW 2013-11-24 2336 SN5O          599          15 LY7A            599          15
QSO:  1800 CW 2013-11-24 2338 SN5O          599          15 OH0V            599          15
QSO:  1800 CW 2013-11-24 2342 SN5O          599          15 DA0I            599          14
QSO:  1800 CW 2013-11-24 2343 SN5O          599          15 DK0MM           599          14
QSO:  1800 CW 2013-11-24 2345 SN5O          599          15 S59AA           599          15
QSO:  1800 CW 2013-11-24 2347 SN5O          599          15 ED6A            599          14
QSO:  1800 CW 2013-11-24 2352 SN5O          599          15 LX7I            599          14
QSO:  1800 CW 2013-11-24 2354 SN5O          599          15 OK1JOK          599          15
QSO:  1800 CW 2013-11-24 2358 SN5O          599          15 OK1GK           599          15
END-OF-LOG:
