START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WW-CW
CALLSIGN:      VE7BQO
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-ASSISTED:  NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER:  QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER:  ONE
CATEGORY-OVERLAY:  CLASSIC
CLUB:          ORCA DX AND CONTEST CLUB
LOCATION:      BC
CLAIMED-SCORE: 27903
NAME:          Allen Wootton
OPERATORS:     VE7BQO
SOAPBOX:       Conditions for the contest were really good and it was
QSO: 14004 CW 2013-11-23 2152 VE7BQO        599 03     W3LPL         599 05
QSO: 14003 CW 2013-11-23 2153 VE7BQO        599 03     NK7U          599 03
QSO: 14041 CW 2013-11-23 2155 VE7BQO        599 03     K6UW          599 03
QSO: 14045 CW 2013-11-23 2156 VE7BQO        599 03     VE6EX         599 04
QSO: 14049 CW 2013-11-23 2158 VE7BQO        599 03     JA9CWJ        599 25
QSO: 14008 CW 2013-11-23 2201 VE7BQO        599 03     NQ4I          599 05
QSO: 14006 CW 2013-11-23 2201 VE7BQO        599 03     NR4M          599 05
QSO: 14001 CW 2013-11-23 2202 VE7BQO        599 03     N5CR          599 03
QSO: 14017 CW 2013-11-23 2204 VE7BQO        599 03     N0IJ          599 04
QSO: 28013 CW 2013-11-23 2230 VE7BQO        599 03     K6NR          599 03
QSO: 28024 CW 2013-11-23 2233 VE7BQO        599 03     KE2VB         599 03
QSO: 28027 CW 2013-11-23 2236 VE7BQO        599 03     K0EU          599 04
QSO: 28050 CW 2013-11-23 2248 VE7BQO        599 03     JA0QNJ        599 25
QSO: 28058 CW 2013-11-23 2250 VE7BQO        599 03     N7DR          599 04
QSO: 28067 CW 2013-11-23 2252 VE7BQO        599 03     JJ1LBJ        599 25
QSO: 28072 CW 2013-11-23 2253 VE7BQO        599 03     W8ZR          599 04
QSO: 21032 CW 2013-11-23 2259 VE7BQO        599 03     VY2SS         599 05
QSO: 21017 CW 2013-11-23 2303 VE7BQO        599 03     N1XS          599 04
QSO: 21016 CW 2013-11-23 2304 VE7BQO        599 03     W8AV          599 04
QSO: 21013 CW 2013-11-23 2305 VE7BQO        599 03     K4RO          599 04
QSO: 21011 CW 2013-11-23 2306 VE7BQO        599 03     VE3EJ         599 04
QSO: 21005 CW 2013-11-23 2308 VE7BQO        599 03     W0AIH         599 04
QSO: 21004 CW 2013-11-23 2309 VE7BQO        599 03     K3LR          599 05
QSO: 21010 CW 2013-11-23 2311 VE7BQO        599 03     KO7AA         599 03
QSO: 21017 CW 2013-11-23 2311 VE7BQO        599 03     W8TK          599 03
QSO: 21025 CW 2013-11-23 2312 VE7BQO        599 03     WE3C          599 05
QSO: 21040 CW 2013-11-23 2314 VE7BQO        599 03     K0RF          599 04
QSO: 21042 CW 2013-11-23 2315 VE7BQO        599 03     K9QVB         599 04
QSO: 21067 CW 2013-11-23 2318 VE7BQO        599 03     JR1BTG        599 25
QSO: 21069 CW 2013-11-23 2320 VE7BQO        599 03     N1HEL         599 03
QSO: 21075 CW 2013-11-23 2321 VE7BQO        599 03     N4WW          599 05
QSO: 21081 CW 2013-11-23 2322 VE7BQO        599 03     K3CR          599 05
QSO: 28055 CW 2013-11-23 2325 VE7BQO        599 03     W6TK          599 03
QSO: 28053 CW 2013-11-23 2326 VE7BQO        599 03     JE1LFX        599 25
QSO: 28052 CW 2013-11-23 2327 VE7BQO        599 03     JA6LCJ        599 25
QSO: 28046 CW 2013-11-23 2327 VE7BQO        599 03     WR9D          599 04
QSO: 28024 CW 2013-11-23 2330 VE7BQO        599 03     K6LL          599 03
QSO: 28020 CW 2013-11-23 2335 VE7BQO        599 03     KH7XX         599 31
QSO: 28014 CW 2013-11-23 2338 VE7BQO        599 03     KI6RRN        599 03
QSO: 28007 CW 2013-11-23 2349 VE7BQO        599 03     7J1AAI        599 25
QSO: 21076 CW 2013-11-23 2354 VE7BQO        599 03     JA2FJP        599 25
QSO: 21071 CW 2013-11-23 2355 VE7BQO        599 03     JE1ZWT        599 25
QSO: 21067 CW 2013-11-23 2356 VE7BQO        599 03     AE6Y          599 03
QSO: 21061 CW 2013-11-23 2358 VE7BQO        599 03     JA1BPA        599 25
QSO: 21059 CW 2013-11-23 2359 VE7BQO        599 03     7K4XNN        599 25
QSO: 21056 CW 2013-11-24 0001 VE7BQO        599 03     RT0C          599 19
QSO: 21044 CW 2013-11-24 0001 VE7BQO        599 03     JN2AMD        599 25
QSO: 3514  CW 2013-11-24 0632 VE7BQO        599 03     W9RE          599 04
QSO: 3511  CW 2013-11-24 0633 VE7BQO        599 03     N6SS          599 03
QSO: 3523  CW 2013-11-24 0635 VE7BQO        599 03     W0AIH         599 04
QSO: 3542  CW 2013-11-24 0645 VE7BQO        599 03     VE3YAA        599 04
QSO: 3550  CW 2013-11-24 0646 VE7BQO        599 03     KH6LC         599 31
QSO: 1811  CW 2013-11-24 0712 VE7BQO        599 03     WL7E          599 01
QSO: 1811  CW 2013-11-24 0720 VE7BQO        599 03     VE7UF         599 03
QSO: 21039 CW 2013-11-24 1757 VE7BQO        599 03     CR3L          599 33
QSO: 21013 CW 2013-11-24 1804 VE7BQO        599 03     WA6O          599 03
QSO: 21024 CW 2013-11-24 1807 VE7BQO        599 03     N5FO          599 04
QSO: 21048 CW 2013-11-24 1810 VE7BQO        599 03     KH6LC         599 31
QSO: 21060 CW 2013-11-24 1814 VE7BQO        599 03     KH7M          599 31
QSO: 21090 CW 2013-11-24 1816 VE7BQO        599 03     PJ2T          599 09
QSO: 28060 CW 2013-11-24 1828 VE7BQO        599 03     PR5B          599 11
QSO: 28017 CW 2013-11-24 1831 VE7BQO        599 03     PX2W          599 11
QSO: 28004 CW 2013-11-24 1836 VE7BQO        599 03     VE9AA         599 05
QSO: 21004 CW 2013-11-24 1855 VE7BQO        599 03     W2FU          599 05
QSO: 21007 CW 2013-11-24 1856 VE7BQO        599 03     NR4M          599 05
QSO: 21020 CW 2013-11-24 1858 VE7BQO        599 03     VA2III        599 05
QSO: 21029 CW 2013-11-24 1900 VE7BQO        599 03     WA7LNW        599 03
QSO: 21039 CW 2013-11-24 1901 VE7BQO        599 03     VE5ZX         599 04
QSO: 21054 CW 2013-11-24 1905 VE7BQO        599 03     NL7G          599 01
QSO: 21028 CW 2013-11-24 1912 VE7BQO        599 03     VE3KI         599 04
QSO: 21052 CW 2013-11-24 1914 VE7BQO        599 03     KL7RA         599 01
QSO: 21059 CW 2013-11-24 1916 VE7BQO        599 03     AL1G          599 01
QSO: 21065 CW 2013-11-24 1921 VE7BQO        599 03     KH7XX         599 31
QSO: 14035 CW 2013-11-24 1926 VE7BQO        599 03     RU1A          599 16
QSO: 14039 CW 2013-11-24 1927 VE7BQO        599 03     KH6LC         599 31
QSO: 14050 CW 2013-11-24 1929 VE7BQO        599 03     K5GDX         599 04
QSO: 14012 CW 2013-11-24 2123 VE7BQO        599 03     W7RN          599 03
QSO: 14016 CW 2013-11-24 2124 VE7BQO        599 03     K8AZ          599 04
QSO: 14030 CW 2013-11-24 2127 VE7BQO        599 03     N0OJ          599 04
QSO: 14033 CW 2013-11-24 2128 VE7BQO        599 03     W7ZR          599 03
QSO: 14036 CW 2013-11-24 2129 VE7BQO        599 03     JA0QNJ        599 25
QSO: 14038 CW 2013-11-24 2130 VE7BQO        599 03     W1SRD         599 03
QSO: 14047 CW 2013-11-24 2131 VE7BQO        599 03     K0TV          599 05
QSO: 14049 CW 2013-11-24 2132 VE7BQO        599 03     N7ZG          599 03
QSO: 14060 CW 2013-11-24 2135 VE7BQO        599 03     SJ2W          599 14
QSO: 14058 CW 2013-11-24 2136 VE7BQO        599 03     N3RR          599 05
QSO: 14054 CW 2013-11-24 2137 VE7BQO        599 03     K9CT          599 04
QSO: 14053 CW 2013-11-24 2138 VE7BQO        599 03     VE6RST        599 04
QSO: 14052 CW 2013-11-24 2139 VE7BQO        599 03     KE9I          599 04
QSO: 14045 CW 2013-11-24 2141 VE7BQO        599 03     JA3YBK        599 25
QSO: 14035 CW 2013-11-24 2144 VE7BQO        599 03     RT0F          599 19
QSO: 14032 CW 2013-11-24 2145 VE7BQO        599 03     W1VE          599 05
QSO: 14032 CW 2013-11-24 2147 VE7BQO        599 03     VY1EI         599 01
QSO: 14019 CW 2013-11-24 2150 VE7BQO        599 03     KN7T          599 03
QSO: 14017 CW 2013-11-24 2150 VE7BQO        599 03     JA7BME        599 25
QSO: 14002 CW 2013-11-24 2152 VE7BQO        599 03     K7RL          599 03
QSO: 21006 CW 2013-11-24 2153 VE7BQO        599 03     NQ4I          599 05
QSO: 21020 CW 2013-11-24 2156 VE7BQO        599 03     W0DLE         599 04
QSO: 21024 CW 2013-11-24 2158 VE7BQO        599 03     JA7IC         599 25
QSO: 21032 CW 2013-11-24 2159 VE7BQO        599 03     JA0FVU        599 25
QSO: 28054 CW 2013-11-24 2207 VE7BQO        599 03     WB4AAA        599 05
QSO: 28006 CW 2013-11-24 2211 VE7BQO        599 03     N4WW          599 05
QSO: 28019 CW 2013-11-24 2238 VE7BQO        599 03     PX2B          599 11
QSO: 28032 CW 2013-11-24 2240 VE7BQO        599 03     K0HA          599 04
QSO: 21005 CW 2013-11-24 2241 VE7BQO        599 03     W3LPL         599 05
QSO: 21007 CW 2013-11-24 2242 VE7BQO        599 03     K5TR          599 04
QSO: 21016 CW 2013-11-24 2244 VE7BQO        599 03     AA9A          599 04
QSO: 21018 CW 2013-11-24 2245 VE7BQO        599 03     CJ3T          599 04
QSO: 21024 CW 2013-11-24 2246 VE7BQO        599 03     W5RU          599 04
QSO: 21028 CW 2013-11-24 2248 VE7BQO        599 03     JA0QNJ        599 25
QSO: 14028 CW 2013-11-24 2257 VE7BQO        599 03     PJ2T          599 09
QSO: 14012 CW 2013-11-24 2301 VE7BQO        599 03     W8AV          599 04
QSO: 14005 CW 2013-11-24 2304 VE7BQO        599 03     K1JB          599 05
QSO: 14015 CW 2013-11-24 2305 VE7BQO        599 03     W2FU          599 05
QSO: 14024 CW 2013-11-24 2306 VE7BQO        599 03     WW4LL         599 05
QSO: 14035 CW 2013-11-24 2308 VE7BQO        599 03     JG2KKG        599 25
QSO: 14049 CW 2013-11-24 2310 VE7BQO        599 03     RT0C          599 19
QSO: 14058 CW 2013-11-24 2311 VE7BQO        599 03     AL1G          599 01
QSO: 14062 CW 2013-11-24 2312 VE7BQO        599 03     W0AIH         599 04
QSO: 14047 CW 2013-11-24 2314 VE7BQO        599 03     K2VV          599 04
QSO: 14039 CW 2013-11-24 2316 VE7BQO        599 03     VE3MMQ        599 04
QSO: 21014 CW 2013-11-24 2322 VE7BQO        599 03     K0EU          599 04
QSO: 21037 CW 2013-11-24 2326 VE7BQO        599 03     CE2CT         599 12
QSO: 21047 CW 2013-11-24 2329 VE7BQO        599 03     JH4ADK        599 25
QSO: 21054 CW 2013-11-24 2331 VE7BQO        599 03     K0HA          599 04
QSO: 21055 CW 2013-11-24 2333 VE7BQO        599 03     JA6BZI        599 25
QSO: 21057 CW 2013-11-24 2334 VE7BQO        599 03     JA0UMV        599 25
QSO: 21063 CW 2013-11-24 2335 VE7BQO        599 03     W0ZA          599 04
QSO: 21074 CW 2013-11-24 2337 VE7BQO        599 03     AH0K          599 27
QSO: 21076 CW 2013-11-24 2338 VE7BQO        599 03     JA3YBK        599 25
QSO: 21088 CW 2013-11-24 2339 VE7BQO        599 03     NH2DX         599 27
QSO: 21089 CW 2013-11-24 2341 VE7BQO        599 03     N8BJQ         599 04
QSO: 21094 CW 2013-11-24 2343 VE7BQO        599 03     JQ1NGT        599 25
QSO: 21097 CW 2013-11-24 2345 VE7BQO        599 03     JA2XLV        599 25
QSO: 21100 CW 2013-11-24 2345 VE7BQO        599 03     AE9F          599 03
QSO: 21085 CW 2013-11-24 2347 VE7BQO        599 03     JF1SEK        599 25
QSO: 21079 CW 2013-11-24 2348 VE7BQO        599 03     JK3HLP        599 25
QSO: 21065 CW 2013-11-24 2354 VE7BQO        599 03     JR2PMT        599 25
QSO: 21049 CW 2013-11-24 2356 VE7BQO        599 03     JA2VHO        599 25
QSO: 21033 CW 2013-11-24 2358 VE7BQO        599 03     WX6V          599 03
END-OF-LOG:
