START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: IARU-HF
CALLSIGN: UX5VK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UX5VK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for IARU-HF ARRL/iaru_hf_world_championship/2018.
QSO: 14003 CW 2018-07-14 2120 UX5VK         599 29 OP0HQ         599 UBA
QSO: 14033 CW 2018-07-15 0818 UX5VK         599 29 OZ1HQ         599 EDR
QSO: 14034 CW 2018-07-15 0818 UX5VK         599 29 Y86Y          599 28
QSO: 14040 CW 2018-07-15 0819 UX5VK         599 29 G5W           599 AC
QSO: 14039 CW 2018-07-15 0821 UX5VK         599 29 IR4M          599 28
QSO: 14040 CW 2018-07-15 0821 UX5VK         599 29 Y82N          599 28
QSO: 14000 CW 2018-07-15 0822 UX5VK         599 29 SP2XX         599 28
QSO: 14042 CW 2018-07-15 0824 UX5VK         599 29 OE0HQ         599 OVSV
QSO: 14046 CW 2018-07-15 0826 UX5VK         599 29 OH5C          599 18
QSO: 14049 CW 2018-07-15 0827 UX5VK         599 29 ED7K          599 37
QSO: 14052 CW 2018-07-15 0828 UX5VK         599 29 F4VSQ         599 27
QSO: 14054 CW 2018-07-15 0829 UX5VK         599 29 Y84Q          599 28
QSO: 14000 CW 2018-07-15 0830 UX5VK         599 29 UX7QD         599 29
QSO: 14057 CW 2018-07-15 0831 UX5VK         599 29 DL1SO         599 28
QSO: 14057 CW 2018-07-15 0832 UX5VK         599 29 5B4AJC        599 39
QSO: 14059 CW 2018-07-15 0833 UX5VK         599 29 Y82W          599 28
QSO: 14000 CW 2018-07-15 0835 UX5VK         599 29 DL1RIO/P      599 28
END-OF-LOG:
