START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.34.1
CONTEST: REF-SSB
LOCATION: 68
CALLSIGN: F1TRE
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 80600
OPERATORS: F1TRE
CLUB: CLIPPERTON DX CLUB
NAME: CHELI
CERTIFICATE: NO
SOAPBOX: Petite participation de 9h de trafic pour cette partie phone,
QSO:  7159 PH 2021-02-28 0947 F1TRE         59  68     IK5RLP        59  228   
QSO:  7085 PH 2021-02-28 0949 F1TRE         59  68     F5BMI         59  46    
QSO:  7123 PH 2021-02-28 0950 F1TRE         59  68     F5MLJ         59  41    
QSO:  7129 PH 2021-02-28 1017 F1TRE         59  68     F5NKX         59  50    
QSO:  7172 PH 2021-02-28 1019 F1TRE         59  68     F4IDB         59  83    
QSO:  7162 PH 2021-02-28 1021 F1TRE         59  68     F1AGR         59  46    
QSO:  7137 PH 2021-02-28 1022 F1TRE         59  68     F4KKF         59  13    
QSO:  7181 PH 2021-02-28 1024 F1TRE         59  68     F5OQL         59  79    
QSO:  7175 PH 2021-02-28 1025 F1TRE         59  68     F5KHP         59  32    
QSO:  7087 PH 2021-02-28 1027 F1TRE         59  68     F5PAC         59  68    
QSO:  7169 PH 2021-02-28 1039 F1TRE         59  68     F4HIK         59  86    
QSO:  7162 PH 2021-02-28 1040 F1TRE         59  68     F4HRD         59  62    
QSO:  7188 PH 2021-02-28 1042 F1TRE         59  68     F4GDO         59  72    
QSO:  7192 PH 2021-02-28 1043 F1TRE         59  68     F4EEJ         59  16    
QSO:  7174 PH 2021-02-28 1044 F1TRE         59  68     F1UBA         59  66    
QSO:  7143 PH 2021-02-28 1046 F1TRE         59  68     F2CT          59  64    
QSO:  7131 PH 2021-02-28 1101 F1TRE         59  68     F4HSR         59  76    
QSO:  7116 PH 2021-02-28 1102 F1TRE         59  68     F6ITD         59  31    
QSO:  7113 PH 2021-02-28 1105 F1TRE         59  68     F1TXI         59  79    
QSO:  7167 PH 2021-02-28 1528 F1TRE         59  68     F5PTI         59  16    
QSO:  7175 PH 2021-02-28 1531 F1TRE         59  68     DL5YM         59  479   
QSO:  7165 PH 2021-02-28 1548 F1TRE         59  68     F5KBG         59  03    
QSO:  7162 PH 2021-02-28 1554 F1TRE         59  68     F8GQO         59  81    
QSO:  7171 PH 2021-02-28 1558 F1TRE         59  68     F4EFA         59  30    
QSO:  7198 PH 2021-02-28 1600 F1TRE         59  68     F6GPT         59  33    
QSO:  7185 PH 2021-02-28 1601 F1TRE         59  68     F4HTO         59  62    
QSO:  7177 PH 2021-02-28 1602 F1TRE         59  68     F5PZR         59  77    
QSO:  7142 PH 2021-02-28 1715 F1TRE         59  68     F4CWN         59  32    
QSO:  3678 PH 2021-02-28 1723 F1TRE         59  68     F4FJH         59  29    
QSO:  3669 PH 2021-02-28 1725 F1TRE         59  68     F5HIJ         59  33    
QSO:  3643 PH 2021-02-28 1727 F1TRE         59  68     F4DPW         59  95    
QSO:  3632 PH 2021-02-28 1729 F1TRE         59  68     F4BEV         59  41    
QSO:  3624 PH 2021-02-28 1731 F1TRE         59  68     F4EIK         59  52    
QSO:  3700 PH 2021-02-28 1737 F1TRE         59  68     F5PZR         59  77    
QSO:  3696 PH 2021-02-28 1737 F1TRE         59  68     F5OHM         59  36    
QSO:  3678 PH 2021-02-28 1741 F1TRE         59  68     F4BDG         59  77    
QSO:  3678 PH 2021-02-28 1742 F1TRE         59  68     F1MFN         59  01    
QSO:  3678 PH 2021-02-28 1743 F1TRE         59  68     DD8SM         59  348   
QSO:  3678 PH 2021-02-28 1744 F1TRE         59  68     DF2RG         59  096   
QSO:  3678 PH 2021-02-28 1744 F1TRE         59  68     SP3J          59  036   
QSO:  3678 PH 2021-02-28 1745 F1TRE         59  68     F8BTX         59  82    
QSO:  3678 PH 2021-02-28 1745 F1TRE         59  68     TM2F          59  02    
QSO:  3678 PH 2021-02-28 1746 F1TRE         59  68     F6EPM         59  33    
QSO:  3678 PH 2021-02-28 1746 F1TRE         59  68     F8VNU         59  34    
QSO:  3678 PH 2021-02-28 1746 F1TRE         59  68     F6CZQ         59  73    
QSO:  3678 PH 2021-02-28 1747 F1TRE         59  68     F6DZU         59  40    
QSO:  3678 PH 2021-02-28 1748 F1TRE         59  68     F4WBL         59  42    
QSO:  3678 PH 2021-02-28 1748 F1TRE         59  68     F1TZE         59  60    
QSO:  3678 PH 2021-02-28 1749 F1TRE         59  68     F5KBG         59  03    
QSO:  3678 PH 2021-02-28 1750 F1TRE         59  68     F8CFO         59  63    
QSO:  3678 PH 2021-02-28 1751 F1TRE         59  68     F5KDY         59  28    
QSO:  3678 PH 2021-02-28 1751 F1TRE         59  68     F4GPK         59  60    
QSO:  3678 PH 2021-02-28 1752 F1TRE         59  68     F5SHN         59  03    
QSO:  3678 PH 2021-02-28 1752 F1TRE         59  68     F5LWF         59  51    
QSO:  3678 PH 2021-02-28 1753 F1TRE         59  68     F5JCE         59  73    
QSO:  3678 PH 2021-02-28 1754 F1TRE         59  68     F1AXL         59  74    
QSO:  3678 PH 2021-02-28 1754 F1TRE         59  68     TM0GL         59  44    
QSO:  3678 PH 2021-02-28 1755 F1TRE         59  68     ON7JV         59  156   
QSO:  3678 PH 2021-02-28 1755 F1TRE         59  68     F4IMP         59  14    
QSO:  3678 PH 2021-02-28 1756 F1TRE         59  68     F6IWW         59  08    
QSO:  3678 PH 2021-02-28 1757 F1TRE         59  68     F2YQ          59  45    
END-OF-LOG:
