START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: KA3MTT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KA3MTT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2015.
QSO: 21000 PH 2015-03-28 1600 KA3MTT        59 NR7DX         59 1278
QSO: 21287 PH 2015-03-29 1455 KA3MTT        59 56 KK6P          59 2042
QSO: 21288 PH 2015-03-29 1456 KA3MTT        59 057 ZF1A          59 2006
QSO: 21335 PH 2015-03-29 1457 KA3MTT        59 0058 N7RQ          59 1152
QSO: 21350 PH 2015-03-29 1457 KA3MTT        59 0059 ZF2DX         59 3482
QSO: 21368 PH 2015-03-29 1458 KA3MTT        59 060 CN2AA         59 3742
QSO: 21000 PH 2015-03-29 1526 KA3MTT        59 0062 CO2WL         59 0562
QSO: 21000 PH 2015-03-29 1526 KA3MTT        59 061 W6AFA         59 950
QSO: 21364 PH 2015-03-29 1529 KA3MTT        59 063 PJ2T          59 2477
QSO: 21220 PH 2015-03-29 2013 KA3MTT        59 0064 YY1YLY        59 1566
QSO: 21254 PH 2015-03-29 2014 KA3MTT        59 0065 K6GHA         59 0830
QSO: 21305 PH 2015-03-29 2020 KA3MTT        59 0066 N6YG          59 0627
QSO: 21342 PH 2015-03-29 2022 KA3MTT        59 067 EA5DFV        59 2642
QSO: 14000 PH 2015-03-29 2026 KA3MTT        59 0068 SP9LJD        59 1821
QSO: 14170 PH 2015-03-29 2212 KA3MTT        59 069 CN3A          59 2436
QSO: 14194 PH 2015-03-29 2213 KA3MTT        59 070 HG7T          59 1420
QSO: 14204 PH 2015-03-29 2214 KA3MTT        59 0071 9A8M          59 4110
QSO: 14000 PH 2015-03-29 2215 KA3MTT        59 72 OT5A          59 1765
QSO:  7152 PH 2015-03-29 2216 KA3MTT        59 0073 NW2K          59 0187
QSO:  7156 PH 2015-03-29 2217 KA3MTT        59 0074 N8BJQ         59 1278
QSO:  7161 PH 2015-03-29 2217 KA3MTT        59 0075 NQ9A          59 0455
QSO:  7165 PH 2015-03-29 2218 KA3MTT        59 76 KM9M          59 97
QSO:  7171 PH 2015-03-29 2219 KA3MTT        59 0077 K8AO          59 0998
QSO:  7174 PH 2015-03-29 2219 KA3MTT        59 78 W9QL          59 565
QSO:  7176 PH 2015-03-29 2219 KA3MTT        59 0079 WT2P          59 0321
QSO:  7180 PH 2015-03-29 2220 KA3MTT        59 080 AG4W          59 1137
QSO:  7187 PH 2015-03-29 2221 KA3MTT        59 0081 AC3U          59 0715
QSO:  7190 PH 2015-03-29 2222 KA3MTT        59 082 NV1N          59 3479
QSO:  7000 PH 2015-03-29 2225 KA3MTT        59 0083 WO9S          59 0314
QSO:  7155 PH 2015-03-29 2233 KA3MTT        59 0088 WT9Q          59 0108
QSO:  7155 PH 2015-03-29 2235 KA3MTT        59 89 VE3RCN        59 054
QSO:  3790 PH 2015-03-29 2238 KA3MTT        59 0090 WX3B          59 0536
QSO: 21210 PH 2015-03-29 2239 KA3MTT        59 091 KP4RV         59 1828
QSO: 21238 PH 2015-03-29 2245 KA3MTT        59 0092 PJ4Z          59 6067
QSO: 21258 PH 2015-03-29 2248 KA3MTT        59 93 VC7GL         59 3359
QSO:  7169 PH 2015-03-29 2255 KA3MTT        59 094 W9IU          59 1393
END-OF-LOG:
