START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.16.0
CONTEST: CQ-WPX-SSB
LOCATION: DX
CALLSIGN: I2WIJ
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 49140
CLUB: ITALIAN CONTEST CLUB
OPERATORS:
NAME: Roberto SORO
SOAPBOX: As usual, no time for this contest. 73. Bob, I2WIJ
QSO: 21189 PH 2015-03-28 2044 I2WIJ         59  0025   PS5A          59  467
QSO: 21166 PH 2015-03-28 2048 I2WIJ         59  0026   EF8U          59  344
QSO: 21153 PH 2015-03-28 2049 I2WIJ         59  0027   CS9ABE        59  193
QSO: 21210 PH 2015-03-28 2050 I2WIJ         59  0028   W3LL          59  959
QSO: 21218 PH 2015-03-28 2051 I2WIJ         59  0029   CQ3L          59  2850
QSO: 21311 PH 2015-03-28 2053 I2WIJ         59  0030   PX5E          59  2798
QSO: 21412 PH 2015-03-28 2056 I2WIJ         59  0031   6Y4W          59  2443
QSO: 21416 PH 2015-03-28 2057 I2WIJ         59  0032   CX2CC         59  309
QSO: 21449 PH 2015-03-28 2059 I2WIJ         59  0033   YV5KG         59  669
QSO: 21309 PH 2015-03-28 2103 I2WIJ         59  0034   NQ2F          59  1273
QSO:  1869 PH 2015-03-28 2105 I2WIJ         59  0035   CN2AA         59  067
QSO:  1858 PH 2015-03-28 2105 I2WIJ         59  0036   LZ9W          59  210
QSO:  1852 PH 2015-03-28 2106 I2WIJ         59  0037   9A1A          59  318
QSO:  1846 PH 2015-03-28 2106 I2WIJ         59  0038   DK1NO         59  395
QSO:  1844 PH 2015-03-28 2107 I2WIJ         59  0039   OT5A          59  272
QSO:  1833 PH 2015-03-28 2108 I2WIJ         59  0040   DF2DJ         59  277
QSO:  1836 PH 2015-03-28 2109 I2WIJ         59  0041   SN7D          59  289
QSO:  1840 PH 2015-03-28 2110 I2WIJ         59  0042   DF9OO         59  534
QSO:  1840 PH 2015-03-28 2110 I2WIJ         59  0043   DL3EAZ        59  033
QSO:  1840 PH 2015-03-28 2111 I2WIJ         59  0044   HE200GE       59  014
QSO:  1840 PH 2015-03-28 2111 I2WIJ         59  0045   OM4WW         59  087
QSO:  1840 PH 2015-03-28 2111 I2WIJ         59  0046   9A4ZZ         59  033
QSO:  1840 PH 2015-03-28 2113 I2WIJ         59  0047   IT9YAO        59  005
QSO:  1840 PH 2015-03-28 2113 I2WIJ         59  0048   YO7LCB        59  066
QSO:  1840 PH 2015-03-28 2114 I2WIJ         59  0049   OR4W          59  117
QSO:  1840 PH 2015-03-28 2116 I2WIJ         59  0050   IK4MFR        59  002
QSO:  1840 PH 2015-03-28 2116 I2WIJ         59  0051   HA1TI         59  069
QSO:  1840 PH 2015-03-28 2117 I2WIJ         59  0052   HG1S          59  2229
QSO:  1840 PH 2015-03-28 2118 I2WIJ         59  0053   DJ1AA         59  1434
QSO:  1840 PH 2015-03-28 2118 I2WIJ         59  0054   E74CVZ        59  005
QSO:  1840 PH 2015-03-28 2119 I2WIJ         59  0055   SQ5ASR        59  021
QSO:  1840 PH 2015-03-28 2122 I2WIJ         59  0056   OK1DQT        59  005
QSO:  1840 PH 2015-03-28 2122 I2WIJ         59  0057   S56A          59  350
QSO:  1840 PH 2015-03-28 2125 I2WIJ         59  0058   9A1IW         59  030
QSO:  1840 PH 2015-03-28 2126 I2WIJ         59  0059   DL2RZG        59  033
QSO:  1840 PH 2015-03-28 2126 I2WIJ         59  0060   SV3ICL        59  140
QSO:  1840 PH 2015-03-28 2127 I2WIJ         59  0061   DL5ST         59  061
QSO:  1840 PH 2015-03-28 2127 I2WIJ         59  0062   ES5Q          59  1129
QSO:  1840 PH 2015-03-28 2128 I2WIJ         59  0063   IK1SPR        59  007
QSO:  1840 PH 2015-03-28 2128 I2WIJ         59  0064   YO3HOT        59  054
QSO:  1840 PH 2015-03-28 2129 I2WIJ         59  0065   PA5WK         59  137
QSO:  1840 PH 2015-03-28 2130 I2WIJ         59  0066   SQ6H          59  813
QSO:  1840 PH 2015-03-28 2131 I2WIJ         59  0067   S57O          59  279
QSO:  1840 PH 2015-03-28 2131 I2WIJ         59  0068   DR5N          59  054
QSO:  1840 PH 2015-03-28 2131 I2WIJ         59  0069   SQ6EMM        59  054
QSO:  1840 PH 2015-03-28 2132 I2WIJ         59  0070   DJ3HW         59  801
QSO:  1840 PH 2015-03-28 2132 I2WIJ         59  0071   G4IIY         59  059
QSO:  1840 PH 2015-03-28 2134 I2WIJ         59  0072   DL2SAX        59  047
QSO:  1840 PH 2015-03-28 2134 I2WIJ         59  0073   S56P          59  382
QSO:  1840 PH 2015-03-28 2134 I2WIJ         59  0074   DQ8N          59  042
QSO:  1840 PH 2015-03-28 2135 I2WIJ         59  0075   EB1LA         59  174
QSO:  1840 PH 2015-03-28 2136 I2WIJ         59  0076   IV3BCA        59  379
QSO:  1840 PH 2015-03-28 2137 I2WIJ         59  0077   DK0RX         59  654
QSO:  7065 PH 2015-03-28 2140 I2WIJ         59  0078   CN3A          59  821
QSO:  7087 PH 2015-03-28 2148 I2WIJ         59  0079   P33W          59  4607
QSO:  7097 PH 2015-03-28 2149 I2WIJ         59  0080   A71BX         59  577
QSO:  7050 PH 2015-03-28 2150 I2WIJ         59  0081   SZ1A          59  1577
QSO:  7095 PH 2015-03-28 2152 I2WIJ         59  0082   UW2M          59  2159
QSO:  7113 PH 2015-03-28 2152 I2WIJ         59  0083   LY1ER         59  278
QSO:  7116 PH 2015-03-28 2153 I2WIJ         59  0084   EC2DX         59  1207
QSO:  7121 PH 2015-03-28 2153 I2WIJ         59  0085   LY7A          59  705
QSO:  7124 PH 2015-03-28 2153 I2WIJ         59  0086   LY4A          59  446
QSO:  7126 PH 2015-03-28 2154 I2WIJ         59  0087   EF7T          59  1530
QSO:  7130 PH 2015-03-28 2155 I2WIJ         59  0088   RT4F          59  2325
QSO:  7132 PH 2015-03-28 2156 I2WIJ         59  0089   OT5A          59  1195
QSO:  7135 PH 2015-03-28 2156 I2WIJ         59  0090   EU1A          59  1811
QSO:  7137 PH 2015-03-28 2158 I2WIJ         59  0091   J42T          59  744
QSO:  7137 PH 2015-03-28 2159 I2WIJ         59  0092   EA3EZD        59  282
QSO:  7140 PH 2015-03-28 2201 I2WIJ         59  0093   M4D           59  956
QSO:  7141 PH 2015-03-28 2202 I2WIJ         59  0094   G9V           59  1361
QSO: 28522 PH 2015-03-29 1513 I2WIJ         59  0095   D4C           59  3533
QSO: 28531 PH 2015-03-29 1521 I2WIJ         59  0096   EF8U          59  1509
QSO: 28533 PH 2015-03-29 1521 I2WIJ         59  0097   CN3A          59  3187
QSO: 28318 PH 2015-03-29 1524 I2WIJ         59  0098   8P5A          59  5302
QSO: 28355 PH 2015-03-29 1527 I2WIJ         59  0099   P40L          59  4530
QSO: 28394 PH 2015-03-29 1528 I2WIJ         59  0100   ZW8T          59  473
QSO: 28433 PH 2015-03-29 1529 I2WIJ         59  0101   PQ5B          59  4046
QSO: 28451 PH 2015-03-29 1530 I2WIJ         59  0102   P33W          59  7349
QSO: 28471 PH 2015-03-29 1532 I2WIJ         59  0103   PY2NY         59  395
QSO: 28474 PH 2015-03-29 1532 I2WIJ         59  0104   4X2M          59  925
QSO: 28500 PH 2015-03-29 1533 I2WIJ         59  0105   C4Z           59  967
QSO: 28508 PH 2015-03-29 1533 I2WIJ         59  0106   S57DX         59  1329
QSO: 28544 PH 2015-03-29 1535 I2WIJ         59  0107   PY5ARP        59  1406
QSO: 28571 PH 2015-03-29 1536 I2WIJ         59  0108   ZW5B          59  2739
QSO: 28627 PH 2015-03-29 1539 I2WIJ         59  0109   CT9/R9DX      59  3890
QSO: 28632 PH 2015-03-29 1539 I2WIJ         59  0110   LT0H          59  1681
QSO: 28640 PH 2015-03-29 1540 I2WIJ         59  0111   PY1NX         59  2673
QSO: 28656 PH 2015-03-29 1540 I2WIJ         59  0112   A71GO         59  775
QSO: 28666 PH 2015-03-29 1542 I2WIJ         59  0113   PJ4DX         59  4280
QSO: 28694 PH 2015-03-29 1542 I2WIJ         59  0114   ZX2B          59  2979
QSO: 28699 PH 2015-03-29 1544 I2WIJ         59  0115   HZ1PS         59  262
QSO: 28729 PH 2015-03-29 1545 I2WIJ         59  0116   TO6D          59  345
QSO: 28618 PH 2015-03-29 1548 I2WIJ         59  0117   FY5FY         59  3392
QSO: 28416 PH 2015-03-29 1553 I2WIJ         59  0118   PX5E          59  4496
QSO: 28367 PH 2015-03-29 1554 I2WIJ         59  0119   CQ3L          59  4474
QSO: 28304 PH 2015-03-29 1556 I2WIJ         59  0120   PY3KN         59  1554
QSO: 21198 PH 2015-03-29 1556 I2WIJ         59  0121   RA5D          59  802
QSO: 21177 PH 2015-03-29 1557 I2WIJ         59  0122   RZ4F          59  465
QSO: 21171 PH 2015-03-29 1557 I2WIJ         59  0123   CU7MD         59  539
QSO: 21158 PH 2015-03-29 1558 I2WIJ         59  0124   VY2ZM         59  3953
QSO: 21202 PH 2015-03-29 1559 I2WIJ         59  0125   K1LZ          59  3553
QSO: 21194 PH 2015-03-29 1600 I2WIJ         59  0126   SV1JG         59  1044
QSO: 21163 PH 2015-03-29 1601 I2WIJ         59  0127   C4A           59  1613
QSO: 21235 PH 2015-03-29 1602 I2WIJ         59  0128   5E5E          59  3538
QSO: 21240 PH 2015-03-29 1603 I2WIJ         59  0129   HS0ZCW        59  1532
QSO: 21244 PH 2015-03-29 1605 I2WIJ         59  0130   SX9C          59  1723
QSO: 21252 PH 2015-03-29 1606 I2WIJ         59  0131   UT3QD         59  417
QSO: 21258 PH 2015-03-29 1609 I2WIJ         59  0132   EY7BL         59  179
QSO: 21258 PH 2015-03-29 1609 I2WIJ         59  0133   UT3EK         59  319
QSO: 21258 PH 2015-03-29 1610 I2WIJ         59  0134   TA1API        59  304
QSO: 21258 PH 2015-03-29 1610 I2WIJ         59  0135   RA1ANY        59  752
QSO: 21258 PH 2015-03-29 1611 I2WIJ         59  0136   RA4ACX        59  313
QSO: 21258 PH 2015-03-29 1613 I2WIJ         59  0137   OM7M          59  4087
QSO: 21258 PH 2015-03-29 1614 I2WIJ         59  0138   CT2HTM        59  237
QSO: 21258 PH 2015-03-29 1614 I2WIJ         59  0139   EV6M          59  226
QSO: 21258 PH 2015-03-29 1615 I2WIJ         59  0140   RZ1OK         59  629
QSO: 21258 PH 2015-03-29 1616 I2WIJ         59  0141   U1BD          59  633
QSO: 21258 PH 2015-03-29 1617 I2WIJ         59  0142   UI3A          59  209
QSO: 21258 PH 2015-03-29 1620 I2WIJ         59  0143   RO5I          59  192
QSO: 21150 PH 2015-03-29 1623 I2WIJ         59  0144   A65DR         59  1394
QSO: 21165 PH 2015-03-29 1623 I2WIJ         59  0145   EA9CD         59  166
QSO: 21186 PH 2015-03-29 1627 I2WIJ         59  0146   DP6T          59  773
QSO: 21197 PH 2015-03-29 1628 I2WIJ         59  0147   OH1F          59  1769
QSO: 21214 PH 2015-03-29 1629 I2WIJ         59  0148   P3F           59  174
QSO: 21269 PH 2015-03-29 1630 I2WIJ         59  0149   RJ4P          59  3278
QSO: 21294 PH 2015-03-29 1631 I2WIJ         59  0150   UW2M          59  3359
QSO: 21314 PH 2015-03-29 1632 I2WIJ         59  0151   VR2XAN        59  1087
QSO: 21328 PH 2015-03-29 1636 I2WIJ         59  0152   XW1IC         59  3052
QSO: 21298 PH 2015-03-29 1638 I2WIJ         59  0153   CR6P          59  1199
QSO: 21320 PH 2015-03-29 1641 I2WIJ         59  0154   RT5Z          59  1772
QSO: 21316 PH 2015-03-29 1641 I2WIJ         59  0155   E7DX          59  5115
END-OF-LOG:
