START-OF-LOG: 3.0
CALLSIGN: GM3A
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 21084
NAME: John
LOCATION: DX
OPERATORS: GM3A
CLUB: Aberdeen ARS
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: First time in contest. Could only operate for limited time
QSO:  7040 RY 2018-02-10 1322 GM3A          599 0032   DL7AU         599 0009
QSO:  7042 RY 2018-02-10 1326 GM3A          599 0033   G3PXT         599 0136
QSO:  7046 RY 2018-02-10 1328 GM3A          599 0034   G8HBA         599 0155
QSO:  7055 RY 2018-02-10 1329 GM3A          599 0035   DL3SYA        599 0183
QSO:  7057 RY 2018-02-10 1330 GM3A          599 0036   LX7I          599 0584
QSO: 14071 RY 2018-02-10 1333 GM3A          599 0037   ES100O        599 0236
QSO: 14076 RY 2018-02-10 1334 GM3A          599 0038   OM3SEM        599 0036
QSO: 14078 RY 2018-02-10 1337 GM3A          599 0039   LY2W          599 0412
QSO: 14078 RY 2018-02-10 1338 GM3A          599 0040   YT9A          599 0103
QSO: 14080 RY 2018-02-10 1340 GM3A          599 0041   IQ3ME         599 0007
QSO: 14086 RY 2018-02-10 1346 GM3A          599 0042   S57K          599 0657
QSO: 14087 RY 2018-02-10 1349 GM3A          599 0043   OE2E          599 0152
QSO: 14088 RY 2018-02-10 1349 GM3A          599 0044   IK3TPP        599 0286
QSO: 14089 RY 2018-02-10 1351 GM3A          599 0045   EO4M          599 0756
QSO: 14090 RY 2018-02-10 1351 GM3A          599 0046   OG3P          599 0036
QSO: 14091 RY 2018-02-10 1354 GM3A          599 0047   W3LL          599 0567
QSO: 14092 RY 2018-02-10 1355 GM3A          599 0048   IK5AMB        599 0124
QSO: 14093 RY 2018-02-10 1356 GM3A          599 0049   I8UZA         599 0288
QSO: 14099 RY 2018-02-10 1357 GM3A          599 0050   Z37M          599 0500
QSO: 14100 RY 2018-02-10 1359 GM3A          599 0051   R1LN          599 0052
QSO: 14101 RY 2018-02-10 1401 GM3A          599 0052   LY1R          599 0304
QSO: 14102 RY 2018-02-10 1402 GM3A          599 0053   IK4GNI        599 0296
QSO: 14104 RY 2018-02-10 1404 GM3A          599 0054   LY100CY       599 0467
QSO: 14105 RY 2018-02-10 1405 GM3A          599 0055   OK1PI         599 0145
QSO: 14107 RY 2018-02-10 1406 GM3A          599 0056   K3WW          599 0443
QSO: 14108 RY 2018-02-10 1408 GM3A          599 0057   IZ8FWN        599 0500
QSO: 14111 RY 2018-02-10 1409 GM3A          599 0058   II2RR         599 0158
QSO: 14112 RY 2018-02-10 1410 GM3A          599 0059   I/HB9TTK      599 0089
QSO: 14113 RY 2018-02-10 1412 GM3A          599 0060   OH9VD         599 0096
QSO: 14114 RY 2018-02-10 1413 GM3A          599 0061   SP9W          599 0125
QSO: 14114 RY 2018-02-10 1414 GM3A          599 0062   IU4CHE        599 0307
QSO: 14116 RY 2018-02-10 1415 GM3A          599 0063   UW3U          599 0413
QSO: 14119 RY 2018-02-10 1417 GM3A          599 0064   UX1UX         599 0416
QSO: 14121 RY 2018-02-10 1419 GM3A          599 0065   9A7T          599 0412
QSO: 14123 RY 2018-02-10 1422 GM3A          599 0066   OK6W          599 0978
QSO: 14130 RY 2018-02-10 1427 GM3A          599 0067   N2WK          599 0330
QSO: 14130 RY 2018-02-10 1427 GM3A          599 0068   SN7Q          599 1041
QSO: 14134 RY 2018-02-10 1429 GM3A          599 0069   IT9RGY/I4     599 0537
QSO: 14135 RY 2018-02-10 1430 GM3A          599 0070   IT9VCE        599 0284
QSO: 14142 RY 2018-02-10 1438 GM3A          599 0071   S57AM         599 0277
QSO: 14143 RY 2018-02-10 1440 GM3A          599 0072   AB0RX         599 0081
QSO: 14146 RY 2018-02-10 1443 GM3A          599 0073   UX1UF         599 0019
QSO: 14071 RY 2018-02-10 1444 GM3A          599 0074   EA1WS         599 0293
QSO: 14077 RY 2018-02-10 1446 GM3A          599 0075   IK1UGX        599 0107
QSO: 14081 RY 2018-02-10 1449 GM3A          599 0076   IK2LOL        599 0183
QSO: 14085 RY 2018-02-10 1450 GM3A          599 0077   S51A          599 0337
QSO: 14094 RY 2018-02-10 1453 GM3A          599 0078   UR7R          599 0111
QSO: 14094 RY 2018-02-10 1454 GM3A          599 0079   IU6DVS        599 0273
QSO: 14098 RY 2018-02-10 1457 GM3A          599 0080   IU4FKR        599 0068
QSO: 14101 RY 2018-02-10 1457 GM3A          599 0081   IQ3UD         599 0419
QSO: 14105 RY 2018-02-10 1505 GM3A          599 0082   HG7T          599 0386
QSO: 14110 RY 2018-02-10 1508 GM3A          599 0083   AK1W          599 0690
QSO: 14114 RY 2018-02-10 1510 GM3A          599 0084   OM5MX         599 0089
QSO: 14115 RY 2018-02-10 1511 GM3A          599 0085   EB7DX         599 0485
QSO: 14125 RY 2018-02-10 1516 GM3A          599 0086   RA7A          599 0115
QSO: 14127 RY 2018-02-10 1518 GM3A          599 0087   9A3TY         599 0037
QSO: 14129 RY 2018-02-10 1519 GM3A          599 0088   AC0C          599 0963
QSO: 14130 RY 2018-02-10 1520 GM3A          599 0089   K4WW          599 0292
QSO: 14133 RY 2018-02-10 1521 GM3A          599 0090   S51MA         599 0078
QSO: 14143 RY 2018-02-10 1524 GM3A          599 0091   S57DX         599 0112
QSO:  7035 RY 2018-02-10 1531 GM3A          599 0092   S53X          599 0481
QSO:  7041 RY 2018-02-10 1536 GM3A          599 0093   US7KC         599 0323
QSO:  7044 RY 2018-02-10 1538 GM3A          599 0094   ON5GQ         599 0312
QSO:  7047 RY 2018-02-10 1540 GM3A          599 0095   SM5FUG        599 0117
QSO:  7050 RY 2018-02-10 1547 GM3A          599 0096   EW8W          599 0121
QSO:  7052 RY 2018-02-10 1550 GM3A          599 0097   CR5V          599 0850
QSO:  7055 RY 2018-02-10 1554 GM3A          599 0098   LY2W          599 0780
QSO:  7057 RY 2018-02-10 1556 GM3A          599 0099   IZ0KBR        599 0462
QSO:  7058 RY 2018-02-10 1557 GM3A          599 0100   EW6EN         599 0347
END-OF-LOG:
