START-OF-LOG: 3.0
CALLSIGN: OH8KA
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 22532
NAME: Antti Kansakoski
LOCATION: DX
OPERATORS: OH8KA
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6059.0
SOAPBOX: Nice contest as always. FT-990, 50-70W, OCF-dipole 80-10m @ 12m
QSO: 14000 RY 2017-02-11 1435 OH8KA         599 0021   IQ2CJ         599 0293
QSO: 14000 RY 2017-02-11 1436 OH8KA         599 0022   YO3RU         599 0341
QSO: 14000 RY 2017-02-11 1438 OH8KA         599 0023   OK2RVM        599 0280
QSO: 14000 RY 2017-02-11 1439 OH8KA         599 0024   OM3KWZ        599 0427
QSO: 14000 RY 2017-02-11 1440 OH8KA         599 0025   R2ZX          599 0108
QSO: 14000 RY 2017-02-11 1440 OH8KA         599 0026   OM7AG         599 0108
QSO: 14000 RY 2017-02-11 1441 OH8KA         599 0027   DL2HYH        599 0124
QSO: 14000 RY 2017-02-11 1445 OH8KA         599 0028   SP6DMI        599 0114
QSO: 14000 RY 2017-02-11 1450 OH8KA         599 0029   LZ8E          599 1003
QSO: 14000 RY 2017-02-11 1452 OH8KA         599 0030   HA1SU         599 0121
QSO: 14000 RY 2017-02-11 1453 OH8KA         599 0031   F5POJ         599 0210
QSO:  7000 RY 2017-02-11 1759 OH8KA         599 0032   RA6XV         599 0115
QSO:  7000 RY 2017-02-11 1802 OH8KA         599 0033   9A1A          599 0920
QSO:  7000 RY 2017-02-11 1803 OH8KA         599 0034   OE2LCM        599 0356
QSO:  7000 RY 2017-02-11 2136 OH8KA         599 0035   YT5X          599 0516
QSO: 21000 RY 2017-02-12 1000 OH8KA         599 0036   SZ1A          599 2227
QSO: 21000 RY 2017-02-12 1001 OH8KA         599 0037   EA3GP         599 0077
QSO: 21000 RY 2017-02-12 1003 OH8KA         599 0038   TK4LS         599 0078
QSO: 21000 RY 2017-02-12 1006 OH8KA         599 0039   UC8U          599 1068
QSO: 21000 RY 2017-02-12 1007 OH8KA         599 0040   HG8C          599 0627
QSO: 21000 RY 2017-02-12 1011 OH8KA         599 0041   IK5FKF        599 0345
QSO: 21000 RY 2017-02-12 1016 OH8KA         599 0042   ED2C          599 0218
QSO: 21000 RY 2017-02-12 1017 OH8KA         599 0043   IQ9UI         599 2044
QSO: 21000 RY 2017-02-12 1019 OH8KA         599 0044   EA1ACP        599 0302
QSO: 21000 RY 2017-02-12 1020 OH8KA         599 0045   F4FDR         599 0503
QSO: 14000 RY 2017-02-12 1021 OH8KA         599 0046   UR0HQ         599 0536
QSO: 14000 RY 2017-02-12 1022 OH8KA         599 0047   RW4S          599 0394
QSO: 14000 RY 2017-02-12 1024 OH8KA         599 0048   PA2LP         599 0262
QSO: 14000 RY 2017-02-12 1024 OH8KA         599 0049   SP6GCU        599 0562
QSO: 14000 RY 2017-02-12 1026 OH8KA         599 0050   SP2IU         599 0037
QSO: 14000 RY 2017-02-12 1026 OH8KA         599 0051   DF2AD         599 0059
QSO: 14000 RY 2017-02-12 1028 OH8KA         599 0052   S52GO         599 0104
QSO: 14000 RY 2017-02-12 1028 OH8KA         599 0053   G5Q           599 0250
QSO: 14000 RY 2017-02-12 1031 OH8KA         599 0054   IZ8EFD        599 0290
QSO: 14000 RY 2017-02-12 1032 OH8KA         599 0055   DR3W          599 0537
QSO: 14000 RY 2017-02-12 1032 OH8KA         599 0056   DQ5M          599 1362
QSO: 14000 RY 2017-02-12 1034 OH8KA         599 0057   M7T           599 0415
QSO: 14000 RY 2017-02-12 1034 OH8KA         599 0058   DP7D          599 0683
QSO: 14000 RY 2017-02-12 1035 OH8KA         599 0059   DB2KT         599 0406
QSO: 14000 RY 2017-02-12 1036 OH8KA         599 0060   R9VA          599 0413
QSO: 14000 RY 2017-02-12 1038 OH8KA         599 0061   ON2AD         599 0045
QSO: 14000 RY 2017-02-12 1041 OH8KA         599 0062   IW1QN         599 0522
QSO: 14000 RY 2017-02-12 1042 OH8KA         599 0063   SP5KCR        599 0302
QSO: 14000 RY 2017-02-12 1044 OH8KA         599 0064   UT2AU         599 0405
QSO: 14000 RY 2017-02-12 1818 OH8KA         599 0065   NK7U          599 0981
QSO: 14000 RY 2017-02-12 1822 OH8KA         599 0066   KH6ZM         599 1063
QSO:  7000 RY 2017-02-12 1829 OH8KA         599 0067   LX4A          599 0771
QSO:  7000 RY 2017-02-12 1831 OH8KA         599 0068   IK3TPP        599 0849
QSO:  7000 RY 2017-02-12 1834 OH8KA         599 0069   DP7D          599 1028
QSO:  7000 RY 2017-02-12 1836 OH8KA         599 0070   HG8C          599 0784
QSO:  7000 RY 2017-02-12 1903 OH8KA         599 0071   DK6CQ         599 0688
QSO:  7000 RY 2017-02-12 1903 OH8KA         599 0072   IZ4NIC        599 1406
QSO:  7000 RY 2017-02-12 1904 OH8KA         599 0073   DM5TI         599 1272
QSO:  7000 RY 2017-02-12 1905 OH8KA         599 0074   9A6NA         599 0528
QSO:  7000 RY 2017-02-12 1908 OH8KA         599 0075   G8X           599 0689
QSO:  7000 RY 2017-02-12 1910 OH8KA         599 0076   IK2SND        599 0669
QSO:  7000 RY 2017-02-12 1910 OH8KA         599 0077   S50AL         599 1248
QSO:  7000 RY 2017-02-12 1911 OH8KA         599 0078   P3X           599 1440
QSO:  3500 RY 2017-02-12 2019 OH8KA         599 0079   IQ1RY         599 1056
QSO:  3500 RY 2017-02-12 2021 OH8KA         599 0080   DL70DSH       599 0512
QSO:  3500 RY 2017-02-12 2022 OH8KA         599 0081   S51A          599 0754
QSO:  3500 RY 2017-02-12 2023 OH8KA         599 0082   I4AVG         599 0878
QSO:  3500 RY 2017-02-12 2024 OH8KA         599 0083   DP7D          599 0660
QSO:  3500 RY 2017-02-12 2025 OH8KA         599 0084   GW0A          599 1476
QSO:  3500 RY 2017-02-12 2039 OH8KA         599 0085   UZ2HZ         599 0544
QSO:  3500 RY 2017-02-12 2052 OH8KA         599 0086   DM6DX         599 0846
QSO:  3500 RY 2017-02-12 2053 OH8KA         599 0087   OL9A          599 1213
QSO:  3500 RY 2017-02-12 2057 OH8KA         599 0088   OE1TKW        599 0384
QSO:  3500 RY 2017-02-12 2101 OH8KA         599 0089   DH0GHU        599 1061
QSO:  3500 RY 2017-02-12 2105 OH8KA         599 0090   UR1HM         599 0596
QSO: 14000 RY 2017-02-12 2108 OH8KA         599 0091   AA5AU         599 0856
QSO: 14000 RY 2017-02-12 2110 OH8KA         599 0092   N2WK          599 1565
QSO:  7000 RY 2017-02-12 2116 OH8KA         599 0093   S51A          599 1262
QSO:  7000 RY 2017-02-12 2128 OH8KA         599 0094   F6BQG         599 0287
QSO:  7000 RY 2017-02-12 2130 OH8KA         599 0095   IZ3SQW        599 0899
END-OF-LOG:
