START-OF-LOG: 3.0
CALLSIGN: G4OZG
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 115665
NAME: Ted Haskett
LOCATION: DX
OPERATORS: G4OZG
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: I have never used RTTY before entering this contest.
QSO: 14141 RY 2018-02-11 1537 G4OZG         599 0141   UT8IO         599 0268
QSO: 14144 RY 2018-02-11 1549 G4OZG         599 0142   IZ4COW        599 0163
QSO: 14140 RY 2018-02-11 1613 G4OZG         599 0143   IN3EQD        599 0195
QSO: 14128 RY 2018-02-11 1619 G4OZG         599 0144   IK3TPP        599 0723
QSO: 14127 RY 2018-02-11 1621 G4OZG         599 0145   W1TO          599 0385
QSO: 14110 RY 2018-02-11 1645 G4OZG         599 0146   KF2O          599 0864
QSO: 14103 RY 2018-02-11 1651 G4OZG         599 0147   VE3UTT        599 0238
QSO: 14090 RY 2018-02-11 1658 G4OZG         599 0148   CT1BXT        599 0783
QSO:  7052 RY 2018-02-11 1714 G4OZG         599 0149   S53X          599 1408
QSO:  7054 RY 2018-02-11 1717 G4OZG         599 0150   SN2M          599 1068
QSO:  7056 RY 2018-02-11 1823 G4OZG         599 0151   7S75AA        599 0746
QSO:  7057 RY 2018-02-11 1826 G4OZG         599 0152   EA3AQ         599 0341
QSO:  7058 RY 2018-02-11 1828 G4OZG         599 0153   EB8AH         599 1011
QSO:  7059 RY 2018-02-11 1833 G4OZG         599 0154   IQ3UD         599 1171
QSO:  7059 RY 2018-02-11 1837 G4OZG         599 0155   EA5DF         599 0063
QSO:  7061 RY 2018-02-11 1844 G4OZG         599 0156   SO100ZHP      599 0490
QSO:  7063 RY 2018-02-11 1848 G4OZG         599 0157   UZ2I          599 1906
QSO:  7063 RY 2018-02-11 1853 G4OZG         599 0158   RA6GW         599 0460
QSO:  7065 RY 2018-02-11 1856 G4OZG         599 0159   OM4Q          599 1523
QSO:  7065 RY 2018-02-11 1859 G4OZG         599 0160   IK2YCW        599 0138
QSO:  7068 RY 2018-02-11 1905 G4OZG         599 0161   P3X           599 1544
QSO:  7068 RY 2018-02-11 1906 G4OZG         599 0162   EA1WX         599 0375
QSO:  7069 RY 2018-02-11 1908 G4OZG         599 0163   OH2KW         599 0776
QSO:  7072 RY 2018-02-11 1913 G4OZG         599 0164   LZ7A          599 1045
QSO:  7074 RY 2018-02-11 1919 G4OZG         599 0165   S57K          599 1959
QSO:  7076 RY 2018-02-11 1924 G4OZG         599 0166   S52X          599 1364
QSO:  7082 RY 2018-02-11 1927 G4OZG         599 0167   S58Q          599 0643
QSO:  7082 RY 2018-02-11 1928 G4OZG         599 0168   EW1NM         599 0437
QSO:  7084 RY 2018-02-11 1932 G4OZG         599 0169   IK4ZHH        599 0188
QSO:  7094 RY 2018-02-11 1936 G4OZG         599 0170   IK7NXU        599 0425
QSO:  7036 RY 2018-02-11 1939 G4OZG         599 0171   YL2KO         599 0789
QSO:  7038 RY 2018-02-11 1941 G4OZG         599 0172   EW8W          599 0791
QSO:  7048 RY 2018-02-11 2006 G4OZG         599 0173   IK0CHU        599 0270
QSO:  7048 RY 2018-02-11 2008 G4OZG         599 0174   9A1FL         599 0230
QSO:  7064 RY 2018-02-11 2022 G4OZG         599 0175   IQ2CJ         599 2148
QSO:  3597 RY 2018-02-11 2029 G4OZG         599 0176   UB6B          599 0821
QSO:  3600 RY 2018-02-11 2034 G4OZG         599 0177   LX7I          599 1112
QSO:  3600 RY 2018-02-11 2035 G4OZG         599 0178   EA1WS         599 1139
QSO:  3602 RY 2018-02-11 2039 G4OZG         599 0179   I2WIJ         599 0998
QSO:  3604 RY 2018-02-11 2041 G4OZG         599 0180   SI6V          599 1078
QSO:  3604 RY 2018-02-11 2240 G4OZG         599 0181   DM6DX         599 0149
QSO:  3606 RY 2018-02-11 2245 G4OZG         599 0182   OR3A          599 0560
QSO:  3606 RY 2018-02-11 2246 G4OZG         599 0183   DK1KC         599 0722
QSO:  3606 RY 2018-02-11 2249 G4OZG         599 0184   DD5M          599 0673
QSO:  3607 RY 2018-02-11 2251 G4OZG         599 0185   OM3ZWA        599 0591
QSO:  3608 RY 2018-02-11 2253 G4OZG         599 0186   DP4M          599 0111
QSO:  3610 RY 2018-02-11 2258 G4OZG         599 0187   DJ8EW         599 0762
QSO:  3611 RY 2018-02-11 2300 G4OZG         599 0188   HF0DKI        599 0220
QSO:  3611 RY 2018-02-11 2302 G4OZG         599 0189   OT8T          599 0661
QSO:  3612 RY 2018-02-11 2303 G4OZG         599 0190   OM7KW         599 0814
QSO:  3612 RY 2018-02-11 2305 G4OZG         599 0191   LA9TY         599 1018
QSO:  3614 RY 2018-02-11 2306 G4OZG         599 0192   EU4E          599 0766
QSO:  3618 RY 2018-02-11 2310 G4OZG         599 0193   ON3DI         599 0406
QSO:  3619 RY 2018-02-11 2312 G4OZG         599 0194   DK7HA         599 0913
QSO:  3579 RY 2018-02-11 2314 G4OZG         599 0195   Z60A          599 1276
QSO:  3581 RY 2018-02-11 2316 G4OZG         599 0196   OM3IAG        599 0650
QSO:  3582 RY 2018-02-11 2317 G4OZG         599 0197   ON4CBA        599 0264
QSO:  3583 RY 2018-02-11 2318 G4OZG         599 0198   HG8R          599 1078
QSO:  3584 RY 2018-02-11 2321 G4OZG         599 0199   OK4GP         599 0571
QSO:  3585 RY 2018-02-11 2323 G4OZG         599 0200   OZ1ADL        599 0604
QSO:  3586 RY 2018-02-11 2324 G4OZG         599 0201   OE9R          599 1769
QSO:  3588 RY 2018-02-11 2327 G4OZG         599 0202   OG2P          599 1461
QSO:  3589 RY 2018-02-11 2332 G4OZG         599 0203   DA0WRTC       599 0845
QSO:  3590 RY 2018-02-11 2334 G4OZG         599 0204   HB2K          599 0668
QSO:  3591 RY 2018-02-11 2335 G4OZG         599 0205   DO9PL         599 0198
QSO:  3594 RY 2018-02-11 2340 G4OZG         599 0206   9A1A          599 1072
QSO:  3595 RY 2018-02-11 2341 G4OZG         599 0207   LY2W          599 1026
QSO:  3595 RY 2018-02-11 2343 G4OZG         599 0208   7S5S          599 0533
QSO:  3597 RY 2018-02-11 2344 G4OZG         599 0209   ED1LO         599 1293
QSO:  3598 RY 2018-02-11 2345 G4OZG         599 0210   OH2HAN        599 1900
QSO:  3598 RY 2018-02-11 2346 G4OZG         599 0211   5P9X          599 1022
QSO:  3603 RY 2018-02-11 2355 G4OZG         599 0212   SO100ZHP      599 0556
QSO:  3604 RY 2018-02-11 2356 G4OZG         599 0213   G3TXF         599 1134
QSO:  3608 RY 2018-02-11 2359 G4OZG         599 0214   DL7URH        599 0458
END-OF-LOG:
