START-OF-LOG: 3.0
CALLSIGN: KX7L
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 60792
NAME: Charlie Panek
LOCATION: WWA
OPERATORS: KX7L
CLUB: Western Washington DX Club
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: It was the first really sunny weekend in a long time here in the
SOAPBOX: PNW, so it was  hard getting BIC time in on the contest.  Friday
SOAPBOX: night condx seemed so-so, but Saturday night was much better.
SOAPBOX: Sunday things were hopping on 20m!  Thanks for the QSO's!
QSO:  7084 RY 2018-02-11 0238 KX7L          599 0108   W4PK          599 0968
QSO:  7085 RY 2018-02-11 0240 KX7L          599 0109   KF5VRD        599 0488
QSO:  7087 RY 2018-02-11 0241 KX7L          599 0110   VE7CC         599 1164
QSO:  7088 RY 2018-02-11 0242 KX7L          599 0111   K9YC          599 0280
QSO:  7090 RY 2018-02-11 0419 KX7L          599 0112   K6EU          599 0301
QSO:  7094 RY 2018-02-11 0421 KX7L          599 0113   KB7EEG        599 0012
QSO:  7096 RY 2018-02-11 0423 KX7L          599 0114   WU6TT         599 0851
QSO:  7049 RY 2018-02-11 0430 KX7L          599 0115   K5MXG         599 0293
QSO:  7059 RY 2018-02-11 0432 KX7L          599 0116   K5DU          599 1304
QSO:  3581 RY 2018-02-11 0436 KX7L          599 0117   N6SS          599 0380
QSO:  3582 RY 2018-02-11 0438 KX7L          599 0118   KL7SB         599 0845
QSO:  3584 RY 2018-02-11 0441 KX7L          599 0119   WX4G          599 0943
QSO:  3588 RY 2018-02-11 0445 KX7L          599 0120   WK1Q          599 1185
QSO:  3588 RY 2018-02-11 0445 KX7L          599 0121   K6UM          599 0140
QSO:  3589 RY 2018-02-11 0446 KX7L          599 0122   KE0L          599 0263
QSO:  3590 RY 2018-02-11 0447 KX7L          599 0123   W8WOM         599 0405
QSO:  3591 RY 2018-02-11 0448 KX7L          599 0124   NX6T          599 0473
QSO:  3592 RY 2018-02-11 0450 KX7L          599 0125   AA9BD         599 0300
QSO:  3594 RY 2018-02-11 0452 KX7L          599 0126   NQ6N          599 0119
QSO:  3594 RY 2018-02-11 0452 KX7L          599 0127   NC0DX         599 0945
QSO:  3594 RY 2018-02-11 0453 KX7L          599 0128   K7BVT         599 0205
QSO:  3595 RY 2018-02-11 0454 KX7L          599 0129   KF0UR         599 0160
QSO:  3596 RY 2018-02-11 0455 KX7L          599 0130   VE7AX         599 0028
QSO:  3597 RY 2018-02-11 0456 KX7L          599 0131   N5HC          599 0790
QSO:  3565 RY 2018-02-11 0457 KX7L          599 0132   N4CW          599 0508
QSO:  3562 RY 2018-02-11 0500 KX7L          599 0133   KU1CW         599 0180
QSO:  3561 RY 2018-02-11 0501 KX7L          599 0134   N4DW          599 0274
QSO:  3566 RY 2018-02-11 0503 KX7L          599 0135   K8YE          599 0256
QSO:  3566 RY 2018-02-11 0503 KX7L          599 0136   KM9R          599 0373
QSO:  3568 RY 2018-02-11 0506 KX7L          599 0137   AC3U          599 0225
QSO:  3569 RY 2018-02-11 0507 KX7L          599 0138   WA7LNW        599 0474
QSO:  3569 RY 2018-02-11 0508 KX7L          599 0139   AB0S          599 0563
QSO:  3571 RY 2018-02-11 0508 KX7L          599 0140   W9IU          599 0854
QSO:  3576 RY 2018-02-11 0511 KX7L          599 0141   WD9CIR        599 0317
QSO:  3577 RY 2018-02-11 0513 KX7L          599 0142   AA3B          599 1724
QSO:  3584 RY 2018-02-11 0515 KX7L          599 0143   AA7CR         599 0236
QSO:  3585 RY 2018-02-11 0517 KX7L          599 0144   W1NG          599 0397
QSO:  3585 RY 2018-02-11 0518 KX7L          599 0145   WZ4K          599 0155
QSO:  3587 RY 2018-02-11 0522 KX7L          599 0146   K6DAJ         599 0061
QSO:  3591 RY 2018-02-11 0526 KX7L          599 0147   NW6P          599 0848
QSO:  3594 RY 2018-02-11 0527 KX7L          599 0148   KS7AA         599 1845
QSO:  3593 RY 2018-02-11 0545 KX7L          599 0149   N8CWU         599 0411
QSO:  3588 RY 2018-02-11 0546 KX7L          599 0150   N6LN          599 0052
QSO:  3587 RY 2018-02-11 0548 KX7L          599 0151   NJ4U          599 0471
QSO:  3587 RY 2018-02-11 0549 KX7L          599 0152   K9YC          599 0352
QSO:  3584 RY 2018-02-11 0553 KX7L          599 0153   KH6CJJ        599 0327
QSO:  3584 RY 2018-02-11 0553 KX7L          599 0154   W7YAQ         599 0271
QSO:  3584 RY 2018-02-11 0554 KX7L          599 0155   WB0N          599 0248
QSO:  3584 RY 2018-02-11 0554 KX7L          599 0156   N6GP          599 0119
QSO:  3584 RY 2018-02-11 0557 KX7L          599 0157   N6JNL         599 0103
