START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: PG1R
CLUB:  
CONTEST: REF-SSB
CATEGORY: SINGLE-OP ALL LOW SSB
CLAIMED-SCORE: 19425
OPERATORS: PG1R
NAME: Ruud Ivens
CREATED-BY: N1MM Logger+ 1.0.6071.0
SOAPBOX: Rig TS590S barefoot; output to antenna on average 75Watts.
SOAPBOX: Antenna horizontal multiband dipole for 15 - 80m bands.
SOAPBOX: Marginal propagation on 15 an 20m bands. 
SOAPBOX: Nevertheless I enjoyed the contest in a relaxed way. Thanks!
QSO:  7126 PH 2017-02-25 1449 PG1R          59  0038   F4HJO         59  76       
QSO:  7121 PH 2017-02-25 1451 PG1R          59  0039   F6DMQ         59  06       
QSO:  7115 PH 2017-02-25 1453 PG1R          59  0040   F6BSZ         59  14       
QSO:  7104 PH 2017-02-25 1455 PG1R          59  0041   F6KVD         59  55       
QSO:  7093 PH 2017-02-25 1457 PG1R          59  0042   F5PSG         59  44       
QSO:  7081 PH 2017-02-25 1459 PG1R          59  0043   F6KJX         59  41       
QSO:  7072 PH 2017-02-25 1501 PG1R          59  0044   F6REF         59  00       
QSO:  7070 PH 2017-02-25 1504 PG1R          59  0045   F2AR          59  35       
QSO:  7056 PH 2017-02-25 1504 PG1R          59  0046   F4DSK         59  45       
QSO:  3752 PH 2017-02-25 1545 PG1R          59  0047   F1UVN         59  62       
QSO:  7184 PH 2017-02-25 1547 PG1R          59  0048   F6CXJ         59  47       
QSO:  7179 PH 2017-02-25 1551 PG1R          59  0049   F4FQY         59  81       
QSO:  7176 PH 2017-02-25 1552 PG1R          59  0050   F4WBN         59  64       
QSO:  7164 PH 2017-02-25 1556 PG1R          59  0051   F5SIZ         59  12       
QSO:  7155 PH 2017-02-25 1558 PG1R          59  0052   F4GGJ         59  81       
QSO:  7152 PH 2017-02-25 1559 PG1R          59  0053   F5DJL         59  74       
QSO:  7144 PH 2017-02-25 1606 PG1R          59  0054   F4FCC         59  83       
QSO:  7132 PH 2017-02-25 1607 PG1R          59  0055   F6AWU         59  44       
QSO:  7128 PH 2017-02-25 1611 PG1R          59  0056   F6AXN         59  28       
QSO:  7101 PH 2017-02-25 1614 PG1R          59  0057   F8FUA         59  14       
QSO:  7067 PH 2017-02-25 1617 PG1R          59  0058   F8KFS         59  73       
QSO: 14190 PH 2017-02-25 1804 PG1R          59  0059   F5UTN         59  27       
QSO:  3790 PH 2017-02-25 1807 PG1R          59  0060   F4BYB         59  02       
QSO:  3768 PH 2017-02-25 1809 PG1R          59  0061   F4ENK         59  37       
QSO:  3760 PH 2017-02-25 1811 PG1R          59  0062   F6KDL         59  68       
QSO:  3746 PH 2017-02-25 1813 PG1R          59  0063   F8DSN         59  88       
QSO:  3734 PH 2017-02-25 1817 PG1R          59  0064   F6GCT         59  77       
QSO:  3728 PH 2017-02-25 1818 PG1R          59  0065   F5MUX         59  29       
QSO:  3725 PH 2017-02-25 1820 PG1R          59  0066   F6APE         59  49       
QSO:  3628 PH 2017-02-25 1823 PG1R          59  0067   F1TZG         59  26       
QSO:  3619 PH 2017-02-25 1826 PG1R          59  0068   F8EMH         59  54       
QSO:  7184 PH 2017-02-25 1828 PG1R          59  0069   F4CWN         59  32       
QSO:  7138 PH 2017-02-25 1833 PG1R          59  0070   TK5KP         59  2A       
QSO:  7116 PH 2017-02-25 1838 PG1R          59  0071   TM5J          59  31       
QSO:  7105 PH 2017-02-25 1840 PG1R          59  0072   F6KOU         59  84       
QSO:  7093 PH 2017-02-25 1842 PG1R          59  0073   F4GGQ         59  29       
QSO:  7063 PH 2017-02-25 1844 PG1R          59  0074   F6KLO         59  19       
QSO: 14163 PH 2017-02-25 1849 PG1R          59  0075   FY5KE         59  FY       
QSO: 14179 PH 2017-02-25 1922 PG1R          59  0076   FM5AN         59  FM       
QSO:  7100 PH 2017-02-25 1928 PG1R          59  0077   F8OOI         59  82       
QSO:  3794 PH 2017-02-25 1933 PG1R          59  0078   F4ENJ/P       59  53       
QSO:  3786 PH 2017-02-25 1934 PG1R          59  0079   F4AHP         59  59       
QSO:  3775 PH 2017-02-25 1936 PG1R          59  0080   F4BHW         59  18       
QSO:  3739 PH 2017-02-25 1939 PG1R          59  0081   F4FFH         59  50       
QSO:  3737 PH 2017-02-25 1941 PG1R          59  0082   F8KCF         59  74       
QSO:  3732 PH 2017-02-25 1943 PG1R          59  0083   F4CWN         59  32       
QSO:  3729 PH 2017-02-25 1944 PG1R          59  0084   F4GGQ         59  29       
QSO:  3726 PH 2017-02-25 1946 PG1R          59  0085   F4FCC         59  83       
QSO:  3717 PH 2017-02-25 1948 PG1R          59  0086   F6HPP         59  02       
QSO:  3712 PH 2017-02-25 1950 PG1R          59  0087   F5GFA         59  47       
QSO:  3708 PH 2017-02-25 1955 PG1R          59  0088   F5UTN         59  27       
QSO:  3691 PH 2017-02-25 1957 PG1R          59  0089   F5OHM         59  36       
QSO:  3687 PH 2017-02-25 1958 PG1R          59  0090   F6KJJ         59  38       
QSO:  3683 PH 2017-02-25 1959 PG1R          59  0091   F5KBM         59  62       
QSO:  3673 PH 2017-02-25 2002 PG1R          59  0092   F5KMB         59  60       
QSO:  3670 PH 2017-02-25 2005 PG1R          59  0093   F5ODK/P       59  03       
QSO:  3644 PH 2017-02-25 2008 PG1R          59  0094   TM5OTT        59  37       
QSO:  7166 PH 2017-02-25 2052 PG1R          59  0095   FM5BH         59  FM       
QSO:  3784 PH 2017-02-25 2100 PG1R          59  0096   F6CLQ         59  89       
QSO:  3777 PH 2017-02-25 2101 PG1R          59  0097   F6KNB         59  33       
QSO:  3773 PH 2017-02-25 2103 PG1R          59  0098   F6KGL         59  93       
QSO:  3770 PH 2017-02-25 2105 PG1R          59  0099   F6KAT         59  57       
QSO:  3762 PH 2017-02-25 2107 PG1R          59  0100   F6BLZ         59  46       
QSO:  3742 PH 2017-02-25 2115 PG1R          59  0101   TK5KP         59  2A       
QSO:  3737 PH 2017-02-25 2116 PG1R          59  0102   F5JSQ         59  51       
QSO:  3722 PH 2017-02-25 2119 PG1R          59  0103   F6HQP         59  73       
QSO:  3714 PH 2017-02-25 2122 PG1R          59  0104   F4DNK         59  76       
QSO:  3711 PH 2017-02-25 2123 PG1R          59  0105   TM2T          59  13       
QSO:  3701 PH 2017-02-25 2126 PG1R          59  0106   F6HRL         59  86       
QSO:  3680 PH 2017-02-25 2128 PG1R          59  0107   TM2M          59  85       
QSO:  3677 PH 2017-02-25 2129 PG1R          59  0108   TM2F          59  02       
QSO:  3660 PH 2017-02-25 2133 PG1R          59  0109   F4DPW         59  95       
QSO:  3643 PH 2017-02-25 2135 PG1R          59  0110   TM5TT         59  41       
QSO:  3626 PH 2017-02-25 2141 PG1R          59  0111   F8CED         59  44       
QSO:  3622 PH 2017-02-25 2143 PG1R          59  0112   F4HRI/P       59  62       
QSO:  3617 PH 2017-02-25 2143 PG1R          59  0113   F6KLO         59  19       
QSO:  7154 PH 2017-02-25 2148 PG1R          59  0114   FM5AN         59  FM       
QSO:  3766 PH 2017-02-25 2222 PG1R          59  0115   F6BHI         59  19       
QSO:  3747 PH 2017-02-25 2225 PG1R          59  0116   F6KPQ         59  56       
QSO:  3732 PH 2017-02-25 2227 PG1R          59  0117   F5PZR         59  77       
QSO:  3726 PH 2017-02-25 2229 PG1R          59  0118   F5AJG         59  59       
QSO:  3714 PH 2017-02-25 2234 PG1R          59  0119   F6FWQ         59  86       
QSO:  3697 PH 2017-02-25 2241 PG1R          59  0120   F6DYX         59  49       
QSO:  3676 PH 2017-02-25 2243 PG1R          59  0121   F6AXN         59  28       
QSO:  3647 PH 2017-02-25 2247 PG1R          59  0122   F8KGZ         59  54       
QSO:  3612 PH 2017-02-25 2251 PG1R          59  0123   F1NZC         59  63       
QSO:  3778 PH 2017-02-25 2307 PG1R          59  0124   TM1O          59  81       
QSO:  3760 PH 2017-02-25 2310 PG1R          59  0125   TM5RLE        59  38       
QSO:  3721 PH 2017-02-25 2320 PG1R          59  0126   F6IGS         59  33       
QSO:  3714 PH 2017-02-25 2324 PG1R          59  0127   F8UFT         59  71       
QSO:  3708 PH 2017-02-25 2327 PG1R          59  0128   F9LM          59  24       
QSO:  3653 PH 2017-02-25 2330 PG1R          59  0129   F6HEO/P       59  58       
QSO:  3638 PH 2017-02-25 2332 PG1R          59  0130   F6KRK         59  78       
QSO:  7192 PH 2017-02-26 1045 PG1R          59  0131   F4GLK         59  60       
QSO:  7189 PH 2017-02-26 1046 PG1R          59  0132   F8KCF         59  74       
QSO:  7168 PH 2017-02-26 1050 PG1R          59  0133   F5KCC         59  89       
QSO:  7157 PH 2017-02-26 1054 PG1R          59  0134   F4FLF         59  77       
QSO:  7142 PH 2017-02-26 1100 PG1R          59  0135   F4BCG         59  91       
QSO:  7139 PH 2017-02-26 1101 PG1R          59  0136   F4AWH         59  70       
QSO:  7112 PH 2017-02-26 1109 PG1R          59  0137   F8KHO/P       59  51       
QSO:  7082 PH 2017-02-26 1119 PG1R          59  0138   TM8CIL        59  03       
QSO:  7070 PH 2017-02-26 1124 PG1R          59  0139   F4HTO         59  62       
QSO:  7066 PH 2017-02-26 1125 PG1R          59  0140   F6HRP         59  22       
QSO:  7150 PH 2017-02-26 1216 PG1R          59  0141   F6HPP         59  02       
QSO:  7144 PH 2017-02-26 1220 PG1R          59  0142   F1TZE         59  60       
QSO:  7114 PH 2017-02-26 1231 PG1R          59  0143   F5PXF         59  68       
QSO:  7099 PH 2017-02-26 1234 PG1R          59  0144   F5NBX         59  87       
QSO:  7096 PH 2017-02-26 1235 PG1R          59  0145   TM40ULIS      59  91       
QSO:  7081 PH 2017-02-26 1240 PG1R          59  0146   F1UMO         59  62       
QSO:  7062 PH 2017-02-26 1246 PG1R          59  0147   F5BBD         59  02       
QSO:  7059 PH 2017-02-26 1246 PG1R          59  0148   F4HRI/P       59  62       
QSO:  7052 PH 2017-02-26 1248 PG1R          59  0149   F5RLW         59  62       
QSO:  7195 PH 2017-02-26 1301 PG1R          59  0150   TM5G          59  44       
QSO:  7192 PH 2017-02-26 1302 PG1R          59  0151   F5KBM         59  62       
QSO: 21287 PH 2017-02-26 1448 PG1R          59  0152   FM5AN         59  FM       
QSO:  7184 PH 2017-02-26 1458 PG1R          59  0153   F6FTB         59  21       
QSO:  7176 PH 2017-02-26 1501 PG1R          59  0154   F6BHI         59  19       
QSO:  7146 PH 2017-02-26 1509 PG1R          59  0155   TM5OTT        59  37       
QSO:  7140 PH 2017-02-26 1512 PG1R          59  0156   F5KDY/P       59  28       
QSO:  7134 PH 2017-02-26 1517 PG1R          59  0157   TM5TT         59  41       
QSO:  7131 PH 2017-02-26 1517 PG1R          59  0158   F4ENK         59  37       
QSO:  7116 PH 2017-02-26 1521 PG1R          59  0159   F4DSE         59  16       
QSO:  7103 PH 2017-02-26 1526 PG1R          59  0160   F4FMU         59  14       
QSO:  7093 PH 2017-02-26 1527 PG1R          59  0161   F5MQU         59  77       
QSO:  7075 PH 2017-02-26 1530 PG1R          59  0162   F8DRE         59  28       
QSO:  7071 PH 2017-02-26 1532 PG1R          59  0163   F5MUX         59  29       
QSO:  7069 PH 2017-02-26 1534 PG1R          59  0164   F6KNB         59  33       
QSO:  7064 PH 2017-02-26 1537 PG1R          59  0165   F4EAT         59  77       
END-OF-LOG:
