START-OF-LOG: 3.0
CALLSIGN: PA1B
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 53464
CREATED-BY: Bert V10.72C
NAME: Bert Kruyswijk
OPERATORS: PA1B
SOAPBOX:       I had great fun with QRP and QRPp, with a FT-817 and an Inverted Vee.
SOAPBOX:       As a milliwatt enthusiast I often use the lowest possible power in each QSO.
SOAPBOX:       Power: 2.7 W down to 18 mW with an additional attenuator of 10 dB or 20 dB.
SOAPBOX:       I made 100 QSO's with "more than 1000 Miles per Watt" with search and pounce.
QSO: 21000 CW 2012-05-26 1022 PA1B          599  020   YU1KX         599  620
QSO: 21000 CW 2012-05-26 1024 PA1B          599  021   UA9MA         599  765
QSO: 21000 CW 2012-05-26 1026 PA1B          599  022   OH10X         599  609
QSO: 21000 CW 2012-05-26 1057 PA1B          599  023   NY4A          599 1030
QSO: 21000 CW 2012-05-26 1059 PA1B          599  024   SN10SLO       599  295
QSO: 21000 CW 2012-05-26 1104 PA1B          599  025   SJ2W          599 1145
QSO: 21000 CW 2012-05-26 1106 PA1B          599  026   3Z2X          599  534
QSO: 21000 CW 2012-05-26 1108 PA1B          599  027   DL7BY         599  161
QSO: 21000 CW 2012-05-26 1123 PA1B          599  028   EX7X          599 1181
QSO: 21000 CW 2012-05-26 1125 PA1B          599  029   NN3L          599  095
QSO: 21000 CW 2012-05-26 1158 PA1B          599  030   LZ9W          599  687
QSO: 21000 CW 2012-05-26 1201 PA1B          599  031   WM3T          599  962
QSO: 21000 CW 2012-05-26 1206 PA1B          599  032   9A5D          599  541
QSO: 21000 CW 2012-05-26 1214 PA1B          599  033   ST2AR         599 1383
QSO: 21000 CW 2012-05-26 1216 PA1B          599  034   OG0Z          599 1279
QSO: 21000 CW 2012-05-26 1237 PA1B          599  035   K0DQ          599 1126
QSO: 21000 CW 2012-05-26 1243 PA1B          599  036   KJ9D          599  565
QSO: 21000 CW 2012-05-26 1246 PA1B          599  037   LZ9W          599  758
QSO: 21000 CW 2012-05-26 1249 PA1B          599  038   S50C          599  850
QSO: 21000 CW 2012-05-26 1253 PA1B          599  039   SM0           599  312
QSO: 21000 CW 2012-05-26 1254 PA1B          599  040   NS1S          599  314
QSO: 14000 CW 2012-05-26 1708 PA1B          599  041   R9DA          599  691
QSO: 14000 CW 2012-05-26 1712 PA1B          599  042   LZ3FN         599 1561
QSO: 14000 CW 2012-05-26 1956 PA1B          599  043   YT0Z          599 1273
QSO: 14000 CW 2012-05-26 1958 PA1B          599  044   S58AL         599 1351
QSO: 14000 CW 2012-05-26 2004 PA1B          599  045   US7L          599 1115
QSO: 21000 CW 2012-05-26 2010 PA1B          599  046   YU5A          599 1323
QSO: 21000 CW 2012-05-26 2014 PA1B          599  047   YT2B          599  983
QSO: 21000 CW 2012-05-26 2020 PA1B          599  048   ZW5B          599 1534
QSO:  7000 CW 2012-05-26 2036 PA1B          599  049   RM3F          599 1506
QSO:  7000 CW 2012-05-26 2038 PA1B          599  050   DK8ZZ         599  646
QSO:  7000 CW 2012-05-26 2044 PA1B          599  051   ON4IA         599  337
QSO:  7000 CW 2012-05-26 2051 PA1B          599  052   4U1ITU        599 1578
QSO:  7000 CW 2012-05-26 2056 PA1B          599  053   LA2AB         599  461
QSO: 14000 CW 2012-05-26 2241 PA1B          599  054   WC1M          599 1997
QSO: 14000 CW 2012-05-26 2243 PA1B          599  055   EF7X          599 2270
QSO: 14000 CW 2012-05-26 2246 PA1B          599  056   UW2M          599 1629
QSO: 14000 CW 2012-05-26 2255 PA1B          599  057   W1UJ          599 1163
QSO:  3500 CW 2012-05-26 2302 PA1B          599  058   GW7O          599  298
QSO:  3500 CW 2012-05-26 2315 PA1B          599  059   DR1A          599  638
QSO:  3500 CW 2012-05-26 2316 PA1B          599  060   DL2A          599 1185
QSO:  3500 CW 2012-05-26 2321 PA1B          599  061   HG1S          599  433
QSO: 14000 CW 2012-05-26 2337 PA1B          599  062   K3ZM          599 1285
QSO: 14000 CW 2012-05-26 2339 PA1B          599  063   RT4F          599 3351
QSO: 14000 CW 2012-05-26 2349 PA1B          599  064   KD4D          599 1119
QSO: 14000 CW 2012-05-26 2352 PA1B          599  065   WF2B          599  910
QSO: 14000 CW 2012-05-27 0631 PA1B          599  066   P33W          599 4446
QSO: 14000 CW 2012-05-27 0639 PA1B          599  067   LZ1BJ         599  569
QSO: 14000 CW 2012-05-27 0640 PA1B          599  068   NK1Z          599 1231
QSO: 14000 CW 2012-05-27 0641 PA1B          599  069   HA6NL         599 1060
QSO: 14000 CW 2012-05-27 0643 PA1B          599  070   TC2X          599 2375
QSO: 14000 CW 2012-05-27 0644 PA1B          599  071   HA8JV         599 1663
QSO: 14000 CW 2012-05-27 0646 PA1B          599  072   NE5D          599  772
QSO: 14000 CW 2012-05-27 0647 PA1B          599  073   E72U          599  695
QSO: 14000 CW 2012-05-27 0648 PA1B          599  074   DQ4W          599 1278
QSO: 14000 CW 2012-05-27 0653 PA1B          599  075   LZ9W          599 1959
QSO: 14000 CW 2012-05-27 0654 PA1B          599  076   9A0Z          599 2245
QSO: 14000 CW 2012-05-27 0656 PA1B          599  077   OH0X          599 2370
QSO: 14000 CW 2012-05-27 0703 PA1B          599  078   EA8CAC        599 1168
QSO: 14000 CW 2012-05-27 0705 PA1B          599  079   EM2G          599 2152
QSO: 14000 CW 2012-05-27 0732 PA1B          599  080   SN9V          599 1493
QSO: 14000 CW 2012-05-27 0735 PA1B          599  081   VE2OXA        599 1491
QSO: 14000 CW 2012-05-27 0736 PA1B          599  082   F8DFP         599  141
QSO: 14000 CW 2012-05-27 0739 PA1B          599  083   SQ1A          599 2005
QSO: 14000 CW 2012-05-27 0744 PA1B          599  084   9A1A          599 2021
QSO: 14000 CW 2012-05-27 0750 PA1B          599  085   RU1A          599 4185
QSO: 14000 CW 2012-05-27 0752 PA1B          599  086   9A4WY         599 1301
QSO: 14000 CW 2012-05-27 0754 PA1B          599  087   R1TEU         599  760
QSO: 14000 CW 2012-05-27 0756 PA1B          599  088   SO4M          599 1462
QSO: 14000 CW 2012-05-27 0801 PA1B          599  089   ED1R          599 1722
QSO: 14000 CW 2012-05-27 0803 PA1B          599  090   LA8OM         599 1937
QSO: 14000 CW 2012-05-27 0808 PA1B          599  091   F5UFX         599  170
QSO: 14000 CW 2012-05-27 0814 PA1B          599  092   E74Y          599  708
QSO: 14000 CW 2012-05-27 0817 PA1B          599  093   OK6RA         599  803
QSO: 21000 CW 2012-05-27 0823 PA1B          599  094   YL2SM         599 2338
QSO: 21000 CW 2012-05-27 0826 PA1B          599  095   UV0I          599 1405
QSO: 21000 CW 2012-05-27 0827 PA1B          599  096   EA2NN         599  724
QSO: 21000 CW 2012-05-27 0840 PA1B          599  097   RT4F          599 4278
QSO: 21000 CW 2012-05-27 0857 PA1B          599  098   9A8M          599 2904
QSO: 21000 CW 2012-05-27 0859 PA1B          599  099   9A1A          599 2124
QSO: 21000 CW 2012-05-27 0902 PA1B          599  100   RK0AB         599  758
QSO: 21000 CW 2012-05-27 0904 PA1B          599  101   IK8TEO        599  533
QSO: 21000 CW 2012-05-27 0909 PA1B          599  102   CS2C          599 2221
QSO: 21000 CW 2012-05-27 0918 PA1B          599  103   VY2TT         599 3252
QSO: 21000 CW 2012-05-27 0924 PA1B          599  104   ES9C          599 4283
QSO: 28000 CW 2012-05-27 0928 PA1B          599  105   YT9A          599  792
QSO: 28000 CW 2012-05-27 0929 PA1B          599  106   9A1A          599  695
QSO: 28000 CW 2012-05-27 0930 PA1B          599  107   IR9Y          599  747
QSO: 28000 CW 2012-05-27 0934 PA1B          599  108   9A2U          599  613
QSO: 28000 CW 2012-05-27 0936 PA1B          599  109   YU1JW         599  649
QSO: 28000 CW 2012-05-27 0938 PA1B          599  110   OH8X          599 2382
QSO: 21000 CW 2012-05-27 0940 PA1B          599  111   LY2XW         599  740
QSO: 21000 CW 2012-05-27 1102 PA1B          599  112   LZ7S          599 1383
QSO: 21000 CW 2012-05-27 1104 PA1B          599  113   KD4D          599 1600
QSO: 21000 CW 2012-05-27 1124 PA1B          599  114   KM3T          599 3335
QSO: 21000 CW 2012-05-27 1133 PA1B          599  115   LY8O          599 1995
QSO: 21000 CW 2012-05-27 1137 PA1B          599  116   RU9LA         599 1275
QSO: 21000 CW 2012-05-27 1144 PA1B          599  117   LY2IJ         599  228
QSO: 21000 CW 2012-05-27 1145 PA1B          599  118   RA7A          599  467
QSO: 21000 CW 2012-05-27 1147 PA1B          599  119   UA9TF         599  629
QSO: 21000 CW 2012-05-27 1153 PA1B          599  120   ED1R          599 1620
QSO: 21000 CW 2012-05-27 1156 PA1B          599  121   LY2W          599 1237
QSO: 21000 CW 2012-05-27 1208 PA1B          599  122   UA5A          599 2463
QSO: 21000 CW 2012-05-27 1213 PA1B          599  123   WW2DX         599 3139
QSO: 21000 CW 2012-05-27 1215 PA1B          599  124   WC1M          599 2602
QSO: 21000 CW 2012-05-27 1219 PA1B          599  125   RU4SO         599  891
QSO: 21000 CW 2012-05-27 1227 PA1B          599  126   RF9C          599 4341
QSO: 21000 CW 2012-05-27 1229 PA1B          599  127   KU2M          599 1122
QSO: 21000 CW 2012-05-27 1230 PA1B          599  128   RA4S          599 1845
QSO: 21000 CW 2012-05-27 1231 PA1B          599  129   RM5D          599 1410
QSO: 21000 CW 2012-05-27 1233 PA1B          599  130   RT9A          599 2121
QSO: 14000 CW 2012-05-27 1240 PA1B          599  131   LZ7S          599 1249
QSO: 14000 CW 2012-05-27 1242 PA1B          599  132   OK2BQ         599  278
QSO: 14000 CW 2012-05-27 1250 PA1B          599  133   OH3JF         599  907
QSO: 14000 CW 2012-05-27 1251 PA1B          599  134   UZ0U          599  869
QSO: 14000 CW 2012-05-27 1254 PA1B          599  135   EA3GXJ        599 1668
QSO: 14000 CW 2012-05-27 1259 PA1B          599  136   SP2KPD        599 1456
QSO: 14000 CW 2012-05-27 1300 PA1B          599  137   YT2ISM        599  451
QSO: 14000 CW 2012-05-27 1303 PA1B          599  138   HF3T          599  502
QSO: 14000 CW 2012-05-27 1307 PA1B          599  139   LY2IJ         599  304
QSO: 14000 CW 2012-05-27 1309 PA1B          599  140   RY7G          599 1449
QSO: 14000 CW 2012-05-27 1310 PA1B          599  141   YT1BX         599  625
QSO: 21000 CW 2012-05-27 1319 PA1B          599  142   NR4M          599 1746
QSO: 21000 CW 2012-05-27 1321 PA1B          599  143   AW2A          599 2500
QSO: 21000 CW 2012-05-27 1329 PA1B          599  144   VC3O          599 2693
QSO: 21000 CW 2012-05-27 1331 PA1B          599  145   WU3A          599 2202
QSO: 21000 CW 2012-05-27 1839 PA1B          599  146   EO3Y          599 2684
QSO: 21000 CW 2012-05-27 1842 PA1B          599  147   VA7ST         599 1198
QSO: 21000 CW 2012-05-27 1844 PA1B          599  148   K9OM          599 1461
QSO: 21000 CW 2012-05-27 1849 PA1B          599  149   NK7U          599 1918
QSO: 21000 CW 2012-05-27 1852 PA1B          599  150   VE3CX         599 1191
QSO: 21000 CW 2012-05-27 1905 PA1B          599  151   RN3F          599 1546
QSO: 21000 CW 2012-05-27 1911 PA1B          599  152   R7AW          599 2147
QSO: 21000 CW 2012-05-27 1914 PA1B          599  153   UY4I          599 1886
QSO: 21000 CW 2012-05-27 1917 PA1B          599  154   N5WR          599 3117
QSO: 21000 CW 2012-05-27 1923 PA1B          599  155   W8MJ          599 2312
QSO: 21000 CW 2012-05-27 1925 PA1B          599  156   YT3KN         599  829
QSO: 21000 CW 2012-05-27 1945 PA1B          599  157   K8GL          599 2050
QSO: 14000 CW 2012-05-27 2000 PA1B          599  158   KT2T          599 1923
QSO: 14000 CW 2012-05-27 2003 PA1B          599  159   LY5R          599  890
QSO: 14000 CW 2012-05-27 2013 PA1B          599  160   AK1W          599 3298
QSO: 14000 CW 2012-05-27 2016 PA1B          599  161   VZ4AK         599 1955
QSO: 14000 CW 2012-05-27 2022 PA1B          599  162   SV2HRT        591  559
QSO: 14000 CW 2012-05-27 2024 PA1B          599  163   YT7W          599 1610
QSO: 14000 CW 2012-05-27 2028 PA1B          599  164   EF3A          599 2557
QSO: 14000 CW 2012-05-27 2044 PA1B          599  165   S52W          599 1476
QSO: 14000 CW 2012-05-27 2046 PA1B          599  166   EF8M          599 4349
QSO: 14000 CW 2012-05-27 2057 PA1B          599  167   9A201AA       599 2328
QSO: 14000 CW 2012-05-27 2059 PA1B          599  168   HG4I          599 1065
QSO: 21000 CW 2012-05-27 2115 PA1B          599  169   K1LZ          599 3164
QSO: 21000 CW 2012-05-27 2141 PA1B          599  170   K0DQ          599 3496
QSO: 21000 CW 2012-05-27 2154 PA1B          599  171   HG7T          599 1815
QSO:  7000 CW 2012-05-27 2158 PA1B          599  172   GQ8SRS        599  855
QSO:  7000 CW 2012-05-27 2205 PA1B          599  173   OL3Z          599 1575
QSO: 21000 CW 2012-05-27 2215 PA1B          599  174   HG6W          599 2901
QSO: 21000 CW 2012-05-27 2217 PA1B          599  175   HA6NL         599 1539
QSO: 21000 CW 2012-05-27 2230 PA1B          599  176   UY4BA         599 1001
QSO: 21000 CW 2012-05-27 2233 PA1B          599  177   HA0LP         599  655
QSO: 21000 CW 2012-05-27 2236 PA1B          599  178   S58MU         599 1506
QSO: 21000 CW 2012-05-27 2240 PA1B          599  179   NF5T          599  623
QSO: 21000 CW 2012-05-27 2244 PA1B          599  180   AA3B          599 3398
QSO: 21000 CW 2012-05-27 2259 PA1B          599  181   WZ4F          599 2426
QSO: 21000 CW 2012-05-27 2301 PA1B          599  182   WU2A          599 2803
QSO: 21000 CW 2012-05-27 2314 PA1B          599  183   KR4Z          599 2398
QSO: 21000 CW 2012-05-27 2318 PA1B          599  184   SO9Q          599 3073
QSO: 21000 CW 2012-05-27 2323 PA1B          599  185   W1VT          599  109
QSO: 21000 CW 2012-05-27 2324 PA1B          599  186   YT3M          599 2737
QSO: 21000 CW 2012-05-27 2326 PA1B          599  187   9A5X          599 3104
QSO: 21000 CW 2012-05-27 2328 PA1B          599  188   K1LT          599  574
QSO:  7000 CW 2012-05-27 2333 PA1B          599  189   YL2SM         599 2885
QSO: 14000 CW 2012-05-27 2353 PA1B          599  190   HK1NA         599 2625
QSO: 14000 CW 2012-05-27 2357 PA1B          599  191   UZ4I          599 2179
QSO: 14000 CW 2012-05-27 2359 PA1B          599  192   BV7S          599 3791
END-OF-LOG:
