START-OF-LOG: 3.0
LOCATION: UT
CONTEST: CQ-WPX-CW
CALLSIGN: UY1AW/QRP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: QRP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-TIME: 12-HOURS
CLAIMED-SCORE: 61030
OPERATORS:
OFFTIME:
CLUB: UR-QRP-CLUB
NAME: Sorbat Igor
CREATED-BY: 5MContest ver.5.0.11 Февраль 2012
SOAPBOX: TRX - FT817, Ant: 10-20m  4el Yagi, 40-80m  Delta vertikal
QSO: 14000 CW 2012-05-26 1143 UY1AW/QRP     599 072    OL4A          599 635     0
QSO: 14000 CW 2012-05-26 1146 UY1AW/QRP     599 073    ON6HBR        599 157     0
QSO: 14000 CW 2012-05-26 1149 UY1AW/QRP     599 074    OL1C          599 726     0
QSO: 14000 CW 2012-05-26 1150 UY1AW/QRP     599 075    DR1D          599 782     0
QSO: 14000 CW 2012-05-26 1152 UY1AW/QRP     599 076    S56A          599 257     0
QSO: 14000 CW 2012-05-26 1154 UY1AW/QRP     599 077    DL4HRM        599 162     0
QSO: 14000 CW 2012-05-26 1156 UY1AW/QRP     599 078    OQ5M          599 454     0
QSO: 14000 CW 2012-05-26 1158 UY1AW/QRP     599 079    SP5CJQ        599 087     0
QSO: 14000 CW 2012-05-26 1202 UY1AW/QRP     599 080    LY7A          599 975     0
QSO: 14000 CW 2012-05-26 1203 UY1AW/QRP     599 081    IK2HDF        599 706     0
QSO: 14000 CW 2012-05-26 1204 UY1AW/QRP     599 082    F5IN          599 766     0
QSO: 14000 CW 2012-05-26 1205 UY1AW/QRP     599 083    DP9A          599 845     0
QSO: 14000 CW 2012-05-26 1207 UY1AW/QRP     599 084    DL/SP3CW      599 179     0
QSO: 14000 CW 2012-05-26 1209 UY1AW/QRP     599 085    UA4W          599 837     0
QSO: 14000 CW 2012-05-26 1211 UY1AW/QRP     599 086    LY1R          599 1000    0
QSO: 14000 CW 2012-05-26 1212 UY1AW/QRP     599 087    DL0JBB        599 201     0
QSO: 14000 CW 2012-05-26 1215 UY1AW/QRP     599 088    RU1A          599 1915    0
QSO: 14000 CW 2012-05-26 1216 UY1AW/QRP     599 089    LZ9W          599 1063    0
QSO: 14000 CW 2012-05-26 1219 UY1AW/QRP     599 090    SM5F          599 248     0
QSO: 14000 CW 2012-05-26 1222 UY1AW/QRP     599 091    G5W           599 650     0
QSO: 14000 CW 2012-05-26 1223 UY1AW/QRP     599 092    PA5WT         599 301     0
QSO: 14000 CW 2012-05-26 1226 UY1AW/QRP     599 093    LY2T          599 674     0
QSO: 21000 CW 2012-05-26 1236 UY1AW/QRP     599 094    ST2AR         599 1429    0
QSO: 21000 CW 2012-05-26 1242 UY1AW/QRP     599 095    KM3T          599 1424    0
QSO: 21000 CW 2012-05-26 1243 UY1AW/QRP     599 096    W3EF          599 581     0
QSO: 21000 CW 2012-05-26 1245 UY1AW/QRP     599 097    K3ZO          599 873     0
QSO: 21000 CW 2012-05-26 1246 UY1AW/QRP     599 098    NY3A          599 1215    0
QSO: 21000 CW 2012-05-26 1248 UY1AW/QRP     599 099    W3KB          599 407     0
QSO: 21000 CW 2012-05-26 1253 UY1AW/QRP     599 100    K9CT          599 104     0
QSO: 21000 CW 2012-05-26 1256 UY1AW/QRP     599 101    K3EL          599 593     0
QSO: 21000 CW 2012-05-26 1317 UY1AW/QRP     599 102    K3RA          599 053     0
QSO: 21000 CW 2012-05-26 1320 UY1AW/QRP     599 103    ES9C          599 2013    0
QSO: 21000 CW 2012-05-26 1321 UY1AW/QRP     599 104    OH0X          599 1174    0
QSO: 21000 CW 2012-05-26 1323 UY1AW/QRP     599 105    YU0T          599 1100    0
QSO: 21000 CW 2012-05-26 1325 UY1AW/QRP     599 106    YL8M          599 912     0
QSO: 21000 CW 2012-05-26 1327 UY1AW/QRP     599 107    CS2C          599 800     0
QSO: 21000 CW 2012-05-26 1329 UY1AW/QRP     599 108    K3AJ          599 331     0
QSO: 21000 CW 2012-05-26 1330 UY1AW/QRP     599 109    PW7T          599 555     0
QSO: 21000 CW 2012-05-26 1332 UY1AW/QRP     599 110    4L0A          599 1189    0
QSO: 21000 CW 2012-05-26 1336 UY1AW/QRP     599 111    IO3X          599 450     0
QSO: 21000 CW 2012-05-26 1340 UY1AW/QRP     599 112    WR3Z          599 783     0
QSO: 21000 CW 2012-05-26 1343 UY1AW/QRP     599 113    NY4A          599 1401    0
QSO: 21000 CW 2012-05-26 1346 UY1AW/QRP     599 114    OG1M          599 1143    0
QSO: 21000 CW 2012-05-26 1347 UY1AW/QRP     599 115    E7DX          599 1579    0
QSO: 21000 CW 2012-05-26 1350 UY1AW/QRP     599 116    OG6G          599 157     0
QSO: 21000 CW 2012-05-26 1352 UY1AW/QRP     599 117    VE3YAA        599 400     0
QSO: 21000 CW 2012-05-26 1353 UY1AW/QRP     599 118    UA1ANA        599 711     0
QSO: 21000 CW 2012-05-26 1356 UY1AW/QRP     599 119    NE8P          599 369     0
QSO: 21000 CW 2012-05-26 1358 UY1AW/QRP     599 120    KS1J          599 154     0
QSO: 21000 CW 2012-05-26 1401 UY1AW/QRP     599 121    W2TZ          599 494     0
QSO: 21000 CW 2012-05-26 1403 UY1AW/QRP     599 122    WF7T          599 569     0
QSO: 21000 CW 2012-05-26 1405 UY1AW/QRP     599 123    OH3JF         599 341     0
QSO: 21000 CW 2012-05-26 1411 UY1AW/QRP     599 124    AA3B          599 1152    0
QSO: 21000 CW 2012-05-26 1415 UY1AW/QRP     599 125    NN1AA         599 909     0
QSO: 21000 CW 2012-05-26 1422 UY1AW/QRP     599 126    AK1W          599 1295    0
QSO: 14000 CW 2012-05-26 1428 UY1AW/QRP     599 127    TM51B         599 752     0
QSO: 14000 CW 2012-05-26 1431 UY1AW/QRP     599 128    DA2C          599 1074    0
QSO: 14000 CW 2012-05-26 1433 UY1AW/QRP     599 129    DF1LX         599 412     0
QSO: 14000 CW 2012-05-26 1434 UY1AW/QRP     599 130    DR1A          599 1299    0
QSO: 14000 CW 2012-05-26 1436 UY1AW/QRP     599 131    9A1A          599 1148    0
QSO: 14000 CW 2012-05-26 1437 UY1AW/QRP     599 132    DP3D          599 562     0
QSO: 14000 CW 2012-05-26 1439 UY1AW/QRP     599 133    UA1ZZ         599 541     0
QSO: 14000 CW 2012-05-26 1444 UY1AW/QRP     599 134    OG8N          599 1161    0
QSO: 14000 CW 2012-05-26 1445 UY1AW/QRP     599 135    OK7Y          599 703     0
QSO: 14000 CW 2012-05-26 1447 UY1AW/QRP     599 136    OH8X          599 1110    0
QSO: 14000 CW 2012-05-26 1448 UY1AW/QRP     599 137    DF2UU         599 679     0
QSO:  7000 CW 2012-05-26 1453 UY1AW/QRP     599 138    UA6LCN        599 308     0
QSO:  7000 CW 2012-05-26 1455 UY1AW/QRP     599 139    S57Z          599 519     0
QSO:  7000 CW 2012-05-26 1457 UY1AW/QRP     599 140    UW5Y          599 754     0
QSO:  7000 CW 2012-05-26 1459 UY1AW/QRP     599 141    R8TR          599 869     0
QSO:  7000 CW 2012-05-26 1502 UY1AW/QRP     599 142    OH2BAH        599 102     0
QSO:  7000 CW 2012-05-26 1511 UY1AW/QRP     599 143    RZ3BW         599 414     0
QSO:  7000 CW 2012-05-26 1513 UY1AW/QRP     599 144    RA1AL         599 427     0
QSO:  7000 CW 2012-05-26 1514 UY1AW/QRP     599 145    HG1S          599 499     0
QSO:  7000 CW 2012-05-26 1517 UY1AW/QRP     599 146    SD7X          599 306     0
QSO:  7000 CW 2012-05-26 1523 UY1AW/QRP     599 147    RK4HZ/3       599 114     0
QSO:  7000 CW 2012-05-26 1531 UY1AW/QRP     599 148    OL3Z          599 537     0
QSO:  7000 CW 2012-05-26 1532 UY1AW/QRP     599 149    RA3AV         599 285     0
QSO: 14000 CW 2012-05-26 1537 UY1AW/QRP     599 150    RK0UT         599 411     0
QSO: 14000 CW 2012-05-26 1538 UY1AW/QRP     599 151    UN0L          599 336     0
QSO: 14000 CW 2012-05-26 1540 UY1AW/QRP     599 152    RX4YY         599 049     0
QSO: 14000 CW 2012-05-26 1543 UY1AW/QRP     599 153    UP0L          599 1029    0
QSO: 14000 CW 2012-05-26 1549 UY1AW/QRP     599 154    JR1AIB        599 1044    0
QSO: 14000 CW 2012-05-26 1551 UY1AW/QRP     599 155    LX7I          599 1437    0
QSO: 14000 CW 2012-05-26 1552 UY1AW/QRP     599 156    HG7T          599 548     0
QSO: 14000 CW 2012-05-26 1554 UY1AW/QRP     599 157    RM9I          599 1191    0
QSO: 14000 CW 2012-05-26 1557 UY1AW/QRP     599 158    HG4F          599 637     0
QSO: 14000 CW 2012-05-26 1559 UY1AW/QRP     599 159    GM0F          599 1599    0
QSO: 14000 CW 2012-05-26 1603 UY1AW/QRP     599 160    JA1JKG        599 465     0
QSO: 14000 CW 2012-05-26 1604 UY1AW/QRP     599 161    UA4M          599 1219    0
QSO: 14000 CW 2012-05-26 1608 UY1AW/QRP     599 162    HA8JV         599 873     0
QSO: 14000 CW 2012-05-26 1613 UY1AW/QRP     599 163    RT4RO         599 1095    0
QSO: 14000 CW 2012-05-26 1617 UY1AW/QRP     599 164    HG1S          599 900     0
QSO: 14000 CW 2012-05-26 1618 UY1AW/QRP     599 165    S53MM         599 1344    0
QSO: 14000 CW 2012-05-26 1620 UY1AW/QRP     599 166    OH8KA         599 074     0
QSO: 14000 CW 2012-05-26 1621 UY1AW/QRP     599 167    DL0UM         599 631     0
QSO: 14000 CW 2012-05-26 1623 UY1AW/QRP     599 168    ON1CB         599 095     0
QSO: 14000 CW 2012-05-26 1627 UY1AW/QRP     599 169    RC0F          599 676     0
QSO: 14000 CW 2012-05-26 1629 UY1AW/QRP     599 170    RT0C          599 1411    0
QSO: 14000 CW 2012-05-26 1635 UY1AW/QRP     599 171    JT1CO         599 474     0
QSO: 14000 CW 2012-05-26 1642 UY1AW/QRP     599 172    TK4A          599 946     0
QSO: 14000 CW 2012-05-26 1643 UY1AW/QRP     599 173    SW8A          599 1637    0
QSO: 14000 CW 2012-05-26 1644 UY1AW/QRP     599 174    YT0Z          599 1106    0
QSO: 14000 CW 2012-05-26 1647 UY1AW/QRP     599 175    RW0AJ         599 461     0
QSO: 14000 CW 2012-05-26 1650 UY1AW/QRP     599 176    JA0FVU        599 645     0
QSO: 14000 CW 2012-05-26 1655 UY1AW/QRP     599 177    JM4WUZ        599 192     0
QSO: 14000 CW 2012-05-26 1659 UY1AW/QRP     599 178    JM1SZY        599 232     0
QSO: 14000 CW 2012-05-26 1702 UY1AW/QRP     599 179    JH0NEC        599 412     0
QSO: 14000 CW 2012-05-26 1705 UY1AW/QRP     599 180    RM0A          599 228     0
QSO:  7000 CW 2012-05-26 1708 UY1AW/QRP     599 181    EA6SX         599 535     0
QSO:  7000 CW 2012-05-26 1710 UY1AW/QRP     599 182    UA5A          599 1540    0
QSO:  7000 CW 2012-05-26 1712 UY1AW/QRP     599 183    UT4EK         599 372     0
QSO:  7000 CW 2012-05-26 1715 UY1AW/QRP     599 184    RN3F          599 464     0
QSO:  7000 CW 2012-05-26 1716 UY1AW/QRP     599 185    UA2KW         599 839     0
QSO:  7000 CW 2012-05-26 1717 UY1AW/QRP     599 186    LY6A          599 1570    0
QSO:  7000 CW 2012-05-26 1718 UY1AW/QRP     599 187    EU1AZ         599 1072    0
QSO:  7000 CW 2012-05-26 1719 UY1AW/QRP     599 188    RM5D          599 863     0
QSO:  7000 CW 2012-05-26 1721 UY1AW/QRP     599 189    LA2AB         599 301     0
QSO:  7000 CW 2012-05-26 1722 UY1AW/QRP     599 190    RX3DBS        599 695     0
QSO:  7000 CW 2012-05-26 1724 UY1AW/QRP     599 191    OK1CID        599 386     0
QSO:  7000 CW 2012-05-26 1726 UY1AW/QRP     599 192    PI4DX         599 484     0
QSO:  3500 CW 2012-05-26 1727 UY1AW/QRP     599 193    SN2M          599 346     0
QSO:  3500 CW 2012-05-26 1732 UY1AW/QRP     599 194    OH6MW         599 224     0
QSO:  3500 CW 2012-05-26 1742 UY1AW/QRP     599 195    LY7Z          599 244     0
QSO:  3500 CW 2012-05-26 1743 UY1AW/QRP     599 196    LY5W          599 273     0
QSO:  3500 CW 2012-05-26 1746 UY1AW/QRP     599 197    RA4WC         599 327     0
QSO:  3500 CW 2012-05-26 1748 UY1AW/QRP     599 198    UT7E          599 223     0
QSO:  3500 CW 2012-05-26 1749 UY1AW/QRP     599 199    UT8IT         599 188     0
QSO:  3500 CW 2012-05-26 1752 UY1AW/QRP     599 200    LZ9W          599 406     0
QSO:  3500 CW 2012-05-26 1754 UY1AW/QRP     599 201    LY7A          599 285     0
END-OF-LOG:
