START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: KA3MTT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KA3MTT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2018.
QSO:  3759 PH 2018-03-25 0449 KA3MTT        59 96 KQ2M          59 2106
QSO:  3769 PH 2018-03-25 0451 KA3MTT        59 97 VB3T          59 2787
QSO:  3776 PH 2018-03-25 0457 KA3MTT        59 098 TM6M          59 3529
QSO:  3785 PH 2018-03-25 0458 KA3MTT        59 099 NR5M          59 2826
QSO:  3798 PH 2018-03-25 0501 KA3MTT        59 100 8P5A          59 3909
QSO:  7000 PH 2018-03-25 0505 KA3MTT        59 0101 4M8E          59 0581
QSO:  7184 PH 2018-03-25 0507 KA3MTT        59 0102 W6OCL         59 0329
QSO:  7142 PH 2018-03-25 0509 KA3MTT        59 103 CT3DL         59 1357
QSO:  7223 PH 2018-03-25 0512 KA3MTT        59 104 P49Y          59 3395
QSO: 14170 PH 2018-03-25 1536 KA3MTT        59 0105 KU1CW         59 0973
QSO: 14176 PH 2018-03-25 1538 KA3MTT        59 0106 KA6BIM        59 1057
QSO: 14179 PH 2018-03-25 1540 KA3MTT        59 0107 IZ3SQW        59 1135
QSO: 14215 PH 2018-03-25 1545 KA3MTT        59 0108 KK7PR         59 0578
QSO: 14000 PH 2018-03-25 1553 KA3MTT        59 109 WR5J          59 1838
QSO: 14270 PH 2018-03-25 1555 KA3MTT        59 0110 KW7Y          59 2571
QSO: 14000 PH 2018-03-25 1557 KA3MTT        59 111 NR7DX         59 1573
QSO: 14298 PH 2018-03-25 1557 KA3MTT        59 112 AA5AU         59 1006
QSO: 14000 PH 2018-03-25 1558 KA3MTT        59 113 NF7E          59 552
QSO: 14169 PH 2018-03-25 1932 KA3MTT        59 0115 NA5C          59 0181
QSO: 14185 PH 2018-03-25 1936 KA3MTT        59 117 AA6PW         59 956
