START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: YU7KW
CATEGORY: SINGLE-OP ALL LOW MIXED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 71064
CLUB: YU DX C
CONTEST: EUHFC
OPERATORS:
NAME: Zoran Pekmezovic
ADDRESS: P.O.Box 36 26101 Pancevo Serbia
ADDRESS:
SOAPBOX: Enjoyable contest despite poor antennas only for 40/20m bands.
QSO: 14047 CW 2013-08-03 1259 YU7KW         599 75     UA1AJ         599 66
QSO: 14047 CW 2013-08-03 1300 YU7KW         599 75     UR5QA         599 83
QSO: 14047 CW 2013-08-03 1300 YU7KW         599 75     ON3ND         599 07
QSO: 14047 CW 2013-08-03 1301 YU7KW         599 75     DL5ZBA        599 82
QSO: 14047 CW 2013-08-03 1301 YU7KW         599 75     UR6LAF        599 82
QSO: 14047 CW 2013-08-03 1302 YU7KW         599 75     RV3ZN         599 81
QSO: 14047 CW 2013-08-03 1302 YU7KW         599 75     SD6M          599 09
QSO: 14047 CW 2013-08-03 1302 YU7KW         599 75     G4OGB         599 82
QSO: 14047 CW 2013-08-03 1303 YU7KW         599 75     F8DJV         599 72
QSO: 14047 CW 2013-08-03 1304 YU7KW         599 75     R3KQ          599 80
QSO: 14047 CW 2013-08-03 1305 YU7KW         599 75     EW8DX         599 65
QSO: 14047 CW 2013-08-03 1306 YU7KW         599 75     UA3MIF        599 89
QSO: 14047 CW 2013-08-03 1307 YU7KW         599 75     UA1CEC        599 98
QSO: 14047 CW 2013-08-03 1307 YU7KW         599 75     LY5I          599 84
QSO: 14047 CW 2013-08-03 1308 YU7KW         599 75     R7AM          599 72
QSO: 14047 CW 2013-08-03 1308 YU7KW         599 75     G3TXF         599 65
QSO: 14047 CW 2013-08-03 1308 YU7KW         599 75     OZ6TL         599 64
QSO: 14047 CW 2013-08-03 1309 YU7KW         599 75     LY9A          599 75
QSO: 14047 CW 2013-08-03 1309 YU7KW         599 75     RG5A          599 97
QSO: 14047 CW 2013-08-03 1309 YU7KW         599 75     RA3ATE        599 67
QSO: 14047 CW 2013-08-03 1310 YU7KW         599 75     RN4SC         599 68
QSO: 14047 CW 2013-08-03 1310 YU7KW         599 75     RK4HZ/3       599 86
QSO: 14047 CW 2013-08-03 1310 YU7KW         599 75     UA4L          599 77
QSO: 14047 CW 2013-08-03 1311 YU7KW         599 75     DL5QS         599 00
QSO: 14047 CW 2013-08-03 1311 YU7KW         599 75     PA0PFW        599 55
QSO: 14047 CW 2013-08-03 1312 YU7KW         599 75     RU3XY         599 89
QSO: 14047 CW 2013-08-03 1312 YU7KW         599 75     SM2T          599 71
QSO: 14047 CW 2013-08-03 1312 YU7KW         599 75     DH2URF        599 94
QSO: 14047 CW 2013-08-03 1313 YU7KW         599 75     UA3PP         599 75
QSO: 14047 CW 2013-08-03 1314 YU7KW         599 75     UX1IB         599 67
QSO: 14047 CW 2013-08-03 1315 YU7KW         599 75     RU5TT         599 66
QSO: 14047 CW 2013-08-03 1315 YU7KW         599 75     ON4LEX        599 99
QSO: 14047 CW 2013-08-03 1315 YU7KW         599 75     US5EEK        599 89
QSO: 14047 CW 2013-08-03 1316 YU7KW         599 75     R7MT          599 79
QSO: 14047 CW 2013-08-03 1317 YU7KW         599 75     UA6AK         599 74
QSO: 14047 CW 2013-08-03 1317 YU7KW         599 75     RM7C          599 81
QSO: 14047 CW 2013-08-03 1317 YU7KW         599 75     EW1EO         599 81
QSO: 14047 CW 2013-08-03 1318 YU7KW         599 75     SM3X          599 60
QSO: 14047 CW 2013-08-03 1318 YU7KW         599 75     UA4FAC        599 77
QSO: 14047 CW 2013-08-03 1318 YU7KW         599 75     UC7A          599 83
QSO: 14047 CW 2013-08-03 1319 YU7KW         599 75     R7MC          599 75
QSO: 14047 CW 2013-08-03 1321 YU7KW         599 75     SM6VWG        599 95
QSO: 14047 CW 2013-08-03 1321 YU7KW         599 75     DM3F          599 94
QSO: 14047 CW 2013-08-03 1322 YU7KW         599 75     RM2T          599 78
QSO: 14047 CW 2013-08-03 1322 YU7KW         599 75     G3SXW         599 64
QSO: 14047 CW 2013-08-03 1323 YU7KW         599 75     UA5D          599 76
QSO: 14047 CW 2013-08-03 1323 YU7KW         599 75     PA3AAV        599 77
QSO: 14047 CW 2013-08-03 1323 YU7KW         599 75     LY9Y          599 65
QSO: 14047 CW 2013-08-03 1324 YU7KW         599 75     PA3ANN        599 77
QSO: 14047 CW 2013-08-03 1325 YU7KW         599 75     UA4FDL        599 78
QSO: 14047 CW 2013-08-03 1325 YU7KW         599 75     LY2OF         599 60
QSO: 14047 CW 2013-08-03 1326 YU7KW         599 75     LY2DX         599 83
QSO: 14047 CW 2013-08-03 1326 YU7KW         599 75     UY6IM         599 89
QSO: 14047 CW 2013-08-03 1327 YU7KW         599 75     EW8DJ         599 80
QSO: 14047 CW 2013-08-03 1328 YU7KW         599 75     RA3AL/QRP     599 79
QSO: 14047 CW 2013-08-03 1328 YU7KW         599 75     RZ3PX         599 81
QSO: 14047 CW 2013-08-03 1329 YU7KW         599 75     UA3QAM        599 70
QSO: 14047 CW 2013-08-03 1329 YU7KW         599 75     PC3H          599 09
QSO: 14047 CW 2013-08-03 1331 YU7KW         599 75     UA3AKI        599 78
QSO: 14047 CW 2013-08-03 1332 YU7KW         599 75     SM5CKV        599 60
QSO: 14047 CW 2013-08-03 1332 YU7KW         599 75     RA6AR         599 72
QSO: 14047 CW 2013-08-03 1333 YU7KW         599 75     SE6N          599 07
QSO: 14047 CW 2013-08-03 1333 YU7KW         599 75     ON6NW         599 72
QSO: 14047 CW 2013-08-03 1334 YU7KW         599 75     ON7LB/P       599 79
QSO: 14175 PH 2013-08-03 1336 YU7KW         59  75     UA3BL         59  71
QSO: 14183 PH 2013-08-03 1337 YU7KW         59  75     UZ7M          59  01
QSO: 14217 PH 2013-08-03 1340 YU7KW         59  75     DF2SD         59  09
QSO: 14222 PH 2013-08-03 1340 YU7KW         59  75     YL7A          59  73
QSO: 14240 PH 2013-08-03 1341 YU7KW         59  75     OG3P          59  88
QSO: 14255 PH 2013-08-03 1342 YU7KW         59  75     RN4HFJ        59  05
QSO: 14267 PH 2013-08-03 1342 YU7KW         59  75     ES1LS         59  96
QSO: 14280 PH 2013-08-03 1343 YU7KW         59  75     MJ/OT9Z       59  13
QSO: 14284 PH 2013-08-03 1344 YU7KW         59  75     OO3AR         59  06
QSO: 14022 CW 2013-08-03 1346 YU7KW         599 75     DK0MM         599 60
QSO: 21039 CW 2013-08-03 1348 YU7KW         599 75     SE5E          599 76
QSO: 21024 CW 2013-08-03 1351 YU7KW         599 75     SM6FKF        599 72
QSO: 21046 CW 2013-08-03 1352 YU7KW         599 75     G5LP          599 82
QSO: 21046 CW 2013-08-03 1353 YU7KW         599 75     SM6EWB        599 68
QSO: 21046 CW 2013-08-03 1354 YU7KW         599 75     4U1GSC        599 74
QSO: 21271 PH 2013-08-03 1356 YU7KW         59  75     8S0C          59  81
QSO: 21295 PH 2013-08-03 1356 YU7KW         59  75     OG6N          59  85
QSO: 21285 PH 2013-08-03 1359 YU7KW         59  75     MW0CRI        59  99
QSO: 21220 PH 2013-08-03 1400 YU7KW         59  75     LA7GNA        59  04
QSO: 21051 CW 2013-08-03 1417 YU7KW         599 75     OG6N          599 85
QSO: 21042 CW 2013-08-03 1418 YU7KW         599 75     DJ5QV         599 87
QSO: 21039 CW 2013-08-03 1418 YU7KW         599 75     LA8W          599 82
QSO: 21031 CW 2013-08-03 1420 YU7KW         599 75     OR2A          599 88
QSO: 21033 CW 2013-08-03 1424 YU7KW         599 75     YT0Z          599 75
QSO: 21025 CW 2013-08-03 1425 YU7KW         599 75     YL3FW         599 75
QSO: 21017 CW 2013-08-03 1426 YU7KW         599 75     RW1A          599 84
QSO: 21046 CW 2013-08-03 1430 YU7KW         599 75     LY2OM         599 58
QSO: 21046 CW 2013-08-03 1434 YU7KW         599 75     YL2PP         599 68
QSO: 21046 CW 2013-08-03 1434 YU7KW         599 75     UA1ATD        599 91
QSO: 21032 CW 2013-08-03 1436 YU7KW         599 75     DK0MM         599 60
QSO: 21022 CW 2013-08-03 1438 YU7KW         599 75     PA0QX         599 55
QSO: 21014 CW 2013-08-03 1438 YU7KW         599 75     YL2SM         599 88
QSO: 21003 CW 2013-08-03 1439 YU7KW         599 75     OH1HS         599 73
QSO: 21018 CW 2013-08-03 1440 YU7KW         599 75     M0VKY         599 06
QSO: 21030 CW 2013-08-03 1442 YU7KW         599 75     PA5WT         599 77
QSO: 21031 CW 2013-08-03 1443 YU7KW         599 75     ES7GM         599 98
QSO: 14184 PH 2013-08-03 1448 YU7KW         59  75     EA7KB         59  92
QSO: 14207 PH 2013-08-03 1449 YU7KW         59  75     RV3RM         59  84
QSO: 14214 PH 2013-08-03 1449 YU7KW         59  75     SP4JCP        59  75
QSO: 14221 PH 2013-08-03 1450 YU7KW         59  75     LY7Z          59  88
QSO: 14224 PH 2013-08-03 1452 YU7KW         59  75     OO6YX         59  88
QSO: 14250 PH 2013-08-03 1452 YU7KW         59  75     OH1TD         59  69
QSO: 14265 PH 2013-08-03 1454 YU7KW         59  75     YL2GD         59  73
QSO: 14271 PH 2013-08-03 1455 YU7KW         59  75     SM5ALJ        59  62
QSO: 14274 PH 2013-08-03 1455 YU7KW         59  75     SN2K          59  97
QSO: 14292 PH 2013-08-03 1456 YU7KW         59  75     SI3A          59  80
QSO: 14299 PH 2013-08-03 1457 YU7KW         59  75     DJ8OG         59  99
QSO: 14302 PH 2013-08-03 1457 YU7KW         59  75     F4FSY         59  11
QSO: 14308 PH 2013-08-03 1458 YU7KW         59  75     DJ6QT         59  60
QSO: 14296 PH 2013-08-03 1503 YU7KW         59  75     G3VAO         59  66
QSO: 14296 PH 2013-08-03 1504 YU7KW         59  75     DG1IU         59  81
QSO: 14279 PH 2013-08-03 1505 YU7KW         59  75     EA3BOX        59  79
QSO: 14258 PH 2013-08-03 1506 YU7KW         59  75     RC6U          59  89
QSO: 14246 PH 2013-08-03 1508 YU7KW         59  75     F4DXW         59  03
QSO: 14238 PH 2013-08-03 1508 YU7KW         59  75     RT4RO         59  89
QSO: 14201 PH 2013-08-03 1510 YU7KW         59  75     MW0CRI        59  99
QSO: 14172 PH 2013-08-03 1512 YU7KW         59  75     LA7GNA        59  04
QSO: 14059 CW 2013-08-03 1517 YU7KW         599 75     R3OR          599 80
QSO: 14059 CW 2013-08-03 1517 YU7KW         599 75     DK6XZ         599 82
QSO: 14059 CW 2013-08-03 1519 YU7KW         599 75     RZ3QS         599 80
QSO: 14059 CW 2013-08-03 1519 YU7KW         599 75     RA3NC         599 73
QSO: 14062 CW 2013-08-03 1522 YU7KW         599 75     LY3B          599 83
QSO: 14067 CW 2013-08-03 1523 YU7KW         599 75     HB9/RV3DH     599 82
QSO: 14059 CW 2013-08-03 1526 YU7KW         599 75     OR2A          599 88
QSO: 14058 CW 2013-08-03 1526 YU7KW         599 75     RU3UW         599 01
QSO: 14056 CW 2013-08-03 1527 YU7KW         599 75     LY3QA         599 82
QSO: 14054 CW 2013-08-03 1529 YU7KW         599 75     UA6LCJ        599 62
QSO: 14054 CW 2013-08-03 1529 YU7KW         599 75     DL8MAS        599 76
QSO: 14054 CW 2013-08-03 1530 YU7KW         599 75     R9XT          599 70
QSO: 14054 CW 2013-08-03 1530 YU7KW         599 75     LY2T          599 84
QSO: 14054 CW 2013-08-03 1531 YU7KW         599 75     SP2AEK        599 59
QSO: 14054 CW 2013-08-03 1531 YU7KW         599 75     EU3NA         599 75
QSO: 14054 CW 2013-08-03 1533 YU7KW         599 75     EW6GF         599 89
QSO: 14054 CW 2013-08-03 1533 YU7KW         599 75     DJ2MX/P       599 81
QSO: 14054 CW 2013-08-03 1534 YU7KW         599 75     OK1JVS        599 70
QSO: 14054 CW 2013-08-03 1534 YU7KW         599 75     R4WT          599 76
QSO: 14054 CW 2013-08-03 1535 YU7KW         599 75     R6MW          599 87
QSO: 14054 CW 2013-08-03 1535 YU7KW         599 75     LY1CO         599 60
QSO: 14054 CW 2013-08-03 1535 YU7KW         599 75     DL1EAL        599 78
QSO: 14054 CW 2013-08-03 1538 YU7KW         599 75     DF9EY         599 78
QSO: 14054 CW 2013-08-03 1539 YU7KW         599 75     SN7Q          599 72
QSO:  7031 CW 2013-08-03 1541 YU7KW         599 75     OK8DD         599 87
QSO:  7027 CW 2013-08-03 1543 YU7KW         599 75     LY7M          599 71
QSO:  7027 CW 2013-08-03 1544 YU7KW         599 75     US5EFU        599 84
QSO:  7027 CW 2013-08-03 1544 YU7KW         599 75     YT8A          599 70
QSO:  7027 CW 2013-08-03 1545 YU7KW         599 75     OK5SA         599 62
QSO:  7027 CW 2013-08-03 1547 YU7KW         599 75     IV3DYS        599 74
QSO:  7027 CW 2013-08-03 1547 YU7KW         599 75     YU5T          599 80
QSO:  7027 CW 2013-08-03 1547 YU7KW         599 75     RU3XY         599 89
QSO: 28023 CW 2013-08-03 1548 YU7KW         599 75     LY3BB         599 71
QSO: 28011 CW 2013-08-03 1549 YU7KW         599 75     EA3KU         599 79
QSO: 28019 CW 2013-08-03 1550 YU7KW         599 75     RL3A          599 01
QSO: 28025 CW 2013-08-03 1551 YU7KW         599 75     M0UNN         599 91
QSO: 28026 CW 2013-08-03 1552 YU7KW         599 75     DL5YM         599 71
QSO: 28026 CW 2013-08-03 1552 YU7KW         599 75     LY4T          599 77
QSO: 28030 CW 2013-08-03 1557 YU7KW         599 75     OQ5M          599 99
QSO: 28022 CW 2013-08-03 1600 YU7KW         599 75     YL6Z          599 69
QSO: 28015 CW 2013-08-03 1601 YU7KW         599 75     LY5A          599 70
QSO: 28023 CW 2013-08-03 1603 YU7KW         599 75     LY2FN         599 78
QSO: 28031 CW 2013-08-03 1606 YU7KW         599 75     DJ8OG         599 99
QSO: 28034 CW 2013-08-03 1606 YU7KW         599 75     EU5T          599 78
QSO: 28036 CW 2013-08-03 1606 YU7KW         599 75     LY5T          599 89
QSO: 28040 CW 2013-08-03 1607 YU7KW         599 75     LY9A          599 75
QSO: 28036 CW 2013-08-03 1720 YU7KW         599 75     RA3AV         599 93
QSO: 28030 CW 2013-08-03 1721 YU7KW         599 75     RZ3BW         599 82
QSO: 21033 CW 2013-08-03 1722 YU7KW         599 75     LY2DX         599 83
QSO: 21026 CW 2013-08-03 1725 YU7KW         599 75     UV5U          599 72
QSO: 21025 CW 2013-08-03 1726 YU7KW         599 75     UA4PN         599 78
QSO: 21022 CW 2013-08-03 1726 YU7KW         599 75     OH8WW         599 88
QSO: 21019 CW 2013-08-03 1727 YU7KW         599 75     UT1IM         599 76
QSO: 21018 CW 2013-08-03 1727 YU7KW         599 75     UW2M          599 84
QSO: 21012 CW 2013-08-03 1728 YU7KW         599 75     UT5UGR        599 85
QSO: 21027 CW 2013-08-03 1729 YU7KW         599 75     UX3HA         599 72
QSO: 21028 CW 2013-08-03 1730 YU7KW         599 75     R3ZZ          599 70
QSO: 21255 PH 2013-08-03 1731 YU7KW         59  75     RT4RO         59  89
QSO: 21292 PH 2013-08-03 1731 YU7KW         59  75     EE7K          59  95
QSO: 21305 PH 2013-08-03 1732 YU7KW         59  75     UZ7M          59  01
QSO: 21229 PH 2013-08-03 1735 YU7KW         59  75     OH1TD         59  69
QSO: 21244 PH 2013-08-03 1736 YU7KW         59  75     LY2OU         59  58
QSO: 21212 PH 2013-08-03 1738 YU7KW         59  75     UT5UGR        59  85
QSO: 21041 CW 2013-08-03 1739 YU7KW         599 75     LY2MM         599 70
QSO: 14055 CW 2013-08-03 1744 YU7KW         599 75     LY3BB         599 71
QSO: 14057 CW 2013-08-03 1744 YU7KW         599 75     OG6N          599 85
QSO: 14058 CW 2013-08-03 1745 YU7KW         599 75     YO5PBF        599 97
QSO: 14052 CW 2013-08-03 1747 YU7KW         599 75     IS0XDA        599 88
QSO: 14042 CW 2013-08-03 1748 YU7KW         599 75     YL7X          599 82
QSO: 14041 CW 2013-08-03 1749 YU7KW         599 75     LA8W          599 82
QSO: 14039 CW 2013-08-03 1749 YU7KW         599 75     I0ZUT         599 74
QSO: 14038 CW 2013-08-03 1750 YU7KW         599 75     UR3HC         599 98
QSO: 14036 CW 2013-08-03 1751 YU7KW         599 75     EW5W          599 82
QSO: 14036 CW 2013-08-03 1751 YU7KW         599 75     UY5ZZ         599 67
QSO: 14030 CW 2013-08-03 1752 YU7KW         599 75     OM1ADX        599 10
QSO: 14051 CW 2013-08-03 1757 YU7KW         599 75     OH3GZ         599 76
QSO: 14051 CW 2013-08-03 1759 YU7KW         599 75     DL4ALI        599 84
QSO: 14051 CW 2013-08-03 1759 YU7KW         599 75     RV3TG         599 70
QSO: 14051 CW 2013-08-03 1800 YU7KW         599 75     US0U          599 70
QSO: 14051 CW 2013-08-03 1800 YU7KW         599 75     EA5FQ         599 92
QSO: 14051 CW 2013-08-03 1801 YU7KW         599 75     SP1NY         599 73
QSO: 14052 CW 2013-08-03 1803 YU7KW         599 75     RA3MD         599 81
QSO: 14053 CW 2013-08-03 1803 YU7KW         599 75     UT5C          599 72
QSO: 14241 PH 2013-08-03 1804 YU7KW         59  75     PD1AEG        59  97
QSO: 14298 PH 2013-08-03 1807 YU7KW         59  75     EE7K          59  95
QSO: 14304 PH 2013-08-03 1808 YU7KW         59  75     OO3DI         59  07
QSO: 14285 PH 2013-08-03 1808 YU7KW         59  75     9A3B          59  77
QSO: 14269 PH 2013-08-03 1809 YU7KW         59  75     UR7EN         59  95
QSO: 14258 PH 2013-08-03 1810 YU7KW         59  75     LY2ER         59  64
QSO: 14251 PH 2013-08-03 1811 YU7KW         59  75     IZ3SQW        59  10
QSO: 14228 PH 2013-08-03 1812 YU7KW         59  75     PB2A          59  77
QSO: 14197 PH 2013-08-03 1813 YU7KW         59  75     UT5UGR        59  85
QSO: 14194 PH 2013-08-03 1815 YU7KW         59  75     UA1AFZ        59  88
QSO: 14222 PH 2013-08-03 1816 YU7KW         59  75     GM4AFF        59  71
QSO: 14252 PH 2013-08-03 1818 YU7KW         59  75     UT7CA         59  77
QSO:  7029 CW 2013-08-03 1820 YU7KW         599 75     S50A          599 63
QSO:  7039 CW 2013-08-03 1822 YU7KW         599 75     SP1NY         599 73
QSO:  7039 CW 2013-08-03 1822 YU7KW         599 75     PA0JNH        599 65
QSO:  7039 CW 2013-08-03 1822 YU7KW         599 75     LY3B          599 83
QSO:  7039 CW 2013-08-03 1823 YU7KW         599 75     SP8CGU        599 78
QSO:  7039 CW 2013-08-03 1824 YU7KW         599 75     IV3BCA        599 09
QSO:  7039 CW 2013-08-03 1824 YU7KW         599 75     UR7QC         599 72
QSO:  7030 CW 2013-08-03 1826 YU7KW         599 75     OQ5M          599 99
QSO:  7028 CW 2013-08-03 1827 YU7KW         599 75     LA8W          599 82
QSO:  7004 CW 2013-08-03 1828 YU7KW         599 75     M0UNN         599 91
QSO:  7002 CW 2013-08-03 1829 YU7KW         599 75     S59AA         599 50
QSO:  7001 CW 2013-08-03 1829 YU7KW         599 75     LY2MM         599 70
QSO:  7003 CW 2013-08-03 1830 YU7KW         599 75     OH1HS         599 73
QSO:  7004 CW 2013-08-03 1852 YU7KW         599 75     SN7Q          599 72
QSO:  7027 CW 2013-08-03 1853 YU7KW         599 75     OO6YX         599 88
QSO:  7029 CW 2013-08-03 1853 YU7KW         599 75     DJ9IE         599 62
QSO:  7030 CW 2013-08-03 1854 YU7KW         599 75     LZ9R          599 90
QSO:  7031 CW 2013-08-03 1854 YU7KW         599 75     SN9U          599 90
QSO:  7035 CW 2013-08-03 1855 YU7KW         599 75     YU1KX         599 76
QSO:  7109 PH 2013-08-03 1856 YU7KW         59  75     OM7KW         59  06
QSO:  7129 PH 2013-08-03 1858 YU7KW         59  75     YL7A          59  73
QSO:  7135 PH 2013-08-03 1858 YU7KW         59  75     IZ8XLP        59  12
QSO:  7137 PH 2013-08-03 1900 YU7KW         59  75     S51CK         59  72
QSO:  7142 PH 2013-08-03 1901 YU7KW         59  75     S54ZZ         59  83
QSO:  7142 PH 2013-08-03 1901 YU7KW         59  75     S53M          59  77
QSO:  7152 PH 2013-08-03 1901 YU7KW         59  75     IZ3SQW        59  10
QSO:  7159 PH 2013-08-03 1903 YU7KW         59  75     SP9LJD        59  79
QSO:  7171 PH 2013-08-03 1904 YU7KW         59  75     LZ5R          59  95
QSO:  7173 PH 2013-08-03 1905 YU7KW         59  75     S50A          59  63
QSO: 14251 PH 2013-08-03 1907 YU7KW         59  75     YP8A          59  77
QSO: 14247 PH 2013-08-03 1908 YU7KW         59  75     ES5RR         59  82
QSO: 14243 PH 2013-08-03 1908 YU7KW         59  75     OG6N          59  85
QSO: 14237 PH 2013-08-03 1909 YU7KW         59  75     YO3CZW        59  78
QSO: 14052 CW 2013-08-03 1911 YU7KW         599 75     S50W          599 81
QSO: 14054 CW 2013-08-03 1913 YU7KW         599 75     OK5IM         599 85
QSO: 14054 CW 2013-08-03 1913 YU7KW         599 75     US1PM         599 81
QSO: 14054 CW 2013-08-03 1914 YU7KW         599 75     RL3A          599 01
QSO: 14054 CW 2013-08-03 1914 YU7KW         599 75     M0CFW         599 83
QSO: 14054 CW 2013-08-03 1914 YU7KW         599 75     RA6IGE        599 89
QSO: 14054 CW 2013-08-03 1915 YU7KW         599 75     YL3AD         599 76
QSO: 14054 CW 2013-08-03 1915 YU7KW         599 75     S57AC         599 54
QSO: 14054 CW 2013-08-03 1916 YU7KW         599 75     DJ3GE         599 56
QSO: 14054 CW 2013-08-03 1917 YU7KW         599 75     YU1BM         599 69
QSO: 14054 CW 2013-08-03 1919 YU7KW         599 75     EW8OK         599 59
QSO: 14054 CW 2013-08-03 1919 YU7KW         599 75     UA2FP         599 68
QSO: 14054 CW 2013-08-03 1920 YU7KW         599 75     LZ2PS         599 87
QSO: 14054 CW 2013-08-03 1920 YU7KW         599 75     LZ1YQ         599 79
QSO: 14054 CW 2013-08-03 1920 YU7KW         599 75     ON6FC         599 74
QSO: 14054 CW 2013-08-03 1921 YU7KW         599 75     EA3KU         599 79
QSO: 14054 CW 2013-08-03 1921 YU7KW         599 75     F6GCI         599 66
QSO: 14054 CW 2013-08-03 1922 YU7KW         599 75     LA6IHA        599 86
QSO: 14054 CW 2013-08-03 1923 YU7KW         599 75     RN6AI         599 81
QSO: 14054 CW 2013-08-03 1923 YU7KW         599 75     RA1CE         599 76
QSO: 14054 CW 2013-08-03 1924 YU7KW         599 75     RU6MO         599 80
QSO: 14054 CW 2013-08-03 1925 YU7KW         599 75     SM6FKF        599 72
QSO: 14054 CW 2013-08-03 1926 YU7KW         599 75     EW6CU         599 75
QSO: 14054 CW 2013-08-03 1926 YU7KW         599 75     SP2HMY        599 74
QSO: 14054 CW 2013-08-03 1927 YU7KW         599 75     SQ9DXN        599 95
