START-OF-LOG: 3.0
CALLSIGN: G3LHJ
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 0
NAME:
LOCATION: DX
OPERATORS: G3LHJ
CLUB:
CERTIFICATE: NO
CREATED-BY: MixW 3.2
SOAPBOX: Good to have 15M open all weekend, missed the 10M opening.
QSO: 21080 RY 2017-09-23 1811 G3LHJ         599 14 DX    CP6UA         599 10 DX
QSO: 21079 RY 2017-09-23 1819 G3LHJ         599 14 DX    LT0H          599 13 DX
QSO: 21079 RY 2017-09-23 1829 G3LHJ         599 14 DX    ZB2TT         599 14 DX
QSO: 21079 RY 2017-09-23 1833 G3LHJ         599 14 DX    CV7S          599 13 DX
QSO: 21079 RY 2017-09-23 1845 G3LHJ         599 14 DX    PT2CM         599 11 DX
QSO: 21080 RY 2017-09-23 1846 G3LHJ         599 14 DX    PY2SHF        599 11 DX
QSO: 21079 RY 2017-09-23 1852 G3LHJ         599 14 DX    CR3A          599 33 DX
QSO: 21079 RY 2017-09-23 1855 G3LHJ         599 14 DX    ZV2C          599 11 DX
QSO: 21078 RY 2017-09-23 1858 G3LHJ         599 14 DX    PX2V          599 11 DX
QSO: 21079 RY 2017-09-23 1902 G3LHJ         599 14 DX    L33M          599 13 DX
QSO: 21079 RY 2017-09-23 1927 G3LHJ         599 14 DX    3G3O          599 12 DX
QSO: 21079 RY 2017-09-24 0913 G3LHJ         599 14 DX    EA8DED        599 33 DX
QSO: 21079 RY 2017-09-24 0918 G3LHJ         599 14 DX    SV9FBG        599 20 DX
QSO: 21078 RY 2017-09-24 0935 G3LHJ         599 14 DX    V53DX         599 38 DX
QSO: 21079 RY 2017-09-24 0937 G3LHJ         599 14 DX    ZZ2T          599 11 DX
QSO: 21078 RY 2017-09-24 0945 G3LHJ         599 14 DX    EA8CNR        599 33 DX
QSO: 21078 RY 2017-09-24 1043 G3LHJ         599 14 DX    EA8PT         599 33 DX
QSO: 21078 RY 2017-09-24 1045 G3LHJ         599 14 DX    CW4MAX        599 13 DX
QSO: 21079 RY 2017-09-24 1048 G3LHJ         599 14 DX    PY1GQ         599 11 DX
QSO: 21078 RY 2017-09-24 1053 G3LHJ         599 14 DX    EA7RU         599 14 DX
QSO: 21080 RY 2017-09-24 1116 G3LHJ         599 14 DX    UA6LJB        599 16 DX
QSO: 21079 RY 2017-09-24 1118 G3LHJ         599 14 DX    A61M          599 21 DX
QSO: 21078 RY 2017-09-24 1122 G3LHJ         599 14 DX    YO4SI         599 20 DX
QSO: 21080 RY 2017-09-24 1124 G3LHJ         599 14 DX    EA7ZY         599 14 DX
QSO: 21080 RY 2017-09-24 1126 G3LHJ         599 14 DX    PY5EG         599 11 DX
QSO: 21079 RY 2017-09-24 1134 G3LHJ         599 14 DX    CT1GVN        599 14 DX
QSO: 21079 RY 2017-09-24 1137 G3LHJ         599 14 DX    UC6A          599 16 DX
QSO: 21079 RY 2017-09-24 1141 G3LHJ         599 14 DX    TA3MHA        599 20 DX
QSO: 21078 RY 2017-09-24 1145 G3LHJ         599 14 DX    P3X           599 20 DX
QSO: 21080 RY 2017-09-24 1147 G3LHJ         599 14 DX    A44A          599 21 DX
QSO: 21078 RY 2017-09-24 1444 G3LHJ         599 14 DX    IZ1YPF        599 15 DX
QSO: 21080 RY 2017-09-24 1447 G3LHJ         599 14 DX    9A1A          599 15 DX
QSO: 21079 RY 2017-09-24 1454 G3LHJ         599 14 DX    W8AT          599 05 WV
QSO: 21079 RY 2017-09-24 1459 G3LHJ         599 14 DX    KU2M          599 05 NJ
QSO: 21078 RY 2017-09-24 1503 G3LHJ         599 14 DX    K1SFA         599 05 MA
QSO: 21080 RY 2017-09-24 1506 G3LHJ         599 14 DX    AG2T          599 05 NY
QSO: 21078 RY 2017-09-24 1507 G3LHJ         599 14 DX    AB3CV         599 05 MD
QSO: 21078 RY 2017-09-24 1512 G3LHJ         599 14 DX    N3OW          599 05 PA
QSO: 21078 RY 2017-09-24 1516 G3LHJ         599 14 DX    AA3B          599 05 PA
QSO: 21078 RY 2017-09-24 1519 G3LHJ         599 14 DX    W4PK          599 05 VA
QSO: 21079 RY 2017-09-24 1535 G3LHJ         599 14 DX    PI4COM        599 14 DX
QSO: 21078 RY 2017-09-24 1537 G3LHJ         599 14 DX    K3MJW         599 05 PA
QSO: 21079 RY 2017-09-24 1538 G3LHJ         599 14 DX    KI1G          599 05 RI
QSO: 21078 RY 2017-09-24 1539 G3LHJ         599 14 DX    N1MD          599 05 CT
QSO: 21080 RY 2017-09-24 1540 G3LHJ         599 14 DX    N4WW          599 05 FL
QSO: 21078 RY 2017-09-24 1542 G3LHJ         599 14 DX    N3DXX         599 05 DE
QSO: 21078 RY 2017-09-24 1546 G3LHJ         599 14 DX    W6NWS         599 05 NC
QSO: 21079 RY 2017-09-24 1547 G3LHJ         599 14 DX    W3FIZ         599 05 PA
QSO: 21078 RY 2017-09-24 1547 G3LHJ         599 14 DX    W4JAM         599 05 VA
QSO: 21080 RY 2017-09-24 1550 G3LHJ         599 14 DX    N3QE          599 05 MD
QSO: 21078 RY 2017-09-24 1602 G3LHJ         599 14 DX    CO2WL         599 08 DX
QSO: 21078 RY 2017-09-24 1606 G3LHJ         599 14 DX    K3LR          599 05 PA
QSO: 21079 RY 2017-09-24 1612 G3LHJ         599 14 DX    PY4RGS        599 11 DX
QSO: 21079 RY 2017-09-24 1614 G3LHJ         599 14 DX    N1IXF         599 05 CT
QSO: 21078 RY 2017-09-24 1621 G3LHJ         599 14 DX    YV5AAX        599 09 DX
QSO: 21078 RY 2017-09-24 1622 G3LHJ         599 14 DX    W2YC          599 05 NJ
QSO: 21079 RY 2017-09-24 1625 G3LHJ         599 14 DX    N1API         599 05 CT
QSO: 21080 RY 2017-09-24 1627 G3LHJ         599 14 DX    Z36N          599 15 DX
QSO: 21078 RY 2017-09-24 1635 G3LHJ         599 14 DX    K4LTE         599 05 NC
QSO: 21079 RY 2017-09-24 1636 G3LHJ         599 14 DX    YO3GNF        599 20 DX
QSO: 21078 RY 2017-09-24 1637 G3LHJ         599 14 DX    9H1AE         599 15 DX
QSO: 21078 RY 2017-09-24 1638 G3LHJ         599 14 DX    K3DMG         599 04 OH
QSO: 21078 RY 2017-09-24 1755 G3LHJ         599 14 DX    LZ7A          599 20 DX
QSO: 21079 RY 2017-09-24 1757 G3LHJ         599 14 DX    4U1WB         599 05 DX
QSO: 21078 RY 2017-09-24 1759 G3LHJ         599 14 DX    CR6T          599 14 DX
QSO: 21078 RY 2017-09-24 1802 G3LHJ         599 14 DX    AD4ES         599 05 FL
QSO: 21078 RY 2017-09-24 1804 G3LHJ         599 14 DX    SV1ABB        599 20 DX
QSO: 21078 RY 2017-09-24 1816 G3LHJ         599 14 DX    PU2WDX        599 11 DX
QSO: 21078 RY 2017-09-24 1833 G3LHJ         599 14 DX    TA7I          599 20 DX
QSO: 21078 RY 2017-09-24 1835 G3LHJ         599 14 DX    LU2FGL        599 13 DX
QSO: 21078 RY 2017-09-24 1837 G3LHJ         599 14 DX    LU3FL         599 13 DX
QSO: 21078 RY 2017-09-24 1840 G3LHJ         599 14 DX    5T5OK         599 35 DX
QSO: 21078 RY 2017-09-24 1844 G3LHJ         599 14 DX    ZZ200AL       599 11 DX
QSO: 21078 RY 2017-09-24 1846 G3LHJ         599 14 DX    CE2MT         599 12 DX
QSO: 21079 RY 2017-09-24 1852 G3LHJ         599 14 DX    LW9ETQ        599 11 DZ
QSO: 21079 RY 2017-09-24 1858 G3LHJ         599 14 DX    LU2FGL        599 11 DX
END-OF-LOG:
