START-OF-LOG: 3.0
CALLSIGN: 9W6EZ
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 11720
NAME: Jimmy
LOCATION: DX
OPERATORS: 9W6EZ
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6006.0
SOAPBOX: More than half of my contacts were on 10m (99% JA stations).
QSO: 28000 RY 2017-09-24 0044 9W6EZ         599 28 DX  JR3UIC        599 25 DX
QSO: 28000 RY 2017-09-24 0045 9W6EZ         599 28 DX  JR1EMO        599 25 DX
QSO: 28000 RY 2017-09-24 0048 9W6EZ         599 28 DX  JF1RYU        599 25 DX
QSO: 28000 RY 2017-09-24 0050 9W6EZ         599 28 DX  JA6GCE        599 25 DX
QSO: 28000 RY 2017-09-24 0050 9W6EZ         599 28 DX  JH6QFJ        599 25 DX
QSO: 28000 RY 2017-09-24 0052 9W6EZ         599 28 DX  JP7FSO        599 25 DX
QSO: 28000 RY 2017-09-24 0059 9W6EZ         599 28 DX  JA2GHP        599 25 DX
QSO: 28000 RY 2017-09-24 0109 9W6EZ         599 28 DX  7L4IOU        599 25 DX
QSO: 28000 RY 2017-09-24 0112 9W6EZ         599 28 DX  JA1BNW        599 25 DX
QSO: 28000 RY 2017-09-24 0112 9W6EZ         599 28 DX  JA1WSX        599 25 DX
QSO: 28000 RY 2017-09-24 0123 9W6EZ         599 28 DX  JA1FNO        599 25 DX
QSO: 28000 RY 2017-09-24 0124 9W6EZ         599 28 DX  JA1BWA        599 25 DX
QSO: 28000 RY 2017-09-24 0124 9W6EZ         599 28 DX  JA1SCE        599 25 DX
QSO: 28000 RY 2017-09-24 0126 9W6EZ         599 28 DX  JG1LRE        599 25 DX
QSO: 28000 RY 2017-09-24 0134 9W6EZ         599 28 DX  JL3MCM        599 25 DX
QSO: 28000 RY 2017-09-24 0204 9W6EZ         599 28 DX  JA4FCC        599 25 DX
QSO: 28000 RY 2017-09-24 0207 9W6EZ         599 28 DX  JH1PXH        599 25 DX
QSO: 28000 RY 2017-09-24 0211 9W6EZ         599 28 DX  7K1VKU        599 25 DX
QSO: 28000 RY 2017-09-24 0213 9W6EZ         599 28 DX  JA6LCJ        599 25 DX
QSO: 28000 RY 2017-09-24 0243 9W6EZ         599 28 DX  JN1BMX        599 25 DX
QSO: 28000 RY 2017-09-24 0251 9W6EZ         599 28 DX  JR6AG         599 25 DX
QSO: 28000 RY 2017-09-24 0259 9W6EZ         599 28 DX  JM4WUZ        599 25 DX
QSO: 28000 RY 2017-09-24 0305 9W6EZ         599 28 DX  JJ2VLY        599 25 DX
QSO: 28000 RY 2017-09-24 0307 9W6EZ         599 28 DX  JH5HDA        599 25 DX
QSO: 28000 RY 2017-09-24 0309 9W6EZ         599 28 DX  JA4GQD        599 25 DX
QSO: 28000 RY 2017-09-24 0316 9W6EZ         599 28 DX  JH3FUK        599 25 DX
QSO: 28000 RY 2017-09-24 0504 9W6EZ         599 28 DX  JA1SJV        599 25 DX
QSO: 28000 RY 2017-09-24 0509 9W6EZ         599 28 DX  JH1RFM        599 25 DX
QSO: 28000 RY 2017-09-24 0509 9W6EZ         599 28 DX  JE4CIL        599 25 DX
QSO: 28000 RY 2017-09-24 0511 9W6EZ         599 28 DX  9M6XRO        599 28 DX
QSO: 28000 RY 2017-09-24 0515 9W6EZ         599 28 DX  JQ3TAN        599 25 DX
QSO: 28000 RY 2017-09-24 0543 9W6EZ         599 28 DX  JA4XHF/3      599 25 DX
QSO: 28000 RY 2017-09-24 0544 9W6EZ         599 28 DX  JA7RRU        599 25 DX
QSO: 28000 RY 2017-09-24 0844 9W6EZ         599 28 DX  JG1LFR        599 25 DX
QSO:  7000 RY 2017-09-24 0857 9W6EZ         599 28 DX  N6IE          599 03 CA
QSO:  7000 RY 2017-09-24 0904 9W6EZ         599 28 DX  DU1IVT        599 27 DX
QSO:  7000 RY 2017-09-24 0947 9W6EZ         599 28 DX  9M6XRO        599 28 DX
QSO:  7000 RY 2017-09-24 0958 9W6EZ         599 28 DX  BH4TXN        599 24 DX
QSO:  7000 RY 2017-09-24 1001 9W6EZ         599 28 DX  K2PO          599 03 OR
QSO:  7000 RY 2017-09-24 1020 9W6EZ         599 28 DX  JF2XGF        599 25 DX
QSO:  7000 RY 2017-09-24 1024 9W6EZ         599 28 DX  JG6JAV        599 25 DX
QSO:  7000 RY 2017-09-24 1027 9W6EZ         599 28 DX  JO4CFV        599 25 DX
QSO:  7000 RY 2017-09-24 1028 9W6EZ         599 28 DX  BV1EK         599 24 DX
QSO:  7000 RY 2017-09-24 1028 9W6EZ         599 28 DX  JA2HYD        599 25 DX
QSO:  7000 RY 2017-09-24 1029 9W6EZ         599 28 DX  DV1ZFE        599 27 DX
QSO:  7000 RY 2017-09-24 1033 9W6EZ         599 28 DX  K7HP          599 03 AZ
QSO:  7000 RY 2017-09-24 1037 9W6EZ         599 28 DX  BY7KTO        599 24 DX
QSO:  7000 RY 2017-09-24 1043 9W6EZ         599 28 DX  JE1LFX        599 25 DX
QSO:  7000 RY 2017-09-24 1105 9W6EZ         599 28 DX  W0LSD         599 04 CO
QSO:  7000 RY 2017-09-24 1106 9W6EZ         599 28 DX  HL2WA         599 25 DX
QSO:  7000 RY 2017-09-24 1244 9W6EZ         599 28 DX  KY7M          599 03 AZ
QSO:  7000 RY 2017-09-24 1307 9W6EZ         599 28 DX  KA6BIM        599 03 OR
QSO:  7000 RY 2017-09-24 1316 9W6EZ         599 28 DX  K6XX          599 03 CA
QSO:  7000 RY 2017-09-24 1333 9W6EZ         599 28 DX  JA7IC         599 25 DX
QSO:  7000 RY 2017-09-24 1337 9W6EZ         599 28 DX  N7IR          599 03 AZ
QSO:  7000 RY 2017-09-24 1341 9W6EZ         599 28 DX  KF7U          599 03 AZ
QSO:  7000 RY 2017-09-24 2117 9W6EZ         599 28 DX  OH8A          599 15 DX
QSO:  7000 RY 2017-09-24 2155 9W6EZ         599 28 DX  JA2FSM        599 25 DX
QSO:  7000 RY 2017-09-24 2213 9W6EZ         599 28 DX  IK2NCJ        599 15 DX
QSO:  7000 RY 2017-09-24 2218 9W6EZ         599 28 DX  BD7OXR        599 24 DX
END-OF-LOG:
