START-OF-LOG: 2.0
CREATED-BY: ADIF2CABR V.2.00 (C) SP7DQR
CALLSIGN: RA3WDK
CONTEST: CQ-WW-CW
CLAIMED-SCORE:
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-TRANSMITTER: ONE
CLUB:
LOCATION: KO81BR
NAME: Ivan
SOAPBOX: RIG Home made PWR 5 watt ANT wire 15m
QSO: 14000 CW 2012-11-24 0711 RA3WDK        599 16         9A1A          599 15
QSO: 14000 CW 2012-11-24 0713 RA3WDK        599 16         HA8JV         599 15
QSO: 14000 CW 2012-11-24 0714 RA3WDK        599 16         DD1A          599 14
QSO: 14000 CW 2012-11-24 0720 RA3WDK        599 16         OM0M          599 15
QSO: 14000 CW 2012-11-24 0722 RA3WDK        599 16         OK7M          599 15
QSO: 14000 CW 2012-11-24 0724 RA3WDK        599 16         YT7B          599 15
QSO: 14000 CW 2012-11-24 0726 RA3WDK        599 16         OK7K          599 15
QSO: 14000 CW 2012-11-24 0729 RA3WDK        599 16         UN7CN         599 17
QSO: 14000 CW 2012-11-24 0730 RA3WDK        599 16         R7AO          599 16
QSO: 14000 CW 2012-11-24 0731 RA3WDK        599 16         OM7RU         599 15
QSO: 14000 CW 2012-11-24 0732 RA3WDK        599 16         HA6OA         599 15
QSO: 14000 CW 2012-11-24 0733 RA3WDK        599 16         RT9S          599 16
QSO: 14000 CW 2012-11-24 0736 RA3WDK        599 16         OL2U          599 15
QSO: 14000 CW 2012-11-24 0737 RA3WDK        599 16         SE5E          599 14
QSO: 14000 CW 2012-11-24 0739 RA3WDK        599 16         YO9AGI        599 20
QSO: 14000 CW 2012-11-24 0739 RA3WDK        599 16         RV6YB         599 16
QSO: 14000 CW 2012-11-24 0746 RA3WDK        599 16         RL9X          599 17
QSO: 14000 CW 2012-11-24 0752 RA3WDK        599 16         TM4Q          599 14
QSO: 14000 CW 2012-11-24 0753 RA3WDK        599 16         EA2EA         599 14
QSO: 14000 CW 2012-11-24 0755 RA3WDK        599 16         DA0I          599 14
QSO: 14000 CW 2012-11-24 0845 RA3WDK        599 16         S57DX         599 15
QSO: 14000 CW 2012-11-24 0850 RA3WDK        599 16         LY9A          599 15
QSO: 14000 CW 2012-11-24 0943 RA3WDK        599 16         IK3UNA/1      599 15
QSO: 14000 CW 2012-11-24 0945 RA3WDK        599 16         UA4NCI        599 16
QSO: 14000 CW 2012-11-24 0948 RA3WDK        599 16         DP9A          599 14
QSO: 14000 CW 2012-11-24 0954 RA3WDK        599 16         LY3Z          599 15
QSO: 14000 CW 2012-11-24 1000 RA3WDK        599 16         SN7Q          599 15
QSO: 14000 CW 2012-11-24 1001 RA3WDK        599 16         OM7M          599 15
QSO: 14000 CW 2012-11-24 1003 RA3WDK        599 16         OL1C          599 15
QSO: 14000 CW 2012-11-24 1223 RA3WDK        599 16         SO2O          599 15
QSO: 14000 CW 2012-11-24 1225 RA3WDK        599 16         YT3A          599 15
QSO: 14000 CW 2012-11-24 1236 RA3WDK        599 16         ES2MC         599 15
QSO: 14000 CW 2012-11-24 1239 RA3WDK        599 16         SJ2W          599 14
QSO: 14000 CW 2012-11-24 1342 RA3WDK        599 16         Z60WW         599 15
QSO:  7000 CW 2012-11-24 1449 RA3WDK        599 16         LZ8E          599 20
QSO:  7000 CW 2012-11-24 1455 RA3WDK        599 16         OL1M          599 15
QSO:  7000 CW 2012-11-24 1457 RA3WDK        599 16         RC9O          599 18
QSO:  7000 CW 2012-11-24 1611 RA3WDK        599 16         TF4X          599 40
QSO:  7000 CW 2012-11-24 1615 RA3WDK        599 16         HG7T          599 15
QSO:  7000 CW 2012-11-24 1618 RA3WDK        599 16         RA1AL         599 16
QSO:  7000 CW 2012-11-24 1619 RA3WDK        599 16         UA6G          599 16
QSO:  7000 CW 2012-11-24 1621 RA3WDK        599 16         HG5C          599 15
QSO:  7000 CW 2012-11-24 1634 RA3WDK        599 16         RK9AX         599 17
QSO:  7000 CW 2012-11-24 1716 RA3WDK        599 16         YT7A          599 15
QSO:  7000 CW 2012-11-24 1719 RA3WDK        599 16         DP9A          599 14
QSO:  7000 CW 2012-11-24 1731 RA3WDK        599 16         OM0M          599 15
QSO:  7000 CW 2012-11-24 1738 RA3WDK        599 16         OH1TX         599 15
QSO:  7000 CW 2012-11-24 1756 RA3WDK        599 16         RW0A          599 18
QSO:  7000 CW 2012-11-24 1843 RA3WDK        599 16         DR1A          599 14
QSO:  7000 CW 2012-11-24 1853 RA3WDK        599 16         DL1LH         599 14
QSO:  7000 CW 2012-11-24 1855 RA3WDK        599 16         LA2AB         599 14
QSO:  7000 CW 2012-11-24 1900 RA3WDK        599 16         YU2FG         599 15
QSO:  7000 CW 2012-11-24 1904 RA3WDK        599 16         YT2W          599 15
QSO:  7000 CW 2012-11-24 1906 RA3WDK        599 16         EI3KG         599 14
QSO:  7000 CW 2012-11-24 1911 RA3WDK        599 16         9A1A          599 15
QSO:  7000 CW 2012-11-24 1914 RA3WDK        599 16         DL7YS         599 14
QSO:  7000 CW 2012-11-24 1930 RA3WDK        599 16         9A7A          599 15
QSO:  7000 CW 2012-11-24 1948 RA3WDK        599 16         OL1C          599 15
QSO:  7000 CW 2012-11-24 2008 RA3WDK        599 16         G5W           599 14
QSO:  7000 CW 2012-11-24 2021 RA3WDK        599 16         S53XX         599 15
QSO:  7000 CW 2012-11-25 0443 RA3WDK        599 16         TC2M          599 20
QSO:  7000 CW 2012-11-25 0459 RA3WDK        599 16         UN9L          599 17
QSO:  7000 CW 2012-11-25 0516 RA3WDK        599 16         OE3K          599 15
QSO:  7000 CW 2012-11-25 0522 RA3WDK        599 16         S52AW         599 15
QSO: 14000 CW 2012-11-25 0555 RA3WDK        599 16         SZ1A          599 20
QSO: 14000 CW 2012-11-25 0609 RA3WDK        599 16         LZ5R          599 20
QSO: 14000 CW 2012-11-25 0610 RA3WDK        599 16         PI4CC         599 14
QSO: 14000 CW 2012-11-25 0616 RA3WDK        599 16         UI8CM         599 17
QSO: 14000 CW 2012-11-25 0619 RA3WDK        599 16         RW0BG         599 18
QSO:  7000 CW 2012-11-25 1843 RA3WDK        599 16         S50G          599 15
QSO:  7000 CW 2012-11-25 1851 RA3WDK        599 16         R9DX          599 17
QSO:  7000 CW 2012-11-25 1858 RA3WDK        599 16         DA0I          599 14
QSO:  7000 CW 2012-11-25 1900 RA3WDK        599 16         S57DX         599 15
QSO:  7000 CW 2012-11-25 1901 RA3WDK        599 16         OL3Z          599 15
QSO:  7000 CW 2012-11-25 1903 RA3WDK        599 16         YU1LA         599 15
QSO:  7000 CW 2012-11-25 1912 RA3WDK        599 16         JS3CTQ        599 25
QSO:  7000 CW 2012-11-25 1922 RA3WDK        599 16         UA9BS         599 17
END-OF-LOG:
