START-OF-LOG: 3.0
CALLSIGN: UA9AL
CLUB:  SOUTH URAL CONTEST CLUB
CONTEST: CQ-WW-CW
CATEGORY-ASSISTED: ASSISTED
CLAIMED-SCORE: 1148626
OPERATORS: UA9AL
NAME: ANDREJ SELIN
CREATED-BY: N1MM Logger V11.7.5
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO:  7036 CW 2012-11-24 0412 UA9AL         599 17     RG9A          599 17
QSO:  7037 CW 2012-11-24 0413 UA9AL         599 17     RZ4FWW        599 16
QSO:  7037 CW 2012-11-24 0414 UA9AL         599 17     PI4CC         599 14
QSO:  7039 CW 2012-11-24 0417 UA9AL         599 17     KP2M          599 08
QSO:  7041 CW 2012-11-24 0422 UA9AL         599 17     EF8M          599 33
QSO:  7041 CW 2012-11-24 0423 UA9AL         599 17     YU1EL         599 15
QSO:  7041 CW 2012-11-24 0423 UA9AL         599 17     US0HZ         599 16
QSO:  7041 CW 2012-11-24 0425 UA9AL         599 17     RA4ACX        599 16
QSO:  7042 CW 2012-11-24 0427 UA9AL         599 17     SN9V          599 15
QSO:  7043 CW 2012-11-24 0429 UA9AL         599 17     LA2AB         599 14
QSO:  7047 CW 2012-11-24 0435 UA9AL         599 17     OH0X          599 15
QSO:  7047 CW 2012-11-24 0436 UA9AL         599 17     DR1D          599 14
QSO:  7051 CW 2012-11-24 0439 UA9AL         599 17     OQ5M          599 14
QSO:  7052 CW 2012-11-24 0444 UA9AL         599 17     G3RXP         599 14
QSO:  7054 CW 2012-11-24 0446 UA9AL         599 17     OK1AWZ        599 15
QSO:  7054 CW 2012-11-24 0447 UA9AL         599 17     DR5N          599 14
QSO:  7054 CW 2012-11-24 0447 UA9AL         599 17     OM0M          599 15
QSO:  7055 CW 2012-11-24 0448 UA9AL         599 17     OH5Z          599 15
QSO:  7056 CW 2012-11-24 0448 UA9AL         599 17     RU1A          599 16
QSO:  7057 CW 2012-11-24 0449 UA9AL         599 17     RM5A          599 16
QSO:  7058 CW 2012-11-24 0450 UA9AL         599 17     UA5D          599 16
QSO:  7059 CW 2012-11-24 0455 UA9AL         599 17     EU1A          599 16
QSO:  7060 CW 2012-11-24 0456 UA9AL         599 17     LY7A          599 15
QSO:  7061 CW 2012-11-24 0457 UA9AL         599 17     HA3FTA        599 15
QSO:  7063 CW 2012-11-24 0459 UA9AL         599 17     OK1DG         599 15
QSO:  7064 CW 2012-11-24 0504 UA9AL         599 17     YW4D          599 09
QSO:  7065 CW 2012-11-24 0506 UA9AL         599 17     OE3K          599 15
QSO:  7067 CW 2012-11-24 0508 UA9AL         599 17     ED5O          599 14
QSO:  7069 CW 2012-11-24 0510 UA9AL         599 17     G5O           599 14
QSO:  7070 CW 2012-11-24 0511 UA9AL         599 17     K8AZ          599 04
QSO:  7070 CW 2012-11-24 0511 UA9AL         599 17     PW7T          599 11
QSO:  7072 CW 2012-11-24 0513 UA9AL         599 17     YT2W          599 15
QSO:  7073 CW 2012-11-24 0513 UA9AL         599 17     OL7M          599 15
QSO:  7075 CW 2012-11-24 0516 UA9AL         599 17     YT7A          599 15
QSO:  7075 CW 2012-11-24 0517 UA9AL         599 17     E7RS          599 15
QSO:  7048 CW 2012-11-24 0521 UA9AL         599 17     CR3L          599 33
QSO:  7048 CW 2012-11-24 0523 UA9AL         599 17     LT1F          599 13
QSO:  7003 CW 2012-11-24 0524 UA9AL         599 17     DF0HQ         599 14
QSO:  7005 CW 2012-11-24 0525 UA9AL         599 17     UX5D          599 16
QSO:  7007 CW 2012-11-24 0530 UA9AL         599 17     UA3AMZ        599 16
