START-OF-LOG: 3.0
CALLSIGN: OF2FRM
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE:
NAME: Tom Ahola
LOCATION: DX
OPERATORS: OF2FRM
CLUB:
CERTIFICATE: NO
CREATED-BY:
SOAPBOX: Antenna     - Diamond CP-6 6-band HF vertical 11 meter AGL
QSO: 14000   PH 2017-03-26 0656 OF2FRM   59   014      EF2A     59   2650
QSO: 14000   PH 2017-03-26 0649 OF2FRM   59   013      SZ1A     59   18
QSO: 14000   PH 2017-03-26 0648 OF2FRM   59   012      LZ9W     59   1409
QSO: 14000   PH 2017-03-26 0644 OF2FRM   59   011      4L6AM    59   1213
QSO: 14000   PH 2017-03-25 1725 OF2FRM   59   010      EA2LMI   59   761
QSO: 14000   PH 2017-03-25 1712 OF2FRM   59   009      TM5A     59   781
QSO: 14000   PH 2017-03-25 1710 OF2FRM   59   008      IO5O     59   1893
QSO: 14000   PH 2017-03-25 1706 OF2FRM   59   007      ED2C     59   124
QSO: 14000   PH 2017-03-25 1637 OF2FRM   59   006      IR8P     59   1466
QSO: 14000   PH 2017-03-25 1627 OF2FRM   59   005      EF3T     59   828
QSO: 14000   PH 2017-03-25 1622 OF2FRM   59   004      IT9OPR   59   170
QSO: 14000   PH 2017-03-25 1616 OF2FRM   59   003      IT9BDM   59   752
QSO: 14000   PH 2017-03-25 1615 OF2FRM   59   002      EA2DNR   59   91
QSO: 14000   PH 2017-03-25 1612 OF2FRM   59   001      SX1S     59   593
END-OF-LOG:
