START-OF-LOG: 3.0
CALLSIGN: SP5BYC
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: J.Salach
LOCATION: DX
OPERATORS: SP5BYC
CLUB:
CERTIFICATE: NO
CREATED-BY: DQR_Log v. 3.2.5 - (c) SP7DQR
SOAPBOX: QSO nr's 036-040 are repeated due to comp. failure.sri.
QSO: 14000 PH 2017-03-25 1315 SP5BYC        59          024 EF3T            59          562
QSO: 14000 PH 2017-03-25 1318 SP5BYC        59          025 KR1DX           59          677
QSO: 14000 PH 2017-03-25 1319 SP5BYC        59          026 P33W            59         1197
QSO: 14000 PH 2017-03-25 1320 SP5BYC        59          027 IT9STX          59          411
QSO: 14000 PH 2017-03-25 1326 SP5BYC        59          028 RM4HZ           59          791
QSO: 14000 PH 2017-03-25 1327 SP5BYC        59          029 II9P            59          909
QSO: 14000 PH 2017-03-25 1328 SP5BYC        59          030 IB9P            59          179
QSO: 14000 PH 2017-03-25 1335 SP5BYC        59          031 K1RX            59          048
QSO: 14000 PH 2017-03-25 1337 SP5BYC        59          032 SZ5RDS          59          365
QSO: 14000 PH 2017-03-25 1341 SP5BYC        59          033 NE1C            59          331
QSO: 14000 PH 2017-03-25 1341 SP5BYC        59          034 SX1S            59          478
QSO: 14000 PH 2017-03-25 1350 SP5BYC        59          035 J43TR           59          917
QSO: 14000 PH 2017-03-25 1351 SP5BYC        59          036 IF9A            59          491
QSO: 14000 PH 2017-03-25 1357 SP5BYC        59          037 4X6TT           59         1000
QSO: 14000 PH 2017-03-25 1359 SP5BYC        59          038 TI6JK           59          502
QSO: 14000 PH 2017-03-25 1409 SP5BYC        59          039 3V8SS           59          571
QSO: 14000 PH 2017-03-25 1410 SP5BYC        59          040 IO9A            59          981
QSO: 14000 PH 2017-03-25 1651 SP5BYC        59          036 H2X             59          716
QSO: 14000 PH 2017-03-25 1657 SP5BYC        59          037 IR9Z            59          273
QSO: 14000 PH 2017-03-25 1703 SP5BYC        59          038 IT9BDM          59          048
QSO: 14000 PH 2017-03-25 1710 SP5BYC        59          039 EA2LMI          59          745
QSO: 14000 PH 2017-03-25 1713 SP5BYC        59          040 IR8P            59          046
QSO: 14000 PH 2017-03-25 1718 SP5BYC        59          041 EA5DFV          59          708
QSO: 14000 PH 2017-03-25 1723 SP5BYC        59          042 J41J            59          297
QSO: 14000 PH 2017-03-25 1727 SP5BYC        59          043 NR3X            59         1142
QSO: 14000 PH 2017-03-25 1733 SP5BYC        59          044 ED4W            59          439
QSO: 14000 PH 2017-03-25 1742 SP5BYC        59          045 IB9P            59          482
QSO:  7000 PH 2017-03-25 1800 SP5BYC        59          046 UP2L            59         1794
QSO:  7000 PH 2017-03-25 1800 SP5BYC        59          047 UD3D            59          263
QSO:  7000 PH 2017-03-25 1803 SP5BYC        59          048 UW1M            59         1745
QSO:  7000 PH 2017-03-25 1833 SP5BYC        59          049 OT6M            59          998
QSO:  7000 PH 2017-03-25 1838 SP5BYC        59          050 OF6MW           59          716
QSO:  7000 PH 2017-03-25 1840 SP5BYC        59          051 YT5M            59          646
QSO:  7000 PH 2017-03-25 1855 SP5BYC        59          052 IY4FGM          59          867
QSO:  7000 PH 2017-03-25 1858 SP5BYC        59          053 PA10A           59          677
QSO:  7000 PH 2017-03-25 1902 SP5BYC        59          054 UA9MA           59         1421
QSO:  7000 PH 2017-03-25 1907 SP5BYC        59          055 9K2HN           59         2352
QSO:  7000 PH 2017-03-25 1908 SP5BYC        59          056 RT4F            59          805
QSO:  7000 PH 2017-03-26 0835 SP5BYC        59          057 HG5A            59         1983
QSO:  7000 PH 2017-03-26 0839 SP5BYC        59          058 IO5O            59         3257
QSO:  7000 PH 2017-03-26 0843 SP5BYC        59          059 S51F            59         1055
QSO:  7000 PH 2017-03-26 0905 SP5BYC        59          060 9A2L            59          050
QSO:  7000 PH 2017-03-26 0906 SP5BYC        59          061 9A1A            59         1662
QSO:  7000 PH 2017-03-26 0907 SP5BYC        59          062 IR4M            59         2864
QSO:  7000 PH 2017-03-26 0909 SP5BYC        59          063 HG3M            59          479
QSO:  7000 PH 2017-03-26 0909 SP5BYC        59          064 YU5R            59          921
QSO:  7000 PH 2017-03-26 0912 SP5BYC        59          065 OF9W            59          644
QSO:  7000 PH 2017-03-26 0913 SP5BYC        59          066 SK0QO           59          567
QSO:  7000 PH 2017-03-26 0914 SP5BYC        59          067 OF5Z            59         1514
QSO:  7000 PH 2017-03-26 0916 SP5BYC        59          068 ES6RW           59          640
QSO:  7000 PH 2017-03-26 0918 SP5BYC        59          069 IR6T            59         2095
QSO:  7000 PH 2017-03-26 0919 SP5BYC        59          070 UW5U            59          679
QSO: 21000 PH 2017-03-26 0937 SP5BYC        59          071 9K2HN           59         3492
QSO: 14000 PH 2017-03-26 0944 SP5BYC        59          072 F4FFZ           59          917
QSO: 14000 PH 2017-03-26 0947 SP5BYC        59          073 EI7M            59         3598
QSO: 14000 PH 2017-03-26 0948 SP5BYC        59          074 TF3CW           59          429
QSO: 14000 PH 2017-03-26 0958 SP5BYC        59          076 IT9VDQ          59          282
QSO: 14000 PH 2017-03-26 1001 SP5BYC        59          077 IO9R            59          592
QSO: 14000 PH 2017-03-26 1015 SP5BYC        59          078 3V8SS           59         1308
QSO:  7000 PH 2017-03-26 1908 SP5BYC        59          079 IY4FGM          59         1931
QSO:  7000 PH 2017-03-26 1912 SP5BYC        59          080 TC2MK           59         1922
QSO:  7000 PH 2017-03-26 1913 SP5BYC        59          081 IR4X            59          146
QSO:  7000 PH 2017-03-26 1915 SP5BYC        59          082 US1I            59         1672
QSO:  7000 PH 2017-03-26 1920 SP5BYC        59          083 II9P            59         2191
QSO:  7000 PH 2017-03-26 1928 SP5BYC        59          084 J43TR           59         2284
QSO:  7000 PH 2017-03-26 1930 SP5BYC        59          085 UZ3A            59         2126
QSO:  7000 PH 2017-03-26 1936 SP5BYC        59          086 RC6U            59         2020
QSO:  7000 PH 2017-03-26 1937 SP5BYC        59          087 IB9A            59         1060
QSO:  7000 PH 2017-03-26 1940 SP5BYC        59          088 J42T            59         1658
QSO:  7000 PH 2017-03-26 1945 SP5BYC        59          089 RC7KY           59          841
QSO:  7000 PH 2017-03-26 1956 SP5BYC        59          090 C4A             59         1123
QSO:  7000 PH 2017-03-26 1957 SP5BYC        59          091 YM2KY           59         1150
QSO:  7000 PH 2017-03-26 2104 SP5BYC        59          092 EF3T            59          992
QSO:  7000 PH 2017-03-26 2112 SP5BYC        59          093 7Z1CQ           59         1614
QSO:  7000 PH 2017-03-26 2116 SP5BYC        59          094 G5O             59          556
QSO:  7000 PH 2017-03-26 2118 SP5BYC        59          095 TA2FE           59          326
QSO:  7000 PH 2017-03-26 2119 SP5BYC        59          096 CN3A            59         2212
QSO:  7000 PH 2017-03-26 2133 SP5BYC        59          097 RL4F            59         1026
QSO:  7000 PH 2017-03-26 2141 SP5BYC        59          098 UX7IW           59          686
QSO:  7000 PH 2017-03-26 2201 SP5BYC        59          099 M9A             59          577
QSO:  7000 PH 2017-03-26 2203 SP5BYC        59          100 CN2AA           59         7075
QSO:  1800 PH 2017-03-26 2210 SP5BYC        59          101 YL1ZT           59         1212
QSO:  1800 PH 2017-03-26 2211 SP5BYC        59          102 UR7R            59          999
QSO:  1800 PH 2017-03-26 2213 SP5BYC        59          103 LY27A           59          301
QSO:  1800 PH 2017-03-26 2214 SP5BYC        59          104 OK1JOK          59          182
QSO:  1800 PH 2017-03-26 2216 SP5BYC        59          105 EW8R            59          336
QSO:  1800 PH 2017-03-26 2217 SP5BYC        59          106 LY2ZO           59          250
QSO:  1800 PH 2017-03-26 2218 SP5BYC        59          107 OH2PM           59          220
QSO:  1800 PH 2017-03-26 2221 SP5BYC        59          108 OK2BFN          59          284
QSO:  3500 PH 2017-03-26 2228 SP5BYC        59          109 II9P            59          109
QSO:  3500 PH 2017-03-26 2229 SP5BYC        59          110 OT5A            59          942
QSO:  3500 PH 2017-03-26 2233 SP5BYC        59          111 OK8WW           59         1352
QSO:  3500 PH 2017-03-26 2235 SP5BYC        59          112 S56M            59         1534
QSO:  3500 PH 2017-03-26 2237 SP5BYC        59          113 OZ30EU          59         1075
QSO:  3500 PH 2017-03-26 2239 SP5BYC        59          114 LZ9W            59         1179
QSO:  3500 PH 2017-03-26 2243 SP5BYC        59          115 F4FFH           59          709
QSO:  3500 PH 2017-03-26 2248 SP5BYC        59          116 LZ3ZZ           59          793
QSO:  3500 PH 2017-03-26 2251 SP5BYC        59          117 9A3B            59         1078
QSO:  3500 PH 2017-03-26 2252 SP5BYC        59          118 9K2HN           59         4533
QSO:  3500 PH 2017-03-26 2259 SP5BYC        59          119 SP7VC           59         1137
QSO:  3500 PH 2017-03-26 2303 SP5BYC        59          120 HG7T            59          788
QSO:  3500 PH 2017-03-26 2305 SP5BYC        59          121 UW5ZM           59          915
QSO:  3500 PH 2017-03-26 2307 SP5BYC        59          122 OP2A            59         1099
QSO:  7000 PH 2017-03-26 2315 SP5BYC        59          123 IO8V            59         1453
QSO:  7000 PH 2017-03-26 2331 SP5BYC        59          124 8P5A            59         5361
END-OF-LOG:
