START-OF-LOG: 3.0
CALLSIGN: VU2GRM
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 28196
NAME: RAM MOHAN G
LOCATION: DX
OPERATORS: VU2GRM
CLUB: VU CONTEST GROUP
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6108.0
SOAPBOX: Thanks to the organisers. Chance to sharpen our swords !!
QSO: 21280 PH 2017-03-26 1011 VU2GRM        59  0112   DU7P          59  0840
QSO: 21291 PH 2017-03-26 1016 VU2GRM        59  0113   YB8UTI        59  0293
QSO: 21192 PH 2017-03-26 1021 VU2GRM        59  0114   EA6XQ         59  0163
QSO: 21196 PH 2017-03-26 1031 VU2GRM        59  0115   HS3LSE        59  0391
QSO: 21232 PH 2017-03-26 1041 VU2GRM        59  0116   RT5Z          59  2105
QSO: 21242 PH 2017-03-26 1043 VU2GRM        59  0117   E23HSW        59  0151
QSO: 21265 PH 2017-03-26 1046 VU2GRM        59  0118   YC2GV         59  0463
QSO: 21312 PH 2017-03-26 1050 VU2GRM        59  0119   YE1K          59  1274
QSO: 21286 PH 2017-03-26 1057 VU2GRM        59  0120   DQ8N          59  2988
QSO:  7000 PH 2017-03-26 1118 VU2GRM        59  0121   9M2M          59  0520
QSO: 14305 PH 2017-03-26 1134 VU2GRM        59  0122   LY27A         59  1243
QSO: 21308 PH 2017-03-26 1140 VU2GRM        59  0123   CR6T          59  0564
QSO: 21300 PH 2017-03-26 1143 VU2GRM        59  0124   YB1EGP        59  0154
QSO: 14295 PH 2017-03-26 1225 VU2GRM        59  0125   HS3PIK        59  0298
QSO: 14260 PH 2017-03-26 1238 VU2GRM        59  0126   YB8TK         59  0045
QSO:  7000 PH 2017-03-26 1240 VU2GRM        59  0127   E29AJ         59  0344
QSO:  7000 PH 2017-03-26 1248 VU2GRM        59  0128   YB2DX         59  0977
QSO:  7000 PH 2017-03-26 1253 VU2GRM        59  0129   YE1ZAL        59  0226
QSO:  7000 PH 2017-03-26 1257 VU2GRM        59  0130   V84O          59  0477
QSO:  7000 PH 2017-03-26 1300 VU2GRM        59  0131   YC6JRT/0      59  0155
QSO: 14210 PH 2017-03-26 1433 VU2GRM        59  0132   YB3VO         59  0676
QSO: 14190 PH 2017-03-26 1458 VU2GRM        59  0133   YT1A          59  1714
QSO: 14213 PH 2017-03-26 1501 VU2GRM        59  0134   YB2DX         59  1096
QSO: 14288 PH 2017-03-26 1521 VU2GRM        59  0135   TM0T          59  3042
QSO: 14281 PH 2017-03-26 1524 VU2GRM        59  0136   IR4M          59  3265
QSO:  7000 PH 2017-03-26 1539 VU2GRM        59  0137   RT2F          59  1311
QSO:  7000 PH 2017-03-26 1545 VU2GRM        59  0138   VU2RCT        59  0663
QSO:  7000 PH 2017-03-26 1556 VU2GRM        59  0139   VU2IBI        59  0153
QSO:  7000 PH 2017-03-26 1559 VU2GRM        59  0140   VU2CPL        59  0296
QSO:  7000 PH 2017-03-26 1606 VU2GRM        59  0141   HZ1BL         59  0661
QSO:  7000 PH 2017-03-26 1610 VU2GRM        59  0142   YB8HZ         59  0042
QSO:  7000 PH 2017-03-26 1617 VU2GRM        59  0143   VU2CPA        59  0006
QSO:  7000 PH 2017-03-26 1654 VU2GRM        59  0144   A61FK         59  0928
QSO:  7000 PH 2017-03-26 1716 VU2GRM        59  0145   A73A          59  0619
QSO: 21000 PH 2017-03-26 1721 VU2GRM        59  0146   RT4F          59  1437
QSO:  7000 PH 2017-03-26 1725 VU2GRM        59  0147   LY27A         59  1779
QSO:  7000 PH 2017-03-26 1737 VU2GRM        59  0148   JE6RPM        59  1771
QSO:  3500 PH 2017-03-26 2326 VU2GRM        59  0149   OF5Z          59  0781
END-OF-LOG:
