START-OF-LOG: 3.0
CREATED-BY: N3FJP's CQ WPX Contest Log 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: N5RB
LOCATION: MS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 30634
OPERATORS: N5RB
NAME: Richard Burgett
SOAPBOX: Had fun even with a broken antenna and limited operating time
QSO: 14004 CW 2013-05-25 2019 N5RB          599 029    KM3T          599 1565   0
QSO: 14004 CW 2013-05-25 2023 N5RB          599 030    F5NBX         599 422    0
QSO: 14006 CW 2013-05-25 2025 N5RB          599 031    KC3R          599 1381   0
QSO: 14007 CW 2013-05-25 2026 N5RB          599 032    K1LZ          599 1609   0
QSO: 14010 CW 2013-05-25 2027 N5RB          599 033    WK2T          599 271    0
QSO: 14012 CW 2013-05-25 2029 N5RB          599 034    K3AO          599 196    0
QSO: 14012 CW 2013-05-25 2031 N5RB          599 035    G5W           599 1642   0
QSO: 14014 CW 2013-05-25 2033 N5RB          599 036    KD4D          599 861    0
QSO: 14015 CW 2013-05-25 2036 N5RB          599 037    ED1R          599 1586   0
QSO: 14021 CW 2013-05-25 2038 N5RB          599 038    NB1N          599 551    0
QSO: 14023 CW 2013-05-25 2041 N5RB          599 039    NR5M          599 1294   0
QSO: 14025 CW 2013-05-25 2046 N5RB          599 040    WX7T          599 392    0
QSO: 14026 CW 2013-05-25 2047 N5RB          599 041    NY6N          599 1625   0
QSO: 14027 CW 2013-05-25 2049 N5RB          599 042    VP53V         599 1531   0
QSO: 14034 CW 2013-05-25 2052 N5RB          599 043    VE7SZ         599 712    0
QSO:  7029 CW 2013-05-25 2115 N5RB          599 044    WB8JUI        599 267    0
QSO: 28020 CW 2013-05-25 2210 N5RB          599 045    PX1M          599 294    0
QSO: 28014 CW 2013-05-25 2214 N5RB          599 046    PJ4G          599 543    0
QSO: 28054 CW 2013-05-25 2217 N5RB          599 047    YS1/NP3J      599 394    0
QSO: 28048 CW 2013-05-25 2220 N5RB          599 048    HI3LFE        599 83     0
QSO: 28036 CW 2013-05-25 2227 N5RB          599 049    CX5CBA        599 107    0
QSO: 28035 CW 2013-05-25 2228 N5RB          599 050    LU5FZ         599 375    0
QSO: 28034 CW 2013-05-25 2230 N5RB          599 051    LO5D          599 492    0
QSO: 28033 CW 2013-05-25 2231 N5RB          599 052    CX9AU         599 638    0
QSO: 28032 CW 2013-05-25 2234 N5RB          599 053    LW5ER         599 021    0
QSO: 28025 CW 2013-05-25 2237 N5RB          599 054    W5FOC         599 513    0
QSO: 28026 CW 2013-05-25 2242 N5RB          599 055    WI4R          599 272    0
QSO: 28019 CW 2013-05-25 2246 N5RB          599 056    ZX2F          599 181    0
QSO: 28018 CW 2013-05-25 2248 N5RB          599 057    LU1ICX        599 170    0
QSO: 28012 CW 2013-05-25 2252 N5RB          599 058    LU3DAT        599 258    0
QSO: 28011 CW 2013-05-25 2253 N5RB          599 059    CW5W          599 1061   0
QSO: 21055 CW 2013-05-25 2259 N5RB          599 060    XR3A          599 583    0
QSO: 21045 CW 2013-05-25 2301 N5RB          599 061    AA0AW         599 95     0
QSO: 21043 CW 2013-05-25 2304 N5RB          599 062    CE3CT         599 1150   0
QSO: 21040 CW 2013-05-25 2306 N5RB          599 063    KH6LC         599 854    0
QSO: 21038 CW 2013-05-25 2308 N5RB          599 064    K1AR          599 827    0
QSO: 21034 CW 2013-05-25 2310 N5RB          599 065    VE9AA         599 278    0
QSO: 21034 CW 2013-05-25 2311 N5RB          599 066    KH7X          599 1893   0
QSO: 21033 CW 2013-05-25 2315 N5RB          599 067    NR3X          599 615    0
QSO: 21031 CW 2013-05-25 2316 N5RB          599 068    PS2T          599 1518   0
QSO: 21028 CW 2013-05-25 2317 N5RB          599 069    WN1GIV        599 957    0
QSO: 21010 CW 2013-05-25 2320 N5RB          599 070    VP53V         599 1764   0
QSO: 21008 CW 2013-05-25 2322 N5RB          599 071    KU6W          599 222    0
QSO: 21016 CW 2013-05-25 2326 N5RB          599 072    ZM1A          599 757    0
QSO: 21023 CW 2013-05-25 2327 N5RB          599 073    PR3A          599 984    0
QSO: 21024 CW 2013-05-25 2329 N5RB          599 074    NR6O          599 497    0
QSO: 21025 CW 2013-05-25 2330 N5RB          599 075    ZF1A          599 2127   0
QSO: 21026 CW 2013-05-25 2331 N5RB          599 076    KH6MB         599 381    0
QSO: 21036 CW 2013-05-25 2333 N5RB          599 077    XQ1KZ         599 463    0
QSO: 21039 CW 2013-05-25 2335 N5RB          599 078    KA3DRR        599 306    0
QSO: 21047 CW 2013-05-25 2339 N5RB          599 079    WB4TDH        599 385    0
QSO: 21050 CW 2013-05-25 2342 N5RB          599 080    KV4FZ         599 1513   0
QSO: 21052 CW 2013-05-25 2344 N5RB          599 081    NP4IW/KF6     599 106    0
QSO: 21054 CW 2013-05-25 2345 N5RB          599 082    PW2F          599 1061   0
QSO: 21057 CW 2013-05-25 2347 N5RB          599 083    PY2IU         599 198    0
QSO: 21066 CW 2013-05-25 2348 N5RB          599 084    PX4X          599 461    0
QSO: 28021 CW 2013-05-26 0027 N5RB          599 085    PY1NX         599 834    0
QSO: 14068 CW 2013-05-26 0030 N5RB          599 086    KG9N          599 117    0
QSO: 14068 CW 2013-05-26 0031 N5RB          599 087    CV5T          599 432    0
QSO: 14067 CW 2013-05-26 0034 N5RB          599 088    PR5B          599 1344   0
QSO: 14063 CW 2013-05-26 0036 N5RB          599 089    PY4YY         599 229    0
QSO: 14061 CW 2013-05-26 0038 N5RB          599 090    CX2DK         599 281    0
QSO: 14059 CW 2013-05-26 0043 N5RB          599 091    KW7Y          599 1287   0
QSO: 14057 CW 2013-05-26 0045 N5RB          599 092    N0AT          599 512    0
QSO: 14056 CW 2013-05-26 0047 N5RB          599 093    LS1D          599 1150   0
QSO: 14056 CW 2013-05-26 0049 N5RB          599 094    NF6A          599 1116   0
QSO: 14054 CW 2013-05-26 0050 N5RB          599 095    PY2NY         599 554    0
QSO: 14053 CW 2013-05-26 0051 N5RB          599 096    N5CR          599 489    0
QSO: 14051 CW 2013-05-26 0053 N5RB          599 097    WZ7ZR         599 940    0
QSO: 14048 CW 2013-05-26 0054 N5RB          599 098    W1EQ          599 461    0
QSO: 14048 CW 2013-05-26 0057 N5RB          599 099    4O3A          599 1692   0
QSO: 14047 CW 2013-05-26 0059 N5RB          599 100    CE1CA         599 1245   0
QSO: 14046 CW 2013-05-26 0101 N5RB          599 101    W6AEA         599 653    0
QSO: 14046 CW 2013-05-26 0102 N5RB          599 102    N5KWN         599 469    0
QSO: 14041 CW 2013-05-26 0224 N5RB          599 103    K9WZB         599 355    0
QSO: 14038 CW 2013-05-26 0226 N5RB          599 104    KH6LC         599 1166   0
QSO: 14034 CW 2013-05-26 0229 N5RB          599 105    CS2C          599 1458   0
QSO: 14021 CW 2013-05-26 0231 N5RB          599 106    KL7RA         599 2267   0
QSO: 14001 CW 2013-05-26 0241 N5RB          599 107    LP3U          599 158    0
QSO: 14037 CW 2013-05-26 0246 N5RB          599 108    HI3TT         599 843    0
QSO: 14047 CW 2013-05-26 0253 N5RB          599 109    KN7T          599 534    0
QSO: 14048 CW 2013-05-26 0254 N5RB          599 110    RF9C          599 1753   0
QSO: 14051 CW 2013-05-26 0255 N5RB          599 111    WF6C          599 1473   0
QSO: 14053 CW 2013-05-26 0257 N5RB          599 112    VE6BMX        599 330    0
QSO:  7015 CW 2013-05-26 0317 N5RB          599 113    YT8A          599 1606   0
QSO:  7016 CW 2013-05-26 0318 N5RB          599 114    LZ5L          599 877    0
QSO:  7016 CW 2013-05-26 0319 N5RB          599 115    E7DX          599 2360   0
QSO:  7018 CW 2013-05-26 0321 N5RB          599 116    AB9YC         599 269    0
QSO:  7020 CW 2013-05-26 0322 N5RB          599 117    TM6M          599 1212   0
QSO:  7021 CW 2013-05-26 0324 N5RB          599 118    K3ZO          599 1371   0
QSO:  7022 CW 2013-05-26 0324 N5RB          599 119    EA8RM         599 2268   0
QSO:  7022 CW 2013-05-26 0325 N5RB          599 120    DM6V          599 1197   0
QSO:  7023 CW 2013-05-26 0327 N5RB          599 121    WC7S          599 149    0
QSO:  7025 CW 2013-05-26 0328 N5RB          599 122    NR6O          599 700    0
QSO:  7027 CW 2013-05-26 0329 N5RB          599 123    VE3GFN        599 601    0
QSO:  7028 CW 2013-05-26 0331 N5RB          599 124    KT0R          599 636    0
QSO:  7028 CW 2013-05-26 0332 N5RB          599 125    9A2L          599 854    0
END-OF-LOG:
