START-OF-LOG: 3.0
CALLSIGN: ZS6DX
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE:
CLUB:
LOCATION: DX
CREATED-BY: CQWPX Adif2Cabrillo Converter (LZ2FQ)
NAME: Rudi Venter
OPERATORS: ZS6DX
SOAPBOX: Always great to meet all the great contesters on the air.
QSO: 21028 CW 2015-05-30 1024  ZS6DX         599 091    UN9GD         599 773    0
QSO: 21039 CW 2015-05-30 1026  ZS6DX         599 092    RM9I          599 731    0
QSO: 21040 CW 2015-05-30 1029  ZS6DX         599 093    IY7M          599 621    0
QSO: 21058 CW 2015-05-30 1033  ZS6DX         599 094    EV1R          599 749    0
QSO: 21070 CW 2015-05-30 1037  ZS6DX         599 095    PY2YU         599 362    0
QSO: 21011 CW 2015-05-30 1039  ZS6DX         599 096    IF9/IT9PPG    599 300    0
QSO: 21084 CW 2015-05-30 1046  ZS6DX         599 097    LY2J          599 527    0
QSO: 21026 CW 2015-05-30 1049  ZS6DX         599 098    4O/S56A       599 056    0
QSO: 21043 CW 2015-05-30 1051  ZS6DX         599 099    OR2F          599 736    0
QSO: 21031 CW 2015-05-30 1055  ZS6DX         599 100    J42T          599 073    0
QSO: 21055 CW 2015-05-30 1056  ZS6DX         599 101    SJ2W          599 889    0
QSO: 21059 CW 2015-05-30 1057  ZS6DX         599 102    OG73X         599 959    0
QSO: 21068 CW 2015-05-30 1058  ZS6DX         599 103    DL2CC         599 571    0
QSO: 21055 CW 2015-05-30 1102  ZS6DX         599 104    OH5Z          599 114    0
QSO: 21014 CW 2015-05-30 1104  ZS6DX         599 105    WR3O          599 923    0
QSO: 21027 CW 2015-05-30 1107  ZS6DX         599 106    NR4M          599 222    0
QSO: 21030 CW 2015-05-30 1111  ZS6DX         599 107    DR4A          599 466    0
QSO: 21055 CW 2015-05-30 1147  ZS6DX         599 108    YR8D          599 260    0
QSO: 21064 CW 2015-05-30 1148  ZS6DX         599 109    MJ5Z          599 620    0
QSO: 21002 CW 2015-05-30 1151  ZS6DX         599 110    AB3CX         599 743    0
